"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,32018429,7917626,4242102,0,8265880,5449655,6143166,0,598508,369476,8095,0,0,0,220937,0,7383,6083
2011,15903097,3587911,2183625,0,3767129,2982655,3381777,0,403601,224476,45098,0,0,0,134027,0,7382,6083
2012,33290564,11469518,5869845,0,1766735,6995140,7189326,0,1467776,684316,370760,0,0,0,412700,0,7385,6040
2013,32574085,9733267,4007562,0,3921282,7424570,7487404,0,1226495,764608,3815,0,0,0,458072,0,7378,6096
2014,34507640,10843105,7602070,0,2602021,6359534,7100910,0,1168291,588285,226210,0,0,0,353796,0,7386,6049
2015,12887062,2435018,1011480,0,429075,3385613,5625876,0,619776,260066,202704,0,0,0,157006,0,3079,1911
2016,20787318,5646414,2831599,0,1941903,4936586,5430816,0,608541,334401,73599,0,0,0,200541,0,6817,5535
2017,32413330,10928019,4268659,0,1599128,8041378,7576146,0,1708646,804059,419602,0,0,0,484985,0,7342,6003
2018,36375961,9518581,8212937,0,5339416,6408579,6896448,0,745321,424415,66443,0,0,0,254463,0,7377,6096
2019,8802626,1948613,1248069,0,372753,2418677,2814514,0,234480,105704,65655,0,0,0,63121,0,7295,5954
2020,21523419,5693530,2626078,0,3225521,4699919,5278371,0,660192,398707,22956,0,0,0,238529,0,7042,5760
2021,31896036,9365751,5421278,0,2573872,7041879,7493256,0,2006575,972520,447853,0,0,0,586202,0,7387,6058
2022,34474123,10196830,6082101,0,3799776,6924264,7471152,0,1226062,662033,166338,0,0,0,397691,0,7365,6020
2023,23954053,6500059,3629645,0,1356860,5521307,6946182,0,1051904,505125,242410,0,0,0,304369,0,5216,3941
2024,32970782,10406899,3741394,0,3552145,7666568,7603776,0,1315544,822558,0,0,0,0,492986,0,7386,6063
2025,20743064,5406434,3562263,0,2638421,4410632,4725314,0,979831,511148,161699,0,0,0,306984,0,7386,6040
2026,32818753,10509061,6041500,0,2164349,6903465,7200378,0,1805281,742665,612953,0,0,0,449663,0,7347,6007
