"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6309,35386180,32018429,3367751,2094954,598508,674289,185,185,0,226,226,0,5423234,2010,32018429,7917626,4242102,0,8265880,5449655,6143166,0,598508,369476,8095,0,0,0,220937,0,7383,6083
2011,7568,7568,7578,6309,17913335,15903097,2010238,1261741,403601,344896,186,186,0,226,226,0,22932776,2011,15903097,3587911,2183625,0,3767129,2982655,3381777,0,403601,224476,45098,0,0,0,134027,0,7382,6083
2012,7568,7568,7578,6267,40809510,33290564,7518946,3328102,1467776,2723068,183,183,0,227,227,0,0,2012,33290564,11469518,5869845,0,1766735,6995140,7189326,0,1467776,684316,370760,0,0,0,412700,0,7385,6040
2013,7568,7568,7578,6322,39899522,32574085,7325437,4041983,1226495,2056959,190,190,0,226,226,0,871558,2013,32574085,9733267,4007562,0,3921282,7424570,7487404,0,1226495,764608,3815,0,0,0,458072,0,7378,6096
2014,7568,7568,7578,6275,40815036,34507640,6307396,2666056,1168291,2473049,182,182,0,226,226,0,0,2014,34507640,10843105,7602070,0,2602021,6359534,7100910,0,1168291,588285,226210,0,0,0,353796,0,7386,6049
2015,7568,7568,7578,6451,14993547,12887062,2106485,658846,619776,827863,4489,133,4356,4540,178,4362,2028068,2015,12887062,2435018,1011480,0,429075,3385613,5625876,0,619776,260066,202704,0,0,0,157006,0,3079,1911
2016,7568,7568,7578,6323,24157363,20787318,3370045,1391107,608541,1370397,751,191,560,788,226,562,13543214,2016,20787318,5646414,2831599,0,1941903,4936586,5430816,0,608541,334401,73599,0,0,0,200541,0,6817,5535
2017,7568,7568,7578,6274,40571892,32413330,8158562,4078810,1708646,2371106,226,187,39,271,231,40,0,2017,32413330,10928019,4268659,0,1599128,8041378,7576146,0,1708646,804059,419602,0,0,0,484985,0,7342,6003
2018,7568,7568,7578,6322,40765302,36375961,4389341,1998228,745321,1645792,191,191,0,226,226,0,0,2018,36375961,9518581,8212937,0,5339416,6408579,6896448,0,745321,424415,66443,0,0,0,254463,0,7377,6096
2019,7568,7568,7578,6270,9905829,8802626,1103203,351509,234480,517214,273,186,87,316,229,87,30471393,2019,8802626,1948613,1248069,0,372753,2418677,2814514,0,234480,105704,65655,0,0,0,63121,0,7295,5954
2020,7568,7568,7578,6323,25199495,21523419,3676076,2050162,660192,965722,526,196,330,563,233,330,13744895,2020,21523419,5693530,2626078,0,3225521,4699919,5278371,0,660192,398707,22956,0,0,0,238529,0,7042,5760
2021,7568,7568,7578,6285,40820562,31896036,8924526,5722755,2006575,1195196,181,181,0,227,227,0,0,2021,31896036,9365751,5421278,0,2573872,7041879,7493256,0,2006575,972520,447853,0,0,0,586202,0,7387,6058
2022,7568,7568,7578,6267,40650093,34474123,6175970,3602594,1226062,1347314,203,187,16,247,231,16,48897,2022,34474123,10196830,6082101,0,3799776,6924264,7471152,0,1226062,662033,166338,0,0,0,397691,0,7365,6020
2023,7568,7568,7578,6338,28823616,23954053,4869563,2039959,1051904,1777700,2352,176,2176,2397,214,2183,0,2023,23954053,6500059,3629645,0,1356860,5521307,6946182,0,1051904,505125,242410,0,0,0,304369,0,5216,3941
2024,7568,7568,7578,6290,40815036,32970782,7844254,4583214,1315544,1945496,182,182,0,227,227,0,0,2024,32970782,10406899,3741394,0,3552145,7666568,7603776,0,1315544,822558,0,0,0,0,492986,0,7386,6063
2025,7568,7568,7578,6266,25423659,20743064,4680595,3040857,979831,659907,182,182,0,226,226,0,15428232,2025,20743064,5406434,3562263,0,2638421,4410632,4725314,0,979831,511148,161699,0,0,0,306984,0,7386,6040
2026,7568,7568,7578,6271,40599522,32818753,7780769,4071600,1805281,1903888,221,187,34,264,230,34,0,2026,32818753,10509061,6041500,0,2164349,6903465,7200378,0,1805281,742665,612953,0,0,0,449663,0,7347,6007
2027,7568,7568,7578,7537,370242,268426,101816,643,20032,81141,7501,38,7463,7513,41,7472,0,2027,268426,161583,105688,0,1155,0,0,0,20032,10092,3923,0,0,0,6017,0,67,24
2028,7568,7568,7578,6977,5149508,4703168,446340,53195,123222,269923,6492,113,6379,6517,129,6388,800836,2028,4703168,590087,309297,0,98704,1584364,2120716,0,123222,55586,34607,0,0,0,33029,0,1076,460
2029,7568,7568,7578,6322,23694652,20060596,3634056,1960490,735321,938245,381,195,186,419,231,188,16053213,2029,20060596,4787605,2587845,0,1943874,5352127,5389145,0,735321,371541,140584,0,0,0,223196,0,7187,5903
2030,7568,7568,7578,7553,243144,151029,92115,9878,23155,59082,7524,43,7481,7534,54,7480,0,2030,151029,98328,40092,0,12609,0,0,0,23155,11585,4793,0,0,0,6777,0,44,19
2031,7568,7568,7578,6322,40759776,31221451,9538325,5258674,1860657,2418994,192,192,0,227,227,0,0,2031,31221451,11358076,3183700,0,1216818,7897763,7565094,0,1860657,947650,342490,0,0,0,570517,0,7376,6095
2032,7568,7568,7578,6288,37490571,32144757,5345814,3176152,971177,1198485,516,187,329,565,235,330,1479333,2032,32144757,7405619,4997917,0,5390543,6846355,7504323,0,971177,582803,39120,0,0,0,349254,0,7052,5723
2033,7568,7568,7578,6268,40803984,37699398,3104586,1051144,639231,1414211,184,184,0,228,228,0,0,2033,37699398,10298377,7445438,0,4720095,7725654,7509834,0,639231,274903,198438,0,0,0,165890,0,7384,6040
2034,7568,7568,7578,6323,37090512,30614623,6475889,2595901,1372488,2507500,856,189,667,892,226,666,0,2034,30614623,9686861,4840409,0,1803413,6873574,7410366,0,1372488,611004,392448,0,0,0,369036,0,6712,5431
2035,7568,7568,7578,6735,9836280,9172482,663798,51336,143469,468993,5788,119,5669,5802,123,5679,0,2035,9172482,1457980,1096709,0,537434,2245315,3835044,0,143469,70129,31483,0,0,0,41857,0,1780,933
2036,7568,7568,7578,6322,40660133,34009396,6650737,4422771,1248875,979091,210,191,19,246,227,19,175,2036,34009396,7691971,4830672,0,7670027,6677134,7139592,0,1248875,747868,52764,0,0,0,448243,0,7358,6076
2037,7568,7568,7578,6322,40759776,35166726,5593050,3556281,985320,1051449,192,191,1,228,227,1,0,2037,35166726,8642364,6392593,0,7466645,5906826,6758298,0,985320,615464,1395,0,0,0,368461,0,7376,6094
2038,7568,7568,7578,7025,39521583,29974927,9546656,5918502,1798706,1829448,183,183,0,212,212,0,1289279,2038,29974927,10231744,2726342,0,2042655,7550764,7423422,0,1798706,1017629,169795,0,0,0,611282,0,7385,6813
2039,7568,7568,7578,6322,39872610,33497384,6375226,3446444,1207603,1721179,351,192,159,387,228,159,8532,2039,33497384,8645983,8498555,0,2836229,6658851,6857766,0,1207603,627109,203479,0,0,0,377015,0,7217,5935
2040,7568,7568,7578,6430,20142270,16862387,3279883,1217965,732825,1329093,3923,152,3771,3974,199,3775,0,2040,16862387,4035001,1602288,0,787141,4055427,6382530,0,732825,378599,126824,0,0,0,227402,0,3645,2456
2041,7568,7568,7578,6285,40798458,34660671,6137787,2714345,1309233,2114209,185,182,3,232,229,3,0,2041,34660671,10803350,5736902,0,3252195,7380494,7487730,0,1309233,581685,376394,0,0,0,351154,0,7383,6053
2042,7568,7568,7578,6283,25590158,20947729,4642429,2162056,958642,1521731,1311,184,1127,1357,224,1133,9006748,2042,20947729,5936459,3163431,0,1084269,4904328,5859242,0,958642,480403,189224,0,0,0,289015,0,6257,4926
2043,7568,7568,7578,6366,20820276,18120458,2699818,893193,472320,1334305,3256,158,3098,3303,199,3104,3011175,2043,18120458,4153796,2164214,0,1041048,4429954,6331446,0,472320,284721,17346,0,0,0,170253,0,4312,3063
2044,7568,7568,7578,6269,40815036,33858881,6956155,3417078,1442045,2097032,182,182,0,226,226,0,0,2044,33858881,10166853,6496754,0,4664190,5988300,6542784,0,1442045,660571,383036,0,0,0,398438,0,7386,6043
2045,7568,7568,7578,6339,27265284,24980556,2284728,818993,490784,974951,2634,167,2467,2678,205,2473,0,2045,24980556,5328807,2593028,0,3807812,5984219,7266690,0,490784,247061,95368,0,0,0,148355,0,4934,3661
2046,7568,7568,7578,6271,40069026,32374534,7694492,4457887,1379495,1857110,317,187,130,361,231,130,0,2046,32374534,9659621,4958124,0,3081425,7226316,7449048,0,1379495,806734,88696,0,0,0,484065,0,7251,5910
2047,7568,7568,7578,6308,32558535,26562374,5996161,2917982,1037058,2041121,184,184,0,226,226,0,8263589,2047,26562374,8775785,4203531,0,2053006,5577267,5952785,0,1037058,598824,79069,0,0,0,359165,0,7384,6082
2048,7568,7568,7578,6322,40643730,33023601,7620129,3395669,2126269,2098191,213,194,19,249,230,19,0,2048,33023601,10912728,3611701,0,2943403,8012779,7542990,0,2126269,726325,957358,0,0,0,442586,0,7355,6073
2049,7568,7568,7578,7547,607860,332739,275121,55884,84274,134963,7458,24,7434,7470,29,7441,0,2049,332739,249353,80813,0,2573,0,0,0,84274,38878,22182,0,0,0,23214,0,110,77
2050,7568,7568,7578,7001,6216750,5514867,701883,59225,144358,498300,6443,84,6359,6470,104,6366,0,2050,5514867,1049825,324863,0,198762,2112311,1829106,0,144358,77451,20708,0,0,0,46199,0,1125,531
2051,7568,7568,7578,7003,27220120,21563416,5656704,3678913,1053386,924405,182,182,0,211,211,0,13626162,2051,21563416,6168976,3340940,0,2068066,4826009,5159425,0,1053386,627230,50301,0,0,0,375855,0,7386,6792
2052,7568,7568,7578,6302,34034577,29208775,4825802,1672448,1063754,2089600,183,183,0,227,227,0,6788444,2052,29208775,9111583,6321753,0,1728989,5752875,6293575,0,1063754,404006,414732,0,0,0,245016,0,7385,6075
2053,7568,7568,7578,6325,31347172,26399302,4947870,1717718,905575,2324577,1721,192,1529,1760,227,1533,963977,2053,26399302,7721344,3638028,0,908988,6689649,7441293,0,905575,483917,130794,0,0,0,290864,0,5847,4565
2054,7568,7568,7578,6340,27806832,23701096,4105736,1773983,856195,1475558,2536,163,2373,2580,205,2375,0,2054,23701096,5632770,2971190,0,1873917,6061523,7161696,0,856195,445262,143399,0,0,0,267534,0,5032,3760
2055,7568,7568,7578,6445,12831012,11679367,1151645,248819,235391,667435,4641,129,4512,4690,172,4518,3354645,2055,11679367,1788260,1022665,0,712548,2884408,5271486,0,235391,137616,15621,0,0,0,82154,0,2927,1755
2056,7568,7568,7578,6316,36278190,30037743,6240447,3578596,1134999,1526852,1003,188,815,1039,226,813,0,2056,30037743,8908244,2898594,0,3427434,7227325,7576146,0,1134999,679791,47602,0,0,0,407606,0,6565,5277
2057,7568,7568,7578,6267,40787406,33074125,7713281,5220149,1358678,1134454,187,182,5,231,226,5,0,2057,33074125,8617955,4724800,0,5096693,7207733,7426944,0,1358678,845699,6197,0,0,0,506782,0,7381,6036
2058,7568,7568,7578,6283,19358559,16399367,2959192,1493330,545259,920603,180,180,0,228,228,0,21518565,2058,16399367,4527019,3396648,0,2574733,2689153,3211814,0,545259,300645,64505,0,0,0,180109,0,7388,6055
2059,7568,7568,7578,6322,29359481,23930926,5428555,2945353,922759,1560443,190,190,0,226,226,0,11435762,2059,23930926,7484383,2820460,0,2842412,5260010,5523661,0,922759,565888,18043,0,0,0,338828,0,7378,6096
2060,7568,7568,7578,6317,40859244,34972079,5887165,2667752,998331,2221082,174,174,0,212,212,0,0,2060,34972079,10576460,6842801,0,2600252,7365368,7587198,0,998331,566817,91340,0,0,0,340174,0,7394,6105
2061,7568,7568,7578,6322,40770828,32415661,8355167,4748928,2070009,1536230,190,190,0,226,226,0,0,2061,32415661,10827790,5059867,0,1494860,7539888,7493256,0,2070009,860917,687995,0,0,0,521097,0,7378,6096
2062,7568,7568,7578,7564,298404,172428,125976,38118,34405,53453,7514,25,7489,7528,24,7504,0,2062,172428,106253,48807,0,17368,0,0,0,34405,18504,5218,0,0,0,10683,0,54,36
2063,7568,7568,7578,6322,38814624,31021538,7793086,4093402,2071376,1628308,544,197,347,582,233,349,0,2063,31021538,9639392,4358567,0,1607106,7746385,7670088,0,2071376,768708,835443,0,0,0,467225,0,7024,5740
2064,7568,7568,7578,7576,16578,10954,5624,4,612,5008,7565,19,7546,7575,13,7562,0,2064,10954,7353,2290,0,1311,0,0,0,612,422,0,0,0,0,190,0,3,1
2065,7568,7568,7578,6345,28015171,23028869,4986302,2279530,1127391,1579381,2448,177,2271,2491,214,2277,277949,2065,23028869,5978306,2371936,0,1717346,5882475,7078806,0,1127391,548117,249150,0,0,0,330124,0,5120,3854
2066,7568,7568,7578,6998,40511106,32048577,8462529,4432729,1745266,2284534,237,189,48,269,220,49,0,2066,32048577,10711174,4571148,0,1424867,7787346,7554042,0,1745266,842773,394500,0,0,0,507993,0,7331,6729
2067,7568,7568,7578,7319,2701964,2394765,307199,5055,126372,175772,7079,63,7016,7075,52,7023,250,2067,2394765,628367,564894,0,188049,897409,116046,0,126372,28194,80972,0,0,0,17206,0,489,244
2068,7568,7568,7578,7578,0,0,0,0,0,0,7568,8,7560,7578,0,7578,0,2068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2069,7568,7568,7578,6324,38753838,30834997,7918841,4316385,1623039,1979417,555,197,358,591,233,358,0,2069,30834997,9735001,5478954,0,2257774,6245780,7117488,0,1623039,803527,335570,0,0,0,483942,0,7013,5733
2070,7568,7568,7578,7578,0,0,0,0,0,0,7568,32,7536,7578,36,7542,0,2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2071,7568,7568,7578,6266,40638204,33748556,6889648,3719711,1424509,1745428,214,184,30,258,228,30,0,2071,33748556,9229196,6542387,0,4374683,6805310,6796980,0,1424509,695120,310831,0,0,0,418558,0,7354,6008
2072,7568,7568,7578,6515,15805562,13728656,2076906,531534,545533,999839,4684,128,4556,4707,143,4564,131422,2072,13728656,2690445,1486025,0,878390,3109114,5564682,0,545533,240684,159877,0,0,0,144972,0,2884,1808
2073,7568,7568,7578,7570,165780,108541,57239,5495,14478,37266,7538,24,7514,7550,28,7522,0,2073,108541,70371,15332,0,22838,0,0,0,14478,7194,3187,0,0,0,4097,0,30,20
2074,7568,7568,7578,6423,22512924,19007646,3505278,1005243,905929,1594106,3494,154,3340,3546,197,3349,0,2074,19007646,5168235,2210298,0,839513,4451278,6338322,0,905929,342494,355737,0,0,0,207698,0,4074,2877
2075,7568,7568,7578,7578,0,0,0,0,0,0,7568,25,7543,7578,28,7550,0,2075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2076,7568,7568,7578,7578,0,0,0,0,0,0,7568,22,7546,7578,24,7554,0,2076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2077,7568,7568,7578,7349,2293290,1823745,469545,29996,92315,347234,7153,79,7074,7153,72,7081,0,2077,1823745,589902,233433,0,21403,851909,127098,0,92315,57799,267,0,0,0,34249,0,415,196
2078,7568,7568,7578,6322,40638204,32920650,7717554,4633679,1666941,1416934,214,194,20,248,228,20,0,2078,32920650,9013817,5722952,0,2967502,7601551,7614828,0,1666941,780355,415874,0,0,0,470712,0,7354,6074
2079,7568,7568,7578,6636,12725953,11384384,1341569,387132,368403,586034,5265,158,5107,5292,178,5114,425,2079,11384384,2102159,1128419,0,1089331,2417109,4647366,0,368403,163230,107140,0,0,0,98033,0,2303,1344
2080,7568,7568,7578,6357,26152322,21337852,4814470,2241412,1117610,1455448,2835,166,2669,2877,205,2672,2236,2080,21337852,5574299,2413966,0,976898,5398877,6973812,0,1117610,547986,239695,0,0,0,329929,0,4733,3480
2081,7568,7568,7578,6286,16015566,13418339,2597227,1125589,560749,910889,2147,170,1977,2195,214,1981,13958837,2081,13418339,3191663,1540010,0,697293,3627448,4361925,0,560749,285244,104177,0,0,0,171328,0,5421,4091
2082,7568,7568,7578,6338,30248462,25367881,4880581,2552362,978346,1349873,1767,195,1572,1809,237,1572,1810481,2082,25367881,6439849,2847632,0,3009460,6037240,7033700,0,978346,537495,118121,0,0,0,322730,0,5801,4529
2083,7568,7568,7578,6323,27825821,21654554,6171267,3798387,1166127,1206753,469,201,268,507,238,269,11429356,2083,21654554,6415660,3315446,0,1537934,4965749,5419765,0,1166127,660688,109202,0,0,0,396237,0,7099,5816
2084,7568,7568,7578,6323,39256704,32799640,6457064,2921181,1351711,2184172,464,198,266,501,234,267,0,2084,32799640,9875509,6504087,0,2545894,6679298,7194852,0,1351711,620675,356641,0,0,0,374395,0,7104,5822
2085,7568,7568,7578,7566,92090,67362,24728,3135,6820,14773,7550,51,7499,7559,57,7502,7378,2085,67362,35167,17686,0,14509,0,0,0,6820,3060,2341,0,0,0,1419,0,18,7
2086,7568,7568,7578,6270,36881588,30522314,6359274,3031469,1257698,2070107,374,196,178,418,238,180,2873564,2086,30522314,9515576,5814151,0,925289,6909435,7357863,0,1257698,603289,290831,0,0,0,363578,0,7194,5852
2087,7568,7568,7578,7578,0,0,0,0,0,0,7568,28,7540,7578,34,7544,0,2087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2088,7568,7568,7578,6967,4728876,4290424,438452,38484,114686,285282,6290,128,6162,6315,144,6171,2344050,2088,4290424,709888,477757,0,253047,1367504,1482228,0,114686,47199,39397,0,0,0,28090,0,1278,652
2089,7568,7568,7578,7107,15251760,13286454,1965306,299311,347700,1318295,4808,119,4689,4821,129,4692,0,2089,13286454,3152515,1165983,0,463062,3443078,5061816,0,347700,217637,0,0,0,0,130063,0,2760,2286
2090,7568,7568,7578,6305,26703505,22098830,4604675,2525420,959131,1120124,1251,187,1064,1297,228,1069,8224359,2090,22098830,5643600,3181472,0,1530964,5621835,6120959,0,959131,498818,160557,0,0,0,299756,0,6317,5008
2091,7568,7568,7578,7402,1532958,1148865,384093,121228,101219,161646,7251,49,7202,7260,52,7208,218784,2091,1148865,365039,229701,0,104990,449135,0,0,101219,57105,10370,0,0,0,33744,0,317,142
2092,7568,7568,7578,6347,23439517,19887456,3552061,1317053,1248960,986048,2745,164,2581,2790,203,2587,3216698,2092,19887456,4782684,3219164,0,1054705,4607148,6223755,0,1248960,357145,672774,0,0,0,219041,0,4823,3557
2093,7568,7568,7578,7578,0,0,0,0,0,0,7568,1,7567,7578,3,7575,0,2093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2094,7568,7568,7578,7151,5023134,4420482,602652,131521,129952,341179,6659,125,6534,6692,156,6536,0,2094,4420482,965885,517308,0,458667,1588936,889686,0,129952,79417,3445,0,0,0,47090,0,909,459
2095,7568,7568,7578,6270,18552898,14832632,3720266,2161529,820411,738326,182,182,0,226,226,0,22314302,2095,14832632,4332231,2350995,0,1705042,3018060,3426304,0,820411,402483,175903,0,0,0,242025,0,7386,6044
2096,7568,7568,7578,7576,11052,6378,4674,1069,1103,2502,7566,45,7521,7575,49,7526,0,2096,6378,4230,1650,0,498,0,0,0,1103,292,667,0,0,0,144,0,2,1
