"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,33141848,10424589,4774894,0,3818514,6868213,7255638,0,1503222,753756,295652,0,0,0,453814,0,7327,6046
2011,28199661,9484828,4698698,0,1157151,6295853,6563131,0,1218433,577752,292412,0,0,0,348269,0,7330,6048
2012,21177900,4609826,2412486,0,1352646,5563882,7239060,0,619834,279264,172213,0,0,0,168357,0,4349,3077
2013,9100663,1089046,385699,0,983524,2166334,4476060,0,127541,80039,0,0,0,0,47502,0,1765,882
2014,36634201,8128968,5311465,0,9801732,6274548,7117488,0,753082,471202,0,0,0,0,281880,0,7386,6052
2015,752531,86695,157484,0,66394,196354,245604,0,9917,6879,339,0,0,0,2699,0,7386,6048
2016,34440332,9843924,6760110,0,3622168,6980596,7233534,0,990175,613435,9458,0,0,0,367282,0,7328,6035
2017,30955620,9641101,3672304,0,3214678,7128491,7299046,0,1593551,970227,41652,0,0,0,581672,0,7378,6096
2018,34682394,8941796,4062554,0,8367065,6315063,6995916,0,1119092,662785,58891,0,0,0,397416,0,7379,6090
2019,11522202,3286072,2196719,0,492758,2599445,2947208,0,466354,216969,119319,0,0,0,130066,0,7385,6041
2020,11999543,2169605,974347,0,402401,3026658,5426532,0,289464,180681,1111,0,0,0,107672,0,2456,1416
2021,13029306,2486799,961142,0,546790,3282009,5752566,0,591193,280806,141437,0,0,0,168950,0,2761,1689
2022,30473965,9688755,3441049,0,3153172,6935351,7255638,0,1311897,682898,218321,0,0,0,410678,0,6713,5413
2023,31488909,10115545,5857616,0,1007607,7025937,7482204,0,1510901,492678,717523,0,0,0,300700,0,6764,5481
2024,21484708,3988575,2869919,0,2044283,5436813,7145118,0,350481,148057,113206,0,0,0,89218,0,4197,2943
2025,33205525,9616629,3775625,0,3239615,8770944,7802712,0,1131958,534111,275919,0,0,0,321928,0,7071,5739
2026,34499599,10478333,7834372,0,2316188,6786374,7084332,0,1848392,528605,995344,0,0,0,324443,0,7376,6095
2027,9841608,1571003,884547,0,245829,2244193,4896036,0,360564,163604,98700,0,0,0,98260,0,2020,1072
2028,13537305,2407553,1236196,0,711605,3407281,5774670,0,360397,141746,133096,0,0,0,85555,0,2708,1628
2029,4687853,610289,273012,0,238695,1302204,2263653,0,123932,55614,35246,0,0,0,33072,0,1394,647
2030,36400051,7273715,3807469,0,10084248,7663999,7570620,0,886003,455165,157231,0,0,0,273607,0,7362,6021
2031,31266344,10363299,4149694,0,2460316,7042923,7250112,0,1937977,987679,355690,0,0,0,594608,0,7375,6094
2032,32855866,10399088,5149595,0,1717214,7947511,7642458,0,1473261,727198,308139,0,0,0,437924,0,7294,6012
2033,27806950,8452205,4354114,0,1089847,6621990,7288794,0,1753747,717362,601962,0,0,0,434423,0,6309,4986
2034,68003,44444,12834,0,10725,0,0,0,12103,5631,3296,0,0,0,3176,0,20,8
2035,27745498,6464496,4158960,0,2648386,6820146,7653510,0,777203,454233,50742,0,0,0,272228,0,5819,4539
2036,31725730,4816496,3546216,0,10382616,6168945,6811457,0,203612,118300,15107,0,0,0,70205,0,7126,5838
2037,30246798,8359868,6148177,0,3147191,5870881,6720681,0,963813,496787,168272,0,0,0,298754,0,6662,5321
2038,1682646,343387,161560,0,64802,772939,339958,0,54426,26720,12032,0,0,0,15674,0,764,361
2039,34383,16730,13573,0,4080,0,0,0,3509,1849,958,0,0,0,702,0,9,3
2040,16079761,2886553,1687957,0,1562835,3753296,6189120,0,449914,281624,0,0,0,0,168290,0,3318,2159
2041,34548900,10311287,7146740,0,2750393,7184310,7156170,0,1146447,562110,245835,0,0,0,338502,0,7362,6019
2042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2043,24088312,6849791,3393653,0,2132009,5671070,6041789,0,1197034,627089,193011,0,0,0,376934,0,7378,6096
2044,32353837,8285296,6145921,0,4788332,6270996,6863292,0,1591566,918968,121115,0,0,0,551483,0,7368,6771
2045,32179102,10648517,5820066,0,1608596,6879441,7222482,0,1208161,682399,115941,0,0,0,409821,0,7131,5849
2046,35445186,7976681,4822488,0,8316921,6962938,7366158,0,1051034,600415,90528,0,0,0,360091,0,7386,6041
2047,37649241,9084700,3376677,0,10114262,7563768,7509834,0,526332,322775,10629,0,0,0,192928,0,7328,6048
2048,31049893,10344602,4635396,0,1084189,7503502,7482204,0,2033619,1000373,430477,0,0,0,602769,0,7377,6091
2049,25009511,7417186,3120429,0,1054198,6250476,7167222,0,1152014,515815,324733,0,0,0,311466,0,5460,4137
2050,32217709,9329430,5742285,0,1608746,7911368,7625880,0,1113678,568499,203060,0,0,0,342119,0,6885,5544
2051,30822326,9644173,4443553,0,1927631,7145840,7661129,0,1813570,885972,393544,0,0,0,534054,0,7356,6073
2052,33449842,9879352,6218793,0,2791814,7309771,7250112,0,1479108,697255,361409,0,0,0,420444,0,7327,6047
2053,8574844,1690228,1238663,0,509598,2192274,2944081,0,97541,56033,8383,0,0,0,33125,0,4914,3640
2054,15847786,2442745,1308797,0,1094126,4171982,6830136,0,442206,179543,154337,0,0,0,108326,0,3162,1945
2055,1084124,218982,123353,0,55207,490646,195936,0,48973,13744,27161,0,0,0,8068,0,657,292
2056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2057,15906021,3687608,1784714,0,119282,4058985,6255432,0,563287,258608,148977,0,0,0,155702,0,3328,2135
2058,11809486,2004839,773214,0,649363,3071584,5310486,0,273881,171513,0,0,0,0,102368,0,2393,1381
2059,31578435,10984427,3624034,0,2542447,7182941,7244586,0,1935452,902982,487660,0,0,0,544810,0,7387,6055
2060,32341633,10663808,5510702,0,851663,7645372,7670088,0,2295343,663942,1224028,0,0,0,407373,0,7188,5904
2061,49510,37032,11020,0,1458,0,0,0,7658,4035,1392,0,0,0,2231,0,23,8
2062,17537453,3390567,2083250,0,1587103,4475495,6001038,0,657276,319096,146398,0,0,0,191782,0,4698,3423
2063,3435151,675638,389034,0,236964,1486973,646542,0,123794,52118,40428,0,0,0,31248,0,702,524
2064,6283690,790937,413838,0,144167,1818084,3116664,0,191132,105398,22915,0,0,0,62819,0,1272,576
2065,14611964,3587421,3316318,0,1086492,2893219,3728514,0,821215,369070,229779,0,0,0,222366,0,6643,5315
2066,297396,150299,107139,0,39958,0,0,0,28913,13103,8179,0,0,0,7631,0,74,53
2067,12673419,2023948,1348232,0,954975,2864788,5481476,0,331062,205755,2521,0,0,0,122786,0,2630,1573
2068,30910074,7923471,6727900,0,4452712,6056415,5749576,0,933858,481680,162775,0,0,0,289403,0,7384,6084
2069,29434275,9205875,4159680,0,1783213,6836459,7449048,0,1919728,890571,491619,0,0,0,537538,0,6855,5573
2070,841851,341559,156663,0,28895,314734,0,0,70097,28506,24687,0,0,0,16904,0,311,131
2071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2072,872801,328722,194640,0,121712,227727,0,0,82893,49365,4477,0,0,0,29051,0,219,89
2073,25963469,9110469,2533838,0,194363,7113385,7011414,0,1624493,717413,473740,0,0,0,433340,0,7000,5716
2074,5882,3632,1546,0,704,0,0,0,448,158,210,0,0,0,80,0,2,1
2075,37943,21356,10889,0,5698,0,0,0,2563,1263,834,0,0,0,466,0,24,10
2076,14505320,2274304,993439,0,1303765,3755744,6178068,0,382764,189066,80191,0,0,0,113507,0,2911,1807
2077,24718737,7853442,2652620,0,750299,6333836,7128540,0,1379234,725233,217781,0,0,0,436220,0,5714,4393
2078,16448811,2753635,1673604,0,1328322,3857588,6835662,0,462806,258065,50275,0,0,0,154466,0,3348,2109
2079,9735739,2181802,1375153,0,251287,2236117,3691380,0,293146,138710,71341,0,0,0,83095,0,3579,2409
2080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2082,23421162,7679709,3724415,0,1215763,5197819,5603456,0,1223343,549380,342282,0,0,0,331681,0,7343,6054
2083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2084,12769260,2442107,1605191,0,610327,3088501,5023134,0,658341,168584,386116,0,0,0,103641,0,2616,2111
2085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
