"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,13020186,2755627,1028606,0,308177,3274678,5653098,0,542107,253996,135254,0,0,0,152857,0,2738,1678
2011,30778079,11476637,2910932,0,782649,8075923,7531938,0,1959929,1001148,355948,0,0,0,602833,0,7386,6042
2012,33161296,10119110,4419855,0,2530647,8371862,7719822,0,1175187,541684,306822,0,0,0,326681,0,7104,5821
2013,6531293,969998,370563,0,277576,2000954,2912202,0,124290,67767,16407,0,0,0,40116,0,1295,615
2014,33567139,10328896,5440726,0,2549688,7699313,7548516,0,1254370,690894,148523,0,0,0,414953,0,7378,6096
2015,19967874,6437922,2836424,0,703822,5041232,4948474,0,875994,410199,218626,0,0,0,247169,0,7358,6077
2016,4288068,812208,442559,0,204773,1767536,1060992,0,148893,78633,23496,0,0,0,46764,0,887,425
2017,21251386,4563188,2173425,0,1691601,5777522,7045650,0,549405,237748,168203,0,0,0,143454,0,4326,3031
2018,28860970,7252525,5152819,0,479083,7328353,8648190,0,616825,352407,53072,0,0,0,211346,0,5950,4667
2019,4989851,668546,461213,0,200006,1632694,2027392,0,97819,39884,34400,0,0,0,23535,0,6618,5334
2020,2461109,500037,182212,0,40941,1141111,596808,0,120741,63775,19192,0,0,0,37774,0,528,212
2021,33060060,11206461,5030238,0,1806673,7534484,7482204,0,1370195,743870,179394,0,0,0,446931,0,7378,6096
2022,34188966,6989812,3297775,0,7983587,8538272,7379520,0,1010853,614139,28846,0,0,0,367868,0,7385,6076
2023,33076813,10118717,5064248,0,3763373,6858259,7272216,0,1321680,817742,14021,0,0,0,489917,0,7382,6084
2024,30907195,10662443,4373999,0,1575546,7006413,7288794,0,1981155,1004835,371386,0,0,0,604934,0,7386,6050
2025,19180111,5448490,1873092,0,144602,5258552,6455375,0,1168899,528286,321684,0,0,0,318929,0,4593,3386
2026,22352791,6001874,3037102,0,500223,5668474,7145118,0,909145,472042,153268,0,0,0,283835,0,4860,3591
2027,14321435,3054371,1843361,0,442198,3256569,5724936,0,574536,209374,238227,0,0,0,126935,0,2944,1858
2028,19308640,4257875,1617894,0,1240624,5002921,7189326,0,598704,288369,136856,0,0,0,173479,0,3996,2729
2029,16338209,5152313,1945345,0,647887,4142257,4450407,0,824742,465557,80071,0,0,0,279114,0,7378,6096
2030,7774506,1315541,1042468,0,266425,2088668,3061404,0,292213,142571,64315,0,0,0,85327,0,1611,842
2031,31768178,11155221,4051833,0,856141,8045947,7659036,0,1607216,812251,305980,0,0,0,488985,0,7278,5996
2032,27363985,4508911,2380810,0,6547137,6633159,7293968,0,513148,306895,22727,0,0,0,183526,0,5509,4210
2033,32484627,10366568,3648511,0,2217436,8515712,7736400,0,1919322,767588,686519,0,0,0,465215,0,7341,6058
2034,3169107,529915,344913,0,172399,1469812,652068,0,150801,44171,79998,0,0,0,26632,0,640,265
2035,2911538,693554,342277,0,77860,1245247,552600,0,136045,77646,12396,0,0,0,46003,0,632,299
2036,30487013,10911437,4370751,0,327077,7323706,7554042,0,1916309,966718,367420,0,0,0,582171,0,7253,5972
2037,691089,310898,176716,0,80174,123301,0,0,69894,40125,6210,0,0,0,23559,0,200,78
2038,15613391,4102736,1698750,0,1632729,3961543,4217633,0,737516,437961,37428,0,0,0,262127,0,7361,6078
2039,32608997,9050740,5336731,0,3914366,7051522,7255638,0,1099279,594165,148289,0,0,0,356825,0,6997,5716
2040,33491261,9763885,4485278,0,4957258,6940786,7344054,0,1459990,702852,333650,0,0,0,423488,0,7378,6096
2041,17604559,3322824,2988686,0,784318,3684121,6824610,0,464177,220049,111936,0,0,0,132192,0,3568,2319
2042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2043,15959956,4089194,2314682,0,1408036,3945477,4202567,0,670439,322053,154638,0,0,0,193748,0,7372,6088
2044,23269093,5562756,3257379,0,2018844,5456302,6973812,0,1414659,590638,466601,0,0,0,357420,0,5142,3865
2045,244665,139720,73725,0,31220,0,0,0,20844,11257,2945,0,0,0,6642,0,62,23
2046,132932,94873,27259,0,10800,0,0,0,29866,13279,8814,0,0,0,7773,0,42,27
2047,1240027,383906,212286,0,129922,513913,0,0,90659,42128,23731,0,0,0,24800,0,302,130
2048,10300282,1918230,627269,0,102960,2510505,5141318,0,388269,196342,74180,0,0,0,117747,0,2507,1455
2049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,30325376,10448445,4436872,0,698827,7375074,7366158,0,1935353,773982,692146,0,0,0,469225,0,6924,5600
2051,327899,182196,97757,0,47946,0,0,0,31044,14518,7896,0,0,0,8630,0,124,47
2052,39315,27603,9406,0,2306,0,0,0,8242,3358,3148,0,0,0,1736,0,13,6
2053,4700995,609848,325437,0,164236,1473278,2128196,0,83167,38953,21079,0,0,0,23135,0,1140,516
2054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2056,5138789,632911,358191,0,57431,1741706,2348550,0,145281,90940,442,0,0,0,53899,0,1042,430
2057,32031294,10581773,5779682,0,520912,7462261,7686666,0,1694490,621332,695556,0,0,0,377602,0,7015,5723
2058,713766,356597,155405,0,88362,113402,0,0,132187,54065,45930,0,0,0,32192,0,198,81
2059,14010903,3073633,1289257,0,340353,3505360,5802300,0,571497,340507,27042,0,0,0,203948,0,3039,1939
2060,30877032,9427017,4845029,0,1842577,7291654,7470755,0,1949771,871370,552072,0,0,0,526329,0,7360,6064
2061,4828254,692526,325163,0,94842,1980559,1735164,0,186591,93889,36739,0,0,0,55963,0,992,425
2062,24632133,7227585,3460471,0,821488,6065887,7056702,0,1426349,696513,310318,0,0,0,419518,0,5636,4320
