"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6526,15130188,13020186,2110002,593724,542107,974171,4830,106,4724,4848,120,4728,0,2010,13020186,2755627,1028606,0,308177,3274678,5653098,0,542107,253996,135254,0,0,0,152857,0,2738,1678
2011,7568,7568,7578,6268,40815036,30778079,10036957,5778078,1959929,2298950,182,182,0,226,226,0,0,2011,30778079,11476637,2910932,0,782649,8075923,7531938,0,1959929,1001148,355948,0,0,0,602833,0,7386,6042
2012,7568,7568,7578,6322,39256704,33161296,6095408,2474310,1175187,2445911,464,196,268,501,232,269,0,2012,33161296,10119110,4419855,0,2530647,8371862,7719822,0,1175187,541684,306822,0,0,0,326681,0,7104,5821
2013,7568,7568,7578,6915,7156170,6531293,624877,46910,124290,453677,6273,98,6175,6300,116,6184,0,2013,6531293,969998,370563,0,277576,2000954,2912202,0,124290,67767,16407,0,0,0,40116,0,1295,615
2014,7568,7568,7578,6322,40770828,33567139,7203689,3357451,1254370,2591868,190,190,0,226,226,0,0,2014,33567139,10328896,5440726,0,2549688,7699313,7548516,0,1254370,690894,148523,0,0,0,414953,0,7378,6096
2015,7568,7568,7578,6322,24357856,19967874,4389982,1931828,875994,1582160,210,197,13,245,232,13,16338346,2015,19967874,6437922,2836424,0,703822,5041232,4948474,0,875994,410199,218626,0,0,0,247169,0,7358,6077
2016,7568,7568,7578,7138,4901562,4288068,613494,83769,148893,380832,6681,118,6563,6713,143,6570,0,2016,4288068,812208,442559,0,204773,1767536,1060992,0,148893,78633,23496,0,0,0,46764,0,887,425
2017,7568,7568,7578,6319,23799618,21251386,2548232,654284,549405,1344543,3242,165,3077,3288,207,3081,105858,2017,21251386,4563188,2173425,0,1691601,5777522,7045650,0,549405,237748,168203,0,0,0,143454,0,4326,3031
2018,7568,7568,7578,6327,32879700,28860970,4018730,1342561,616825,2059344,1618,188,1430,1660,225,1435,0,2018,28860970,7252525,5152819,0,479083,7328353,8648190,0,616825,352407,53072,0,0,0,211346,0,5950,4667
2019,7568,7568,7578,6323,5400240,4989851,410389,152714,97819,159856,950,198,752,989,234,755,32607073,2019,4989851,668546,461213,0,200006,1632694,2027392,0,97819,39884,34400,0,0,0,23535,0,6618,5334
2020,7568,7568,7578,7262,2917728,2461109,456619,78318,120741,257560,7040,56,6984,7050,58,6992,0,2020,2461109,500037,182212,0,40941,1141111,596808,0,120741,63775,19192,0,0,0,37774,0,528,212
2021,7568,7568,7578,6322,40770828,33060060,7710768,3635631,1370195,2704942,190,190,0,226,226,0,0,2021,33060060,11206461,5030238,0,1806673,7534484,7482204,0,1370195,743870,179394,0,0,0,446931,0,7378,6096
2022,7568,7568,7578,6303,39753889,34188966,5564923,3258369,1010853,1295701,183,183,0,227,227,0,1057198,2022,34188966,6989812,3297775,0,7983587,8538272,7379520,0,1010853,614139,28846,0,0,0,367868,0,7385,6076
2023,7568,7568,7578,6310,40792932,33076813,7716119,4704525,1321680,1689914,186,186,0,226,226,0,0,2023,33076813,10118717,5064248,0,3763373,6858259,7272216,0,1321680,817742,14021,0,0,0,489917,0,7382,6084
2024,7568,7568,7578,6276,40815036,30907195,9907841,5988436,1981155,1938250,182,182,0,226,226,0,0,2024,30907195,10662443,4373999,0,1575546,7006413,7288794,0,1981155,1004835,371386,0,0,0,604934,0,7386,6050
2025,7568,7568,7578,6414,23977720,19180111,4797609,2214586,1168899,1414124,2975,151,2824,3028,201,2827,1405261,2025,19180111,5448490,1873092,0,144602,5258552,6455375,0,1168899,528286,321684,0,0,0,318929,0,4593,3386
2026,7568,7568,7578,6341,26856360,22352791,4503569,1740330,909145,1854094,2708,165,2543,2750,203,2547,0,2026,22352791,6001874,3037102,0,500223,5668474,7145118,0,909145,472042,153268,0,0,0,283835,0,4860,3591
2027,7568,7568,7578,6505,16268544,14321435,1947109,436581,574536,935992,4624,139,4485,4647,156,4491,0,2027,14321435,3054371,1843361,0,442198,3256569,5724936,0,574536,209374,238227,0,0,0,126935,0,2944,1858
2028,7568,7568,7578,6348,22081896,19308640,2773256,839985,598704,1334567,3572,164,3408,3619,206,3413,0,2028,19308640,4257875,1617894,0,1240624,5002921,7189326,0,598704,288369,136856,0,0,0,173479,0,3996,2729
2029,7568,7568,7578,6322,20783871,16338209,4445662,2497814,824742,1123106,190,190,0,226,226,0,20029412,2029,16338209,5152313,1945345,0,647887,4142257,4450407,0,824742,465557,80071,0,0,0,279114,0,7378,6096
2030,7568,7568,7578,6820,8900383,7774506,1125877,274004,292213,559660,5957,113,5844,5978,125,5853,2003,2030,7774506,1315541,1042468,0,266425,2088668,3061404,0,292213,142571,64315,0,0,0,85327,0,1611,842
2031,7568,7568,7578,6322,40218228,31768178,8450050,4143676,1607216,2699158,290,193,97,326,228,98,0,2031,31768178,11155221,4051833,0,856141,8045947,7659036,0,1607216,812251,305980,0,0,0,488985,0,7278,5996
2032,7568,7568,7578,6315,29926806,27363985,2562821,1522269,513148,527404,2059,185,1874,2105,228,1877,516104,2032,27363985,4508911,2380810,0,6547137,6633159,7293968,0,513148,306895,22727,0,0,0,183526,0,5509,4210
2033,7568,7568,7578,6322,40566366,32484627,8081739,4183731,1919322,1978686,227,193,34,264,229,35,0,2033,32484627,10366568,3648511,0,2217436,8515712,7736400,0,1919322,767588,686519,0,0,0,465215,0,7341,6058
2034,7568,7568,7578,7209,3536640,3169107,367533,26600,150801,190132,6928,80,6848,6944,91,6853,0,2034,3169107,529915,344913,0,172399,1469812,652068,0,150801,44171,79998,0,0,0,26632,0,640,265
2035,7568,7568,7578,7243,3492432,2911538,580894,94798,136045,350051,6936,84,6852,6944,86,6858,0,2035,2911538,693554,342277,0,77860,1245247,552600,0,136045,77646,12396,0,0,0,46003,0,632,299
2036,7568,7568,7578,6322,40080078,30487013,9593065,5662671,1916309,2014085,315,194,121,350,229,121,0,2036,30487013,10911437,4370751,0,327077,7323706,7554042,0,1916309,966718,367420,0,0,0,582171,0,7253,5972
2037,7568,7568,7578,7457,984556,691089,293467,48987,69894,174586,7368,47,7321,7379,52,7327,120644,2037,691089,310898,176716,0,80174,123301,0,0,69894,40125,6210,0,0,0,23559,0,200,78
2038,7568,7568,7578,6322,19581323,15613391,3967932,2628581,737516,601835,207,192,15,244,228,16,21141458,2038,15613391,4102736,1698750,0,1632729,3961543,4217633,0,737516,437961,37428,0,0,0,262127,0,7361,6078
2039,7568,7568,7578,6323,38660725,32608997,6051728,2745271,1099279,2207178,571,197,374,607,234,373,4697,2039,32608997,9050740,5336731,0,3914366,7051522,7255638,0,1099279,594165,148289,0,0,0,356825,0,6997,5716
2040,7568,7568,7578,6322,40441888,33491261,6950627,3536530,1459990,1954107,190,190,0,226,226,0,328940,2040,33491261,9763885,4485278,0,4957258,6940786,7344054,0,1459990,702852,333650,0,0,0,423488,0,7378,6096
2041,7568,7568,7578,6366,19716768,17604559,2112209,521662,464177,1126370,4000,146,3854,4047,188,3859,0,2041,17604559,3322824,2988686,0,784318,3684121,6824610,0,464177,220049,111936,0,0,0,132192,0,3568,2319
2042,7568,7568,7578,7578,0,0,0,0,0,0,7568,46,7522,7578,50,7528,0,2042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2043,7568,7568,7578,6322,19057675,15959956,3097719,1540707,670439,886573,196,190,6,234,226,8,21699537,2043,15959956,4089194,2314682,0,1408036,3945477,4202567,0,670439,322053,154638,0,0,0,193748,0,7372,6088
2044,7568,7568,7578,6335,28414692,23269093,5145599,2779630,1414659,951310,2426,162,2264,2470,203,2267,0,2044,23269093,5562756,3257379,0,2018844,5456302,6973812,0,1414659,590638,466601,0,0,0,357420,0,5142,3865
2045,7568,7568,7578,7539,342612,244665,97947,2711,20844,74392,7506,44,7462,7516,46,7470,0,2045,244665,139720,73725,0,31220,0,0,0,20844,11257,2945,0,0,0,6642,0,62,23
2046,7568,7568,7578,7567,232092,132932,99160,14825,29866,54469,7526,26,7500,7540,28,7512,0,2046,132932,94873,27259,0,10800,0,0,0,29866,13279,8814,0,0,0,7773,0,42,27
2047,7568,7568,7578,7404,1560202,1240027,320175,43347,90659,186169,7266,73,7193,7274,76,7198,108650,2047,1240027,383906,212286,0,129922,513913,0,0,90659,42128,23731,0,0,0,24800,0,302,130
2048,7568,7568,7578,6536,11926752,10300282,1626470,386238,388269,851963,5061,127,4934,5081,142,4939,1934663,2048,10300282,1918230,627269,0,102960,2510505,5141318,0,388269,196342,74180,0,0,0,117747,0,2507,1455
2049,7568,7568,7578,7578,0,0,0,0,0,0,7568,52,7516,7578,57,7521,0,2049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,7568,7568,7578,6286,38262024,30325376,7936648,4093488,1935353,1907807,644,189,455,686,232,454,0,2050,30325376,10448445,4436872,0,698827,7375074,7366158,0,1935353,773982,692146,0,0,0,469225,0,6924,5600
2051,7568,7568,7578,7502,455663,327899,127764,4529,31044,92191,7444,58,7386,7455,62,7393,229561,2051,327899,182196,97757,0,47946,0,0,0,31044,14518,7896,0,0,0,8630,0,124,47
2052,7568,7568,7578,7570,66287,39315,26972,2969,8242,15761,7555,22,7533,7564,25,7539,5551,2052,39315,27603,9406,0,2306,0,0,0,8242,3358,3148,0,0,0,1736,0,13,6
2053,7568,7568,7578,6968,5059959,4700995,358964,14400,83167,261397,6428,87,6341,6452,108,6344,1246011,2053,4700995,609848,325437,0,164236,1473278,2128196,0,83167,38953,21079,0,0,0,23135,0,1140,516
2054,7568,7568,7578,7578,0,0,0,0,0,0,7568,40,7528,7578,43,7535,0,2054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2055,7568,7568,7578,7578,0,0,0,0,0,0,7568,41,7527,7578,44,7534,0,2055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2056,7568,7568,7578,6984,5758092,5138789,619303,184135,145281,289887,6526,84,6442,6554,103,6451,0,2056,5138789,632911,358191,0,57431,1741706,2348550,0,145281,90940,442,0,0,0,53899,0,1042,430
2057,7568,7568,7578,6315,38764890,32031294,6733596,2911782,1694490,2127324,553,191,362,592,229,363,0,2057,32031294,10581773,5779682,0,520912,7462261,7686666,0,1694490,621332,695556,0,0,0,377602,0,7015,5723
2058,7568,7568,7578,7463,1094148,713766,380382,99330,132187,148865,7370,45,7325,7382,50,7332,0,2058,713766,356597,155405,0,88362,113402,0,0,132187,54065,45930,0,0,0,32192,0,198,81
2059,7568,7568,7578,6495,16793514,14010903,2782611,1030231,571497,1180883,4529,145,4384,4556,165,4391,0,2059,14010903,3073633,1289257,0,340353,3505360,5802300,0,571497,340507,27042,0,0,0,203948,0,3039,1939
2060,7568,7568,7578,6310,39314647,30877032,8437615,5023908,1949771,1463936,208,192,16,246,230,16,1357165,2060,30877032,9427017,4845029,0,1842577,7291654,7470755,0,1949771,871370,552072,0,0,0,526329,0,7360,6064
2061,7568,7568,7578,7027,5481792,4828254,653538,178314,186591,288633,6576,86,6490,6602,104,6498,0,2061,4828254,692526,325163,0,94842,1980559,1735164,0,186591,93889,36739,0,0,0,55963,0,992,425
2062,7568,7568,7578,6297,31144536,24632133,6512403,3412099,1426349,1673955,1932,184,1748,1977,226,1751,0,2062,24632133,7227585,3460471,0,821488,6065887,7056702,0,1426349,696513,310318,0,0,0,419518,0,5636,4320
2063,7568,7568,7578,7153,4525794,3804409,721385,119465,212890,389030,6749,87,6662,6784,118,6666,0,2063,3804409,843076,339557,0,25263,1673671,922842,0,212890,94338,62148,0,0,0,56404,0,819,369
2064,7568,7568,7578,6279,35701015,29184682,6516333,3683534,1209618,1623181,639,191,448,682,234,448,2589947,2064,29184682,8108577,4546763,0,2610916,6670515,7247911,0,1209618,697810,93217,0,0,0,418591,0,6929,5597
2065,7568,7568,7578,6546,13251029,11732646,1518383,304802,434059,779522,5063,123,4940,5085,138,4947,593537,2065,11732646,2079311,1057065,0,466250,2870970,5259050,0,434059,174734,153966,0,0,0,105359,0,2505,1461
2066,7568,7568,7578,6546,13294957,12278851,1016106,166908,293384,555814,5072,129,4943,5096,149,4947,499325,2066,12278851,1835228,1232127,0,921104,2863392,5427000,0,293384,109233,118418,0,0,0,65733,0,2496,1450
2067,7568,7568,7578,7578,0,0,0,0,0,0,7568,51,7517,7578,55,7523,0,2067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2068,7568,7568,7578,7576,13263,8763,4500,4,1040,3456,7565,37,7528,7575,40,7535,3315,2068,8763,5879,2004,0,880,0,0,0,1040,291,621,0,0,0,128,0,3,1
2069,7568,7568,7578,7578,0,0,0,0,0,0,7568,39,7529,7578,42,7536,0,2069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2070,7568,7568,7578,6437,10552291,9577868,974423,202628,307063,464732,4631,136,4495,4675,171,4504,5701288,2070,9577868,1404267,768227,0,587677,2505977,4311720,0,307063,108948,132405,0,0,0,65710,0,2937,1762
2071,7568,7568,7578,7282,1566953,1439386,127567,1534,23130,102903,7058,77,6981,7056,72,6984,1256179,2071,1439386,296557,296488,0,126168,559493,160680,0,23130,11954,4325,0,0,0,6851,0,510,226
2072,7568,7568,7578,7567,93942,52609,41333,7582,13142,20609,7551,42,7509,7560,45,7515,0,2072,52609,37688,13960,0,961,0,0,0,13142,5588,4355,0,0,0,3199,0,17,7
2073,7568,7568,7578,7564,94609,57831,36778,11810,9805,15163,7542,71,7471,7556,73,7483,49067,2073,57831,33246,10860,0,13725,0,0,0,9805,5097,1988,0,0,0,2720,0,26,8
2074,7568,7568,7578,7578,0,0,0,0,0,0,7568,33,7535,7578,38,7540,0,2074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2075,7568,7568,7578,7578,0,0,0,0,0,0,7568,41,7527,7578,47,7531,0,2075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2076,7568,7568,7578,7044,16371832,14213842,2157990,731851,433267,992872,4125,140,3985,4167,175,3992,2661188,2076,14213842,2604969,1240893,0,892378,3656766,5818836,0,433267,263886,11800,0,0,0,157581,0,3443,2877
2077,7568,7568,7578,6327,32645240,24951432,7693808,4646049,1642014,1405745,1243,194,1049,1281,232,1049,2307112,2077,24951432,7717414,3327456,0,451941,6251875,7202746,0,1642014,828015,315476,0,0,0,498523,0,6325,5046
2078,7568,7568,7578,6832,7891128,7022913,868215,188349,263584,416282,6140,95,6045,6162,112,6050,0,2078,7022913,982778,597969,0,145875,2013847,3282444,0,263584,115929,78093,0,0,0,69562,0,1428,670
2079,7568,7568,7578,6528,6118136,5365445,752691,182075,219146,351470,4601,164,4437,4626,183,4443,10313421,2079,5365445,1000449,668246,0,277615,1212399,2206736,0,219146,85452,82379,0,0,0,51315,0,2967,1902
