"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6336,28950714,26536685,2414029,580479,339433,1494117,2329,168,2161,2375,209,2166,0,2010,26536685,6034226,4024176,0,2510561,6656824,7310898,0,339433,201321,17676,0,0,0,120436,0,5239,3961
2011,7568,7568,7578,6316,36932609,30802096,6130513,3240735,1113729,1776049,884,187,697,924,227,697,3175,2011,30802096,9104727,4103647,0,3052671,7075425,7465626,0,1113729,642255,86053,0,0,0,385421,0,6684,5392
2012,7568,7568,7578,6322,40759776,32595969,8163807,4190577,1546775,2426455,192,191,1,228,227,1,0,2012,32595969,10559916,5260353,0,2025310,7279238,7471152,0,1546775,803774,259431,0,0,0,483570,0,7376,6094
2013,7568,7568,7578,6473,17223291,15386765,1836526,247145,306218,1283163,4430,139,4291,4469,172,4297,117297,2013,15386765,3543735,1808711,0,57094,3865469,6111756,0,306218,163584,44571,0,0,0,98063,0,3138,2004
2014,7568,7568,7578,6431,17035396,15095843,1939553,436486,404980,1098087,4473,142,4331,4523,187,4336,67574,2014,15095843,2637200,1408663,0,652122,3783236,6614622,0,404980,221297,51156,0,0,0,132527,0,3095,1908
2015,7568,7568,7578,7392,1228351,960109,268242,60465,62425,145352,7270,51,7219,7271,43,7228,418397,2015,960109,301136,102557,0,195701,360715,0,0,62425,38103,1970,0,0,0,22352,0,298,121
2016,7568,7568,7578,7220,3779784,3413981,365803,2856,83963,278984,6884,115,6769,6894,119,6775,0,2016,3413981,716278,363406,0,200746,1525691,607860,0,83963,33753,29936,0,0,0,20274,0,684,326
2017,7568,7568,7578,6679,8603400,8205188,398212,24299,66683,307230,5667,123,5544,5694,143,5551,1909887,2017,8205188,911827,710251,0,540019,2052895,3990196,0,66683,40894,1800,0,0,0,23989,0,1901,985
2018,7568,7568,7578,6322,40765302,35562866,5202436,1901145,1037300,2263991,191,191,0,227,227,0,0,2018,35562866,10309090,7450134,0,2108750,8069012,7625880,0,1037300,427212,351531,0,0,0,258557,0,7377,6095
2019,7568,7568,7578,6702,9255640,8355963,899677,64958,292709,542010,5893,121,5772,5915,133,5782,410,2019,8355963,1227714,406682,0,29059,1940148,4752360,0,292709,103372,126775,0,0,0,62562,0,1675,787
2020,7568,7568,7578,7396,1724112,1514372,209740,4102,48154,157484,7256,76,7180,7263,77,7186,0,2020,1514372,382257,237086,0,154985,673732,66312,0,48154,20897,14943,0,0,0,12314,0,312,133
2021,7568,7568,7578,7185,8476124,7542367,933757,120639,239610,573508,5736,116,5620,5750,119,5631,1654340,2021,7542367,1249519,558101,0,262402,1786137,3686208,0,239610,108361,66278,0,0,0,64971,0,1832,1435
2022,7568,7568,7578,6324,39914298,32419793,7494505,4180344,1359991,1954170,345,207,138,382,245,137,0,2022,32419793,10213320,3471730,0,3225880,7711677,7797186,0,1359991,769680,128348,0,0,0,461963,0,7223,5942
2023,7568,7568,7578,6322,40505580,33902987,6602593,4345003,1256113,1001477,238,194,44,274,230,44,0,2023,33902987,8611866,4406510,0,6559445,6920326,7404840,0,1256113,726743,93426,0,0,0,435944,0,7330,6048
2024,7568,7568,7578,6302,40803984,30574256,10229728,6735889,2084530,1409309,184,184,0,227,227,0,0,2024,30574256,9840121,4394990,0,2076067,6924550,7338528,0,2084530,1080460,353992,0,0,0,650078,0,7384,6075
2025,7568,7568,7578,6322,40587225,33448069,7139156,2949564,1368165,2821427,195,191,4,231,227,4,155973,2025,33448069,11539995,5302475,0,867765,8089850,7647984,0,1368165,636066,348339,0,0,0,383760,0,7373,6091
2026,7568,7568,7578,6326,33011874,27160427,5851447,2557896,1561436,1732115,1594,197,1397,1632,235,1397,450,2026,27160427,8081209,3797138,0,832914,6762500,7686666,0,1561436,573924,638564,0,0,0,348948,0,5974,4694
2027,7568,7568,7578,7578,0,0,0,0,0,0,7568,11,7557,7578,15,7563,0,2027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2028,7568,7568,7578,6322,27911712,25741209,2170503,1181476,433048,555979,232,195,37,268,230,38,12653604,2028,25741209,6243233,2513844,0,5660233,5620178,5703721,0,433048,236559,54922,0,0,0,141567,0,7336,6054
2029,7568,7568,7578,6267,19513555,16316735,3196820,1378070,597946,1220804,182,182,0,226,226,0,21346688,2029,16316735,4652084,2770509,0,789951,3864883,4239308,0,597946,310824,100726,0,0,0,186396,0,7386,6041
2030,7568,7568,7578,6938,7111962,6406284,705678,171592,202868,331218,6281,79,6202,6311,104,6207,0,2030,6406284,992484,667194,0,470239,1944395,2331972,0,202868,96747,48269,0,0,0,57852,0,1287,627
2031,7568,7568,7578,6323,39195918,31066022,8129896,3906340,2308045,1915511,475,196,279,511,232,279,0,2031,31066022,10837400,3998953,0,1000037,7697694,7531938,0,2308045,765970,1074618,0,0,0,467457,0,7093,5812
2032,7568,7568,7578,7576,11052,6794,4258,354,705,3199,7566,27,7539,7575,31,7544,0,2032,6794,4608,1596,0,590,0,0,0,705,277,288,0,0,0,140,0,2,1
2033,7568,7568,7578,6268,40763410,32985381,7778029,4715228,1440800,1622001,182,182,0,226,226,0,51626,2033,32985381,9852541,4434090,0,3922037,7333191,7443522,0,1440800,808959,146041,0,0,0,485800,0,7386,6042
2034,7568,7568,7578,6339,26928807,22898406,4030401,1220428,897789,1912184,2252,175,2077,2296,215,2081,2449918,2034,22898406,6422453,3592800,0,775259,5395359,6712535,0,897789,372766,299641,0,0,0,225382,0,5316,4043
2035,7568,7568,7578,6757,8502482,7691419,811063,55023,237881,518159,5957,107,5850,5978,119,5859,401712,2035,7691419,1179050,776348,0,93233,1922188,3720600,0,237881,88371,96207,0,0,0,53303,0,1611,779
2036,7568,7568,7578,6664,8865003,7854836,1010167,265848,254600,489719,5555,123,5432,5580,140,5440,2268085,2036,7854836,1124470,615299,0,74511,1999571,4040985,0,254600,133901,40759,0,0,0,79940,0,2013,1084
2037,7568,7568,7578,6323,26627900,23384884,3243016,1579469,644374,1019173,249,199,50,286,236,50,13844574,2037,23384884,6034865,4199164,0,2878681,4888027,5384147,0,644374,334090,109888,0,0,0,200396,0,7319,6037
2038,7568,7568,7578,6306,8993413,7885745,1107668,344878,251053,511737,3292,159,3133,3337,202,3135,14686681,2038,7885745,1608867,726174,0,309569,2184895,3056240,0,251053,119207,60620,0,0,0,71226,0,4276,2969
2039,7568,7568,7578,6322,39842460,34401213,5441247,2476581,929713,2034953,358,196,162,395,232,163,0,2039,34401213,9534414,7187654,0,3417694,7016865,7244586,0,929713,512116,110216,0,0,0,307381,0,7210,5927
2040,7568,7568,7578,6325,34506267,29777468,4728799,1577434,1018421,2132944,1319,195,1124,1356,233,1123,25707,2040,29777468,8453198,5876333,0,1342331,6656558,7449048,0,1018421,425508,335362,0,0,0,257551,0,6249,4969
2041,7568,7568,7578,6662,10046268,9259704,786564,46472,195567,544525,5750,119,5631,5775,134,5641,0,2041,9259704,1227869,776771,0,313287,2134157,4807620,0,195567,85187,59218,0,0,0,51162,0,1818,887
2042,7568,7568,7578,7578,1925,1073,852,42,60,750,7567,42,7525,7578,48,7530,3601,2042,1073,893,180,0,0,0,0,0,60,40,0,0,0,0,20,0,1,0
2043,7568,7568,7578,6340,20233318,17523059,2710259,1206815,515691,987753,2842,161,2681,2885,200,2685,5890649,2043,17523059,3745666,1577612,0,1505506,4799870,5894405,0,515691,307078,24870,0,0,0,183743,0,4726,3455
2044,7568,7568,7578,6300,40450320,34147984,6302336,3014233,1482342,1805761,248,191,57,290,234,56,0,2044,34147984,10119650,5560846,0,4110935,7128545,7228008,0,1482342,608858,504860,0,0,0,368624,0,7320,6010
2045,7568,7568,7578,6349,25054684,20825620,4229064,1665388,1016657,1547019,3034,162,2872,3081,204,2877,200,2045,20825620,5412817,2479660,0,574084,5269201,7089858,0,1016657,464042,272657,0,0,0,279958,0,4534,3268
2046,7568,7568,7578,7084,15710418,13745370,1965048,758973,546780,659295,4725,129,4596,4746,147,4599,0,2046,13745370,2294628,790019,0,1056320,3619745,5984658,0,546780,255998,136831,0,0,0,153951,0,2843,2338
2047,7568,7568,7578,7495,746010,424497,321513,49738,105639,166136,7433,22,7411,7443,27,7416,0,2047,424497,310987,71964,0,41546,0,0,0,105639,43808,35526,0,0,0,26305,0,135,52
2048,7568,7568,7578,6417,10560091,9359547,1200544,292943,358678,548923,4202,140,4062,4244,176,4068,8066664,2048,9359547,1799515,913347,0,435883,2445268,3765534,0,358678,124762,158418,0,0,0,75498,0,3366,2173
2049,7568,7568,7578,7284,6769350,6282962,486388,15001,140743,330644,6343,88,6255,6369,96,6273,0,2049,6282962,809788,429058,0,128519,1931557,2984040,0,140743,49556,61543,0,0,0,29644,0,1225,915
2050,7568,7568,7578,6443,16113816,14279342,1834474,507548,406186,920740,4652,137,4515,4697,177,4520,0,2050,14279342,2466500,729159,0,880677,3886788,6316218,0,406186,222238,51019,0,0,0,132929,0,2916,1746
2051,7568,7568,7578,7032,26081827,22400979,3680848,1535645,683825,1461378,494,188,306,521,216,305,13038010,2051,22400979,6310461,4841739,0,1136539,4955705,5156535,0,683825,351970,120369,0,0,0,211486,0,7074,6511
