"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6322,40770828,35919173,4851655,2037281,716608,2097766,190,190,0,226,226,0,0
2011,7568,7568,7578,6324,36095832,30749216,5346616,2067631,977575,2301410,1036,192,844,1075,230,845,0
2012,7568,7568,7578,6322,40770828,35449717,5321111,2790874,890299,1639938,190,190,0,226,226,0,0
2013,7568,7568,7578,6292,40826088,34043799,6782289,2619251,1037799,3125239,180,180,0,227,227,0,0
2014,7568,7568,7578,6279,40815036,33575547,7239489,3163456,1109333,2966700,182,182,0,226,226,0,0
2015,7568,7568,7578,6305,27054184,21589152,5465032,3076160,1092835,1296037,180,180,0,227,227,0,13801800
2016,7568,7568,7578,6322,40212702,33620121,6592581,3287205,1095163,2210213,291,192,99,327,228,99,0
2017,7568,7568,7578,6318,39969541,34449814,5519727,3261163,1048030,1210534,189,189,0,226,226,0,807140
2018,7568,7568,7578,6322,40770828,38531100,2239728,1466375,413742,359611,190,190,0,226,226,0,0
2019,7568,7568,7578,6310,15142849,12918790,2224059,1059460,475262,689337,186,186,0,226,226,0,25704569
2020,7568,7568,7578,6322,40759776,34402117,6357659,3788138,1333179,1236342,192,191,1,228,227,1,0
2021,7568,7568,7578,6322,40770828,33076551,7694277,4738303,1312703,1643271,190,190,0,226,226,0,0
2022,7568,7568,7578,6284,40831614,40625432,206182,167077,33794,5311,179,179,0,227,227,0,0
2023,7568,7568,7578,7017,40710042,34602781,6107261,3089003,1041832,1976426,201,188,13,228,215,13,0
2024,7568,7568,7578,6331,40803984,32210849,8593135,5070084,1439478,2083573,184,184,0,192,192,0,0
2025,7568,7568,7578,6306,40803984,32967172,7836812,3743105,1583991,2509716,184,184,0,227,227,0,0
2026,7568,7568,7578,6322,40759776,34256607,6503169,2583054,1200030,2720085,192,192,0,227,227,0,0
2027,7568,7568,7578,6322,40057974,35039906,5018068,2778650,910599,1328819,319,195,124,356,231,125,0
2028,7568,7568,7578,6322,40708152,34239843,6468309,2516073,1312657,2639579,190,190,0,226,226,0,62676
2029,7568,7568,7578,6575,9653757,8688779,964978,262618,199480,502880,5324,127,5197,5347,146,5201,2757887
2030,7568,7568,7578,6288,40820562,36164333,4656229,1927032,874896,1854301,181,181,0,227,227,0,0
2031,7568,7568,7578,6322,40770828,33472921,7297907,3075548,1652304,2570055,190,190,0,226,226,0,0
2032,7568,7568,7578,6396,18003708,16045871,1957837,499651,400453,1057733,4310,149,4161,4359,194,4165,0
2033,7568,7568,7578,6322,40665035,33901760,6763275,3965505,1484560,1313210,191,191,0,226,226,0,100267
2034,7568,7568,7578,6322,40352658,32112384,8240274,4305294,1624507,2310473,190,190,0,226,226,0,418170
2035,7568,7568,7578,6340,27944982,23353125,4591857,2804162,909866,877829,2511,172,2339,2553,213,2340,0
2036,7568,7568,7578,6319,40770828,33575753,7195075,4689968,1294138,1210969,190,190,0,226,226,0,0
2037,7568,7568,7578,6312,40798458,33665074,7133384,3888068,1233271,2012045,185,185,0,226,226,0,0
2038,7568,7568,7578,6322,40735045,34056252,6678793,3331314,1247361,2100118,191,191,0,227,227,0,30257
2039,7568,7568,7578,6272,40815036,34184745,6630291,4270474,1190917,1168900,182,182,0,226,226,0,0
2040,7568,7568,7578,6322,40770828,33514923,7255905,3082643,1319960,2853302,190,190,0,226,226,0,0
2041,7568,7568,7578,6275,40815036,34657289,6157747,3965252,1055997,1136498,182,182,0,226,226,0,0
2042,7568,7568,7578,6309,40798283,33547367,7250916,4459268,1259614,1532034,185,185,0,226,226,0,175
2043,7568,7568,7578,6280,29637606,25335241,4302365,1900171,687873,1714321,182,182,0,226,226,0,11188379
2044,7568,7568,7578,6268,40815036,34443523,6371513,3338783,1061802,1970928,182,182,0,226,226,0,0
2045,7568,7568,7578,6295,40815036,34025758,6789278,3046125,1075967,2667186,182,182,0,228,228,0,0
2046,7568,7568,7578,6322,40748724,31797233,8951491,4792580,1888400,2270511,194,191,3,230,227,3,0
2047,7568,7568,7578,6323,40676886,32185167,8491719,4744258,1512659,2234802,207,197,10,242,232,10,0
2048,7568,7568,7578,6322,18876451,15633240,3243211,2126107,584817,532287,191,191,0,227,227,0,21929306
2049,7568,7568,7578,7002,40815036,33095244,7719792,4588151,1364407,1767234,182,182,0,211,211,0,0
2050,7568,7568,7578,6323,36494802,29602852,6891950,2983786,1355677,2552487,928,195,733,964,229,735,197838
2051,7568,7568,7578,6322,39836934,37074412,2762522,1349135,467526,945861,359,193,166,395,229,166,0
2052,7568,7568,7578,6307,40803984,34406090,6397894,3578622,1087722,1731550,184,184,0,227,227,0,0
2053,7568,7568,7578,6304,30340911,25188048,5152863,2307233,957720,1887910,182,182,0,227,227,0,10497360
2054,7568,7568,7578,6322,39925350,34274516,5650834,1988647,1034626,2627561,343,193,150,378,228,150,0
2055,7568,7568,7578,6349,17218015,16100767,1117248,323964,189556,603728,2968,165,2803,3015,205,2810,8224193
2056,7568,7568,7578,6313,40781880,35173303,5608577,2091351,925670,2591556,188,188,0,226,226,0,0
2057,7568,7568,7578,7544,278250,206380,71870,951,17384,53535,7515,44,7471,7525,50,7475,14628
2058,7568,7568,7578,6404,18119754,15968058,2151696,327982,464052,1359662,4289,144,4145,4337,190,4147,0
2059,7568,7568,7578,6605,11610126,10591807,1018319,110180,220831,687308,5467,120,5347,5492,137,5355,0
2060,7568,7568,7578,6936,6691986,6272616,419370,15994,88389,314987,6357,91,6266,6384,108,6276,0
2061,7568,7568,7578,6322,37465016,30990817,6474199,2883624,1123645,2466930,387,193,194,425,230,195,2218697
2062,7568,7568,7578,6322,40770828,34699531,6071297,2974139,1272944,1824214,190,190,0,226,226,0,0
2063,7568,7568,7578,6272,40815036,33883381,6931655,3052316,1136445,2742894,182,182,0,226,226,0,0
2064,7568,7568,7578,6323,39057768,31279370,7778398,4542888,1366302,1869208,500,196,304,540,233,307,0
2065,7568,7568,7578,6322,40566364,33161019,7405345,3680703,1238802,2485840,192,192,0,227,227,0,193412
2066,7568,7568,7578,6322,40754250,34975465,5778785,1969430,1245417,2563938,193,192,1,228,227,1,0
2067,7568,7568,7578,7578,0,0,0,0,0,0,7568,45,7523,7578,48,7530,0
2068,7568,7568,7578,6324,23906306,20980649,2925657,1290481,682804,952372,1739,195,1544,1775,230,1545,8324614
