"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6322,40770828,35919173,4851655,2037281,716608,2097766,190,190,0,226,226,0,0,2010,35919173,9078922,8062188,0,3336787,7749084,7692192,0,716608,444736,5687,0,0,0,266185,0,7378,6096
2011,7568,7568,7578,6324,36095832,30749216,5346616,2067631,977575,2301410,1036,192,844,1075,230,845,0,2011,30749216,9683763,3974097,0,2299756,7309396,7482204,0,977575,510558,159956,0,0,0,307061,0,6532,5249
2012,7568,7568,7578,6322,40770828,35449717,5321111,2790874,890299,1639938,190,190,0,226,226,0,0,2012,35449717,9659783,3592800,0,7074809,7601439,7520886,0,890299,556902,0,0,0,0,333397,0,7378,6096
2013,7568,7568,7578,6292,40826088,34043799,6782289,2619251,1037799,3125239,180,180,0,227,227,0,0,2013,34043799,11826396,5160445,0,1897957,7643641,7515360,0,1037799,649010,0,0,0,0,388789,0,7388,6065
2014,7568,7568,7578,6279,40815036,33575547,7239489,3163456,1109333,2966700,182,182,0,226,226,0,0,2014,33575547,11373638,5759924,0,2661978,6662519,7117488,0,1109333,693746,0,0,0,0,415587,0,7386,6053
2015,7568,7568,7578,6305,27054184,21589152,5465032,3076160,1092835,1296037,180,180,0,227,227,0,13801800,2015,21589152,6974792,2344143,0,1759783,5186655,5323779,0,1092835,572190,176705,0,0,0,343940,0,7388,6078
2016,7568,7568,7578,6322,40212702,33620121,6592581,3287205,1095163,2210213,291,192,99,327,228,99,0,2016,33620121,10144805,4327693,0,3653796,7917681,7576146,0,1095163,681483,5477,0,0,0,408203,0,7277,5995
2017,7568,7568,7578,6318,39969541,34449814,5519727,3261163,1048030,1210534,189,189,0,226,226,0,807140,2017,34449814,9198698,4707608,0,8141822,5814946,6586740,0,1048030,592555,100027,0,0,0,355448,0,7379,6092
2018,7568,7568,7578,6322,40770828,38531100,2239728,1466375,413742,359611,190,190,0,226,226,0,0,2018,38531100,10404512,5220792,0,9765090,6161368,6979338,0,413742,252262,10804,0,0,0,150676,0,7378,6096
2019,7568,7568,7578,6310,15142849,12918790,2224059,1059460,475262,689337,186,186,0,226,226,0,25704569,2019,12918790,3366260,1788092,0,1699983,2725846,3338609,0,475262,228812,109216,0,0,0,137234,0,7382,6084
2020,7568,7568,7578,6322,40759776,34402117,6357659,3788138,1333179,1236342,192,191,1,228,227,1,0,2020,34402117,9305020,3720599,0,6068973,7747957,7559568,0,1333179,687203,232539,0,0,0,413437,0,7376,6094
2021,7568,7568,7578,6322,40770828,33076551,7694277,4738303,1312703,1643271,190,190,0,226,226,0,0,2021,33076551,9886233,4723513,0,3464009,7454280,7548516,0,1312703,820897,0,0,0,0,491806,0,7378,6096
2022,7568,7568,7578,6284,40831614,40625432,206182,167077,33794,5311,179,179,0,227,227,0,0,2022,40625432,8655531,4119877,0,13091382,7243282,7515360,0,33794,21493,54,0,0,0,12247,0,7389,6057
2023,7568,7568,7578,7017,40710042,34602781,6107261,3089003,1041832,1976426,201,188,13,228,215,13,0,2023,34602781,10254120,6329695,0,4587537,6341571,7089858,0,1041832,630109,34236,0,0,0,377487,0,7367,6789
2024,7568,7568,7578,6331,40803984,32210849,8593135,5070084,1439478,2083573,184,184,0,192,192,0,0,2024,32210849,9914573,5724466,0,2968716,6352982,7250112,0,1439478,900095,0,0,0,0,539383,0,7384,6139
2025,7568,7568,7578,6306,40803984,32967172,7836812,3743105,1583991,2509716,184,184,0,227,227,0,0,2025,32967172,11239159,5766148,0,869687,7604448,7487730,0,1583991,732061,410298,0,0,0,441632,0,7384,6079
2026,7568,7568,7578,6322,40759776,34256607,6503169,2583054,1200030,2720085,192,192,0,227,227,0,0,2026,34256607,11262618,6136606,0,1622963,7685904,7548516,0,1200030,591831,251694,0,0,0,356505,0,7376,6095
2027,7568,7568,7578,6322,40057974,35039906,5018068,2778650,910599,1328819,319,195,124,356,231,125,0,2027,35039906,9054428,4221681,0,7128005,7341472,7294320,0,910599,526148,69101,0,0,0,315350,0,7249,5966
2028,7568,7568,7578,6322,40708152,34239843,6468309,2516073,1312657,2639579,190,190,0,226,226,0,62676,2028,34239843,11193907,7222183,0,1258133,7199462,7366158,0,1312657,549963,429858,0,0,0,332836,0,7378,6096
2029,7568,7568,7578,6575,9653757,8688779,964978,262618,199480,502880,5324,127,5197,5347,146,5201,2757887,2029,8688779,1236130,423887,0,489969,2213129,4325664,0,199480,125082,0,0,0,0,74398,0,2244,1228
2030,7568,7568,7578,6288,40820562,36164333,4656229,1927032,874896,1854301,181,181,0,227,227,0,0,2030,36164333,9920703,7939015,0,4185040,6886041,7233534,0,874896,440679,169106,0,0,0,265111,0,7387,6061
2031,7568,7568,7578,6322,40770828,33472921,7297907,3075548,1652304,2570055,190,190,0,226,226,0,0,2031,33472921,10949453,4209883,0,2579137,8119620,7614828,0,1652304,687686,548419,0,0,0,416199,0,7378,6096
2032,7568,7568,7578,6396,18003708,16045871,1957837,499651,400453,1057733,4310,149,4161,4359,194,4165,0,2032,16045871,3007002,1555744,0,777890,3919307,6785928,0,400453,225271,40324,0,0,0,134858,0,3258,2037
2033,7568,7568,7578,6322,40665035,33901760,6763275,3965505,1484560,1313210,191,191,0,226,226,0,100267,2033,33901760,8968036,4772596,0,5709456,7063410,7388262,0,1484560,703235,357434,0,0,0,423891,0,7377,6096
2034,7568,7568,7578,6322,40352658,32112384,8240274,4305294,1624507,2310473,190,190,0,226,226,0,418170,2034,32112384,10696022,4815616,0,2605438,6767350,7227958,0,1624507,836252,285186,0,0,0,503069,0,7378,6096
2035,7568,7568,7578,6340,27944982,23353125,4591857,2804162,909866,877829,2511,172,2339,2553,213,2340,0,2035,23353125,5613282,2857023,0,2385651,5539935,6957234,0,909866,545359,37658,0,0,0,326849,0,5057,3787
2036,7568,7568,7578,6319,40770828,33575753,7195075,4689968,1294138,1210969,190,190,0,226,226,0,0,2036,33575753,8077548,4292936,0,6224933,7503658,7476678,0,1294138,805508,6083,0,0,0,482547,0,7378,6093
2037,7568,7568,7578,6312,40798458,33665074,7133384,3888068,1233271,2012045,185,185,0,226,226,0,0,2037,33665074,9015415,6663669,0,5444080,5888606,6653304,0,1233271,743695,43910,0,0,0,445666,0,7383,6086
2038,7568,7568,7578,6322,40735045,34056252,6678793,3331314,1247361,2100118,191,191,0,227,227,0,30257,2038,34056252,11228951,4160524,0,3348670,7791695,7526412,0,1247361,675531,165980,0,0,0,405850,0,7377,6095
2039,7568,7568,7578,6272,40815036,34184745,6630291,4270474,1190917,1168900,182,182,0,226,226,0,0,2039,34184745,8211998,7724762,0,5438675,6277578,6531732,0,1190917,702895,66701,0,0,0,421321,0,7386,6046
2040,7568,7568,7578,6322,40770828,33514923,7255905,3082643,1319960,2853302,190,190,0,226,226,0,0,2040,33514923,11257274,5852420,0,2370731,6845172,7189326,0,1319960,666602,252151,0,0,0,401207,0,7378,6096
2041,7568,7568,7578,6275,40815036,34657289,6157747,3965252,1055997,1136498,182,182,0,226,226,0,0,2041,34657289,9360581,6393998,0,5592140,6275972,7034598,0,1055997,660525,0,0,0,0,395472,0,7386,6049
2042,7568,7568,7578,6309,40798283,33547367,7250916,4459268,1259614,1532034,185,185,0,226,226,0,175,2042,33547367,8330383,3870754,0,5749858,8108642,7487730,0,1259614,787787,0,0,0,0,471827,0,7383,6083
2043,7568,7568,7578,6280,29637606,25335241,4302365,1900171,687873,1714321,182,182,0,226,226,0,11188379,2043,25335241,7194650,5066042,0,2877218,4835030,5362301,0,687873,430428,0,0,0,0,257445,0,7386,6054
2044,7568,7568,7578,6268,40815036,34443523,6371513,3338783,1061802,1970928,182,182,0,226,226,0,0,2044,34443523,10148479,4889713,0,6309147,6172106,6924078,0,1061802,648248,25187,0,0,0,388367,0,7386,6042
2045,7568,7568,7578,6295,40815036,34025758,6789278,3046125,1075967,2667186,182,182,0,228,228,0,0,2045,34025758,10881693,7496587,0,1030745,7112425,7504308,0,1075967,620475,83404,0,0,0,372088,0,7386,6067
2046,7568,7568,7578,6322,40748724,31797233,8951491,4792580,1888400,2270511,194,191,3,230,227,3,0,2046,31797233,11387416,4507918,0,407107,7891016,7603776,0,1888400,870510,492521,0,0,0,525369,0,7374,6092
2047,7568,7568,7578,6323,40676886,32185167,8491719,4744258,1512659,2234802,207,197,10,242,232,10,0,2047,32185167,10644422,3251202,0,3383686,7456809,7449048,0,1512659,879615,105265,0,0,0,527779,0,7361,6081
2048,7568,7568,7578,6322,18876451,15633240,3243211,2126107,584817,532287,191,191,0,227,227,0,21929306,2048,15633240,3816923,2173906,0,2034137,3510026,4098248,0,584817,366090,0,0,0,0,218727,0,7377,6095
2049,7568,7568,7578,7002,40815036,33095244,7719792,4588151,1364407,1767234,182,182,0,211,211,0,0,2049,33095244,9518293,5721924,0,3959051,6701124,7194852,0,1364407,828577,39114,0,0,0,496716,0,7386,6791
2050,7568,7568,7578,6323,36494802,29602852,6891950,2983786,1355677,2552487,928,195,733,964,229,735,197838,2050,29602852,9718155,4163618,0,1107682,7147771,7465626,0,1355677,655666,304802,0,0,0,395209,0,6640,5359
2051,7568,7568,7578,6322,39836934,37074412,2762522,1349135,467526,945861,359,193,166,395,229,166,0,2051,37074412,10452966,4330298,0,6920080,7789396,7581672,0,467526,288183,7141,0,0,0,172202,0,7209,5927
2052,7568,7568,7578,6307,40803984,34406090,6397894,3578622,1087722,1731550,184,184,0,227,227,0,0,2052,34406090,10078449,4539953,0,6256506,6513162,7018020,0,1087722,670701,15208,0,0,0,401813,0,7384,6080
2053,7568,7568,7578,6304,30340911,25188048,5152863,2307233,957720,1887910,182,182,0,227,227,0,10497360,2053,25188048,7811998,4810999,0,1466674,5315686,5782691,0,957720,490919,171643,0,0,0,295158,0,7386,6077
