YEAR,A2_CNRMCM3,A2_GFDLCM21,A2_MIROC32MED,A2_MPIECHAM5,A2_NCARCCSM3,A2_NCARPCM1,B1_CNRMCM3,B1_GFDLCM21,B1_MIROC32MED,B1_MPIECHAM5,B1_NCARCCSM3,B1_NCARPCM1
2010,9428,14306,14392,14628,14632,14630,14630,14518,5340,11750,10342,14620
2011,14620,13918,14622,14620,14628,14620,14628,14524,14636,9502,13232,12928
2012,13956,14630,14636,14636,14404,14636,14634,8562,14072,14616,14616,14620
2013,14620,14620,14448,14170,14620,12144,14620,3394,2454,14618,6140,14640
2014,14620,912,0,9346,0,13010,14636,14636,14620,4532,6054,14636
2015,14624,14436,14314,5372,14620,14612,6022,14636,14580,14620,460,14640
2016,14634,14608,13614,14602,6680,12942,13498,14520,1638,5752,1232,14418
2017,14636,290,14620,10396,2190,2984,14548,14620,8516,0,3666,14622
2018,13370,12346,14620,14620,14612,14628,14618,14622,11764,14614,14618,14620
2019,14638,11028,8594,14624,7340,14630,14454,14634,13100,14638,3214,14628
2020,14618,14620,678,14636,540,6888,13948,4776,920,14636,488,14616
2021,14622,14260,14584,9026,348,14620,14638,5386,14620,11666,3528,14620
2022,14634,7744,4504,14582,2506,14620,14594,13290,14634,13472,14310,14642
2023,14630,0,14634,13804,11716,14614,10296,13392,14628,14588,14524,14598
2024,14628,856,11618,14202,14624,13876,14636,8258,14636,14632,14632,14632
2025,14638,1334,12446,14600,7826,14578,14636,14006,9050,14616,14610,14632
2026,14476,14628,14236,14582,822,0,14558,14616,9584,4010,11812,14616
2027,10864,1256,14600,14618,14510,12376,0,3904,5752,14620,0,14362
2028,0,414,2796,50,10968,14638,2016,5280,7856,11502,14536,14620
2029,7674,4014,2970,10904,5210,14550,14238,2652,14620,14614,14636,4352
2030,14636,8084,0,14368,0,14634,0,14588,3086,3558,2438,14638
2031,14638,0,14620,14618,5206,14594,14616,14614,14420,13900,14050,14620
2032,13770,0,8910,14598,14574,14572,13968,14452,10882,14628,0,6380
2033,14628,14270,980,14646,14566,14616,14632,12482,14546,14282,14636,14618
2034,6864,14636,14216,14620,5292,14630,13288,0,1144,14620,10496,14620
2035,14634,0,0,3004,10814,14636,3424,11502,1128,14628,3086,9978
2036,14556,242,9206,138,14524,14612,14580,14116,14370,10698,3890,14620
2037,8902,14028,14614,7852,4672,14636,14616,13188,264,14616,14502,14630
2038,14592,13780,9258,14620,494,1382,14634,1392,14586,12256,8416,14618
2039,14498,12,6742,12976,9834,10202,14298,0,13858,8046,14284,14636
2040,11654,0,14468,0,2184,14620,7154,6500,14620,14554,12362,14620
2041,10838,12378,5036,4688,0,14506,14630,14588,7000,11786,3500,14636
2042,214,0,14522,14626,0,14636,12378,0,0,14634,0,14630
2043,7894,526,4662,7854,0,4970,8488,14620,14608,7592,9316,14636
2044,358,9754,0,13842,13458,8042,14636,14600,10148,14630,14504,14636
2045,0,14602,0,0,10596,14638,9732,14126,0,14604,8932,14636
2046,1304,10688,7284,0,11304,14536,14366,14636,0,14634,5550,14612
2047,488,14102,8272,14620,9084,14538,14632,14520,468,0,134,14586
2048,11624,14318,14578,14620,3636,14602,14574,14618,4878,14620,6596,14618
2049,14464,7620,0,4434,5604,14638,84,10784,0,14620,2314,14636
2050,14646,394,0,14324,2914,0,2114,13634,13712,14620,5696,13144
2051,14102,0,13436,11460,398,0,14636,14576,112,13284,14012,14282
2052,14516,1660,4390,14638,1286,0,14634,14518,0,13954,14624,14632
2053,12390,14632,6942,14618,14530,470,11558,9692,2144,14620,5122,14636
2054,0,13462,5384,0,178,14614,9928,6188,0,14638,14624,14314
2055,14630,748,6504,14618,13878,14618,5718,1178,0,1704,14514,9064
2056,14620,0,6064,14650,11612,368,12994,0,1948,13452,7620,14624
2057,10524,5854,3506,650,11396,14626,14626,6520,13894,14484,996,0
2058,806,5356,0,0,0,13458,14640,4650,260,0,14620,6422
2059,0,8540,0,11434,0,14610,14620,14638,5942,0,0,4066
2060,0,1786,0,0,0,13350,14652,14240,14584,4384,5802,2286
2061,0,6662,10050,1006,10348,14628,14620,0,1848,8372,14620,14226
2062,0,0,5578,14612,13120,14612,0,9260,11136,342,6786,14620
2063,106,0,816,0,14630,5074,13912,1268,1502,0,9440,14636
2064,0,4152,10438,14578,0,14612,0,2408,13722,14060,12282,14000
2065,13516,0,0,2628,54,14188,10104,13150,4874,0,2,14616
2066,0,3790,0,14086,1196,13998,14526,12,4856,14598,5088,14614
2067,14628,0,220,0,0,12558,842,5124,0,4664,6088,0
2068,0,0,4430,0,0,13008,0,14632,0,582,14636,11522
2069,0,0,5084,0,0,6584,13890,13574,0,14636,13192,14158
2070,0,460,0,0,4778,11360,0,486,5738,12164,10906,14638
2071,204,0,602,14588,0,0,14572,0,884,3042,0,3098
2072,0,1510,0,13490,0,14408,5632,302,0,12628,13642,56
2073,3134,11852,0,7206,6898,14618,0,13864,0,9062,12518,0
2074,156,66,0,12506,0,13012,8012,0,0,0,172,13346
2075,200,0,0,0,0,7148,0,0,0,0,12292,432
2076,3518,0,0,0,1160,14022,0,5686,6750,14620,14614,0
2077,5082,0,0,0,0,14636,694,11292,12514,0,5716,14562
2078,8974,0,0,14616,1766,56,14572,6560,2720,168,688,14624
2079,3926,0,0,0,0,0,4470,7022,5798,11898,0,14614
2080,2762,0,0,10068,36,1204,9330,0,0,11060,9846,14620
2081,0,0,514,14194,11620,14620,10706,0,0,7760,1816,9324
2082,0,0,2722,1898,0,11454,11466,14550,0,14440,13236,14560
2083,0,0,2890,3464,0,1198,14062,0,8364,6384,92,14620
2084,11140,0,94,9354,0,0,14072,5096,9090,0,14592,5878
2085,2626,0,6,14410,0,0,0,0,0,12130,0,13292
2086,0,0,0,14484,0,4500,14252,0,0,4150,0,11314
2087,0,0,0,5562,10270,0,0,0,0,0,0,4108
2088,1192,0,0,0,3116,14602,2420,8880,0,0,12874,14372
2089,0,0,0,3020,0,14088,5384,0,0,13180,0,14620
2090,0,0,0,2362,962,12198,12498,4806,12232,0,13638,13308
2091,5818,0,1070,0,0,5562,498,24,2644,6582,10142,3938
2092,1876,0,0,0,0,14552,9510,694,0,0,6922,14618
2093,4228,0,0,0,0,10564,0,12332,0,0,12080,14458
2094,0,0,0,0,0,3522,1682,0,3326,0,14054,11904
2095,0,0,1274,0,0,964,14636,14616,0,0,13630,14618
2096,0,0,0,0,0,0,0,0,0,0,0,5582
2097,0,0,0,0,0,0,0,34,8384,0,14128,13646
2098,0,0,0,0,0,0,0,96,4422,0,662,8446
2099,5636,0,0,5392,0,0,596,0,4390,0,14054,14654
