"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,20710864,3952184,2908007,0,2147836,4956185,6746652,0,682413,387613,62405,0,0,0,232395,0,4782,3467
2011,26418830,8254991,2712551,0,2712887,6364212,6374189,0,1108693,693460,0,0,0,0,415233,0,7368,6086
2012,30486909,9400487,5809952,0,2795816,5841806,6638848,0,1507465,559405,608193,0,0,0,339867,0,7046,6446
2013,26179053,8565517,3610726,0,1589369,6037234,6376207,0,1240245,728893,74206,0,0,0,437146,0,7378,6096
2014,20986223,6683557,2248468,0,2156815,4868665,5028718,0,777359,480845,8791,0,0,0,287723,0,7377,6093
2015,33950275,10429230,4115264,0,5433879,6826784,7145118,0,1156264,712073,17678,0,0,0,426513,0,7386,6040
2016,7245666,1558873,993140,0,1721896,1387055,1584702,0,137458,81340,8224,0,0,0,47894,0,7385,6045
2017,33849003,11461557,6171002,0,1113284,7648586,7454574,0,1378566,613064,395165,0,0,0,370337,0,7386,6780
2018,23861451,7484850,2621678,0,1916601,5707753,6130569,0,917807,573245,1295,0,0,0,343267,0,6753,5474
2019,35733139,10470698,7159337,0,4617660,6478476,7006968,0,908220,461637,169133,0,0,0,277450,0,7387,6061
2020,37220280,8598649,3423759,0,10167522,7559198,7471152,0,547371,320534,34957,0,0,0,191880,0,7296,6005
2021,22507838,5850469,4618176,0,3100823,4538490,4399880,0,764903,447348,49575,0,0,0,267980,0,7379,6091
2022,20389640,5299470,2100490,0,3545885,4482318,4961477,0,879134,542671,11637,0,0,0,324826,0,7385,6041
2023,37800188,9750187,3890812,0,9884010,7041645,7233534,0,586101,327401,62512,0,0,0,196188,0,7383,6084
2024,31460842,4896457,2329279,0,12413793,5807844,6013469,0,34212,20106,2805,0,0,0,11301,0,7382,6037
2025,30325921,7181375,4492682,0,6730841,5550499,6370524,0,944645,557061,53800,0,0,0,333784,0,7387,6057
2026,20733229,6743902,3584668,0,1087869,4632108,4684682,0,772675,422770,96373,0,0,0,253532,0,7306,5963
2027,26642742,7621444,4888073,0,365168,6473737,7294320,0,761998,310154,264076,0,0,0,187768,0,5500,4170
2028,46986,31882,10095,0,5009,0,0,0,5365,2621,1342,0,0,0,1402,0,13,5
2029,18947254,4321455,1439336,0,1358002,4915435,6913026,0,506017,267415,78203,0,0,0,160399,0,3897,2608
2030,22815558,7378473,3814977,0,1898115,4615261,5108732,0,1030500,544764,158445,0,0,0,327291,0,7386,6041
2031,32783781,10156624,5538432,0,1721460,7697177,7670088,0,1813459,815664,505209,0,0,0,492586,0,7387,6059
2032,28449699,8773363,3230749,0,2548317,6539615,7357655,0,1254671,774932,15410,0,0,0,464329,0,6953,5617
2033,33211347,10569157,6358662,0,2110292,6867864,7305372,0,1673789,743302,481633,0,0,0,448854,0,7383,6086
2034,16640532,3635476,1895723,0,1620092,3935611,5553630,0,559926,318141,51303,0,0,0,190482,0,3500,2439
2035,32300468,10819948,4488962,0,2920183,6876523,7194852,0,1671880,836103,332317,0,0,0,503460,0,7385,6053
2036,34475030,10022693,8262099,0,1227057,7375983,7587198,0,1005486,538107,143991,0,0,0,323388,0,7325,6044
2037,16310373,3532839,1596360,0,1017166,4484135,5679873,0,412085,204669,84673,0,0,0,122743,0,4519,3213
2038,32278054,10733340,4460594,0,2048975,7503207,7531938,0,1517144,841210,170640,0,0,0,505294,0,7364,6066
2039,31107519,11340192,3254204,0,1553817,7499206,7460100,0,1718545,959463,182693,0,0,0,576389,0,7293,5972
2040,19621554,5069644,3190692,0,1154642,4690287,5516289,0,741400,314394,237139,0,0,0,189867,0,5895,4619
2041,26484916,6399061,3206600,0,2173653,6797896,7907706,0,843678,370660,249415,0,0,0,223603,0,5487,4194
2042,517637,378430,119715,0,4101,15391,0,0,81327,47863,5397,0,0,0,28067,0,159,67
2043,18868702,4318983,1594415,0,1171186,4843462,6940656,0,863659,373998,263834,0,0,0,225827,0,4015,2786
2044,1007644,366249,180043,0,122219,339133,0,0,66524,26613,24179,0,0,0,15732,0,247,105
2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2046,3783886,411221,426428,0,171048,1310799,1464390,0,45728,18126,16908,0,0,0,10694,0,720,295
2047,1404771,473243,289572,0,68758,501360,71838,0,80590,34609,25431,0,0,0,20550,0,311,136
2048,28029002,6240212,3152166,0,3661081,7161779,7813764,0,948893,455861,218458,0,0,0,274574,0,5880,4600
2049,33802135,10284924,3272465,0,4312061,8279175,7653510,0,1159277,655609,110250,0,0,0,393418,0,7300,6020
2050,34438642,8209331,5508070,0,7440488,6135897,7144856,0,878818,488195,97832,0,0,0,292791,0,7364,6079
2051,33020888,9948713,6019086,0,3607553,6328048,7117488,0,1226454,639047,203247,0,0,0,384160,0,7117,5839
2052,32697315,9885124,3740666,0,3901815,7571460,7598250,0,1352331,836473,14607,0,0,0,501251,0,7326,6046
2053,29021065,8472663,5443711,0,1810570,6171107,7123014,0,1069645,534475,213461,0,0,0,321709,0,6263,4961
2054,9712,6937,1548,0,1227,0,0,0,836,605,0,0,0,0,231,0,3,1
2055,28873425,7468986,3651883,0,5218296,6108283,6425977,0,925225,510676,108200,0,0,0,306349,0,7381,6075
