"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6302,23982291,20710864,3271427,1779282,682413,809732,2786,172,2614,2835,213,2622,2448648,2010,20710864,3952184,2908007,0,2147836,4956185,6746652,0,682413,387613,62405,0,0,0,232395,0,4782,3467
2011,7568,7568,7578,6322,32947416,26418830,6528586,3744285,1108693,1675608,200,190,10,236,226,10,7783851,2011,26418830,8254991,2712551,0,2712887,6364212,6374189,0,1108693,693460,0,0,0,0,415233,0,7368,6086
2012,7568,7568,7578,6998,36401582,30486909,5914673,2353945,1507465,2053263,522,182,340,552,209,343,2540600,2012,30486909,9400487,5809952,0,2795816,5841806,6638848,0,1507465,559405,608193,0,0,0,339867,0,7046,6446
2013,7568,7568,7578,6322,33070016,26179053,6890963,4064258,1240245,1586460,190,190,0,226,226,0,7716861,2013,26179053,8565517,3610726,0,1589369,6037234,6376207,0,1240245,728893,74206,0,0,0,437146,0,7378,6096
2014,7568,7568,7578,6320,25497873,20986223,4511650,2498570,777359,1235721,191,190,1,227,226,1,15300943,2014,20986223,6683557,2248468,0,2156815,4868665,5028718,0,777359,480845,8791,0,0,0,287723,0,7377,6093
2015,7568,7568,7578,6266,40815036,33950275,6864761,3572776,1156264,2135721,182,182,0,226,226,0,0,2015,33950275,10429230,4115264,0,5433879,6826784,7145118,0,1156264,712073,17678,0,0,0,426513,0,7386,6040
2016,7568,7568,7578,6272,7967118,7245666,721452,495780,137458,88214,183,183,0,227,227,0,32921224,2016,7245666,1558873,993140,0,1721896,1387055,1584702,0,137458,81340,8224,0,0,0,47894,0,7385,6045
2017,7568,7568,7578,6993,40810989,33849003,6961986,2815544,1378566,2767876,182,182,0,213,213,0,4047,2017,33849003,11461557,6171002,0,1113284,7648586,7454574,0,1378566,613064,395165,0,0,0,370337,0,7386,6780
2018,7568,7568,7578,6323,29385373,23861451,5523922,2768925,917807,1837190,815,193,622,849,227,622,7949109,2018,23861451,7484850,2621678,0,1916601,5707753,6130569,0,917807,573245,1295,0,0,0,343267,0,6753,5474
2019,7568,7568,7578,6288,40820562,35733139,5087423,2018906,908220,2160297,181,181,0,227,227,0,0,2019,35733139,10470698,7159337,0,4617660,6478476,7006968,0,908220,461637,169133,0,0,0,277450,0,7387,6061
2020,7568,7568,7578,6313,40317696,37220280,3097416,1429307,547371,1120738,272,192,80,308,229,79,0,2020,37220280,8598649,3423759,0,10167522,7559198,7471152,0,547371,320534,34957,0,0,0,191880,0,7296,6005
2021,7568,7568,7578,6317,26881720,22507838,4373882,2557867,764903,1051112,189,189,0,226,226,0,13926380,2021,22507838,5850469,4618176,0,3100823,4538490,4399880,0,764903,447348,49575,0,0,0,267980,0,7379,6091
