"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,32242094,9679769,4185462,0,3039198,7744941,7592724,0,1366500,815859,61431,0,0,0,489210,0,7221,5939
2011,19549046,4542276,2310074,0,2906444,4915655,4874597,0,736460,460274,971,0,0,0,275215,0,7027,5687
2012,33103656,11058081,4411800,0,3602579,6847396,7183800,0,1327154,778472,81655,0,0,0,467027,0,7383,6083
2013,32965262,10762933,6580638,0,2114497,6351024,7156170,0,1513029,749623,311970,0,0,0,451436,0,7378,6096
2014,2336813,703717,286093,0,75299,1078294,193410,0,131114,70000,19631,0,0,0,41483,0,523,264
2015,29040085,8413909,5097587,0,2148609,6462311,6917669,0,992942,527685,148285,0,0,0,316972,0,7294,5954
2016,33995154,10511669,5324081,0,3610914,7154702,7393788,0,1699426,662499,635108,0,0,0,401819,0,7372,6089
2017,612385,345161,118151,0,6484,142589,0,0,82301,41228,16672,0,0,0,24401,0,213,87
2018,27363886,8776329,3481575,0,2274570,5896282,6935130,0,1595506,749593,393833,0,0,0,452080,0,6241,4979
2019,25212150,7639611,2781720,0,582426,6869865,7338528,0,1152345,571626,236437,0,0,0,344282,0,5582,4251
2020,35073351,9870176,6993762,0,4471862,6559277,7178274,0,1000575,565355,96095,0,0,0,339125,0,7378,6096
2021,32790997,10263764,5918799,0,2405386,6997144,7205904,0,1443813,656731,390753,0,0,0,396329,0,7198,5917
2022,17506044,4126036,1926811,0,366778,4329369,6757050,0,802559,329167,274336,0,0,0,199056,0,3940,2635
2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,2374106,651707,316010,0,137712,1086319,182358,0,82852,37194,23383,0,0,0,22275,0,496,229
2025,3535519,720637,219976,0,85929,1552979,955998,0,119060,68540,9922,0,0,0,40598,0,735,319
2026,32024467,10481347,5017714,0,924433,8071435,7529538,0,1922141,800468,637141,0,0,0,484532,0,7382,6506
2027,3320674,775537,393740,0,39158,1498853,613386,0,137310,60090,41396,0,0,0,35824,0,696,333
2028,955117,355813,228073,0,24954,346277,0,0,129810,68568,20573,0,0,0,40669,0,268,111
2029,6216041,1005112,452484,0,180331,1575450,3002664,0,140723,83850,7100,0,0,0,49773,0,2070,1103
2030,20368410,4323435,2625406,0,1635801,5008892,6774876,0,576646,238370,194211,0,0,0,144065,0,4110,2887
2031,131116,77166,34455,0,19495,0,0,0,22710,6949,11719,0,0,0,4042,0,35,16
2032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2033,18343668,5712390,2321347,0,1652712,4029605,4627614,0,725225,405661,76391,0,0,0,243173,0,7203,5922
2034,32322031,8573779,7984031,0,3258258,6355671,6150292,0,1295129,464244,548792,0,0,0,282093,0,7379,6092
2035,118706,91144,20293,0,7269,0,0,0,20461,9809,4894,0,0,0,5758,0,42,16
2036,626026,310336,107877,0,80675,127138,0,0,78303,35180,22163,0,0,0,20960,0,190,76
2037,34200251,6695680,4007028,0,7685895,8533906,7277742,0,924500,518854,94419,0,0,0,311227,0,7082,5806
2038,33673517,10179929,6757620,0,2130147,7223085,7382736,0,975815,385167,357359,0,0,0,233289,0,6958,5678
