"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6322,39971724,32662137,7309587,3978441,1199804,2131342,304,196,108,339,231,108,169140
2011,7568,7568,7578,6313,40776354,34354336,6422018,3637652,1086342,1698024,189,189,0,227,227,0,0
2012,7568,7568,7578,6313,40179456,32562820,7616636,3965513,1516098,2135025,188,188,0,226,226,0,602624
2013,7568,7568,7578,6322,40295592,33185432,7110160,2914958,2078329,2116873,276,194,82,311,229,82,0
2014,7568,7568,7578,7576,16578,9763,6815,109,1635,5071,7565,25,7540,7575,23,7552,0
2015,7568,7568,7578,6322,39925350,35016740,4908610,2218580,842459,1847571,343,196,147,379,232,147,0
2016,7568,7568,7578,6323,478884,457525,21359,11893,2540,6926,723,206,517,759,242,517,37444116
2017,7568,7568,7578,6322,40770828,34413757,6357071,3999042,1261445,1096584,190,190,0,226,226,0,0
2018,7568,7568,7578,6322,40770828,33619486,7151342,4048239,1578991,1524112,190,190,0,226,226,0,0
2019,7568,7568,7578,6346,23883372,19808340,4075032,1574148,999772,1501112,3246,158,3088,3293,200,3093,0
2020,7568,7568,7578,7333,2238030,1883768,354262,33341,86550,234371,7163,56,7107,7162,47,7115,0
2021,7568,7568,7578,6322,40671360,34461527,6209833,2016184,1245626,2948023,208,193,15,243,228,15,0
2022,7568,7568,7578,6574,12820320,11225209,1595111,456849,418089,720173,5248,126,5122,5270,142,5128,0
2023,7568,7568,7578,6271,36092507,29873330,6219177,3052598,1006978,2159601,183,183,0,227,227,0,4724741
2024,7568,7568,7578,6328,32382360,29203768,3178592,1009644,612549,1556399,1708,192,1516,1750,229,1521,0
2025,7568,7568,7578,6280,9528747,8060195,1468552,554150,332372,582030,2101,171,1930,2148,211,1937,20735516
2026,7568,7568,7578,6322,39709836,32327980,7381856,3769184,1463678,2148994,382,194,188,418,230,188,0
2027,7568,7568,7578,6322,40715568,31107571,9607997,5538074,1911689,2158234,200,191,9,237,227,10,0
2028,7568,7568,7578,6864,8001648,7152595,849053,41415,220593,587045,6120,104,6016,6146,121,6025,0
