"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,32662137,9623945,4041558,0,4258571,7217177,7520886,0,1199804,747815,4076,0,0,0,447913,0,7264,5983
2011,34354336,10626403,3378580,0,4790403,7971752,7587198,0,1086342,677968,2250,0,0,0,406124,0,7379,6086
2012,32562820,10422259,6402842,0,1853316,6700603,7183800,0,1516098,733890,339960,0,0,0,442248,0,7380,6087
2013,33185432,11020310,5901557,0,1537596,7287973,7437996,0,2078329,622555,1074454,0,0,0,381320,0,7292,6011
2014,9763,7216,1396,0,1151,0,0,0,1635,550,857,0,0,0,228,0,3,1
2015,35016740,10299689,4428639,0,4251277,8333891,7703244,0,842459,483144,69590,0,0,0,289725,0,7225,5943
2016,457525,42747,99219,0,24364,125127,166068,0,2540,1323,605,0,0,0,612,0,6845,5564
2017,34413757,9435998,4388810,0,6109047,6997698,7482204,0,1261445,703253,135911,0,0,0,422281,0,7378,6096
2018,33619486,9953603,4574339,0,4622491,7130525,7338528,0,1578991,739966,392754,0,0,0,446271,0,7378,6096
2019,19808340,5019606,2176587,0,321734,5145295,7145118,0,999772,447527,282136,0,0,0,270109,0,4322,3053
2020,1883768,459737,166053,0,134101,980201,143676,0,86550,45521,14176,0,0,0,26853,0,405,171
2021,34461527,11613890,6021897,0,1930419,7529163,7366158,0,1245626,501384,440559,0,0,0,303683,0,7360,6079
2022,11225209,1861634,749007,0,493136,2750160,5371272,0,418089,203127,93035,0,0,0,121927,0,2320,1304
2023,29873330,9446089,5471494,0,1578765,6486093,6890889,0,1006978,596965,52085,0,0,0,357928,0,7385,6044
2024,29203768,7251901,4789880,0,2712427,6994986,7454574,0,612549,277466,167787,0,0,0,167296,0,5860,4578
2025,8060195,1885795,657197,0,223069,2264400,3029734,0,332372,161715,73714,0,0,0,96943,0,5467,4132
2026,32327980,9928377,3227437,0,2856703,8568011,7747452,0,1463678,733689,288322,0,0,0,441667,0,7186,5904
2027,31107571,11019925,3664013,0,562330,8174637,7686666,0,1911689,965327,365105,0,0,0,581257,0,7368,6085
2028,7152595,1345537,631837,0,1684,2167393,3006144,0,220593,86278,82397,0,0,0,51918,0,1448,718
2029,7901508,1256628,642733,0,322285,2165326,3514536,0,161587,66531,55167,0,0,0,39889,0,1553,785
2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031,31494713,10608448,4264873,0,1584121,7527437,7509834,0,1635808,942073,128234,0,0,0,565501,0,7377,6095
2032,21526566,5776362,3014261,0,399374,5268815,7067754,0,776627,337171,235870,0,0,0,203586,0,4523,3254
2033,2726574,471858,399827,0,126045,1231504,497340,0,82307,46621,8115,0,0,0,27571,0,558,231
2034,28116897,8451554,4829447,0,875098,6892369,7068429,0,1518966,665685,451147,0,0,0,402134,0,7093,5806
2035,39447,29688,7992,0,1767,0,0,0,9183,4472,2240,0,0,0,2471,0,13,4
2036,14802997,3345505,1152939,0,1132440,4046265,5125848,0,541347,244047,150403,0,0,0,146897,0,4670,3405
2037,22688437,7229030,2774616,0,1793101,5503041,5388649,0,1041912,578648,116027,0,0,0,347237,0,7375,6094
2038,21120604,5556261,2424676,0,455310,5517135,7167222,0,1028167,542073,160218,0,0,0,325876,0,4697,3427
2039,15825023,2743203,1425452,0,1101035,3914083,6641250,0,423683,260235,8019,0,0,0,155429,0,3444,2197
2040,30035313,9825019,3980819,0,1068575,7430026,7730874,0,1869906,715314,720474,0,0,0,434118,0,6730,5447
2041,6855087,1067833,636991,0,381194,1703909,3065160,0,220383,129168,14482,0,0,0,76733,0,2580,1540
2042,31761761,10817649,4756000,0,2188446,6810340,7189326,0,1980348,877424,572821,0,0,0,530103,0,7329,6047
2043,11700810,2015227,937356,0,325667,3007080,5415480,0,435388,186026,137178,0,0,0,112184,0,2399,1357
2044,49377,31686,10120,0,7571,0,0,0,7276,3431,2050,0,0,0,1795,0,16,5
2045,3964,1942,1288,0,734,0,0,0,189,68,87,0,0,0,34,0,2,1
2046,15990408,2560277,1924932,0,1285263,3647766,6572170,0,506222,269314,75517,0,0,0,161391,0,3710,2429
2047,8590471,1360802,1389798,0,789934,1914938,3134999,0,117887,62378,18658,0,0,0,36851,0,4208,2950
2048,34555018,10840683,7044094,0,1051465,7926584,7692192,0,1293084,543177,421460,0,0,0,328447,0,7357,6015
2049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2051,30971234,8834176,3127790,0,4165866,7245152,7598250,0,1575017,678058,486956,0,0,0,410003,0,6786,5506
2052,7729375,1280490,578953,0,323408,1982362,3564162,0,294026,150850,52894,0,0,0,90282,0,2263,1253
2053,16256430,3692126,1400521,0,185961,4208472,6769350,0,688489,395708,55643,0,0,0,237138,0,3539,2322
2054,7641716,1493958,921250,0,345590,1935758,2945160,0,223318,101713,60755,0,0,0,60850,0,2760,2255
2055,15589241,3097685,1547636,0,176196,3959692,6808032,0,729180,339112,185872,0,0,0,204196,0,3320,2093
2056,14856388,2818131,1561192,0,1035264,3517929,5923872,0,519782,262381,99925,0,0,0,157476,0,3095,1991
2057,8958344,1309107,543881,0,406778,2321986,4376592,0,302800,137096,83257,0,0,0,82447,0,1814,914
2058,19124,9857,7631,0,1636,0,0,0,3583,1014,2205,0,0,0,364,0,7,3
2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2061,10080162,1881519,1755664,0,830435,2329741,3282803,0,440208,205604,111228,0,0,0,123376,0,4879,3620
2062,13591290,2686904,1153633,0,460828,3515255,5774670,0,488819,255514,79942,0,0,0,153363,0,2857,1736
2063,2074752,630883,260802,0,46854,981485,154728,0,154065,72702,37868,0,0,0,43495,0,476,225
2064,17643602,3637637,1965597,0,982200,4874181,6183987,0,1173378,395296,537375,0,0,0,240707,0,4526,3248
2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2066,22986,16604,5844,0,538,0,0,0,6124,2964,1906,0,0,0,1254,0,13,5
2067,328097,219543,85176,0,7526,15852,0,0,72638,38300,11645,0,0,0,22693,0,172,124
2068,10748022,1379902,1439321,0,603420,2450254,4875125,0,377312,194538,66265,0,0,0,116509,0,2280,1231
2069,5491403,848174,779362,0,206718,1320715,2336434,0,182412,60046,86350,0,0,0,36016,0,2610,1555
2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2071,645387,212847,142923,0,2968,277305,9344,0,65689,29675,18750,0,0,0,17264,0,369,172
2072,3076,1850,685,0,541,0,0,0,725,111,557,0,0,0,57,0,1,0
2073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2074,16018,9017,4091,0,2910,0,0,0,2733,940,1438,0,0,0,355,0,5,1
2075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2080,46045,21171,19700,0,5174,0,0,0,7431,3622,2194,0,0,0,1615,0,67,25
2081,869154,274142,147408,0,43376,404228,0,0,81719,38622,20368,0,0,0,22729,0,325,139
2082,5297991,746228,644720,0,681700,1563791,1661552,0,169209,85266,33199,0,0,0,50744,0,1429,1087
2083,5047883,817560,522239,0,182976,1418995,2106113,0,235165,115070,51218,0,0,0,68877,0,1513,742
2084,175246,105964,61864,0,7418,0,0,0,49666,23724,11867,0,0,0,14075,0,115,45
2085,106536,51050,39661,0,15825,0,0,0,24549,9946,8719,0,0,0,5884,0,70,28
2086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2090,8517,6011,1220,0,1286,0,0,0,1116,467,469,0,0,0,180,0,3,1
2091,712671,159825,128593,0,39909,307228,77116,0,55785,24490,17119,0,0,0,14176,0,603,284
2092,4657,2363,1749,0,545,0,0,0,694,109,531,0,0,0,54,0,8,7
2093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2098,3131887,519734,469731,0,115256,1337304,689862,0,133238,48840,55167,0,0,0,29231,0,705,288
2099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
