"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6303,40792932,33063947,7728985,4050922,1385797,2292266,186,186,0,227,227,0,0
2011,7568,7568,7578,6322,40770828,34226397,6544431,3375786,1040870,2127775,190,190,0,226,226,0,0
2012,7568,7568,7578,6294,40815036,33606099,7208937,2944366,1399837,2864734,182,182,0,228,228,0,0
2013,7568,7568,7578,6323,39521952,34191288,5330664,2418986,1028317,1883361,416,195,221,454,232,222,0
2014,7568,7568,7578,6359,21758813,17870630,3888183,1711677,857799,1318707,2851,179,2672,2892,217,2675,4309237
2015,7568,7568,7578,6531,14146718,12589176,1557542,214475,278281,1064786,4814,118,4696,4832,131,4701,1075197
2016,7568,7568,7578,6322,40676886,34355022,6321864,3058599,1283622,1979643,207,192,15,243,228,15,0
2017,7568,7568,7578,6336,16509994,14005867,2504127,1231704,519790,752633,2302,174,2128,2347,213,2134,12621200
2018,7568,7568,7578,6322,40770828,32948803,7822025,3987399,1334424,2500202,190,190,0,226,226,0,0
2019,7568,7568,7578,6313,40781880,32638981,8142899,4231189,1351418,2560292,188,188,0,226,226,0,0
2020,7568,7568,7578,6267,40815036,36058633,4756403,1583064,931812,2241527,182,182,0,226,226,0,0
2021,7568,7568,7578,6347,25314606,22092372,3222234,1398267,614806,1209161,2987,175,2812,3030,213,2817,0
2022,7568,7568,7578,6322,40577418,32479196,8098222,4673646,1403195,2021381,225,194,31,261,230,31,0
2023,7568,7568,7578,6322,35101152,29183856,5917296,3420317,1149331,1347648,1216,187,1029,1256,226,1030,0
2024,7568,7568,7578,6323,38344914,30997547,7347367,3802305,1442131,2102931,629,194,435,667,231,436,0
2025,7568,7568,7578,6322,40334274,32716756,7617518,3938680,1345396,2333442,269,193,76,304,229,75,0
2026,7568,7568,7578,6322,29444931,23684119,5760812,2754031,1073055,1933726,324,193,131,359,228,131,10606310
2027,7568,7568,7578,6322,40420549,35165941,5254608,1812247,935236,2507125,192,191,1,228,227,1,339227
2028,7568,7568,7578,7567,93942,61299,32643,1248,7231,24164,7551,46,7505,7560,52,7508,0
2029,7568,7568,7578,6336,28847181,23747502,5099679,2321003,962962,1815714,2266,180,2086,2311,220,2091,451671
2030,7568,7568,7578,6318,40196124,32209189,7986935,4019550,1274729,2692656,294,192,102,331,229,102,0
2031,7568,7568,7578,6267,40638204,33782344,6855860,3521298,1275924,2058638,214,188,26,258,232,26,0
2032,7568,7568,7578,6314,40759776,33537566,7222210,4400390,1225081,1596739,192,191,1,230,229,1,0
2033,7568,7568,7578,6320,40848192,32328602,8519590,4676799,1483980,2358811,176,176,0,213,213,0,0
2034,7568,7568,7578,6322,34885462,27142908,7742554,4323784,1532888,1885882,190,190,0,226,226,0,5898022
2035,7568,7568,7578,6562,11641427,9923209,1718218,559104,367624,791490,4874,161,4713,4902,184,4718,3256667
2036,7568,7568,7578,7504,668646,413028,255618,30818,71338,153462,7447,57,7390,7457,61,7396,0
2037,7568,7568,7578,6365,19865865,16895057,2970808,1494172,658181,818455,3596,167,3429,3643,207,3436,2087246
2038,7568,7568,7578,6322,38101923,31613636,6488287,3728146,1135897,1624244,192,192,0,227,227,0,2661298
2039,7568,7568,7578,6324,36742374,30690582,6051792,2425740,1082220,2543832,919,199,720,958,238,720,0
2040,7568,7568,7578,7574,13335,7738,5597,974,797,3826,7561,31,7530,7571,39,7532,25347
2041,7568,7568,7578,6523,13726584,12229558,1497026,257323,298006,941697,5084,112,4972,5108,128,4980,0
2042,7568,7568,7578,7033,37580232,28331787,9248445,5782282,1724193,1741970,187,187,0,213,213,0,3215108
2043,7568,7568,7578,6459,20247426,17120636,3126790,1277137,684451,1165202,3589,141,3448,3632,183,3449,1744241
2044,7568,7568,7578,6301,38792520,31991151,6801369,3522992,1416262,1862115,548,197,351,590,237,353,0
2045,7568,7568,7578,7578,0,0,0,0,0,0,7568,29,7539,7578,33,7545,0
2046,7568,7568,7578,7578,4672,3515,1157,100,150,907,7567,40,7527,7578,43,7535,854
2047,7568,7568,7578,6322,40770828,33648119,7122709,4158815,1318940,1644954,190,190,0,226,226,0,0
2048,7568,7568,7578,6320,40770828,32229232,8541596,5010307,1512113,2019176,190,190,0,226,226,0,0
2049,7568,7568,7578,7275,12626810,9684536,2942274,1465331,642007,834936,5283,99,5184,5302,109,5193,100
2050,7568,7568,7578,6322,31752711,24562027,7190684,4425658,1225389,1539637,338,192,146,376,228,148,8216370
2051,7568,7568,7578,6298,26747185,21648346,5098839,3061752,946196,1090891,1770,190,1580,1816,232,1584,5304844
2052,7568,7568,7578,6283,40814237,34197818,6616419,3224362,1169586,2222471,181,181,0,228,228,0,6325
