"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,33063947,10634432,6723826,0,1129390,7066465,7509834,0,1385797,754012,178749,0,0,0,453036,0,7382,6076
2011,34226397,9645904,5263130,0,4177684,7668527,7471152,0,1040870,646075,7802,0,0,0,386993,0,7378,6096
2012,33606099,11588191,4809691,0,1764737,7933646,7509834,0,1399837,655855,348413,0,0,0,395569,0,7386,6066
2013,34191288,8777480,7742186,0,2712801,7565033,7393788,0,1028317,501734,224420,0,0,0,302163,0,7152,5869
2014,17870630,4539466,2272159,0,262194,4743555,6053256,0,857799,424711,177552,0,0,0,255536,0,4717,3467
2015,12589176,2693997,1301159,0,116984,3173661,5303375,0,278281,151967,35257,0,0,0,91057,0,2754,1699
2016,34355022,9725598,3129609,0,4635732,9022689,7841394,0,1283622,596751,326930,0,0,0,359941,0,7361,6079
2017,14005867,3040866,1550949,0,1046131,3763814,4604107,0,519790,275326,79408,0,0,0,165056,0,5266,3989
2018,32948803,11582886,4302468,0,1942261,7517412,7603776,0,1334424,778432,88879,0,0,0,467113,0,7378,6096
2019,32638981,11006579,4037778,0,2965494,7240868,7388262,0,1351418,824771,32282,0,0,0,494365,0,7380,6087
2020,36058633,11020422,7583197,0,2634373,7343963,7476678,0,931812,397886,293492,0,0,0,240434,0,7386,6041
2021,22092372,4656206,1746314,0,2633948,5916312,7139592,0,614806,366912,28195,0,0,0,219699,0,4581,3317
2022,32479196,10043622,4685255,0,2937463,7330652,7482204,0,1403195,863341,22409,0,0,0,517445,0,7343,6061
2023,29183856,7268786,3039500,0,5741231,6138423,6995916,0,1149331,657508,97387,0,0,0,394436,0,6352,5066
2024,30997547,9924856,5362276,0,1324665,6881442,7504308,0,1442131,755938,231506,0,0,0,454687,0,6939,5656
2025,32716756,10914029,3920516,0,2658909,7580844,7642458,0,1345396,772863,108743,0,0,0,463790,0,7299,6018
2026,23684119,7758607,2967791,0,762831,6094825,6100065,0,1073055,562100,173237,0,0,0,337718,0,7244,5963
2027,35165941,10724651,8101540,0,948583,7638189,7752978,0,935236,420634,260651,0,0,0,253951,0,7376,6094
2028,61299,40420,15220,0,5659,0,0,0,7231,3634,1575,0,0,0,2022,0,17,7
2029,23747502,6348281,2507789,0,1107572,6457088,7326772,0,962962,545145,90604,0,0,0,327213,0,5302,4025
2030,32209189,11023160,5487759,0,984422,7065864,7647984,0,1274729,778225,30137,0,0,0,466367,0,7274,5987
2031,33782344,9409453,7795254,0,2261596,6983039,7333002,0,1275924,676568,192521,0,0,0,406835,0,7354,6009
2032,33537566,9965076,5211452,0,4434993,6731193,7194852,0,1225081,766157,0,0,0,0,458924,0,7376,6084
2033,32328602,10596268,4514265,0,3153601,6808830,7255638,0,1483980,863375,102539,0,0,0,518066,0,7392,6107
2034,27142908,9258985,4365987,0,1306908,5867105,6343923,0,1532888,766531,304795,0,0,0,461562,0,7378,6096
2035,9923209,2048266,1172186,0,217260,2276705,4208792,0,367624,206722,37300,0,0,0,123602,0,2694,1660
2036,413028,264370,146358,0,2300,0,0,0,71338,33517,17937,0,0,0,19884,0,121,47
2037,16895057,3162828,1418905,0,696819,4585342,7031163,0,658181,368265,69167,0,0,0,220749,0,3972,2722
2038,31613636,8588091,4166619,0,5409581,6471236,6978109,0,1135897,690373,32118,0,0,0,413406,0,7376,6095
2039,30690582,9576765,5445564,0,751735,7318268,7598250,0,1082220,560431,184716,0,0,0,337073,0,6649,5366
2040,7738,5628,1911,0,199,0,0,0,797,318,326,0,0,0,153,0,7,3
2041,12229558,2083714,1145020,0,264066,2818412,5918346,0,298006,171450,24077,0,0,0,102479,0,2484,1415
2042,28331787,10029854,4628754,0,214351,6671872,6786956,0,1724193,938186,222194,0,0,0,563813,0,7381,6820
2043,17120636,3791950,2113231,0,1305881,4109824,5799750,0,684451,364301,101672,0,0,0,218478,0,3979,2827
2044,31991151,9502199,6511417,0,1171191,7263354,7542990,0,1416262,666437,348011,0,0,0,401814,0,7020,5711
2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2046,3515,1804,368,0,1343,0,0,0,150,66,50,0,0,0,34,0,1,0
2047,33648119,9136930,6894739,0,3488335,6645911,7482204,0,1318940,770389,86509,0,0,0,462042,0,7378,6096
2048,32229232,10090912,4764959,0,4271967,6348622,6752772,0,1512113,886576,93737,0,0,0,531800,0,7378,6094
2049,9684536,3107933,973810,0,700826,2116863,2785104,0,642007,372682,46138,0,0,0,223187,0,2285,1973
2050,24562027,7702967,4042784,0,1674168,5197441,5944667,0,1225389,750628,25004,0,0,0,449757,0,7230,5946
2051,21648346,5215870,3778002,0,2000617,4550225,6103632,0,946196,590838,1648,0,0,0,353710,0,5798,4482
2052,34197818,11185943,5135803,0,2667780,7626620,7581672,0,1169586,651911,126310,0,0,0,391365,0,7387,6055
2053,24366707,8047578,3375085,0,1814503,5381955,5747586,0,1231824,638230,209787,0,0,0,383807,0,7376,6095
2054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2055,33077402,9749414,3944082,0,5598465,6734265,7051176,0,1265530,791472,0,0,0,0,474058,0,7341,6060
2056,25279939,6903635,3901568,0,4561069,4734943,5178724,0,1102210,516925,273862,0,0,0,311423,0,7392,6790
2057,825163,299274,144221,0,34441,338938,8289,0,65546,30256,17512,0,0,0,17778,0,393,196
2058,56233,39740,16097,0,396,0,0,0,12534,6083,3025,0,0,0,3426,0,18,7
2059,28516655,6216348,4877069,0,3214019,6724811,7484408,0,697768,311081,199041,0,0,0,187646,0,5834,4555
2060,133488,95538,36724,0,1226,0,0,0,33334,14599,10103,0,0,0,8632,0,57,25
2061,2584728,474977,364235,0,174047,1102910,468559,0,73480,39604,10480,0,0,0,23396,0,570,261
2062,33074740,9683508,5259517,0,2791812,7769283,7570620,0,1542741,764128,318469,0,0,0,460144,0,7374,6093
2063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2064,33345972,8752747,5529629,0,4898250,6799188,7366158,0,1077775,597644,121296,0,0,0,358835,0,7058,5713
2065,4847625,1044335,458765,0,91552,1576813,1676160,0,260211,155295,12304,0,0,0,92612,0,1382,1084
2066,29437907,7799687,5072082,0,3577129,6113673,6875336,0,1622780,809616,325598,0,0,0,487566,0,7111,5826
2067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2070,38234,20388,11459,0,6387,0,0,0,3874,2597,327,0,0,0,950,0,26,11
2071,32222291,8523282,5813483,0,5015617,5995565,6874344,0,1300208,745298,107564,0,0,0,447346,0,7095,5814
2072,24659629,5761915,5476604,0,2332544,4921871,6166695,0,1333711,645770,299040,0,0,0,388901,0,6813,5469
2073,11086722,2149903,1394272,0,585643,2637264,4319640,0,495127,243432,105549,0,0,0,146146,0,3671,2460
2074,21039184,5922713,3532792,0,1509388,4642419,5431872,0,1150731,489826,364931,0,0,0,295974,0,6320,5040
2075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2078,10518854,2440826,1630051,0,798435,2662108,2987434,0,428791,186343,130553,0,0,0,111895,0,7376,6095
2079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2080,6682579,1230609,798878,0,639135,1688459,2325498,0,227765,134142,13805,0,0,0,79818,0,5102,3842
2081,21381322,5463702,3457467,0,2133455,4679432,5647266,0,1072496,579773,144518,0,0,0,348205,0,6494,5201
2082,2801884,463316,382725,0,96729,1071193,787921,0,105536,48668,28058,0,0,0,28810,0,1017,454
2083,6308608,1007754,661948,0,146702,1616920,2875284,0,243365,132857,31217,0,0,0,79291,0,1800,951
2084,2102319,219859,247129,0,138052,580079,917200,0,23490,15360,0,0,0,0,8130,0,4745,3489
2085,3574354,655952,422585,0,344525,960819,1190473,0,127803,79497,1770,0,0,0,46536,0,7254,5924
2086,10225775,2007011,1982504,0,2390565,1744885,2100810,0,275715,134294,61428,0,0,0,79993,0,7310,5965
2087,11020707,2206934,2005518,0,601284,2195075,4011896,0,521977,219053,170981,0,0,0,131943,0,2849,1850
2088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2089,3677886,528550,779631,0,172323,977728,1219654,0,108762,55652,20261,0,0,0,32849,0,1578,849
2090,1538050,244473,209089,0,102519,530889,451080,0,63458,30009,16136,0,0,0,17313,0,1249,948
2091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,21
2092,504,280,165,0,59,0,0,0,20,5,13,0,0,0,2,0,1,0
2093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
2096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2099,53427,8364,43529,0,1534,0,0,0,0,0,0,0,0,0,0,0,105,62
