"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6303,40792932,33063947,7728985,4050922,1385797,2292266,186,186,0,227,227,0,0,2010,33063947,10634432,6723826,0,1129390,7066465,7509834,0,1385797,754012,178749,0,0,0,453036,0,7382,6076
2011,7568,7568,7578,6322,40770828,34226397,6544431,3375786,1040870,2127775,190,190,0,226,226,0,0,2011,34226397,9645904,5263130,0,4177684,7668527,7471152,0,1040870,646075,7802,0,0,0,386993,0,7378,6096
2012,7568,7568,7578,6294,40815036,33606099,7208937,2944366,1399837,2864734,182,182,0,228,228,0,0,2012,33606099,11588191,4809691,0,1764737,7933646,7509834,0,1399837,655855,348413,0,0,0,395569,0,7386,6066
2013,7568,7568,7578,6323,39521952,34191288,5330664,2418986,1028317,1883361,416,195,221,454,232,222,0,2013,34191288,8777480,7742186,0,2712801,7565033,7393788,0,1028317,501734,224420,0,0,0,302163,0,7152,5869
2014,7568,7568,7578,6359,21758813,17870630,3888183,1711677,857799,1318707,2851,179,2672,2892,217,2675,4309237,2014,17870630,4539466,2272159,0,262194,4743555,6053256,0,857799,424711,177552,0,0,0,255536,0,4717,3467
2015,7568,7568,7578,6531,14146718,12589176,1557542,214475,278281,1064786,4814,118,4696,4832,131,4701,1075197,2015,12589176,2693997,1301159,0,116984,3173661,5303375,0,278281,151967,35257,0,0,0,91057,0,2754,1699
2016,7568,7568,7578,6322,40676886,34355022,6321864,3058599,1283622,1979643,207,192,15,243,228,15,0,2016,34355022,9725598,3129609,0,4635732,9022689,7841394,0,1283622,596751,326930,0,0,0,359941,0,7361,6079
2017,7568,7568,7578,6336,16509994,14005867,2504127,1231704,519790,752633,2302,174,2128,2347,213,2134,12621200,2017,14005867,3040866,1550949,0,1046131,3763814,4604107,0,519790,275326,79408,0,0,0,165056,0,5266,3989
2018,7568,7568,7578,6322,40770828,32948803,7822025,3987399,1334424,2500202,190,190,0,226,226,0,0,2018,32948803,11582886,4302468,0,1942261,7517412,7603776,0,1334424,778432,88879,0,0,0,467113,0,7378,6096
2019,7568,7568,7578,6313,40781880,32638981,8142899,4231189,1351418,2560292,188,188,0,226,226,0,0,2019,32638981,11006579,4037778,0,2965494,7240868,7388262,0,1351418,824771,32282,0,0,0,494365,0,7380,6087
2020,7568,7568,7578,6267,40815036,36058633,4756403,1583064,931812,2241527,182,182,0,226,226,0,0,2020,36058633,11020422,7583197,0,2634373,7343963,7476678,0,931812,397886,293492,0,0,0,240434,0,7386,6041
2021,7568,7568,7578,6347,25314606,22092372,3222234,1398267,614806,1209161,2987,175,2812,3030,213,2817,0,2021,22092372,4656206,1746314,0,2633948,5916312,7139592,0,614806,366912,28195,0,0,0,219699,0,4581,3317
2022,7568,7568,7578,6322,40577418,32479196,8098222,4673646,1403195,2021381,225,194,31,261,230,31,0,2022,32479196,10043622,4685255,0,2937463,7330652,7482204,0,1403195,863341,22409,0,0,0,517445,0,7343,6061
2023,7568,7568,7578,6322,35101152,29183856,5917296,3420317,1149331,1347648,1216,187,1029,1256,226,1030,0,2023,29183856,7268786,3039500,0,5741231,6138423,6995916,0,1149331,657508,97387,0,0,0,394436,0,6352,5066
2024,7568,7568,7578,6323,38344914,30997547,7347367,3802305,1442131,2102931,629,194,435,667,231,436,0,2024,30997547,9924856,5362276,0,1324665,6881442,7504308,0,1442131,755938,231506,0,0,0,454687,0,6939,5656
2025,7568,7568,7578,6322,40334274,32716756,7617518,3938680,1345396,2333442,269,193,76,304,229,75,0,2025,32716756,10914029,3920516,0,2658909,7580844,7642458,0,1345396,772863,108743,0,0,0,463790,0,7299,6018
2026,7568,7568,7578,6322,29444931,23684119,5760812,2754031,1073055,1933726,324,193,131,359,228,131,10606310,2026,23684119,7758607,2967791,0,762831,6094825,6100065,0,1073055,562100,173237,0,0,0,337718,0,7244,5963
2027,7568,7568,7578,6322,40420549,35165941,5254608,1812247,935236,2507125,192,191,1,228,227,1,339227,2027,35165941,10724651,8101540,0,948583,7638189,7752978,0,935236,420634,260651,0,0,0,253951,0,7376,6094
2028,7568,7568,7578,7567,93942,61299,32643,1248,7231,24164,7551,46,7505,7560,52,7508,0,2028,61299,40420,15220,0,5659,0,0,0,7231,3634,1575,0,0,0,2022,0,17,7
