"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6305,33267295,26997588,6269707,3247651,1068898,1953158,184,184,0,227,227,0,7554091
2011,7568,7568,7578,6310,26198723,20071142,6127581,3797612,1122395,1207574,184,184,0,226,226,0,14640573
2012,7568,7568,7578,6322,39980610,32784783,7195827,3729634,1364153,2102040,333,191,142,369,227,142,0
2013,7568,7568,7578,6322,40770828,34571713,6199115,2039809,1387963,2771343,190,190,0,226,226,0,0
2014,7568,7568,7578,7577,11052,6000,5052,756,698,3598,7566,75,7491,7577,80,7497,0
2015,7568,7568,7578,6272,36505708,27928017,8577691,5432563,1982635,1162493,182,182,0,226,226,0,4316566
2016,7568,7568,7578,6422,11118128,9814175,1303953,250208,222332,831413,4233,158,4075,4283,203,4080,7337451
2017,7568,7568,7578,6956,4260010,3868730,391280,39903,108906,242471,6405,99,6306,6432,117,6315,2177732
2018,7568,7568,7578,6322,38886462,31044616,7841846,4278658,1724725,1838463,531,194,337,568,230,338,0
2019,7568,7568,7578,7034,11089393,9809207,1280186,229724,301644,748818,3870,149,3721,3907,181,3726,9376049
2020,7568,7568,7578,7381,1845684,1650587,195097,128,45730,149239,7234,69,7165,7234,64,7170,0
2021,7568,7568,7578,7434,1337292,1137693,199599,1298,47602,150699,7326,45,7281,7337,49,7288,0
2022,7568,7568,7578,6858,7299846,6561584,738262,109251,189724,439287,6247,89,6158,6268,104,6164,0
2023,7568,7568,7578,6279,32785758,26996949,5788809,2705911,1256996,1825902,1635,184,1451,1678,225,1453,0
2024,7568,7568,7578,6312,40638204,33834701,6803503,2828745,1187698,2787060,214,188,26,252,227,25,0
2025,7568,7568,7578,6367,21999006,19521612,2477394,669052,627140,1181202,3587,155,3432,3633,197,3436,0
2026,7568,7568,7578,7447,2646954,2198443,448511,27415,120517,300579,7089,58,7031,7092,52,7040,0
2027,7568,7568,7578,6322,39185001,32279873,6905128,3984381,1280037,1640710,245,197,48,280,232,48,1281897
2028,7568,7568,7578,6332,24985419,20901746,4083673,1599512,900762,1583399,2016,185,1831,2059,223,1836,5708574
2029,7568,7568,7578,6490,6797066,5968001,829065,201087,188494,439484,4895,133,4762,4930,159,4771,8002312
2030,7568,7568,7578,7578,0,0,0,0,0,0,7568,24,7544,7578,25,7553,0
2031,7568,7568,7578,6520,14759946,12956905,1803041,288435,403871,1110735,4897,130,4767,4920,146,4774,0
2032,7568,7568,7578,6322,20975312,17627386,3347926,1470244,579533,1298149,238,192,46,274,228,46,19571857
2033,7568,7568,7578,6267,35428042,27963521,7464521,4695829,1476729,1291963,434,187,247,478,231,247,4000142
2034,7568,7568,7578,6509,12621733,11070789,1550944,286804,341212,922928,4854,132,4722,4877,147,4730,2380805
2035,7568,7568,7578,6334,30249324,25794780,4454544,2255328,856694,1342522,2094,187,1907,2134,226,1908,0
2036,7568,7568,7578,6322,20140500,16687230,3453270,1557155,643383,1252732,238,194,44,274,230,44,20402052
2037,7568,7568,7578,6542,13256874,12018089,1238785,157914,243593,837278,5169,119,5050,5193,138,5055,0
2038,7568,7568,7578,7390,454572,354571,100001,18598,24059,57344,7256,57,7199,7258,53,7205,1269540
2039,7568,7568,7578,6337,27533643,24981714,2551929,569951,518766,1463212,2583,173,2410,2625,215,2410,13467
2040,7568,7568,7578,6955,6410160,5968086,442074,8439,94141,339494,6408,80,6328,6438,105,6333,0
2041,7568,7568,7578,7578,0,0,0,0,0,0,7568,45,7523,7578,48,7530,0
2042,7568,7568,7578,7578,0,0,0,0,0,0,7568,50,7518,7578,57,7521,0
2043,7568,7568,7578,7578,0,0,0,0,0,0,7568,11,7557,7578,14,7564,0
2044,7568,7568,7578,6329,37560222,30553630,7006592,3493163,1282905,2230524,771,196,575,807,231,576,0
2045,7568,7568,7578,6331,29652516,23356527,6295989,3712614,1293243,1290132,2202,177,2025,2245,216,2029,0
2046,7568,7568,7578,6282,31608720,25617170,5991550,2974016,1532252,1485282,1848,180,1668,1898,224,1674,0
2047,7568,7568,7578,6344,25466347,21496528,3969819,1528131,999024,1442664,2957,164,2793,2999,204,2795,14039
2048,7568,7568,7578,6708,9869156,8367955,1501201,553365,359889,587947,5682,129,5553,5700,136,5564,554888
2049,7568,7568,7578,6496,15887250,13796860,2090390,629865,499531,960994,4693,136,4557,4720,155,4565,0
2050,7568,7568,7578,6827,8427150,7575491,851659,112814,269763,469082,6043,110,5933,6067,123,5944,0
2051,7568,7568,7578,7417,1388640,1120221,268419,17330,90053,161036,7302,57,7245,7310,57,7253,81276
2052,7568,7568,7578,7199,3934482,3497084,437398,31770,110574,295054,6856,54,6802,6885,79,6806,30
2053,7568,7568,7578,6323,2449368,2231098,218270,72346,51819,94105,268,198,70,303,235,68,37975144
2054,7568,7568,7578,7480,867582,619427,248155,29395,67937,150823,7411,42,7369,7422,43,7379,0
2055,7568,7568,7578,6323,29904739,27222843,2681896,1846105,508740,327051,570,192,378,609,230,379,8783215
2056,7568,7568,7578,6412,25523963,21364576,4159387,2206892,825389,1127106,1699,183,1516,1738,223,1515,6920533
2057,7568,7568,7578,7001,23295625,19933749,3361876,1359179,1023006,979691,1801,180,1621,1834,211,1623,11996727
2058,7568,7568,7578,7578,0,0,0,0,0,0,7568,43,7525,7578,47,7531,0
2059,7568,7568,7578,7578,0,0,0,0,0,0,7568,32,7536,7578,37,7541,0
2060,7568,7568,7578,7569,71838,51533,20305,1936,5770,12599,7555,43,7512,7565,48,7517,0
2061,7568,7568,7578,6333,22038193,18107899,3930294,2350267,795595,784432,2326,179,2147,2366,217,2149,6946427
