"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,26997588,8580669,5179788,0,2237822,5116332,5882977,0,1068898,641583,42946,0,0,0,384369,0,7384,6078
2011,20071142,6645943,2808420,0,1096973,4683179,4836627,0,1122395,646556,88094,0,0,0,387745,0,7384,6084
2012,32784783,10323831,4576927,0,3165084,7308575,7410366,0,1364153,730866,193898,0,0,0,439389,0,7235,5953
2013,34571713,11581250,6516797,0,1073130,7868598,7531938,0,1387963,491748,597043,0,0,0,299172,0,7378,6096
2014,6000,4868,1132,0,0,0,0,0,698,347,189,0,0,0,162,0,2,0
2015,27928017,9046077,2460223,0,2486586,6939409,6995722,0,1982635,932418,487643,0,0,0,562574,0,7386,6046
2016,9814175,1947399,970137,0,245586,2529129,4121924,0,222332,139369,0,0,0,0,82963,0,3335,2139
2017,3868730,544066,245591,0,136093,1421876,1521104,0,108906,47565,32883,0,0,0,28458,0,1163,524
2018,31044616,9955508,5035408,0,2229043,6624279,7200378,0,1724725,807460,430233,0,0,0,487032,0,7037,5754
2019,9809207,2179667,1086956,0,45407,2584522,3912655,0,301644,120213,109034,0,0,0,72397,0,3698,3127
2020,1650587,449062,304918,0,105769,735578,55260,0,45730,16610,19204,0,0,0,9916,0,334,147
2021,1137693,344744,155706,0,93258,527407,16578,0,47602,20229,15448,0,0,0,11925,0,242,97
2022,6561584,923264,298016,0,170026,1771788,3398490,0,189724,97154,34481,0,0,0,58089,0,1321,590
2023,26996949,7936778,2863787,0,1972791,6791123,7432470,0,1256996,597290,299473,0,0,0,360233,0,5933,4601
2024,33834701,11137947,5185605,0,1464363,8315912,7730874,0,1187698,611361,208720,0,0,0,367617,0,7354,6060
2025,19521612,4042086,1632703,0,1417856,5333583,7095384,0,627140,243333,236693,0,0,0,147114,0,3981,2734
2026,2198443,560286,208101,0,53239,1034205,342612,0,120517,56276,30755,0,0,0,33486,0,479,355
2027,32279873,8347874,4877196,0,4527255,7115250,7412298,0,1280037,725374,119297,0,0,0,435366,0,7323,6042
2028,20901746,5775679,2784417,0,884409,5233031,6224210,0,900762,417218,231976,0,0,0,251568,0,5552,4273
