"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6305,33267295,26997588,6269707,3247651,1068898,1953158,184,184,0,227,227,0,7554091,2010,26997588,8580669,5179788,0,2237822,5116332,5882977,0,1068898,641583,42946,0,0,0,384369,0,7384,6078
2011,7568,7568,7578,6310,26198723,20071142,6127581,3797612,1122395,1207574,184,184,0,226,226,0,14640573,2011,20071142,6645943,2808420,0,1096973,4683179,4836627,0,1122395,646556,88094,0,0,0,387745,0,7384,6084
2012,7568,7568,7578,6322,39980610,32784783,7195827,3729634,1364153,2102040,333,191,142,369,227,142,0,2012,32784783,10323831,4576927,0,3165084,7308575,7410366,0,1364153,730866,193898,0,0,0,439389,0,7235,5953
2013,7568,7568,7578,6322,40770828,34571713,6199115,2039809,1387963,2771343,190,190,0,226,226,0,0,2013,34571713,11581250,6516797,0,1073130,7868598,7531938,0,1387963,491748,597043,0,0,0,299172,0,7378,6096
2014,7568,7568,7578,7577,11052,6000,5052,756,698,3598,7566,75,7491,7577,80,7497,0,2014,6000,4868,1132,0,0,0,0,0,698,347,189,0,0,0,162,0,2,0
2015,7568,7568,7578,6272,36505708,27928017,8577691,5432563,1982635,1162493,182,182,0,226,226,0,4316566,2015,27928017,9046077,2460223,0,2486586,6939409,6995722,0,1982635,932418,487643,0,0,0,562574,0,7386,6046
2016,7568,7568,7578,6422,11118128,9814175,1303953,250208,222332,831413,4233,158,4075,4283,203,4080,7337451,2016,9814175,1947399,970137,0,245586,2529129,4121924,0,222332,139369,0,0,0,0,82963,0,3335,2139
2017,7568,7568,7578,6956,4260010,3868730,391280,39903,108906,242471,6405,99,6306,6432,117,6315,2177732,2017,3868730,544066,245591,0,136093,1421876,1521104,0,108906,47565,32883,0,0,0,28458,0,1163,524
2018,7568,7568,7578,6322,38886462,31044616,7841846,4278658,1724725,1838463,531,194,337,568,230,338,0,2018,31044616,9955508,5035408,0,2229043,6624279,7200378,0,1724725,807460,430233,0,0,0,487032,0,7037,5754
2019,7568,7568,7578,7034,11089393,9809207,1280186,229724,301644,748818,3870,149,3721,3907,181,3726,9376049,2019,9809207,2179667,1086956,0,45407,2584522,3912655,0,301644,120213,109034,0,0,0,72397,0,3698,3127
2020,7568,7568,7578,7381,1845684,1650587,195097,128,45730,149239,7234,69,7165,7234,64,7170,0,2020,1650587,449062,304918,0,105769,735578,55260,0,45730,16610,19204,0,0,0,9916,0,334,147
2021,7568,7568,7578,7434,1337292,1137693,199599,1298,47602,150699,7326,45,7281,7337,49,7288,0,2021,1137693,344744,155706,0,93258,527407,16578,0,47602,20229,15448,0,0,0,11925,0,242,97
2022,7568,7568,7578,6858,7299846,6561584,738262,109251,189724,439287,6247,89,6158,6268,104,6164,0,2022,6561584,923264,298016,0,170026,1771788,3398490,0,189724,97154,34481,0,0,0,58089,0,1321,590
2023,7568,7568,7578,6279,32785758,26996949,5788809,2705911,1256996,1825902,1635,184,1451,1678,225,1453,0,2023,26996949,7936778,2863787,0,1972791,6791123,7432470,0,1256996,597290,299473,0,0,0,360233,0,5933,4601
2024,7568,7568,7578,6312,40638204,33834701,6803503,2828745,1187698,2787060,214,188,26,252,227,25,0,2024,33834701,11137947,5185605,0,1464363,8315912,7730874,0,1187698,611361,208720,0,0,0,367617,0,7354,6060
2025,7568,7568,7578,6367,21999006,19521612,2477394,669052,627140,1181202,3587,155,3432,3633,197,3436,0,2025,19521612,4042086,1632703,0,1417856,5333583,7095384,0,627140,243333,236693,0,0,0,147114,0,3981,2734
2026,7568,7568,7578,7447,2646954,2198443,448511,27415,120517,300579,7089,58,7031,7092,52,7040,0,2026,2198443,560286,208101,0,53239,1034205,342612,0,120517,56276,30755,0,0,0,33486,0,479,355
2027,7568,7568,7578,6322,39185001,32279873,6905128,3984381,1280037,1640710,245,197,48,280,232,48,1281897,2027,32279873,8347874,4877196,0,4527255,7115250,7412298,0,1280037,725374,119297,0,0,0,435366,0,7323,6042
2028,7568,7568,7578,6332,24985419,20901746,4083673,1599512,900762,1583399,2016,185,1831,2059,223,1836,5708574,2028,20901746,5775679,2784417,0,884409,5233031,6224210,0,900762,417218,231976,0,0,0,251568,0,5552,4273
2029,7568,7568,7578,6490,6797066,5968001,829065,201087,188494,439484,4895,133,4762,4930,159,4771,8002312,2029,5968001,1041272,444874,0,130695,1593272,2757888,0,188494,98796,30877,0,0,0,58821,0,2673,1560
2030,7568,7568,7578,7578,0,0,0,0,0,0,7568,24,7544,7578,25,7553,0,2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031,7568,7568,7578,6520,14759946,12956905,1803041,288435,403871,1110735,4897,130,4767,4920,146,4774,0,2031,12956905,2679218,1190856,0,410476,3166933,5509422,0,403871,193637,93968,0,0,0,116266,0,2671,1600
2032,7568,7568,7578,6322,20975312,17627386,3347926,1470244,579533,1298149,238,192,46,274,228,46,19571857,2032,17627386,5257252,2340959,0,1051991,4378905,4598279,0,579533,322209,64184,0,0,0,193140,0,7330,6048
2033,7568,7568,7578,6267,35428042,27963521,7464521,4695829,1476729,1291963,434,187,247,478,231,247,4000142,2033,27963521,8078819,4470634,0,2766051,5839083,6808934,0,1476729,814227,173387,0,0,0,489115,0,7134,5789
2034,7568,7568,7578,6509,12621733,11070789,1550944,286804,341212,922928,4854,132,4722,4877,147,4730,2380805,2034,11070789,2131400,1234246,0,233346,2671463,4800334,0,341212,174446,62334,0,0,0,104432,0,2714,1632
2035,7568,7568,7578,6334,30249324,25794780,4454544,2255328,856694,1342522,2094,187,1907,2134,226,1908,0,2035,25794780,6206463,3696432,0,2796599,5861752,7233534,0,856694,491063,71042,0,0,0,294589,0,5474,4200
2036,7568,7568,7578,6322,20140500,16687230,3453270,1557155,643383,1252732,238,194,44,274,230,44,20402052,2036,16687230,5084033,2969302,0,805547,3676792,4151556,0,643383,333328,109976,0,0,0,200079,0,7330,6048
