"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6310,40337154,32431548,7905606,3833077,1469275,2603254,185,185,0,226,226,0,461354
2011,7568,7568,7578,6322,40770828,32754265,8016563,4382734,1466109,2167720,190,190,0,226,226,0,0
2012,7568,7568,7578,6321,40770828,33146412,7624416,4114099,1490028,2020289,190,190,0,226,226,0,0
2013,7568,7568,7578,6326,31584061,28469711,3114350,664562,431231,2018557,1446,195,1251,1481,227,1254,2249093
2014,7568,7568,7578,6324,27174628,24407905,2766723,761322,419890,1585511,995,195,800,1032,233,799,9168892
2015,7568,7568,7578,6322,40748724,35642915,5105809,1782416,966447,2356946,194,191,3,230,227,3,0
2016,7568,7568,7578,6323,31056347,25861152,5195195,1898639,1035786,2260770,1029,191,838,1065,225,840,5088385
2017,7568,7568,7578,6809,7331590,6740586,591004,48317,108212,434475,6008,113,5895,6026,122,5904,1294598
2018,7568,7568,7578,6266,40792932,35343138,5449794,1954656,917362,2577776,186,183,3,230,227,3,0
2019,7568,7568,7578,6309,40798458,33613148,7185310,3103359,1321789,2760162,185,185,0,226,226,0,0
2020,7568,7568,7578,6406,19407292,18001742,1405550,419258,260604,725688,4056,137,3919,4111,181,3930,20
2021,7568,7568,7578,6322,27470208,22743988,4726220,2358665,910104,1457451,190,190,0,226,226,0,13328828
2022,7568,7568,7578,6322,40770828,32864166,7906662,3532878,1384161,2989623,190,190,0,226,226,0,0
2023,7568,7568,7578,6322,40128726,33652979,6475747,2533538,1090683,2851526,212,192,20,250,228,22,520530
2024,7568,7568,7578,6280,38593584,28706119,9887465,6866388,1768263,1252814,584,190,394,626,233,393,0
2025,7568,7568,7578,6313,40466898,34646285,5820613,2157743,1137395,2525475,245,198,47,281,234,47,0
2026,7568,7568,7578,7571,66312,41631,24681,1680,5663,17338,7556,58,7498,7567,63,7504,0
2027,7568,7568,7578,6324,34570656,29054761,5515895,2733027,1012444,1770424,1312,190,1122,1351,228,1123,0
2028,7568,7568,7578,6288,34206327,31086016,3120311,1968911,585903,565497,181,181,0,227,227,0,6627894
2029,7568,7568,7578,6313,40571892,31939677,8632215,5164161,1676396,1791658,226,194,32,263,231,32,0
2030,7568,7568,7578,6266,40809510,31619258,9190252,6019495,1871733,1299024,183,182,1,227,226,1,0
2031,7568,7568,7578,6322,40698990,31731765,8967225,5298782,1699649,1968794,203,191,12,239,227,12,0
2032,7568,7568,7578,6322,40350852,34476710,5874142,2345722,917007,2611413,266,195,71,302,231,71,0
2033,7568,7568,7578,6319,40739894,34738553,6001341,3209285,1036556,1755500,192,191,1,228,227,1,19882
