"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,32431548,11499327,3587638,0,1779657,8033188,7531738,0,1469275,767885,239422,0,0,0,461968,0,7383,6084
2011,32754265,10554537,3604901,0,3554556,7508333,7531938,0,1466109,829387,138805,0,0,0,497917,0,7378,6096
2012,33146412,10463783,7532815,0,2377066,5782358,6990390,0,1490028,722816,331828,0,0,0,435384,0,7378,6095
2013,28469711,7642185,6591316,0,614007,6349463,7272740,0,431231,231190,61168,0,0,0,138873,0,6122,4845
2014,24407905,5987868,4243971,0,1656962,6244986,6274118,0,419890,216996,72557,0,0,0,130337,0,6573,5292
2015,35642915,11269746,6095652,0,2538288,8135453,7603776,0,966447,438057,264072,0,0,0,264318,0,7374,6092
2016,25861152,8466705,3834920,0,181179,6488045,6890303,0,1035786,468080,285246,0,0,0,282460,0,6539,5258
2017,6740586,981043,442405,0,365540,1778414,3173184,0,108212,65039,4668,0,0,0,38505,0,1560,783
2018,35343138,11200034,5926419,0,3129791,7599164,7487730,0,917362,487879,136295,0,0,0,293188,0,7382,6036
2019,33613148,11426175,5662396,0,923997,8018908,7581672,0,1321789,657482,268595,0,0,0,395712,0,7383,6083
2020,18001742,3326576,1508266,0,2105939,4319241,6741720,0,260604,154876,13215,0,0,0,92513,0,3512,2295
2021,22743988,6678275,3846412,0,2616390,4463666,5139245,0,910104,480762,140574,0,0,0,288768,0,7378,6096
2022,32864166,11924702,5232476,0,382970,7720242,7603776,0,1384161,707762,250440,0,0,0,425959,0,7378,6096
2023,33652979,10962415,5505795,0,956026,8486817,7741926,0,1090683,571417,175692,0,0,0,343574,0,7356,6072
2024,28706119,8937725,3008152,0,869849,8098733,7791660,0,1768263,1102616,4665,0,0,0,660982,0,6984,5654
2025,34646285,10978175,7044625,0,1034253,8007560,7581672,0,1137395,492296,347656,0,0,0,297443,0,7323,6032
2026,41631,27744,13161,0,726,0,0,0,5663,3042,1055,0,0,0,1566,0,12,4
2027,29054761,7834584,3675553,0,2517493,7274153,7752978,0,1012444,564698,108604,0,0,0,339142,0,6256,4973
2028,31086016,6066683,3541167,0,10038289,5558132,5881745,0,585903,353072,21632,0,0,0,211199,0,7387,6061
2029,31939677,9923823,5469564,0,2263764,6805848,7476678,0,1676396,916941,208463,0,0,0,550992,0,7342,6050
2030,31619258,9633725,4657243,0,2516399,7224693,7587198,0,1871733,985456,293544,0,0,0,592733,0,7385,6039
2031,31731765,10136170,5327216,0,1557595,7234106,7476678,0,1699649,920964,225092,0,0,0,553593,0,7365,6083
2032,34476710,10524880,6288167,0,2659795,7554820,7449048,0,917007,546548,42852,0,0,0,327607,0,7302,6020
2033,34738553,10647969,4850640,0,4156052,7474590,7609302,0,1036556,623914,38777,0,0,0,373865,0,7376,6091
2034,34509937,10915389,6134346,0,3852734,6489980,7117488,0,1041668,648818,4236,0,0,0,388614,0,7383,6086
2035,29941687,10245413,3670301,0,1398988,7417987,7208998,0,1182176,689100,79674,0,0,0,413402,0,7351,6028
2036,26782856,8609997,3362519,0,2205964,6332519,6271857,0,814447,509473,0,0,0,0,304974,0,7375,6812
2037,33680751,11560964,5645164,0,2098911,7142178,7233534,0,1156282,631137,145994,0,0,0,379151,0,7386,6066
2038,3703093,841871,334608,0,191772,1638566,696276,0,113686,48334,36698,0,0,0,28654,0,759,368
2039,25799765,5555851,3343654,0,2438503,6730883,7730874,0,459563,228536,93628,0,0,0,137399,0,5162,3885
2040,24516071,7042569,4500680,0,1556100,5621331,5795391,0,815202,475226,55080,0,0,0,284896,0,7378,6096
2041,30844690,9417710,3502934,0,4662265,6612808,6648973,0,720539,434414,26082,0,0,0,260043,0,7321,6040
2042,33763033,10358513,6475593,0,3321616,6666655,6940656,0,1517047,663092,453345,0,0,0,400610,0,7386,6051
2043,6976084,1185871,593266,0,132133,1827703,3237111,0,166026,71966,50979,0,0,0,43081,0,2553,1491
2044,16626154,2731392,1620118,0,2024812,4068673,6181159,0,316394,181561,26536,0,0,0,108297,0,4089,2782
2045,32556062,10311366,5085586,0,2310814,7330802,7517494,0,1044610,498590,245599,0,0,0,300421,0,7387,6063
2046,32082995,10967683,2807982,0,2208813,8428429,7670088,0,1565968,852722,200816,0,0,0,512430,0,7336,6053
2047,31278686,10341544,3652127,0,2118584,7651071,7515360,0,1878656,976329,314812,0,0,0,587515,0,7337,6055
2048,33536211,9120565,4625472,0,5721295,6791137,7277742,0,1159902,725410,0,0,0,0,434492,0,7366,6068
2049,32011537,9659775,5230622,0,3007373,6869181,7244586,0,1967210,932427,472351,0,0,0,562432,0,7387,6795
2050,82185,43904,29080,0,9201,0,0,0,10168,4597,2970,0,0,0,2601,0,34,12
