"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6310,40337154,32431548,7905606,3833077,1469275,2603254,185,185,0,226,226,0,461354,2010,32431548,11499327,3587638,0,1779657,8033188,7531738,0,1469275,767885,239422,0,0,0,461968,0,7383,6084
2011,7568,7568,7578,6322,40770828,32754265,8016563,4382734,1466109,2167720,190,190,0,226,226,0,0,2011,32754265,10554537,3604901,0,3554556,7508333,7531938,0,1466109,829387,138805,0,0,0,497917,0,7378,6096
2012,7568,7568,7578,6321,40770828,33146412,7624416,4114099,1490028,2020289,190,190,0,226,226,0,0,2012,33146412,10463783,7532815,0,2377066,5782358,6990390,0,1490028,722816,331828,0,0,0,435384,0,7378,6095
2013,7568,7568,7578,6326,31584061,28469711,3114350,664562,431231,2018557,1446,195,1251,1481,227,1254,2249093,2013,28469711,7642185,6591316,0,614007,6349463,7272740,0,431231,231190,61168,0,0,0,138873,0,6122,4845
2014,7568,7568,7578,6324,27174628,24407905,2766723,761322,419890,1585511,995,195,800,1032,233,799,9168892,2014,24407905,5987868,4243971,0,1656962,6244986,6274118,0,419890,216996,72557,0,0,0,130337,0,6573,5292
2015,7568,7568,7578,6322,40748724,35642915,5105809,1782416,966447,2356946,194,191,3,230,227,3,0,2015,35642915,11269746,6095652,0,2538288,8135453,7603776,0,966447,438057,264072,0,0,0,264318,0,7374,6092
2016,7568,7568,7578,6323,31056347,25861152,5195195,1898639,1035786,2260770,1029,191,838,1065,225,840,5088385,2016,25861152,8466705,3834920,0,181179,6488045,6890303,0,1035786,468080,285246,0,0,0,282460,0,6539,5258
2017,7568,7568,7578,6809,7331590,6740586,591004,48317,108212,434475,6008,113,5895,6026,122,5904,1294598,2017,6740586,981043,442405,0,365540,1778414,3173184,0,108212,65039,4668,0,0,0,38505,0,1560,783
2018,7568,7568,7578,6266,40792932,35343138,5449794,1954656,917362,2577776,186,183,3,230,227,3,0,2018,35343138,11200034,5926419,0,3129791,7599164,7487730,0,917362,487879,136295,0,0,0,293188,0,7382,6036
2019,7568,7568,7578,6309,40798458,33613148,7185310,3103359,1321789,2760162,185,185,0,226,226,0,0,2019,33613148,11426175,5662396,0,923997,8018908,7581672,0,1321789,657482,268595,0,0,0,395712,0,7383,6083
2020,7568,7568,7578,6406,19407292,18001742,1405550,419258,260604,725688,4056,137,3919,4111,181,3930,20,2020,18001742,3326576,1508266,0,2105939,4319241,6741720,0,260604,154876,13215,0,0,0,92513,0,3512,2295
2021,7568,7568,7578,6322,27470208,22743988,4726220,2358665,910104,1457451,190,190,0,226,226,0,13328828,2021,22743988,6678275,3846412,0,2616390,4463666,5139245,0,910104,480762,140574,0,0,0,288768,0,7378,6096
2022,7568,7568,7578,6322,40770828,32864166,7906662,3532878,1384161,2989623,190,190,0,226,226,0,0,2022,32864166,11924702,5232476,0,382970,7720242,7603776,0,1384161,707762,250440,0,0,0,425959,0,7378,6096
2023,7568,7568,7578,6322,40128726,33652979,6475747,2533538,1090683,2851526,212,192,20,250,228,22,520530,2023,33652979,10962415,5505795,0,956026,8486817,7741926,0,1090683,571417,175692,0,0,0,343574,0,7356,6072
2024,7568,7568,7578,6280,38593584,28706119,9887465,6866388,1768263,1252814,584,190,394,626,233,393,0,2024,28706119,8937725,3008152,0,869849,8098733,7791660,0,1768263,1102616,4665,0,0,0,660982,0,6984,5654
2025,7568,7568,7578,6313,40466898,34646285,5820613,2157743,1137395,2525475,245,198,47,281,234,47,0,2025,34646285,10978175,7044625,0,1034253,8007560,7581672,0,1137395,492296,347656,0,0,0,297443,0,7323,6032
2026,7568,7568,7578,7571,66312,41631,24681,1680,5663,17338,7556,58,7498,7567,63,7504,0,2026,41631,27744,13161,0,726,0,0,0,5663,3042,1055,0,0,0,1566,0,12,4
2027,7568,7568,7578,6324,34570656,29054761,5515895,2733027,1012444,1770424,1312,190,1122,1351,228,1123,0,2027,29054761,7834584,3675553,0,2517493,7274153,7752978,0,1012444,564698,108604,0,0,0,339142,0,6256,4973
2028,7568,7568,7578,6288,34206327,31086016,3120311,1968911,585903,565497,181,181,0,227,227,0,6627894,2028,31086016,6066683,3541167,0,10038289,5558132,5881745,0,585903,353072,21632,0,0,0,211199,0,7387,6061
2029,7568,7568,7578,6313,40571892,31939677,8632215,5164161,1676396,1791658,226,194,32,263,231,32,0,2029,31939677,9923823,5469564,0,2263764,6805848,7476678,0,1676396,916941,208463,0,0,0,550992,0,7342,6050
2030,7568,7568,7578,6266,40809510,31619258,9190252,6019495,1871733,1299024,183,182,1,227,226,1,0,2030,31619258,9633725,4657243,0,2516399,7224693,7587198,0,1871733,985456,293544,0,0,0,592733,0,7385,6039
2031,7568,7568,7578,6322,40698990,31731765,8967225,5298782,1699649,1968794,203,191,12,239,227,12,0,2031,31731765,10136170,5327216,0,1557595,7234106,7476678,0,1699649,920964,225092,0,0,0,553593,0,7365,6083
2032,7568,7568,7578,6322,40350852,34476710,5874142,2345722,917007,2611413,266,195,71,302,231,71,0,2032,34476710,10524880,6288167,0,2659795,7554820,7449048,0,917007,546548,42852,0,0,0,327607,0,7302,6020
2033,7568,7568,7578,6319,40739894,34738553,6001341,3209285,1036556,1755500,192,191,1,228,227,1,19882,2033,34738553,10647969,4850640,0,4156052,7474590,7609302,0,1036556,623914,38777,0,0,0,373865,0,7376,6091
2034,7568,7568,7578,6312,40798458,34509937,6288521,3005390,1041668,2241463,185,185,0,226,226,0,0,2034,34509937,10915389,6134346,0,3852734,6489980,7117488,0,1041668,648818,4236,0,0,0,388614,0,7383,6086
2035,7568,7568,7578,6290,36939673,29941687,6997986,3327795,1182176,2488015,217,184,33,262,229,33,3687778,2035,29941687,10245413,3670301,0,1398988,7417987,7208998,0,1182176,689100,79674,0,0,0,413402,0,7351,6028
2036,7568,7568,7578,7026,31918132,26782856,5135276,2394470,814447,1926359,193,190,3,214,211,3,8853122,2036,26782856,8609997,3362519,0,2205964,6332519,6271857,0,814447,509473,0,0,0,0,304974,0,7375,6812
2037,7568,7568,7578,6294,40815036,33680751,7134285,2895003,1156282,3083000,182,182,0,228,228,0,0,2037,33680751,11560964,5645164,0,2098911,7142178,7233534,0,1156282,631137,145994,0,0,0,379151,0,7386,6066
2038,7568,7568,7578,7203,4194234,3703093,491141,12828,113686,364627,6809,98,6711,6835,118,6717,0,2038,3703093,841871,334608,0,191772,1638566,696276,0,113686,48334,36698,0,0,0,28654,0,759,368
2039,7568,7568,7578,6334,28425604,25799765,2625839,730027,459563,1436249,2406,185,2221,2449,222,2227,99608,2039,25799765,5555851,3343654,0,2438503,6730883,7730874,0,459563,228536,93628,0,0,0,137399,0,5162,3885
2040,7568,7568,7578,6322,29234241,24516071,4718170,2236004,815202,1666964,190,190,0,226,226,0,11561052,2040,24516071,7042569,4500680,0,1556100,5621331,5795391,0,815202,475226,55080,0,0,0,284896,0,7378,6096
2041,7568,7568,7578,6323,34997166,30844690,4152476,2125444,720539,1306493,247,194,53,283,231,52,5470036,2041,30844690,9417710,3502934,0,4662265,6612808,6648973,0,720539,434414,26082,0,0,0,260043,0,7321,6040
2042,7568,7568,7578,6277,40815036,33763033,7052003,3395394,1517047,2139562,182,182,0,226,226,0,0,2042,33763033,10358513,6475593,0,3321616,6666655,6940656,0,1517047,663092,453345,0,0,0,400610,0,7386,6051
2043,7568,7568,7578,6530,7691300,6976084,715216,61495,166026,487695,5015,116,4899,5039,131,4908,6441186,2043,6976084,1185871,593266,0,132133,1827703,3237111,0,166026,71966,50979,0,0,0,43081,0,2553,1491
2044,7568,7568,7578,6311,18076054,16626154,1449900,697419,316394,436087,3479,165,3314,3529,209,3320,4533072,2044,16626154,2731392,1620118,0,2024812,4068673,6181159,0,316394,181561,26536,0,0,0,108297,0,4089,2782
2045,7568,7568,7578,6290,37879768,32556062,5323706,2151396,1044610,2127700,181,181,0,227,227,0,2943326,2045,32556062,10311366,5085586,0,2310814,7330802,7517494,0,1044610,498590,245599,0,0,0,300421,0,7387,6063
2046,7568,7568,7578,6322,40538736,32082995,8455741,4241635,1565968,2648138,232,193,39,269,229,40,0,2046,32082995,10967683,2807982,0,2208813,8428429,7670088,0,1565968,852722,200816,0,0,0,512430,0,7336,6053
2047,7568,7568,7578,6322,40544262,31278686,9265576,5530048,1878656,1856872,231,195,36,267,230,37,0,2047,31278686,10341544,3652127,0,2118584,7651071,7515360,0,1878656,976329,314812,0,0,0,587515,0,7337,6055
2048,7568,7568,7578,6309,40256883,33536211,6720672,4033550,1159902,1527220,202,190,12,241,229,12,447633,2048,33536211,9120565,4625472,0,5721295,6791137,7277742,0,1159902,725410,0,0,0,0,434492,0,7366,6068
2049,7568,7568,7578,7009,40820562,32011537,8809025,5348278,1967210,1493537,181,181,0,214,214,0,0,2049,32011537,9659775,5230622,0,3007373,6869181,7244586,0,1967210,932427,472351,0,0,0,562432,0,7387,6795
2050,7568,7568,7578,7557,118694,82185,36509,3654,10168,22687,7534,39,7495,7545,41,7504,69190,2050,82185,43904,29080,0,9201,0,0,0,10168,4597,2970,0,0,0,2601,0,34,12
2051,7568,7568,7578,7539,342612,216955,125657,6975,27670,91012,7506,35,7471,7516,39,7477,0,2051,216955,150198,56524,0,10233,0,0,0,27670,15398,3120,0,0,0,9152,0,62,23
2052,7568,7568,7578,7573,38682,28009,10673,163,2316,8194,7561,69,7492,7570,73,7497,0,2052,28009,15939,10319,0,1751,0,0,0,2316,1008,926,0,0,0,382,0,7,3
2053,7568,7568,7578,7403,1441820,1182523,259297,3292,55701,200304,7265,48,7217,7275,54,7221,232558,2053,1182523,421447,220410,0,32312,489266,19088,0,55701,26874,12984,0,0,0,15843,0,303,128
2054,7568,7568,7578,6268,40803984,33497612,7306372,4274734,1394579,1637059,184,182,2,228,226,2,0,2054,33497612,10303414,3662882,0,3538981,8261461,7730874,0,1394579,768278,164838,0,0,0,461463,0,7384,6040
2055,7568,7568,7578,6322,37752438,31596673,6155765,2941587,1235416,1978762,191,191,0,227,227,0,3016934,2055,31596673,9766319,6857621,0,2176249,5949688,6846796,0,1235416,565714,328447,0,0,0,341255,0,7377,6095
2056,7568,7568,7578,7430,1398078,1086419,311659,27538,69597,214524,7315,53,7262,7325,53,7272,0,2056,1086419,437722,129480,0,103753,415464,0,0,69597,40319,5505,0,0,0,23773,0,253,105
2057,7568,7568,7578,6312,26160680,22603431,3557249,2557399,673438,326412,186,186,0,226,226,0,14664003,2057,22603431,5333522,2515383,0,5316783,4515832,4921911,0,673438,414115,11585,0,0,0,247738,0,7382,6086
2058,7568,7568,7578,6323,37526216,30065444,7460772,3670367,1231062,2559343,777,189,588,814,226,588,850,2058,30065444,9799854,4222022,0,1068497,7448659,7526412,0,1231062,749187,32810,0,0,0,449065,0,6791,5509
2059,7568,7568,7578,6322,40743198,33089617,7653581,3428085,1515553,2709943,195,191,4,231,227,4,0,2059,33089617,11400258,5098248,0,1790199,7418176,7382736,0,1515553,704071,386667,0,0,0,424815,0,7373,6091
2060,7568,7568,7578,6324,33875682,27750851,6124831,3537697,1058385,1528749,777,193,584,815,232,583,3657759,2060,27750851,7634944,3499346,0,3368306,6295714,6952541,0,1058385,661940,0,0,0,0,396445,0,6791,5509
2061,7568,7568,7578,6313,40779607,37422564,3357043,2129768,649000,578275,186,186,0,226,226,0,13325,2061,37422564,7545499,4506877,0,11489942,6635660,7244586,0,649000,376964,46497,0,0,0,225539,0,7382,6087
2062,7568,7568,7578,6320,40595377,34060492,6534885,2842666,1331212,2361007,194,193,1,229,228,1,153347,2062,34060492,10670185,7772618,0,1847959,6536196,7233534,0,1331212,590754,383785,0,0,0,356673,0,7374,6091
2063,7568,7568,7578,6518,14337285,12835537,1501748,424496,331550,745702,4970,132,4838,4995,153,4842,19263,2063,12835537,2079542,1213686,0,917824,3076381,5548104,0,331550,183936,37647,0,0,0,109967,0,2598,1523
2064,7568,7568,7578,6322,40748724,32477435,8271289,4514424,1549171,2207694,194,191,3,230,227,3,0,2064,32477435,10412948,5428089,0,2142957,7138335,7355106,0,1549171,836378,210171,0,0,0,502622,0,7374,6092
2065,7568,7568,7578,6322,37978355,31196721,6781634,2929146,1179977,2672511,406,195,211,442,231,211,1599634,2065,31196721,10425231,4764729,0,476098,7915544,7615119,0,1179977,638519,157657,0,0,0,383801,0,7162,5880
2066,7568,7568,7578,6288,19032381,16521060,2511321,1540688,425917,544716,475,197,278,518,240,278,20207019,2066,16521060,3940847,1952285,0,2008640,4159057,4460231,0,425917,266697,0,0,0,0,159220,0,7093,5770
