"cnrmcm3","gfdlcm21","miroc32med","mpiecham5","ncarccsm3","ncarpcm1"
5015.11731493099,5526,5502.71530837004,5526,4505.32164138678,5463.51808208046
4471.69055374593,3362.42123238936,5526,5526,3548.03940953413,5526
5166.27618506954,5526,5444.37073170732,5526,5526,5526
4482.24667931689,5526,5526,5526,5526,5159.10829794185
3456.40138267588,5526,5526,4612.84990460038,5526,4134.28084588468
5526,4724.67096243488,5526,5136.78939724038,4942.55456268616,5526
1078.82437373053,5526,69.9611395178963,5526,3333.77151424288,4749.40311974308
5525.4520714866,4344.58685446009,5526,3135.20584884163,3662.94926913156,4699.73717948718
4351.4546127647,5526,5526,5526,5526,5526
5526,5526,5526,5526,2998.75419145484,5526
5526,5526,5526,5526,5526,5525.99430523918
3643.00311695352,5525.66949152542,5526,5526,5526,3723.25941989699
3416.49749492214,5232.8078680203,5526,5526,5526,5526
5526,NA,4887.27244414353,5526,5526,5455.23735725938
4283.37591438635,5526,5526,5526,5526,5526
4781.48098010018,5526,1742.95719773185,5526,5526,5526
3419.21981932658,5449.31617447846,5526,4064.7337106571,5526,5526
5526,5526,5526,5480.00935466377,5350.94920114707,5526
5526,5223.44029850746,5526,5526,4500.25558357349,4630.61147962637
5526,3347.87487922705,5526,5440.8112033195,2542.86045641601,5526
3830.86122393718,5526,NA,5526,NA,5526
5525.68079057804,5526,5526,5526,5526,5526
5129.47562203365,NA,5526,5526,2861.57053206003,5526
5526,3103.98903234763,5523.79749103943,5526,4966.08382394169,5523.3045010846
5526,5091.66323350047,4906.41533906669,4728.30875576037,4650.60169491525,5526
5517.78713608666,4767.2380952381,5526,4321.2423904974,5526,5025.12216025031
5526,4724.92631578947,3664.85931477516,5526,2747.68076398363,4327.88230508475
4059.9603894667,5526,3858.26223728814,5001.47658610272,5526,5526
5526,5526,5525.93485203321,5165.66201193059,1456.96153846154,5526
5526,5526,5208.63879210221,5526,5523.29849548646,5506.70360325455
3881.20576759966,NA,5526,1905,5526,3962.35307671456
5526,5526,3029.77364341085,5526,NA,4780.38054910531
5526,2009,5526,5091.4824549519,NA,5526
5526,5526,5526,5088.57150037698,NA,3012.651782217
5063.18218623482,5238.816380182,4848,5526,5526,4420.65394962093
NA,5526,2663,NA,5526,5127.89603357249
5526,5517.62562396007,4900.60754716981,4672,5526,5526
5526,5526,2175.8519486692,5526,5522.95532422468,5526
5517.05782312925,3966.91849791377,5526,5526,5232.85047720042,5465.22983980451
5525.65410958904,5526,NA,5525.95623632385,5526,5526
5284.14082020641,5242.56603773585,NA,4391.79958506224,5526,3491
5526,5526,5523.386236369,4613.17437047258,5220.45112781955,5526
5526,3866.47010309278,3922.83870967742,5525.14376607554,5525.95786516854,5526
5526,3898.59465541491,5526,4176.28240238612,335.529863013699,4758.48184818482
5526,3880.01095360825,3113.3634057971,NA,5526,5526
4559.12098631622,5526,5526,5526,4273.32652186339,5117.58682391216
4209.00962320412,NA,5525.86268174475,4111.28097943723,4348.9458170046,5526
3859.42705723646,5526,5526,2720.95165394402,4039.47026183458,3543.84719588187
5526,5526,4213,5526,NA,5525.87483433957
NA,2447.35142396561,NA,5449.58998971546,NA,5526
NA,5526,NA,4205.8947368421,5526,4988.32012958327
NA,5321.87578594383,2425.62287353966,5101.69824561403,4204.15738267837,5524.19493362232
NA,NA,5513.05495274764,5526,5094.99894387447,5505.20436669379
5526,NA,5526,NA,5526,5518.58545034642
4058.42105263158,5526,4656.42598320813,5522.06177387362,4446,5526
4260.49425981873,NA,NA,4295.89073806078,4313.42105263158,5302.75830773527
NA,5526,3391,5186.28589509211,5525.84962406015,2683.26251233611
5526,NA,3423.87790697674,NA,NA,5465.81991492043
NA,1859,5310.26929824561,NA,NA,5526
NA,NA,2311.51379310345,NA,5526,4663.55433164632
NA,4783.41610738255,NA,2264.69230769231,3049.59381359381,5526
3749.48344370861,3453.61290322581,2323.9539295393,5519.38294573643,3391,5526
NA,2635.94819277108,4873,4460.64582415969,4798,5526
5074.77424892704,3597.83402905326,NA,3556.43584854263,4839.6224054592,5442.03253355022
5526,1244.61728395062,5174,4091.51835443038,NA,166.35686035899
2561,NA,NA,NA,NA,3575.38822065533
2447.77313624679,NA,NA,NA,5137.81172839506,5526
1614.93076638282,NA,NA,NA,NA,5526
1177.78705118411,NA,NA,1671.21285249458,5387.35751840168,5045.83333333333
2836.17091836735,NA,NA,NA,NA,4396
5526,NA,1063.88059701493,1521.53626029008,5526,5522.49172932331
NA,NA,3510.13538461538,4084.31429011395,2045.96216124084,4713.45315254237
NA,NA,4103.97690692792,3127.18879056047,NA,5526
5526,NA,3877.58559153999,4038.75888888889,2435.92307692308,5526
3179.15669108451,NA,2856.80869565217,468.75574288725,NA,NA
4406.97088906373,NA,2477.31428571429,581.513096222774,1718.66666666667,NA
NA,NA,NA,1563.81053351573,NA,5526
NA,NA,NA,4523.7012987013,1380.88531807176,NA
5526,NA,NA,NA,3975.42786683107,2867.58540584859
NA,Inf,NA,2602.29404309252,NA,5526
NA,NA,4611,1401.93034427542,Inf,4714.26820171883
4733.00033613445,NA,1467.26699834163,0,NA,5526
3821.99602385686,NA,884.5,678,NA,5526
2920.99908340972,NA,NA,NA,NA,5526
NA,NA,NA,NA,NA,5013.5239912759
NA,NA,Inf,0,NA,5526
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,0,0,NA,0,NA
5488.68376068376,NA,NA,1770.8380952381,NA,NA
