"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6309,35386180,32018429,3367751,2094954,598508,674289,185,185,0,226,226,0,5423234
2011,7568,7568,7578,6309,17913335,15903097,2010238,1263476,391333,355429,186,186,0,226,226,0,22932776
2012,7568,7568,7578,6267,40710042,33218491,7491551,3307494,1464469,2719588,201,183,18,247,227,20,0
2013,7568,7568,7578,6322,39899522,32574085,7325437,4041983,1226495,2056959,190,190,0,226,226,0,871558
2014,7568,7568,7578,6275,40815036,34975761,5839275,2544984,1063944,2230347,182,182,0,226,226,0,0
2015,7568,7568,7578,6426,14973052,12858768,2114284,656986,590979,866319,4493,133,4360,4536,169,4367,2027037
2016,7568,7568,7578,6323,23504171,20294388,3209783,1292568,583510,1333705,969,192,777,1008,227,781,12991738
2017,7568,7568,7578,6274,40571892,32413330,8158562,4084817,1647177,2426568,226,187,39,271,231,40,0
2018,7568,7568,7578,6322,40174020,35795062,4378958,1978625,749907,1650426,298,192,106,335,227,108,0
2019,7568,7568,7578,6322,9886607,8780906,1105701,351236,235180,519285,283,193,90,319,229,90,30435355
2020,7568,7568,7578,6323,25091139,21428731,3662408,2039970,657853,964585,561,198,363,600,235,365,13659841
2021,7568,7568,7578,6285,40820562,32367541,8453021,5432128,1853547,1167346,181,181,0,227,227,0,0
2022,7568,7568,7578,6267,40650093,34474123,6175970,3602594,1187918,1385458,203,187,16,247,231,16,48897
2023,7568,7568,7578,6293,28845720,23979194,4866526,2040812,1051274,1774440,2348,173,2175,2396,214,2182,0
2024,7568,7568,7578,6290,40815036,32970782,7844254,4583214,1315544,1945496,182,182,0,227,227,0,0
2025,7568,7568,7578,6266,29254862,23872979,5381883,3496172,1126973,758738,182,182,0,226,226,0,11587525
2026,7568,7568,7578,6272,40069026,32269671,7799355,4041523,1824211,1933621,317,185,132,363,227,136,0
2027,7568,7568,7578,7535,375768,272546,103222,659,20374,82189,7500,39,7461,7510,41,7469,0
2028,7568,7568,7578,6953,5466689,4991491,475198,58533,121224,295441,6443,114,6329,6467,129,6338,753979
2029,7568,7568,7578,6282,23010994,19502243,3508751,1874617,711945,922189,417,188,229,460,232,228,16539690
2030,7568,7568,7578,7553,243144,151103,92041,9867,23127,59047,7524,43,7481,7534,53,7481,0
2031,7568,7568,7578,6322,40737672,31199907,9537765,5258395,1860133,2419237,196,195,1,231,230,1,0
2032,7568,7568,7578,6288,37187444,32036099,5151345,3064715,933198,1153432,566,185,381,613,230,383,1506235
2033,7568,7568,7578,6268,40815036,37710478,3104558,1051080,639264,1414214,182,182,0,226,226,0,0
2034,7568,7568,7578,6327,34653546,28700178,5953368,2302140,1277681,2373547,1297,192,1105,1336,228,1108,0
2035,7568,7568,7578,6720,10057320,9354867,702453,56387,152211,493855,5748,121,5627,5760,123,5637,0
2036,7568,7568,7578,6322,40721094,33897768,6823326,4568749,1280624,973953,199,190,9,236,226,10,0
2037,7568,7568,7578,6266,40798458,35238405,5560053,3526956,978294,1054803,185,182,3,229,226,3,0
2038,7568,7568,7578,7025,38708724,29323472,9385252,5808179,1771250,1805823,181,181,0,213,213,0,2115331
2039,7568,7568,7578,6323,39435012,33119277,6315735,3401678,1200624,1713433,431,195,236,470,233,237,4050
2040,7568,7568,7578,6431,19589670,16441212,3148458,1140658,711419,1296381,4023,154,3869,4076,200,3876,0
2041,7568,7568,7578,6285,40792932,34656266,6136666,2713729,1309269,2113668,186,183,3,232,229,3,0
2042,7568,7568,7578,6324,25649272,20968006,4681266,2198011,964296,1518959,1245,187,1058,1286,221,1065,9312875
2043,7568,7568,7578,6353,21307721,18522315,2785406,932682,487373,1365351,3157,161,2996,3203,200,3003,3070804
2044,7568,7568,7578,6269,40815036,33845285,6969751,3424441,1444431,2100879,182,182,0,226,226,0,0
2045,7568,7568,7578,6337,27701838,25382511,2319327,836187,497829,985311,2555,165,2390,2600,204,2396,0
2046,7568,7568,7578,6272,39472218,31925992,7546226,4345891,1357752,1842583,425,190,235,467,233,234,0
2047,7568,7568,7578,6308,32729701,26626163,6103538,2989587,1060148,2053803,187,186,1,228,227,1,8075382
2048,7568,7568,7578,6322,40737672,33084567,7653105,3415561,2148510,2089034,196,192,4,232,228,4,0
2049,7568,7568,7578,7549,580230,317269,262961,53233,80549,129179,7463,24,7439,7477,29,7448,0
2050,7568,7568,7578,7017,6144912,5471248,673664,50394,131235,492035,6456,86,6370,6482,104,6378,0
2051,7568,7568,7578,7577,26458342,21106297,5352045,3417603,1002602,931840,184,184,0,200,200,0,14378779
2052,7568,7568,7578,6302,34831733,29790201,5041532,1720741,1074557,2246234,183,183,0,227,227,0,5989358
2053,7568,7568,7578,6349,24291456,20782614,3508842,996913,666958,1844971,3083,177,2906,3125,215,2910,492679
2054,7568,7568,7578,6340,27873144,23748500,4124644,1779428,860605,1484611,2524,166,2358,2569,208,2361,0
2055,7568,7568,7578,6456,12452143,11326421,1125722,240222,230825,654675,4703,128,4575,4751,170,4581,3391452
2056,7568,7568,7578,6316,35786376,29707977,6078399,3460142,1107780,1510477,1092,188,904,1130,224,906,0
2057,7568,7568,7578,6267,40792932,33071047,7721885,5204894,1358626,1158365,186,183,3,230,227,3,0
2058,7568,7568,7578,6283,24722023,20974217,3747806,1863231,696319,1188256,180,180,0,228,228,0,16139106
2059,7568,7568,7578,6322,29051387,23739701,5311686,2836681,908205,1566800,366,191,175,404,227,177,10770375
2060,7568,7568,7578,6317,40859244,34962237,5897007,2674566,1001650,2220791,174,174,0,212,212,0,0
2061,7568,7568,7578,6322,40770828,32419982,8350846,4758451,2022362,1570033,190,190,0,226,226,0,0
2062,7568,7568,7578,7572,143676,82863,60813,14787,16213,29813,7542,23,7519,7555,25,7530,0
2063,7568,7568,7578,6281,37924938,30404686,7520252,3903616,2016330,1600306,705,193,512,747,235,512,0
2064,7568,7568,7578,7576,16578,10954,5624,4,612,5008,7565,19,7546,7575,13,7562,0
2065,7568,7568,7578,6339,29073977,23745605,5328372,2500455,1236833,1591084,2247,182,2065,2288,220,2068,329869
