"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6309,35386180,32018429,3367751,2094954,598508,674289,185,185,0,226,226,0,5423234,2010,32018429,7917626,4242102,0,8265880,5449655,6143166,0,598508,369476,8095,0,0,0,220937,0,7383,6083
2011,7568,7568,7578,6309,17913335,15903097,2010238,1263476,391333,355429,186,186,0,226,226,0,22932776,2011,15903097,3587911,2183625,0,3767129,2982655,3381777,0,391333,224736,32482,0,0,0,134115,0,7382,6083
2012,7568,7568,7578,6267,40710042,33218491,7491551,3307494,1464469,2719588,201,183,18,247,227,20,0,2012,33218491,11425917,5845296,0,1759198,6998754,7189326,0,1464469,682561,370212,0,0,0,411696,0,7367,6020
2013,7568,7568,7578,6322,39899522,32574085,7325437,4041983,1226495,2056959,190,190,0,226,226,0,871558,2013,32574085,9733267,4007562,0,3921282,7424570,7487404,0,1226495,764608,3815,0,0,0,458072,0,7378,6096
2014,7568,7568,7578,6275,40815036,34975761,5839275,2544984,1063944,2230347,182,182,0,226,226,0,0,2014,34975761,10298841,7401033,0,4949364,5822421,6504102,0,1063944,537782,202839,0,0,0,323323,0,7386,6049
2015,7568,7568,7578,6426,14973052,12858768,2114284,656986,590979,866319,4493,133,4360,4536,169,4367,2027037,2015,12858768,2441369,1011939,0,361098,3413538,5630824,0,590979,261522,171889,0,0,0,157568,0,3075,1890
2016,7568,7568,7578,6323,23504171,20294388,3209783,1292568,583510,1333705,969,192,777,1008,227,781,12991738,2016,20294388,5386036,2699697,0,2083231,4788658,5336766,0,583510,320428,70956,0,0,0,192126,0,6599,5315
2017,7568,7568,7578,6274,40571892,32413330,8158562,4084817,1647177,2426568,226,187,39,271,231,40,0,2017,32413330,10928019,4268659,0,1599128,8041378,7576146,0,1647177,805553,356227,0,0,0,485397,0,7342,6003
2018,7568,7568,7578,6322,40174020,35795062,4378958,1978625,749907,1650426,298,192,106,335,227,108,0,2018,35795062,9418836,8073639,0,4764978,6414595,7123014,0,749907,427010,66858,0,0,0,256039,0,7270,5987
2019,7568,7568,7578,6322,9886607,8780906,1105701,351236,235180,519285,283,193,90,319,229,90,30435355,2019,8780906,1948408,1242054,0,369475,2395901,2825068,0,235180,105951,65908,0,0,0,63321,0,7285,6003
2020,7568,7568,7578,6323,25091139,21428731,3662408,2039970,657853,964585,561,198,363,600,235,365,13659841,2020,21428731,5668370,2612444,0,3234847,4634699,5278371,0,657853,397336,22907,0,0,0,237610,0,7007,5723
2021,7568,7568,7578,6285,40820562,32367541,8453021,5432128,1853547,1167346,181,181,0,227,227,0,0,2021,32367541,9032247,5418306,0,5084124,5930890,6901974,0,1853547,916688,384720,0,0,0,552139,0,7387,6058
2022,7568,7568,7578,6267,40650093,34474123,6175970,3602594,1187918,1385458,203,187,16,247,231,16,48897,2022,34474123,10196830,6082101,0,3799776,6924264,7471152,0,1187918,662524,127703,0,0,0,397691,0,7365,6020
2023,7568,7568,7578,6293,28845720,23979194,4866526,2040812,1051274,1774440,2348,173,2175,2396,214,2182,0,2023,23979194,6500297,3639090,0,1350780,5564949,6924078,0,1051274,504942,242175,0,0,0,304157,0,5220,3897
2024,7568,7568,7578,6290,40815036,32970782,7844254,4583214,1315544,1945496,182,182,0,227,227,0,0,2024,32970782,10406899,3741394,0,3552145,7666568,7603776,0,1315544,822558,0,0,0,0,492986,0,7386,6063
2025,7568,7568,7578,6266,29254862,23872979,5381883,3496172,1126973,758738,182,182,0,226,226,0,11587525,2025,23872979,6220918,4105822,0,3036032,5069981,5440226,0,1126973,587874,185783,0,0,0,353316,0,7386,6040
2026,7568,7568,7578,6272,40069026,32269671,7799355,4041523,1824211,1933621,317,185,132,363,227,136,0,2026,32269671,10479186,5996462,0,760755,7479226,7554042,0,1824211,748478,622455,0,0,0,453278,0,7251,5909
2027,7568,7568,7578,7535,375768,272546,103222,659,20374,82189,7500,39,7461,7510,41,7469,0,2027,272546,163729,107599,0,1218,0,0,0,20374,10274,3980,0,0,0,6120,0,68,25
2028,7568,7568,7578,6953,5466689,4991491,475198,58533,121224,295441,6443,114,6329,6467,129,6338,753979,2028,4991491,623804,326137,0,104959,1631662,2304929,0,121224,59522,26398,0,0,0,35304,0,1125,486
2029,7568,7568,7578,6282,23010994,19502243,3508751,1874617,711945,922189,417,188,229,460,232,228,16539690,2029,19502243,4634579,2504503,0,1883761,5228583,5250817,0,711945,359290,136818,0,0,0,215837,0,7151,5822
2030,7568,7568,7578,7553,243144,151103,92041,9867,23127,59047,7524,43,7481,7534,53,7481,0,2030,151103,98276,40230,0,12597,0,0,0,23127,11565,4801,0,0,0,6761,0,44,19
2031,7568,7568,7578,6322,40737672,31199907,9537765,5258395,1860133,2419237,196,195,1,231,230,1,0,2031,31199907,11357384,3174917,0,1216801,7896763,7554042,0,1860133,947609,342113,0,0,0,570411,0,7372,6091
2032,7568,7568,7578,6288,37187444,32036099,5151345,3064715,933198,1153432,566,185,381,613,230,383,1506235,2032,32036099,7250865,4928235,0,5532157,7096670,7228172,0,933198,559900,37862,0,0,0,335436,0,7002,5675
2033,7568,7568,7578,6268,40815036,37710478,3104558,1051080,639264,1414214,182,182,0,226,226,0,0,2033,37710478,10298646,7446559,0,4720056,7729857,7515360,0,639264,274884,198503,0,0,0,165877,0,7386,6042
2034,7568,7568,7578,6327,34653546,28700178,5953368,2302140,1277681,2373547,1297,192,1105,1336,228,1108,0,2034,28700178,8870530,4420218,0,1645784,6508008,7255638,0,1277681,567652,367284,0,0,0,342745,0,6271,4991
2035,7568,7568,7578,6720,10057320,9354867,702453,56387,152211,493855,5748,121,5627,5760,123,5637,0,2035,9354867,1525411,1127744,0,418957,2226671,4056084,0,152211,74486,33193,0,0,0,44532,0,1820,960
2036,7568,7568,7578,6322,40721094,33897768,6823326,4568749,1280624,973953,199,190,9,236,226,10,0,2036,33897768,7784684,4810818,0,6490001,7330061,7482204,0,1280624,768011,52476,0,0,0,460137,0,7369,6086
2037,7568,7568,7578,6266,40798458,35238405,5560053,3526956,978294,1054803,185,182,3,229,226,3,0,2037,35238405,8642089,6387223,0,7505976,5989027,6714090,0,978294,611037,1424,0,0,0,365833,0,7383,6037
2038,7568,7568,7578,7025,38708724,29323472,9385252,5808179,1771250,1805823,181,181,0,213,213,0,2115331,2038,29323472,10051365,2679678,0,2012493,7385536,7194400,0,1771250,1002110,167181,0,0,0,601959,0,7387,6812
2039,7568,7568,7578,6323,39435012,33119277,6315735,3401678,1200624,1713433,431,195,236,470,233,237,4050,2039,33119277,8547833,8336445,0,2799256,6589029,6846714,0,1200624,622955,203139,0,0,0,374530,0,7137,5853
