"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6268,40533210,33230182,7303028,4096936,1492547,1713545,233,185,48,277,229,48,0
2011,7568,7568,7578,6322,34510554,28199661,6310893,2819231,1187363,2304299,238,195,43,274,231,43,6006332
2012,7568,7568,7578,6343,23916528,21114789,2801739,838522,607506,1355711,3240,178,3062,3287,218,3069,0
2013,7568,7568,7578,6702,9712109,9100663,611446,127920,127541,355985,5803,113,5690,5820,122,5698,41281
2014,7568,7568,7578,6278,40815036,36969748,3845288,2400974,683346,760968,182,182,0,226,226,0,0
2015,7568,7568,7578,6274,525260,487072,38188,25157,3667,9364,182,182,0,226,226,0,40386992
2016,7568,7568,7578,6312,40030344,34084742,5945602,3059039,976217,1910346,324,190,134,362,227,135,0
2017,7568,7568,7578,6322,39558592,30732000,8826592,5624804,1576487,1625301,192,192,0,227,227,0,1201536
2018,7568,7568,7578,6316,40759776,34671862,6087914,3778050,1117431,1192433,192,189,3,229,226,3,0
2019,7568,7568,7578,6309,13008829,10923293,2085536,981123,437962,666451,183,183,0,227,227,0,27863473
2020,7568,7568,7578,6565,12466656,11165326,1301330,190223,243506,867601,5312,119,5193,5339,139,5200,0
2021,7568,7568,7578,6519,15240708,13017667,2223041,829380,589310,804351,4810,137,4673,4837,160,4677,0
2022,7568,7568,7578,6282,39943600,32873643,7069957,3759281,1330057,1980619,333,185,148,375,227,148,37010
2023,7568,7568,7578,6273,36833502,31047983,5785519,1963672,1450773,2371074,896,183,713,942,226,716,35970
2024,7568,7568,7578,6410,18688932,17443391,1245541,212714,262521,770306,4186,145,4041,4238,191,4047,0
2025,7568,7568,7578,6322,39367224,33425129,5942095,2494849,1140632,2306614,444,196,248,481,232,249,0
2026,7568,7568,7578,6322,40759776,34411351,6348425,2628835,1880203,1839387,192,192,0,227,227,0,0
2027,7568,7568,7578,6810,7891128,7079073,812055,122774,237553,451728,6140,112,6028,6168,130,6038,0
2028,7568,7568,7578,6511,15240708,13763708,1477000,240726,369971,866303,4810,137,4673,4832,156,4676,0
2029,7568,7568,7578,6828,5317452,4883362,434090,86123,127009,220958,6146,85,6061,6168,99,6069,2552651
2030,7568,7568,7578,6271,40605048,36350500,4254548,2400910,847429,1006209,220,186,34,264,231,33,0
2031,7568,7568,7578,6322,40737672,31257496,9480176,5739854,1935185,1805137,196,193,3,231,228,3,0
2032,7568,7568,7578,6322,40069026,32683852,7385174,3499858,1466432,2418884,317,196,121,355,232,123,0
2033,7568,7568,7578,6275,38145978,30277943,7868035,4127471,1915757,1824807,665,194,471,710,239,471,0
2034,7568,7568,7578,7565,110520,67977,42543,5101,11690,25752,7548,48,7500,7557,50,7507,0
2035,7568,7568,7578,6325,32470776,28002992,4467784,2038958,786033,1642793,1692,188,1504,1731,224,1507,0
2036,7568,7568,7578,6318,32165844,31158971,1006873,691123,209144,106606,557,194,363,595,232,363,6586710
2037,7568,7568,7578,6270,35327769,30230072,5097697,2128167,967733,2001797,906,188,718,949,230,719,1488348
2038,7568,7568,7578,7196,1913318,1682646,230672,13932,54426,162314,6804,93,6711,6835,118,6717,2320502
2039,7568,7568,7578,7573,49734,34383,15351,2329,3509,9513,7559,39,7520,7570,41,7529,0
2040,7568,7568,7578,6459,18335268,16079761,2255507,935694,449914,869899,4250,114,4136,4300,162,4138,0
2041,7568,7568,7578,6269,40682412,34438019,6244393,2546999,1171587,2525807,206,184,22,250,228,22,0
2042,7568,7568,7578,7578,0,0,0,0,0,0,7568,47,7521,7578,51,7527,0
2043,7568,7568,7578,6322,29936300,24046654,5889646,3566240,1171001,1152405,190,190,0,226,226,0,10842969
2044,7568,7568,7578,7007,40721094,32254730,8466364,5748065,1671703,1046596,199,183,16,236,220,16,0
2045,7568,7568,7578,6322,39405906,32101573,7304333,3449716,1224355,2630262,437,200,237,473,236,237,0
2046,7568,7568,7578,6267,40193974,35096520,5097454,3358611,1000843,738000,294,185,109,338,229,109,2150
2047,7568,7568,7578,6322,40494528,37649241,2845287,1723047,526332,595908,240,197,43,274,231,43,0
2048,7568,7568,7578,6318,40765302,31068593,9696709,6000020,2030298,1666391,191,191,0,227,227,0,0
2049,7568,7568,7578,6335,30050388,24917436,5132952,1926578,1090978,2115396,2130,178,1952,2172,216,1956,0
2050,7568,7568,7578,6323,37759158,31975710,5783448,2513234,1053195,2217019,735,195,540,772,232,540,0
2051,7568,7568,7578,6322,39239889,30945016,8294873,4963077,1740315,1591481,212,191,21,249,228,21,1409894
2052,7568,7568,7578,6322,40489002,33323709,7165293,3816516,1473587,1875190,241,196,45,275,230,45,0
2053,7568,7568,7578,6341,9116181,8453026,663155,112454,94539,456162,2784,167,2617,2831,208,2623,17366452
2054,7568,7568,7578,6404,17473212,15847786,1625426,353634,457697,814095,4406,147,4259,4459,194,4265,0
2055,7568,7568,7578,7224,1221266,1088537,132729,3917,48143,80669,6911,83,6828,6920,85,6835,2423884
2056,7568,7568,7578,7578,0,0,0,0,0,0,7568,37,7531,7578,43,7535,0
2057,7568,7568,7578,6418,18390528,15906062,2484466,559540,563355,1361571,4240,141,4099,4283,176,4107,0
2058,7568,7568,7578,6585,13222917,11809486,1413431,258164,273823,881444,5175,120,5055,5204,137,5067,801
2059,7568,7568,7578,7002,40688747,31508202,9180545,4926388,1957757,2296400,180,180,0,213,213,0,137341
2060,7568,7568,7578,6322,39720888,32341633,7379255,3185114,2329897,1864244,380,195,185,418,231,187,0
2061,7568,7568,7578,7564,82041,49510,32531,1632,7658,23241,7545,51,7494,7556,52,7504,45057
2062,7568,7568,7578,6337,20315123,17537453,2777670,1288183,657276,832211,2870,162,2708,2914,203,2711,5661550
2063,7568,7568,7578,7412,3879252,3435151,444101,24062,123794,296245,6866,85,6781,6888,97,6791,0
2064,7568,7568,7578,6896,7029072,6283690,745382,223809,191132,330441,6296,90,6206,6320,108,6212,0
2065,7568,7568,7578,6335,18036746,14837916,3198830,1986706,760948,451176,929,190,739,969,228,741,18694379
2066,7568,7568,7578,7533,408924,297130,111794,3923,29111,78760,7494,52,7442,7505,52,7453,0
2067,7568,7568,7578,6535,14257799,12673419,1584380,582159,331062,671159,4938,117,4821,4962,137,4825,276131
2068,7568,7568,7578,7026,38724413,32770942,5953471,2943617,1212609,1797245,181,181,0,210,210,0,2099717
2069,7568,7568,7578,6323,37940841,29521183,8419658,4865866,1953566,1600226,702,192,510,739,230,509,675
2070,7568,7568,7578,7380,1245900,973298,272602,10639,76399,185564,7222,81,7141,7225,79,7146,668005
2071,7568,7568,7578,7578,0,0,0,0,0,0,7568,32,7536,7578,38,7540,0
2072,7568,7568,7578,7379,1900944,1523008,377936,86771,91061,200104,7224,58,7166,7222,50,7172,0
2073,7568,7568,7578,6322,34220924,26682606,7538318,3766910,1669325,2102083,470,196,274,506,231,275,5011039
2074,7568,7568,7578,7576,9126,6090,3036,118,488,2430,7566,46,7520,7575,53,7522,1926
2075,7568,7568,7578,7564,52960,38869,14091,65,2656,11370,7544,48,7496,7554,51,7503,79664
2076,7568,7568,7578,6471,15941360,14385240,1556120,480252,377849,698019,4683,131,4552,4718,157,4561,1150
2077,7568,7568,7578,6283,31686084,24837875,6848209,3462170,1380358,2005681,1834,181,1653,1877,224,1653,0
2078,7568,7568,7578,6379,18871290,16739366,2131924,859189,476857,795878,4153,147,4006,4201,188,4013,0
2079,7568,7568,7578,6887,5106748,4484631,622117,76184,139282,406651,5975,140,5835,6001,156,5845,3711822
2080,7568,7568,7578,7578,0,0,0,0,0,0,7568,28,7540,7578,33,7545,0
2081,7568,7568,7578,7578,0,0,0,0,0,0,7568,46,7522,7578,50,7528,0
2082,7568,7568,7578,6316,29330337,23535627,5794710,2831361,1192745,1770604,195,192,3,230,227,3,11436926
2083,7568,7568,7578,7578,0,0,0,0,0,0,7568,37,7531,7578,42,7536,0
2084,7568,7568,7578,7578,8335167,7362076,973091,53481,406728,512882,6059,81,5978,6066,77,5989,3567
2085,7568,7568,7578,7578,0,0,0,0,0,0,7568,6,7562,7578,3,7575,0
2086,7568,7568,7578,7578,0,0,0,0,0,0,7568,30,7538,7578,34,7544,0
2087,7568,7568,7578,7578,0,0,0,0,0,0,7568,36,7532,7578,41,7537,0
2088,7568,7568,7578,6337,27132660,22777466,4355194,2016394,1062244,1276556,2658,171,2487,2701,208,2493,0
2089,7568,7568,7578,7571,66312,36816,29496,2932,7054,19510,7556,35,7521,7567,37,7530,0
2090,7568,7568,7578,6507,12204829,11029500,1175329,172832,312294,690203,5021,123,4898,5049,147,4902,1877351
2091,7568,7568,7578,7530,453132,293887,159245,24014,61924,73307,7486,59,7427,7497,64,7433,0
2092,7568,7568,7578,6951,6509628,5795133,714495,261115,175031,278349,6390,99,6291,6416,116,6300,0
2093,7568,7568,7578,7031,16965940,14568260,2397680,1296221,490716,610743,892,189,703,919,217,702,19971374
2094,7568,7568,7578,7566,104994,62279,42715,9134,9890,23691,7549,36,7513,7559,38,7521,0
2095,7568,7568,7578,6322,40732146,31291312,9440834,5375689,1861070,2204075,197,194,3,232,229,3,0
2096,7568,7568,7578,7578,0,0,0,0,0,0,7568,29,7539,7578,35,7543,0
2097,7568,7568,7578,7567,186124,103977,82147,24004,23405,34738,7530,33,7497,7540,36,7504,23864
2098,7568,7568,7578,7505,641016,408666,232350,13972,77187,141191,7452,30,7422,7461,37,7424,0
2099,7568,7543,7578,7552,5526,490,0,0,0,0,7542,45,7497,7552,50,7502,0
