"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6268,40533210,33230182,7303028,4096936,1492547,1713545,233,185,48,277,229,48,0,2010,33230182,10412185,4778681,0,3862516,6926688,7250112,0,1492547,748528,293353,0,0,0,450666,0,7335,5991
2011,7568,7568,7578,6322,34510554,28199661,6310893,2819231,1187363,2304299,238,195,43,274,231,43,6006332,2011,28199661,9484828,4698698,0,1157151,6295853,6563131,0,1187363,578156,260938,0,0,0,348269,0,7330,6048
2012,7568,7568,7578,6343,23916528,21114789,2801739,838522,607506,1355711,3240,178,3062,3287,218,3069,0,2012,21114789,4545111,2377806,0,1342308,5610504,7239060,0,607506,273861,168570,0,0,0,165075,0,4328,3056
2013,7568,7568,7578,6702,9712109,9100663,611446,127920,127541,355985,5803,113,5690,5820,122,5698,41281,2013,9100663,1089046,385699,0,983524,2166334,4476060,0,127541,80039,0,0,0,0,47502,0,1765,882
2014,7568,7568,7578,6278,40815036,36969748,3845288,2400974,683346,760968,182,182,0,226,226,0,0,2014,36969748,7749426,5177467,0,11587061,5929588,6526206,0,683346,427582,0,0,0,0,255764,0,7386,6052
2015,7568,7568,7578,6274,525260,487072,38188,25157,3667,9364,182,182,0,226,226,0,40386992,2015,487072,48372,126197,0,39001,123425,150077,0,3667,2496,187,0,0,0,984,0,7386,6048
2016,7568,7568,7578,6312,40030344,34084742,5945602,3059039,976217,1910346,324,190,134,362,227,135,0,2016,34084742,9664691,6680243,0,3556243,6950031,7233534,0,976217,604817,9225,0,0,0,362175,0,7244,5950
2017,7568,7568,7578,6322,39558592,30732000,8826592,5624804,1576487,1625301,192,192,0,227,227,0,1201536,2017,30732000,9525717,3653818,0,3174283,7085470,7292712,0,1576487,958998,42445,0,0,0,575044,0,7376,6095
2018,7568,7568,7578,6316,40759776,34671862,6087914,3778050,1117431,1192433,192,189,3,229,226,3,0,2018,34671862,8950274,4035506,0,8361924,6328242,6995916,0,1117431,661898,58677,0,0,0,396856,0,7376,6087
2019,7568,7568,7578,6309,13008829,10923293,2085536,981123,437962,666451,183,183,0,227,227,0,27863473,2019,10923293,3079224,2072435,0,463105,2465696,2842833,0,437962,203719,112231,0,0,0,122012,0,7385,6082
