"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,13041210,2747068,1031261,0,527096,3198733,5537052,0,536201,250901,134274,0,0,0,151026,0,2738,1678
2011,30724727,11479776,2909489,0,782748,8009724,7542990,0,1963070,1002722,356615,0,0,0,603733,0,7378,6096
2012,32171605,9638335,4193607,0,2415301,8215592,7708770,0,1134764,522098,297784,0,0,0,314882,0,6874,5591
2013,6531293,969998,370563,0,277576,2000954,2912202,0,124290,67767,16407,0,0,0,40116,0,1295,615
2014,33671770,10222882,5404596,0,3246347,7531255,7266690,0,1233089,679694,145163,0,0,0,408232,0,7378,6096
2015,19988626,6436444,2837136,0,704779,5069832,4940435,0,874935,409706,218344,0,0,0,246885,0,7363,6023
2016,4270956,814997,441207,0,201942,1751818,1060992,0,150451,79342,23880,0,0,0,47229,0,885,423
2017,21251386,4563188,2173425,0,1691601,5777522,7045650,0,549405,237748,168203,0,0,0,143454,0,4326,3031
2018,27872811,6920934,4902629,0,455698,7006146,8587404,0,594382,339618,51051,0,0,0,203713,0,5740,4459
2019,4989851,668546,461213,0,200006,1632694,2027392,0,97819,39884,34400,0,0,0,23535,0,6618,5334
2020,2461109,500037,182212,0,40941,1141111,596808,0,120741,63775,19192,0,0,0,37774,0,528,212
2021,33167464,11121440,5020483,0,2833299,6997390,7194852,0,1346649,730425,177327,0,0,0,438897,0,7378,6096
2022,34188966,6989812,3297775,0,7983587,8538272,7379520,0,1010853,614139,28846,0,0,0,367868,0,7385,6076
2023,33081457,10119602,5068057,0,3731886,6884170,7277742,0,1321850,817846,14018,0,0,0,489986,0,7383,6084
2024,30907195,10662443,4373999,0,1575546,7006413,7288794,0,1981155,1004835,371386,0,0,0,604934,0,7386,6050
2025,19180111,5448490,1873092,0,144602,5258552,6455375,0,1168899,528286,321684,0,0,0,318929,0,4593,3386
2026,22334194,5996007,3035697,0,458205,5699167,7145118,0,952563,471259,197528,0,0,0,283776,0,4856,3588
2027,14311122,3067429,1848609,0,359062,3277930,5758092,0,577971,210354,240061,0,0,0,127556,0,2944,1858
2028,19309624,4260196,1619100,0,1238081,5002921,7189326,0,539368,289972,75520,0,0,0,173876,0,3997,2730
2029,16272505,5097973,1928988,0,638911,4164261,4442372,0,817885,461539,79579,0,0,0,276767,0,7322,5981
2030,7778486,1313767,1041580,0,278111,2083624,3061404,0,291095,141974,64230,0,0,0,84891,0,1611,842
2031,31743046,11145595,4047019,0,855785,8041137,7653510,0,1605652,811354,305811,0,0,0,488487,0,7272,5990
2032,27287724,4481329,2370320,0,6528329,6619304,7288442,0,510171,305093,22612,0,0,0,182466,0,5490,4190
2033,31402236,9783662,3434780,0,2097466,8366506,7719822,0,1875112,731606,699719,0,0,0,443787,0,7062,5779
2034,3169107,529915,344913,0,172399,1469812,652068,0,153024,44187,82180,0,0,0,26657,0,640,265
2035,2911538,693554,342277,0,77860,1245247,552600,0,136045,77646,12396,0,0,0,46003,0,632,299
2036,30473125,10919391,4376140,0,175178,7448374,7554042,0,1918778,968477,367056,0,0,0,583245,0,7253,5972
2037,690922,310955,176744,0,79441,123782,0,0,69903,40138,6232,0,0,0,23533,0,200,78
2038,15669454,4089515,1698421,0,1736820,3934572,4210126,0,731281,434481,36734,0,0,0,260066,0,7368,6027
2039,32333142,8758910,5196802,0,3903568,7312166,7161696,0,1049401,568532,139423,0,0,0,341446,0,6899,5620
2040,33149292,9597174,4407418,0,4865828,6934818,7344054,0,1442425,693935,330373,0,0,0,418117,0,7291,6009
2041,17604559,3322824,2988686,0,784318,3684121,6824610,0,464177,220049,111936,0,0,0,132192,0,3568,2319
2042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2043,15961161,4088672,2313974,0,1419033,3936915,4202567,0,670148,321890,154661,0,0,0,193597,0,7372,6088
2044,23269093,5562756,3257379,0,2018844,5456302,6973812,0,1414659,590638,466601,0,0,0,357420,0,5142,3865
2045,244665,139720,73725,0,31220,0,0,0,20844,11257,2945,0,0,0,6642,0,62,23
2046,132932,94873,27259,0,10800,0,0,0,29866,13279,8814,0,0,0,7773,0,42,27
2047,1240027,383906,212286,0,129922,513913,0,0,90659,42128,23731,0,0,0,24800,0,302,130
2048,10300282,1918230,627269,0,102960,2510505,5141318,0,388269,196342,74180,0,0,0,117747,0,2507,1455
2049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,29862629,10219533,4333797,0,682452,7266215,7360632,0,1908421,762532,683594,0,0,0,462295,0,6811,5537
2051,330542,183684,98521,0,48337,0,0,0,31301,14621,7970,0,0,0,8710,0,125,47
2052,39315,27603,9406,0,2306,0,0,0,8242,3358,3148,0,0,0,1736,0,13,6
2053,4582865,592618,316583,0,159796,1461679,2052189,0,80280,37555,20444,0,0,0,22281,0,1110,498
2054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2056,5138789,632911,358191,0,57431,1741706,2348550,0,145281,90940,442,0,0,0,53899,0,1042,430
2057,32031421,10582117,5780611,0,504680,7477347,7686666,0,1694370,621369,695447,0,0,0,377554,0,7015,5723
2058,715679,355317,155167,0,96089,109106,0,0,135467,53685,49790,0,0,0,31992,0,198,81
2059,13866541,2981837,1251755,0,325289,3505360,5802300,0,556812,331735,26461,0,0,0,198616,0,2997,1897
2060,30877032,9427017,4845029,0,1842577,7291654,7470755,0,1949771,871370,552072,0,0,0,526329,0,7360,6064
2061,4828254,692526,325163,0,94842,1980559,1735164,0,194690,93803,44924,0,0,0,55963,0,992,425
2062,24632133,7227585,3460471,0,821488,6065887,7056702,0,1426349,696513,310318,0,0,0,419518,0,5636,4320
2063,3805495,840653,338808,0,29521,1673671,922842,0,210960,93405,61571,0,0,0,55984,0,818,368
2064,29149994,8095466,4538939,0,2610786,6656892,7247911,0,1208035,696795,93252,0,0,0,417988,0,6919,5586
2065,11724796,2083280,1056185,0,365536,2901895,5317900,0,436680,175898,154641,0,0,0,106141,0,2505,1461
2066,12290973,1835245,1231457,0,924149,2878522,5421600,0,307482,108640,133292,0,0,0,65550,0,2498,1431
2067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2068,8763,5879,2004,0,880,0,0,0,982,292,562,0,0,0,128,0,3,1
2069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2070,9577868,1404267,768227,0,587677,2505977,4311720,0,307063,108948,132405,0,0,0,65710,0,2937,1762
2071,1439386,296557,296488,0,126168,559493,160680,0,23130,11954,4325,0,0,0,6851,0,510,226
2072,52609,37688,13960,0,961,0,0,0,13142,5588,4355,0,0,0,3199,0,17,7
2073,57831,33246,10860,0,13725,0,0,0,9805,5097,1988,0,0,0,2720,0,26,8
2074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2076,14195532,2598577,1238672,0,890680,3658765,5808838,0,431684,262891,11745,0,0,0,157048,0,3438,2877
2077,24951432,7717414,3327456,0,451941,6251875,7202746,0,1642014,828015,315476,0,0,0,498523,0,6325,5046
2078,7028439,983115,599081,0,145958,2017841,3282444,0,242846,116886,56033,0,0,0,69927,0,1429,670
2079,5355233,995675,665322,0,276354,1211146,2206736,0,218672,85272,82248,0,0,0,51152,0,2957,1893
2080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2083,10958307,2158192,933393,0,638894,3001878,4225950,0,495850,264471,72935,0,0,0,158444,0,4249,2976
2084,21206067,5180338,3424842,0,550698,4999013,7051176,0,1160788,469977,406362,0,0,0,284449,0,4613,3341
2085,21808,14192,6280,0,1336,0,0,0,5115,928,3773,0,0,0,414,0,6,3
2086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2090,13114992,3205596,1244142,0,1438676,3484936,3741642,0,590598,335229,54518,0,0,0,200851,0,6184,5578
2091,6025195,833569,532809,0,150175,1856786,2651856,0,304257,87271,163926,0,0,0,53060,0,1390,632
2092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2094,8136636,1200012,809842,0,253738,2067644,3805400,0,277272,129694,69853,0,0,0,77725,0,1731,837
2095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2097,15157098,3385027,1599528,0,411623,4066924,5693996,0,681223,354587,113849,0,0,0,212787,0,4241,2974
2098,5682203,892655,576544,0,144296,1353912,2714796,0,252402,121118,58857,0,0,0,72427,0,2276,1204
2099,77780,19392,56998,0,1390,0,0,0,0,0,0,0,0,0,0,0,93,51
