"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6327,32841018,27705733,5135285,2329109,930652,1875524,1625,191,1434,1663,226,1437,0
2011,7568,7568,7578,6336,25525164,22743872,2781292,501431,420852,1859009,2948,168,2780,2994,207,2787,4956
2012,7568,7568,7578,6322,35697960,29237158,6460802,3725179,1188114,1547509,1108,195,913,1145,231,914,0
2013,7568,7568,7578,6322,40577065,33200803,7376262,3111657,1484914,2779691,191,191,0,227,227,0,188237
2014,7568,7568,7578,6546,12883948,11991795,892153,65295,144027,682831,5234,130,5104,5258,148,5110,13736
2015,7568,7568,7578,6322,40770828,35083303,5687525,1771827,961722,2953976,190,190,0,226,226,0,0
2016,7568,7568,7578,6488,16169019,14502375,1666644,419984,349760,896900,4634,147,4487,4668,172,4496,44265
2017,7568,7568,7578,7578,0,0,0,0,0,0,7568,37,7531,7578,41,7537,0
2018,7568,7568,7578,6322,40748724,35308262,5440462,2147756,827529,2465177,194,193,1,229,228,1,0
2019,7568,7568,7578,7007,20459018,17434818,3024200,1342033,481683,1200484,181,181,0,215,215,0,20405974
2020,7568,7568,7578,6267,40815036,34013775,6801261,3149867,1251908,2399486,182,182,0,226,226,0,0
2021,7568,7568,7578,6322,32608926,26429131,6179795,3604383,1253979,1321433,1667,187,1480,1710,228,1482,0
2022,7568,7568,7578,6324,37598904,32052962,5545942,2939582,951170,1655190,764,194,570,801,230,571,0
2023,7568,7568,7578,6314,40682412,34213800,6468612,2875544,1063298,2529770,206,188,18,243,226,17,0
2024,7568,7568,7578,6299,40798458,32815625,7982833,4012690,1242169,2727974,185,185,0,227,227,0,0
2025,7568,7568,7578,6322,37192028,30686014,6506014,2888704,1398051,2219259,192,191,1,228,227,1,3572448
2026,7568,7568,7578,6638,11455398,10276368,1179030,188246,257790,732994,5495,138,5357,5516,153,5363,0
2027,7568,7568,7578,6317,40770828,33463128,7307700,4022819,1317006,1967875,190,190,0,227,227,0,0
2028,7568,7568,7578,6330,32150268,31395766,754502,358867,155107,240528,1750,188,1562,1792,226,1566,0
2029,7568,7568,7578,6317,40422690,33524396,6898294,3333684,1464517,2100093,253,191,62,290,228,62,0
2030,7568,7568,7578,6743,10090476,9118838,971638,184824,248543,538271,5742,120,5622,5755,127,5628,0
2031,7568,7568,7578,6323,38643318,30841546,7801772,3509008,1383771,2908993,575,192,383,612,229,383,0
2032,7568,7568,7578,6303,40792932,34078768,6714164,3780498,1526879,1406787,186,186,0,227,227,0,0
2033,7568,7568,7578,6268,39836934,32408133,7428801,4376593,1377796,1674412,359,190,169,401,233,168,0
2034,7568,7568,7578,6322,40770828,34290613,6480215,3474327,1111735,1894153,190,190,0,226,226,0,0
2035,7568,7568,7578,6309,40792932,30976434,9816498,5657802,1774700,2383996,186,186,0,226,226,0,0
2036,7568,7568,7578,6338,29934342,24950624,4983718,2325400,956324,1701994,2151,179,1972,2195,219,1976,0
2037,7568,7568,7578,6322,40522158,33577428,6944730,3331374,1173994,2439362,235,192,43,270,227,43,0
2038,7568,7568,7578,6326,29357209,26153474,3203735,1012140,520830,1670765,1372,193,1179,1411,230,1181,4893243
2039,7568,7568,7578,6376,22606866,19563504,3043362,1144882,595369,1303111,3477,169,3308,3517,207,3310,0
2040,7568,7568,7578,6322,40588470,33567077,7021393,3566447,1314356,2140590,223,193,30,260,229,31,0
2041,7568,7568,7578,6334,32940486,28186723,4753763,2408679,822428,1522656,1607,192,1415,1644,225,1419,0
2042,7568,7568,7578,6290,35995648,30038666,5956982,3156039,1155401,1645542,183,181,2,229,227,2,4824466
2043,7568,7568,7578,6381,19102426,16652594,2449832,938693,500938,1010201,3709,133,3576,3761,178,3583,2224872
2044,7568,7568,7578,6306,40798458,33849643,6948815,3494946,1260430,2193439,185,185,0,227,227,0,0
2045,7568,7568,7578,6322,40682412,32283749,8398663,5680506,1520915,1197242,206,191,15,242,227,15,0
2046,7568,7568,7578,6267,40815036,32569946,8245090,5467715,1689027,1088348,182,182,0,226,226,0,0
2047,7568,7568,7578,7577,10198,6250,3948,598,479,2871,7566,22,7544,7577,24,7553,854
2048,7568,7568,7578,6322,38916024,30771298,8144726,4518466,1637164,1989096,190,190,0,226,226,0,1858597
2049,7568,7568,7578,6322,40770828,35946724,4824104,2811471,898770,1113863,190,190,0,226,226,0,0
2050,7568,7568,7578,6322,33533925,27704398,5829527,2639043,1101184,2089300,190,190,0,226,226,0,7252327
2051,7568,7568,7578,6323,25443353,20949875,4493478,2533881,884640,1074957,682,197,485,716,231,485,12637841
2052,7568,7568,7578,6322,40400806,32203252,8197554,4395902,1473735,2327917,250,201,49,283,234,49,38462
2053,7568,7568,7578,6322,36409801,30499145,5910656,2996589,974566,1939501,194,191,3,230,227,3,4345761
2054,7568,7568,7578,6285,40820562,33909267,6911295,3579572,1323764,2007959,181,181,0,228,228,0,0
2055,7568,7568,7578,7085,2712644,2387297,325347,70238,89318,165791,6628,83,6545,6658,111,6547,2492244
2056,7568,7568,7578,6324,35896896,30700590,5196306,2911133,1019431,1265742,1072,197,875,1113,235,878,0
2057,7568,7568,7578,6272,30925268,25379328,5545940,2535588,1349529,1660823,226,188,38,270,231,39,9665893
2058,7568,7568,7578,7578,0,0,0,0,0,0,7568,35,7533,7578,37,7541,0
2059,7568,7568,7578,7578,0,0,0,0,0,0,7568,37,7531,7578,40,7538,0
2060,7568,7568,7578,6495,14085749,12887748,1198001,227764,330865,639372,5019,120,4899,5047,143,4904,25
2061,7568,7568,7578,6335,20990992,19132555,1858437,581353,432811,844273,2784,165,2619,2830,205,2625,5460080
2062,7568,7568,7578,7442,1243350,893791,349559,28336,108486,212737,7343,47,7296,7353,50,7303,0
2063,7568,7568,7578,7567,99468,67003,32465,2356,7147,22962,7550,67,7483,7560,72,7488,0
