"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,27705733,7318686,4135596,0,2149013,6697598,7404840,0,930652,517184,103086,0,0,0,310382,0,5943,4664
2011,22743872,5592280,3098262,0,335720,6030944,7686666,0,420852,222395,64935,0,0,0,133522,0,4620,3342
2012,29237158,7806593,3468039,0,4349262,6434990,7178274,0,1188114,718836,38404,0,0,0,430874,0,6460,5177
2013,33200803,11240981,5429434,0,1162410,7813936,7554042,0,1484914,661806,423372,0,0,0,399736,0,7377,6095
2014,11991795,1692447,1320567,0,529890,2867631,5581260,0,144027,89607,1137,0,0,0,53283,0,2334,1288
2015,35083303,11401921,6536838,0,894150,8547150,7703244,0,961722,444943,248341,0,0,0,268438,0,7378,6096
2016,14502375,2401515,1427367,0,895052,3732997,6045444,0,349760,192236,42468,0,0,0,115056,0,2934,1820
2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,35308262,10318676,7708173,0,3488117,6648178,7145118,0,827529,494198,37240,0,0,0,296091,0,7374,6093
2019,17434818,5101390,3610752,0,744758,3734333,4243585,0,481683,296829,7673,0,0,0,177181,0,7387,6792
2020,34013775,11364614,6728886,0,966539,7394168,7559568,0,1251908,627793,246335,0,0,0,377780,0,7386,6041
2021,26429131,6668915,5080141,0,1633095,5912914,7134066,0,1253979,688888,151210,0,0,0,413881,0,5901,4612
2022,32052962,9070004,6164960,0,2800619,6651221,7366158,0,951170,582982,18918,0,0,0,349270,0,6804,5523
2023,34213800,10861139,5965652,0,2669936,7317759,7399314,0,1063298,618696,73558,0,0,0,371044,0,7362,6071
2024,32815625,11042941,5577792,0,1096599,7593985,7504308,0,1242169,774451,3732,0,0,0,463986,0,7383,6072
2025,30686014,9604054,4850733,0,1295685,7561220,7374322,0,1398051,597893,438587,0,0,0,361571,0,7376,6094
2026,10276368,1611340,839678,0,577575,2594883,4652892,0,257790,143890,28041,0,0,0,85859,0,2073,1122
2027,33463128,10266890,5607102,0,3319556,6942104,7327476,0,1317006,750690,115793,0,0,0,450523,0,7378,6090
2028,31395766,5422416,2369436,0,9708581,6578909,7316424,0,155107,92584,7695,0,0,0,54828,0,5818,4538
2029,33524396,10139572,6208525,0,2270924,7423171,7482204,0,1464517,688194,361351,0,0,0,414972,0,7315,6027
2030,9118838,1451362,1455541,0,729358,2376965,3105612,0,248543,114392,65598,0,0,0,68553,0,1826,988
2031,30841546,10948232,3402696,0,912001,7936159,7642458,0,1383771,755574,174176,0,0,0,454021,0,6993,5711
2032,34078768,9086206,2648258,0,5931270,8831362,7581672,0,1526879,704956,396759,0,0,0,425164,0,7382,6076
2033,32408133,9608880,4409827,0,3506565,7417235,7465626,0,1377796,801080,95990,0,0,0,480726,0,7209,5867
2034,34290613,10691441,4205715,0,5143910,7043643,7205904,0,1111735,672000,36942,0,0,0,402793,0,7378,6096
2035,30976434,11290016,4457980,0,600688,7145546,7482204,0,1774700,975973,212174,0,0,0,586553,0,7382,6083
2036,24950624,7129690,2422258,0,1796563,6318845,7283268,0,956324,549837,76651,0,0,0,329836,0,5417,4143
2037,33577428,10444437,5723388,0,4001527,6583466,6824610,0,1173994,677938,89291,0,0,0,406765,0,7333,6052
2038,26153474,6863787,3947028,0,2541666,6168881,6632112,0,520830,290673,55715,0,0,0,174442,0,6196,4915
2039,19563504,3991420,3579241,0,831041,4276406,6885396,0,595369,336953,56538,0,0,0,201878,0,4091,2859
2040,33567077,9837879,5444884,0,4641057,6564451,7078806,0,1314356,699452,194406,0,0,0,420498,0,7345,6062
2041,28186723,6877585,5643817,0,3557496,5371631,6736194,0,822428,514467,0,0,0,0,307961,0,5961,4690
