"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6300,29011500,26591741,2419759,582443,340265,1497051,2318,162,2156,2368,207,2161,0
2011,7568,7568,7578,6316,36932609,30751903,6180706,3276374,1124408,1779924,884,187,697,924,227,697,3175
2012,7568,7568,7578,6322,40759776,32576365,8183411,4188080,1553215,2442116,192,191,1,228,227,1,0
2013,7568,7568,7578,6473,17223291,15386765,1836526,247145,306218,1283163,4430,139,4291,4469,172,4297,117297
2014,7568,7568,7578,6431,17035396,15095843,1939553,436486,404980,1098087,4473,142,4331,4523,187,4336,67574
2015,7568,7568,7578,7385,1220113,952429,267684,59943,62219,145522,7272,50,7222,7273,43,7230,415583
2016,7568,7568,7578,7220,3779784,3413981,365803,2856,83963,278984,6884,114,6770,6895,118,6777,0
2017,7568,7568,7578,6679,8603400,8205188,398212,24299,66683,307230,5667,123,5544,5694,143,5551,1909887
2018,7568,7568,7578,6322,40765302,35563033,5202269,1900731,1037216,2264322,191,191,0,227,227,0,0
2019,7568,7568,7578,6708,9250114,8352064,898050,63791,292073,542186,5894,121,5773,5920,133,5787,410
2020,7568,7568,7578,7396,1724112,1514372,209740,4102,48154,157484,7256,76,7180,7263,77,7186,0
2021,7568,7568,7578,7185,8476124,7542367,933757,120639,239610,573508,5736,116,5620,5750,119,5631,1654340
2022,7568,7568,7578,6324,39914298,32419793,7494505,4180344,1292760,2021401,345,207,138,382,245,137,0
2023,7568,7568,7578,6322,40505580,33902012,6603568,4345943,1256232,1001393,238,194,44,274,230,44,0
2024,7568,7568,7578,6302,40781880,30559574,10222306,6730027,2083125,1409154,188,185,3,230,227,3,0
2025,7568,7568,7578,6322,40587225,33448069,7139156,2949564,1368165,2821427,195,191,4,231,227,4,155973
2026,7568,7568,7578,6326,33011874,27161155,5850719,2557152,1561415,1732152,1594,197,1397,1632,235,1397,450
2027,7568,7568,7578,7578,0,0,0,0,0,0,7568,11,7557,7578,15,7563,0
2028,7568,7568,7578,6322,27911712,25741209,2170503,1183593,414533,572377,232,195,37,268,230,38,12653604
2029,7568,7568,7578,6267,18848346,15821762,3026584,1262522,573501,1190561,512,183,329,557,227,330,20188317
2030,7568,7568,7578,6938,7111962,6406284,705678,171592,194819,339267,6281,79,6202,6311,104,6207,0
2031,7568,7568,7578,6323,39195918,31066022,8129896,3903454,2359725,1866717,475,196,279,511,232,279,0
2032,7568,7568,7578,7576,11052,6794,4258,354,705,3199,7566,27,7539,7575,31,7544,0
2033,7568,7568,7578,6268,40475829,32750364,7725465,4643941,1437843,1643681,235,182,53,279,226,53,46329
2034,7568,7568,7578,6339,26928807,22898406,4030401,1222814,860654,1946933,2252,175,2077,2296,215,2081,2449918
2035,7568,7568,7578,6757,8502482,7691419,811063,55023,237881,518159,5957,107,5850,5978,119,5859,401712
2036,7568,7568,7578,6664,8865003,7854836,1010167,265848,254600,489719,5555,120,5435,5580,137,5443,2268085
2037,7568,7568,7578,6272,26672608,23443135,3229473,1575471,641497,1012505,238,190,48,283,235,48,13860652
2038,7568,7568,7578,6306,8993413,7885745,1107668,344878,251053,511737,3292,159,3133,3337,202,3135,14686681
2039,7568,7568,7578,6322,39842460,34419496,5422964,2476974,927017,2018973,358,196,162,395,232,163,0
2040,7568,7568,7578,6325,32913251,28515832,4397419,1407166,957991,2032262,1610,196,1414,1647,234,1413,10657
2041,7568,7568,7578,6662,10046268,9259704,786564,46472,195567,544525,5750,119,5631,5775,134,5641,0
2042,7568,7568,7578,7578,1925,1073,852,42,60,750,7567,45,7522,7578,48,7530,3601
2043,7568,7568,7578,6340,20241481,17525962,2715519,1210334,516933,988252,2840,159,2681,2883,198,2685,5893538
2044,7568,7568,7578,6300,40450320,34054558,6395762,3051163,1509242,1835357,248,191,57,290,234,56,0
2045,7568,7568,7578,6349,25054230,20825338,4228892,1665576,1016599,1546717,3034,162,2872,3081,204,2877,654
2046,7568,7568,7578,6465,15616476,13682288,1934188,738813,540210,655165,4742,129,4613,4775,160,4615,0
2047,7568,7568,7578,7495,746010,424497,321513,49738,105639,166136,7433,22,7411,7443,27,7416,0
2048,7568,7568,7578,6417,10560091,9359547,1200544,293245,352067,555232,4202,140,4062,4244,176,4068,8066664
2049,7568,7568,7578,7284,6769350,6282962,486388,15001,140743,330644,6343,88,6255,6369,96,6273,0
2050,7568,7568,7578,6464,16091712,14252273,1839439,508764,407474,923201,4656,143,4513,4698,178,4520,0
2051,7568,7568,7578,7032,26081827,22522422,3559405,1497665,658431,1403309,494,188,306,521,216,305,13038010
2052,7568,7568,7578,6314,32533289,26902125,5631164,2542262,1189635,1899267,188,188,0,226,226,0,8266731
2053,7568,7568,7578,6533,14450490,12803964,1646526,559507,354271,732748,4953,135,4818,4977,154,4823,0
2054,7568,7568,7578,6309,40798458,32161348,8637110,5640696,1604098,1392316,185,185,0,227,227,0,0
2055,7568,7568,7578,6322,31703090,25373890,6329200,4338366,1142982,847852,252,193,59,288,229,59,8742130
2056,7568,7568,7578,6356,21424302,18477866,2946436,1040319,727036,1179081,3691,154,3537,3737,195,3542,0
2057,7568,7568,7578,7271,3127716,2524881,602835,187404,175356,240075,7002,70,6932,7009,70,6939,0
2058,7568,7568,7578,6317,38849863,30574347,8275516,4849672,1935045,1490799,190,190,0,227,227,0,1921919
2059,7568,7568,7578,7578,0,0,0,0,0,0,7568,33,7535,7578,36,7542,0
2060,7568,7568,7578,6466,16406694,14222102,2184592,639358,537913,1007321,4599,130,4469,4641,168,4473,0
2061,7568,7568,7578,6322,25067046,19117970,5949076,3662469,1126312,1160295,190,190,0,226,226,0,15737921
2062,7568,7568,7578,6336,16314766,14180952,2133814,702109,520068,911637,4107,144,3963,4155,188,3967,2820010
2063,7568,7568,7578,6291,26309677,22437511,3872166,1642347,952307,1277512,2783,164,2619,2829,204,2625,132233
2064,7568,7568,7578,6275,32876651,25914491,6962160,4037395,1559299,1365466,1428,188,1240,1473,231,1242,1053039
2065,7568,7568,7578,7535,302871,190788,112083,6169,29079,76835,7499,47,7452,7507,50,7457,78423
2066,7568,7568,7578,6491,14421604,12540076,1881528,613356,510367,757805,4957,127,4830,4987,151,4836,6782
2067,7568,7568,7578,6421,17196912,15005249,2191663,610049,561439,1020175,4456,138,4318,4510,187,4323,0
2068,7568,7568,7578,6276,30254292,24858048,5396244,2964934,944054,1487256,182,182,0,226,226,0,10582541
2069,7568,7568,7578,6320,36825264,29555126,7270138,4825681,1475600,968857,904,194,710,939,231,708,0
2070,7568,7568,7578,6297,30509046,25098495,5410551,2275235,1334297,1801019,2047,176,1871,2092,221,1871,0
2071,7568,7568,7578,7578,0,0,0,0,0,0,7568,34,7534,7578,37,7541,0
2072,7568,7568,7578,6323,21152813,17645513,3507300,1966269,702607,838424,679,196,483,715,231,484,16952870
2073,7568,7568,7578,6994,17682611,15377990,2304621,1054432,573804,676385,1241,185,1056,1274,216,1058,23125065
2074,7568,7568,7578,7485,841323,522541,318782,38271,101516,178995,7414,46,7368,7426,51,7375,9681
2075,7568,7568,7578,6279,13030152,11924177,1105975,653316,212333,240326,1354,186,1168,1399,228,1171,21363973
2076,7568,7568,7578,7028,11153961,9521177,1632784,1076608,307389,248787,193,187,6,219,213,6,29649254
2077,7568,7568,7578,7082,14207431,11994368,2213063,768542,647923,796598,4641,119,4522,4664,134,4530,1968729
2078,7568,7568,7578,7348,2276712,1842880,433832,81628,146703,205501,7156,70,7086,7160,66,7094,0
2079,7568,7568,7578,7576,13563,6946,6617,777,1377,4463,7565,10,7555,7575,13,7562,3015
2080,7568,7568,7578,6337,24811740,21907494,2904246,1303063,720065,881118,3078,162,2916,3123,200,2923,0
2081,7568,7568,7578,7020,4118953,3851919,267034,8067,64864,194103,6594,87,6507,6623,107,6516,1266033
2082,7568,7568,7578,6326,28669722,24149206,4520516,2542107,924750,1053659,882,197,685,920,238,682,8295468
2083,7568,7568,7578,7506,458969,271476,187493,39189,49392,98912,7454,41,7413,7464,44,7420,170995
