"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,26591741,6048302,4035980,0,2520686,6670349,7316424,0,340265,201761,17751,0,0,0,120753,0,5250,3932
2011,30751903,9150262,4112231,0,2589600,7307086,7592724,0,1124408,648707,86421,0,0,0,389280,0,6684,5392
2012,32576365,10580215,5265811,0,2137542,7121645,7471152,0,1553215,806534,261286,0,0,0,485395,0,7376,6094
2013,15386765,3543735,1808711,0,57094,3865469,6111756,0,306218,163584,44571,0,0,0,98063,0,3138,2004
2014,15095843,2637200,1408663,0,652122,3783236,6614622,0,404980,221297,51156,0,0,0,132527,0,3095,1908
2015,952429,299523,101628,0,193328,357950,0,0,62219,37968,1970,0,0,0,22281,0,296,112
2016,3413981,716278,363406,0,200746,1525691,607860,0,83963,33753,29936,0,0,0,20274,0,684,325
2017,8205188,911827,710251,0,540019,2052895,3990196,0,66683,40894,1800,0,0,0,23989,0,1901,985
2018,35563033,10308449,7448347,0,2122592,8057765,7625880,0,1037216,427106,351579,0,0,0,258531,0,7377,6095
2019,8352064,1225398,405412,0,28746,1940148,4752360,0,292073,103070,126628,0,0,0,62375,0,1674,788
2020,1514372,382257,237086,0,154985,673732,66312,0,48154,20897,14943,0,0,0,12314,0,312,133
2021,7542367,1249519,558101,0,262402,1786137,3686208,0,239610,108361,66278,0,0,0,64971,0,1832,1435
2022,32419793,10213320,3471730,0,3225880,7711677,7797186,0,1292760,770521,60276,0,0,0,461963,0,7223,5942
2023,33902012,8612567,4409093,0,6537447,6938065,7404840,0,1256232,726800,93419,0,0,0,436013,0,7330,6048
2024,30559574,9833473,4392490,0,2076059,6924550,7333002,0,2083125,1079667,353838,0,0,0,649620,0,7380,6072
2025,33448069,11539995,5302475,0,867765,8089850,7647984,0,1368165,636066,348339,0,0,0,383760,0,7373,6091
2026,27161155,8080325,3797728,0,836156,6760280,7686666,0,1561415,573853,638610,0,0,0,348952,0,5974,4694
2027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2028,25741209,6243233,2513844,0,5660233,5620178,5703721,0,414533,236957,35895,0,0,0,141681,0,7336,6054
2029,15821762,4397934,2613028,0,729622,3841870,4239308,0,573501,297656,97391,0,0,0,178454,0,7056,5710
2030,6406284,992345,666629,0,474495,1940843,2331972,0,194819,96867,40100,0,0,0,57852,0,1287,627
2031,31066022,10837400,3998953,0,1000037,7697694,7531938,0,2359725,764958,1127501,0,0,0,467266,0,7093,5812
2032,6794,4608,1596,0,590,0,0,0,705,277,288,0,0,0,140,0,2,1
2033,32750364,9779933,4401194,0,3512070,7530755,7526412,0,1437843,806148,147661,0,0,0,484034,0,7333,5989
2034,22898406,6422453,3592800,0,775259,5395359,6712535,0,860654,373647,261401,0,0,0,225606,0,5316,4043
2035,7691419,1179050,776348,0,93233,1922188,3720600,0,237881,88371,96207,0,0,0,53303,0,1611,779
2036,7854836,1124470,615299,0,74511,1999571,4040985,0,254600,133901,40759,0,0,0,79940,0,2013,1084
2037,23443135,6037339,4211851,0,2903134,4927546,5363265,0,641497,332664,109249,0,0,0,199584,0,7330,5989
2038,7885745,1608867,726174,0,309569,2184895,3056240,0,251053,119207,60620,0,0,0,71226,0,4276,2969
2039,34419496,9528728,7178423,0,3413515,7054244,7244586,0,927017,510851,109622,0,0,0,306544,0,7210,5927
2040,28515832,7834585,5423996,0,1233935,6590846,7432470,0,957991,399639,316547,0,0,0,241805,0,5958,4678
2041,9259704,1227869,776771,0,313287,2134157,4807620,0,195567,85187,59218,0,0,0,51162,0,1818,887
2042,1073,893,180,0,0,0,0,0,60,40,0,0,0,0,20,0,1,0
2043,17525962,3749136,1577020,0,1436846,4836984,5925976,0,516933,307799,24938,0,0,0,184196,0,4728,3457
2044,34054558,10217215,5586133,0,3419139,7300133,7531938,0,1509242,619333,514904,0,0,0,375005,0,7320,6010
2045,20825338,5412438,2479675,0,567844,5275523,7089858,0,1016599,464035,272663,0,0,0,279901,0,4534,3268
2046,13682288,2262401,779423,0,1022234,3611468,6006762,0,540210,252585,135844,0,0,0,151781,0,2826,1690
2047,424497,310987,71964,0,41546,0,0,0,105639,43808,35526,0,0,0,26305,0,135,52
2048,9359547,1799515,913347,0,435883,2445268,3765534,0,352067,124951,151577,0,0,0,75539,0,3366,2173
2049,6282962,809788,429058,0,128519,1931557,2984040,0,140743,49556,61543,0,0,0,29644,0,1225,915
2050,14252273,2465660,728863,0,872535,3846893,6338322,0,407474,222896,51210,0,0,0,133368,0,2912,1766
2051,22522422,6169433,4770056,0,2432886,4284605,4865442,0,658431,339425,115138,0,0,0,203868,0,7074,6511
2052,26902125,8529594,5415433,0,857011,5907439,6192648,0,1189635,523560,350055,0,0,0,316020,0,7380,6088
2053,12803964,2179072,976071,0,914684,3141825,5592312,0,354271,210030,18814,0,0,0,125427,0,2615,1556
2054,32161348,9482727,4580831,0,3551779,7052755,7493256,0,1604098,958185,71277,0,0,0,574636,0,7383,6082
2055,25373890,6185111,4804300,0,2979557,5676956,5727966,0,1142982,692328,35888,0,0,0,414766,0,7316,6034
2056,18477866,3774024,2729462,0,1006395,4209687,6758298,0,727036,335064,190279,0,0,0,201693,0,3877,2619
2057,2524881,591980,333035,0,87605,1114389,397872,0,175356,88344,34396,0,0,0,52616,0,566,262
