"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6300,29011500,26591741,2419759,582443,340265,1497051,2318,162,2156,2368,207,2161,0,2010,26591741,6048302,4035980,0,2520686,6670349,7316424,0,340265,201761,17751,0,0,0,120753,0,5250,3932
2011,7568,7568,7578,6316,36932609,30751903,6180706,3276374,1124408,1779924,884,187,697,924,227,697,3175,2011,30751903,9150262,4112231,0,2589600,7307086,7592724,0,1124408,648707,86421,0,0,0,389280,0,6684,5392
2012,7568,7568,7578,6322,40759776,32576365,8183411,4188080,1553215,2442116,192,191,1,228,227,1,0,2012,32576365,10580215,5265811,0,2137542,7121645,7471152,0,1553215,806534,261286,0,0,0,485395,0,7376,6094
2013,7568,7568,7578,6473,17223291,15386765,1836526,247145,306218,1283163,4430,139,4291,4469,172,4297,117297,2013,15386765,3543735,1808711,0,57094,3865469,6111756,0,306218,163584,44571,0,0,0,98063,0,3138,2004
2014,7568,7568,7578,6431,17035396,15095843,1939553,436486,404980,1098087,4473,142,4331,4523,187,4336,67574,2014,15095843,2637200,1408663,0,652122,3783236,6614622,0,404980,221297,51156,0,0,0,132527,0,3095,1908
2015,7568,7568,7578,7385,1220113,952429,267684,59943,62219,145522,7272,50,7222,7273,43,7230,415583,2015,952429,299523,101628,0,193328,357950,0,0,62219,37968,1970,0,0,0,22281,0,296,112
2016,7568,7568,7578,7220,3779784,3413981,365803,2856,83963,278984,6884,114,6770,6895,118,6777,0,2016,3413981,716278,363406,0,200746,1525691,607860,0,83963,33753,29936,0,0,0,20274,0,684,325
2017,7568,7568,7578,6679,8603400,8205188,398212,24299,66683,307230,5667,123,5544,5694,143,5551,1909887,2017,8205188,911827,710251,0,540019,2052895,3990196,0,66683,40894,1800,0,0,0,23989,0,1901,985
2018,7568,7568,7578,6322,40765302,35563033,5202269,1900731,1037216,2264322,191,191,0,227,227,0,0,2018,35563033,10308449,7448347,0,2122592,8057765,7625880,0,1037216,427106,351579,0,0,0,258531,0,7377,6095
2019,7568,7568,7578,6708,9250114,8352064,898050,63791,292073,542186,5894,121,5773,5920,133,5787,410,2019,8352064,1225398,405412,0,28746,1940148,4752360,0,292073,103070,126628,0,0,0,62375,0,1674,788
2020,7568,7568,7578,7396,1724112,1514372,209740,4102,48154,157484,7256,76,7180,7263,77,7186,0,2020,1514372,382257,237086,0,154985,673732,66312,0,48154,20897,14943,0,0,0,12314,0,312,133
2021,7568,7568,7578,7185,8476124,7542367,933757,120639,239610,573508,5736,116,5620,5750,119,5631,1654340,2021,7542367,1249519,558101,0,262402,1786137,3686208,0,239610,108361,66278,0,0,0,64971,0,1832,1435
2022,7568,7568,7578,6324,39914298,32419793,7494505,4180344,1292760,2021401,345,207,138,382,245,137,0,2022,32419793,10213320,3471730,0,3225880,7711677,7797186,0,1292760,770521,60276,0,0,0,461963,0,7223,5942
2023,7568,7568,7578,6322,40505580,33902012,6603568,4345943,1256232,1001393,238,194,44,274,230,44,0,2023,33902012,8612567,4409093,0,6537447,6938065,7404840,0,1256232,726800,93419,0,0,0,436013,0,7330,6048
2024,7568,7568,7578,6302,40781880,30559574,10222306,6730027,2083125,1409154,188,185,3,230,227,3,0,2024,30559574,9833473,4392490,0,2076059,6924550,7333002,0,2083125,1079667,353838,0,0,0,649620,0,7380,6072
2025,7568,7568,7578,6322,40587225,33448069,7139156,2949564,1368165,2821427,195,191,4,231,227,4,155973,2025,33448069,11539995,5302475,0,867765,8089850,7647984,0,1368165,636066,348339,0,0,0,383760,0,7373,6091
2026,7568,7568,7578,6326,33011874,27161155,5850719,2557152,1561415,1732152,1594,197,1397,1632,235,1397,450,2026,27161155,8080325,3797728,0,836156,6760280,7686666,0,1561415,573853,638610,0,0,0,348952,0,5974,4694
2027,7568,7568,7578,7578,0,0,0,0,0,0,7568,11,7557,7578,15,7563,0,2027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2028,7568,7568,7578,6322,27911712,25741209,2170503,1183593,414533,572377,232,195,37,268,230,38,12653604,2028,25741209,6243233,2513844,0,5660233,5620178,5703721,0,414533,236957,35895,0,0,0,141681,0,7336,6054
2029,7568,7568,7578,6267,18848346,15821762,3026584,1262522,573501,1190561,512,183,329,557,227,330,20188317,2029,15821762,4397934,2613028,0,729622,3841870,4239308,0,573501,297656,97391,0,0,0,178454,0,7056,5710
