"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,35918905,9079566,8064216,0,3321796,7761135,7692192,0,716644,444761,5690,0,0,0,266193,0,7378,6096
2011,30749216,9683763,3974097,0,2299756,7309396,7482204,0,977575,510558,159956,0,0,0,307061,0,6532,5249
2012,35449717,9659783,3592800,0,7074809,7601439,7520886,0,890299,556902,0,0,0,0,333397,0,7378,6096
2013,34044699,11824422,5157742,0,1941272,7605903,7515360,0,1037465,648846,0,0,0,0,388619,0,7388,6065
2014,33572112,11382546,5739128,0,2661612,6671338,7117488,0,1109819,694050,0,0,0,0,415769,0,7386,6053
2015,22237030,7196378,2382114,0,1816029,5348133,5494376,0,1124842,590354,179613,0,0,0,354875,0,7388,6078
2016,33388187,10042947,4288282,0,3614021,7883369,7559568,0,1086340,675945,5441,0,0,0,404954,0,7224,5942
2017,32983549,8807297,4510902,0,7791451,5561851,6312048,0,977488,566823,70939,0,0,0,339726,0,7376,6090
2018,38532938,10398955,5238676,0,9759226,6156743,6979338,0,412952,252074,10342,0,0,0,150536,0,7378,6096
2019,12036606,3177676,1660222,0,1019831,2848810,3330067,0,451992,217922,103450,0,0,0,130620,0,7383,6084
2020,34387283,9305894,3718710,0,6073394,7729717,7559568,0,1334487,687410,233504,0,0,0,413573,0,7374,6092
2021,33403341,9635505,4702109,0,5391605,6727940,6946182,0,1248227,780627,0,0,0,0,467600,0,7378,6096
2022,40625067,8667592,4086826,0,13139182,7232685,7498782,0,33708,21414,63,0,0,0,12231,0,7389,6792
2023,34642732,10294466,6287857,0,4566049,6404502,7089858,0,1045773,632708,34046,0,0,0,379019,0,7380,6802
2024,32199570,9935822,5667151,0,2975422,6371063,7250112,0,1440115,900575,0,0,0,0,539540,0,7384,6139
2025,32978964,11219823,5808862,0,905496,7557053,7487730,0,1582209,731088,409977,0,0,0,441144,0,7384,6079
2026,34261971,11254167,6161780,0,1621749,7675759,7548516,0,1198737,591296,251256,0,0,0,356185,0,7376,6095
2027,34903442,9194667,4242347,0,6112987,7749665,7603776,0,940067,542909,71613,0,0,0,325545,0,7247,5965
2028,34104434,11112158,7181807,0,1250129,7194182,7366158,0,1240678,547805,361954,0,0,0,330919,0,7378,6096
2029,8440050,1188276,408883,0,466490,2153061,4223340,0,193032,121105,0,0,0,0,71927,0,2197,1174
2030,36232671,9838206,7860526,0,5230533,6373802,6929604,0,858232,431704,166806,0,0,0,259722,0,7387,6061
2031,33473033,10949333,4210044,0,2579088,8119740,7614828,0,1652064,687704,548166,0,0,0,416194,0,7378,6096
2032,16151898,3008520,1555356,0,773457,3989955,6824610,0,400372,225126,40448,0,0,0,134798,0,3277,2053
2033,33863021,9015498,4807043,0,5291967,7260783,7487730,0,1499357,707940,364646,0,0,0,426771,0,7377,6096
2034,32175586,10742190,4798047,0,2620589,6786752,7228008,0,1633987,841066,286826,0,0,0,506095,0,7378,6096
2035,23288402,5706297,2848475,0,1695050,5821624,7216956,0,940499,563910,38585,0,0,0,338004,0,5072,3801
2036,33575530,8077879,4291311,0,6225202,7504460,7476678,0,1293968,805526,5885,0,0,0,482557,0,7378,6093
2037,33670587,9009564,6684779,0,5439608,5883332,6653304,0,1232395,743131,43950,0,0,0,445314,0,7383,6086
2038,34028970,11217746,4143079,0,3313403,7828330,7526412,0,1248485,675019,167872,0,0,0,405594,0,7378,6096
2039,34234183,8177642,7761167,0,5669165,6100003,6526206,0,1182245,696829,67634,0,0,0,417782,0,7386,6786
2040,33419915,11343004,5855994,0,1355535,7383178,7482204,0,1341382,678390,254732,0,0,0,408260,0,7378,6096
2041,34666656,9350332,6430944,0,5585642,6265140,7034598,0,1054459,659571,0,0,0,0,394888,0,7386,6049
2042,33612043,8017378,3839116,0,7371764,7382343,7001442,0,1189412,743929,0,0,0,0,445483,0,7383,6083
2043,25401109,7290539,5095147,0,2087650,5248037,5679736,0,707430,442600,0,0,0,0,264830,0,7386,6054
2044,34128762,10481206,4923351,0,4026123,7221404,7476678,0,1120529,684745,25447,0,0,0,410337,0,7386,6042
2045,34012755,10898768,7456619,0,1026345,7126715,7504308,0,1078289,621657,83758,0,0,0,372874,0,7386,6067
2046,31781963,11378747,4508306,0,405803,7890857,7598250,0,1887261,869838,492432,0,0,0,524991,0,7370,6088
2047,32004382,10642440,3250005,0,2892844,7648473,7570620,0,1518222,883301,104794,0,0,0,530127,0,7332,6053
2048,15701822,3829196,2184691,0,2038960,3527450,4121525,0,586883,367370,0,0,0,0,219513,0,7377,6095
2049,33015454,9562026,5764598,0,2959452,7247174,7482204,0,1377127,839112,35088,0,0,0,502927,0,7386,6790
2050,28092506,8834840,3787946,0,1497684,6727450,7244586,0,1244203,600284,282216,0,0,0,361703,0,6277,4994
2051,37075200,10448820,4346827,0,6895129,7802752,7581672,0,468257,288136,7929,0,0,0,172192,0,7209,5927
2052,34159814,10300213,4549447,0,4457789,7370161,7482204,0,1130378,696752,16103,0,0,0,417523,0,7379,6076
2053,23163522,7179824,4451026,0,1344393,4885557,5302722,0,880391,451349,157734,0,0,0,271308,0,7381,6073
2054,34243190,10595420,6409743,0,1736078,7898173,7603776,0,1047184,510599,229121,0,0,0,307464,0,7229,5947
2055,16904369,3454177,2108169,0,1759400,4100593,5482030,0,200077,124769,1158,0,0,0,74150,0,4621,3356
2056,35173323,10829437,8497504,0,1278231,7124629,7443522,0,925669,472571,168815,0,0,0,284283,0,7380,6087
2057,207359,111937,61897,0,33525,0,0,0,17459,7820,5023,0,0,0,4616,0,53,19
2058,15968058,3506660,1558618,0,251149,3865703,6785928,0,464052,208417,130087,0,0,0,125548,0,3279,2067
2059,10591807,1687867,705523,0,380808,2590013,5227596,0,220831,110432,44390,0,0,0,66009,0,2101,1113
2060,6272616,776340,419137,0,274232,1868601,2934306,0,88389,44134,18057,0,0,0,26198,0,1211,552
2061,30990817,9874579,3882139,0,1617889,7907252,7708958,0,1123645,631344,113240,0,0,0,379061,0,7181,5897
2062,34700271,9813341,6363841,0,3822054,7356981,7344054,0,1272740,584852,335233,0,0,0,352655,0,7378,6096
2063,33883381,10948209,5763470,0,1771955,7773867,7625880,0,1136445,652136,92979,0,0,0,391330,0,7386,6046
2064,31279370,9162025,4607417,0,2545117,7410769,7554042,0,1366302,834270,32034,0,0,0,499998,0,7068,5783
2065,33080671,10877411,6029479,0,1460776,7236327,7476678,0,1255008,749976,55257,0,0,0,449775,0,7376,6095
2066,35025618,11110881,7811649,0,1586007,7150923,7366158,0,1231700,457932,495708,0,0,0,278060,0,7375,6094
2067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2068,20993752,4086672,2833921,0,2541600,4972799,6558760,0,656774,309858,160413,0,0,0,186503,0,5829,4504
2069,38234950,7689192,4200821,0,10424879,8244444,7675614,0,206046,127427,2935,0,0,0,75684,0,7118,5835
2070,34399576,11079819,6469187,0,1775776,7581538,7493256,0,1399817,556679,505810,0,0,0,337328,0,7387,6057
2071,8285501,1172202,1054291,0,92918,1970792,3995298,0,129658,69637,18582,0,0,0,41439,0,1617,770
2072,374215,229376,141308,0,3531,0,0,0,42774,16069,17097,0,0,0,9608,0,96,39
2073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2074,32587493,8305035,7218142,0,1631170,7431498,8001648,0,922296,422698,244716,0,0,0,254882,0,6745,5400
2075,181901,66098,32671,0,5060,74888,3184,0,12843,4306,6012,0,0,0,2525,0,283,120
2076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2077,35462785,8853807,3238809,0,7063897,8580924,7725348,0,847892,530443,0,0,0,0,317449,0,7349,6008
2078,33019395,10748117,4198086,0,3312044,7367360,7393788,0,1296919,783035,44460,0,0,0,469424,0,7380,6088
2079,35261698,8955887,5104504,0,8133308,6293123,6774876,0,1018362,600482,57970,0,0,0,359910,0,7375,6083
2080,25490306,7252518,4450396,0,2339076,5341440,6106876,0,1300522,670267,227102,0,0,0,403153,0,6972,5688
2081,15906370,3714220,2199549,0,598142,4015286,5379173,0,528611,282883,76168,0,0,0,169560,0,4730,3457
2082,38037634,8729887,3000434,0,10689316,7986591,7631406,0,485658,279738,38523,0,0,0,167397,0,7348,6056
2083,28811305,8996588,5325626,0,1587494,6142230,6759367,0,1426516,792919,157484,0,0,0,476113,0,7301,6019
2084,15720478,2628683,1693368,0,1983225,3463700,5951502,0,165146,103588,24,0,0,0,61534,0,3007,1859
2085,30470315,8866563,4595598,0,2736954,6811100,7460100,0,1373869,694766,260783,0,0,0,418320,0,6714,5420
2086,24657740,7432088,2611348,0,725422,6528250,7360632,0,1414483,774537,174401,0,0,0,465545,0,5727,4394
2087,9724464,1777494,770728,0,49659,2606315,4520268,0,451292,202379,127139,0,0,0,121774,0,2046,1131
2088,31712621,9084139,5497788,0,2905144,6728999,7496551,0,1576753,722246,418695,0,0,0,435812,0,7254,5970
2089,31359635,9374456,4875226,0,3702014,6446324,6961615,0,1097072,685992,214,0,0,0,410866,0,7378,6096
2090,30163657,10063925,4480797,0,631255,7477846,7509834,0,1575788,666941,505250,0,0,0,403597,0,6722,5432
2091,9761937,1490028,729196,0,403157,2326410,4813146,0,321717,176543,39477,0,0,0,105697,0,1999,1033
2092,33824443,10617563,5029749,0,3406040,7454667,7316424,0,1286296,665064,221148,0,0,0,400084,0,7377,6096
2093,22299591,7350456,2733779,0,1356912,5347597,5510847,0,991716,530920,141813,0,0,0,318983,0,7297,6017
2094,28229395,7712788,3155125,0,2927605,7006933,7426944,0,965232,514042,142136,0,0,0,309054,0,6009,4723
2095,18902967,4469867,1585463,0,4571210,4074635,4201792,0,445639,259129,31654,0,0,0,154856,0,7377,6034
2096,14500187,2440192,1822237,0,1522746,3045336,5669676,0,261955,162583,2403,0,0,0,96969,0,2859,1699
2097,31840020,8455136,4211918,0,4342618,7298410,7531938,0,1097263,680061,9789,0,0,0,407413,0,6886,5590
2098,19419561,5494961,1915917,0,892508,4783379,6332796,0,792087,494916,989,0,0,0,296182,0,4291,3074
2099,188259,62649,124580,0,1030,0,0,0,0,0,0,0,0,0,0,0,297,242
