"cnrmcm3","gfdlcm21","miroc32med","mpiecham5","ncarccsm3","ncarpcm1"
4792.9269944467,5526,5526,5526,5526,5526
2426.62354375508,4708.12469304229,5526,5524.92727272727,5525.5249850389,5526
5526,5526,5526,5526,5526,5526
5407.90485226349,5502.61133144476,5526,5500.48325877728,5488.62045889101,5526
5526,5526,5526,5520.1148243359,5504.16672051696,5526
4869.28520325203,71.1156241538045,3310.59201412468,5526,4122.00337837838,3773.06212777477
3561.77769358994,5526,5526,5510.91308793456,5526,5526
5526,5363.14967462039,5501.52981969487,NA,4525.72330352446,5187.29555314534
5526,5526,5526,5526,5526,5526
1357.11832532601,1761.52051455653,815.99274705349,2769.59767158522,5525.7550776583,1916.41216307734
3580.86756101042,5526,5526,5526,5526,5526
5526,5526,5526,5526,4626.70524017467,5526
5519.36089613035,5520.88458880442,5383.05876777251,5526,5526,5526
5526,5520.60881294964,5526,5526,5526,5525.21409214092
5526,5526,5526,5526,5526,5526
3960.85323585161,5526,5220.49205312432,5042.30314533623,5504.84538179845,5526
5526,5526,5526,5526,5525.92467358554,5526
5526,5526,5526,5526,NA,5526
4859.27911111111,5526,5526,5526,3804.75899672846,5492.89766874492
3217.87078730248,3739.41772151899,2823.00081944824,5526,2671.25085034014,4264.21392808375
5526,5526,5524.75667287399,5526,5526,5526
5526,5526,5526,5526,5526,5526
5310.9745786918,5526,5433.45646630237,5526,5526,5526
5526,5526,5526,5526,5519.68212191463,5513.95689304595
5526,5526,5526,5526,5065.61455981941,5483.65885063703
5526,5526,5526,5526,5277.76660459342,5526
5526,4587.91099700471,5526,5526,4403.87630402384,5526
5526,5302.87736415491,4922.78,5526,3638.8278308322,5526
5240.1142547719,2504.34293193717,2660.86387079262,4738.09054228535,2103.2303554724,5516.61574952562
5525.43253467844,5526,5525.29757935933,5526,5526,5526
5526,5526,5483.98340419696,5526,5524.21131252098,5526
5526,5526,5526,5526,5526,5526
4056.50355843745,NA,NA,4874.15680433311,1925,5483.28199918732
4830.58739514849,4057.5088099756,2585.14310906131,4950.09743456854,4281.19310490694,4036.04874086109
5526,5526,5526,5526,5526,5526
5526,5526,5526,5526,5525.8557565064,5526
5526,5525.70442672532,5526,5526,5526,5526
4434.31797859369,5526,5166.23178807947,5099,5526,5526
5526,5526,4757.38013562026,5274.60341555977,3137.28193701723,2569.52501016673
5526,5526,NA,5526,5526,5526
5526,5526,5526,4545.12401734887,5526,5470.8754181934
3583.19907908992,5334.40579119086,3674.64,3694.93944234679,3686.9984450099,5526
4716.55152335816,5526,5099,5520.7441924023,4408.30474254743,5526
5416.15518394649,1905.55622909699,4441.48468468468,4937.59167344725,5526,3779.97452919659
5526,5526,NA,5526,5526,5526
4346.29773123909,1858.85235920852,NA,2885.7914893617,4333.39119737561,3913.42826228089
5526,NA,5526,5526,5526,5526
5526,5526,5526,4212.10405883955,5526,5275
3346.2402544667,5525.665273715,5526,NA,5265.63608023855,5526
4033.79436267703,5507.41025988089,5526,NA,NA,5526
5526,5526,5341.66399456522,5525.99019223225,5526,5526
5526,3567,5526,4387.7491638796,3397.53944158308,5217.24216682913
5526,4324.20668369519,5526,5526,4713.88789367235,5526
5526,5526,5526,5526,5498.36509926855,5526
5526,5526,5152.88163029339,4446.80323413507,5354.50342019544,5526
5464.00620184176,2716.7865642416,5289.83193612774,NA,4389.4347826087,5499.77819956616
5526,5526,5326.08206565252,5331.96856368564,5523.40252776714,5526
5525.47795823666,5421.21634980989,NA,5526,5526,NA
NA,5242.23812102342,4421,5333.55801104972,4096.16734362307,4101.19231429062
5526,5525.90168948442,NA,5450.62434005686,5526,5526
NA,3600.86705202312,3592.88083077971,4026.22775657763,5526,5526
5526,NA,3072.4568627451,5272.89031078611,NA,5526
5438.99695121951,5526,5526,5526,3070.52010451444,5526
5526,4821.20653705269,3638.80769230769,5526,2794.78599652284,NA
5526,4563,NA,NA,5463.13636363636,5510.68821349147
NA,2206.66666666667,NA,NA,2096.90247827486,796.247349823322
NA,5525.6013864818,4754.75189063409,3352.80652585973,1512.40149152542,NA
5526,5526,5161.30276679842,NA,4853.92244619064,5526
5526,5526,5526,5526,5526,5526
5526,3205.74262397991,2064.46229286439,5526,4521,5526
5525.70601803313,NA,NA,5526,5526,4564.02667814114
2974.77864782277,NA,NA,3217.83309659091,4228.9045174538,3922.8021141649
5172.63985064494,3978.07364709074,NA,5526,4288.02303320371,5526
4011.06724782067,NA,3073.56789832902,2431.44167408727,4026.04385964912,4995.18586495001
5526,5523.63618290258,5526,NA,5518.90806626833,5526
4999,NA,5526,4541.22922148274,NA,5526
5120.20777777778,NA,NA,5526,NA,5526
NA,NA,NA,3488,4722,5526
3699.60965180208,5526,NA,NA,5290.55389820083,5340.98910945685
5526,5526,NA,3959.92524056255,NA,5136.47329899702
4238.50906533292,4791.84491558696,2590.90265200517,3667,1294.51909394511,5526
4860.67192429022,5526,4835.66690647482,2614.29744958482,3532.43758519961,5526
4872.1866,5526,NA,NA,5526,5526
NA,2541.33313361294,NA,NA,1124.20186640472,3771.72577771687
5526,5526,5276.17042172155,NA,3866.65294615168,5526
2445.22623883022,5526,NA,NA,4616.88101118698,2895.60891961502
5526,NA,NA,NA,NA,5526
4295,4898,4280.88398962509,NA,4261.49439147504,5526
NA,5526,2883.08304042179,NA,5526,5526
5526,5526,5526,NA,5526,5526
