"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6342,23854532,20598734,3255798,1763023,681187,811588,2814,177,2637,2860,216,2644,2421352
2011,7568,7568,7578,6322,32987907,26562347,6425560,3658987,1086926,1679647,190,190,0,226,226,0,7798620
2012,7568,7568,7578,6998,36396710,30279151,6117559,2361051,1574737,2181771,523,183,340,555,212,343,2539946
2013,7568,7568,7578,6322,33070016,26259253,6810763,3998994,1224004,1587765,190,190,0,226,226,0,7716861
2014,7568,7568,7578,7034,25504604,21053415,4451189,2447500,764800,1238889,189,189,0,209,209,0,15305264
2015,7568,7568,7578,7029,40809510,33784738,7024772,3605228,1191997,2227547,183,183,0,213,213,0,0
2016,7568,7568,7578,6996,13584861,12259917,1324944,889426,258297,177221,182,182,0,214,214,0,27291397
2017,7568,7568,7578,6993,40811216,33770271,7040945,2764446,1399075,2877424,182,182,0,213,213,0,3820
2018,7568,7568,7578,6323,31055886,25255431,5800455,2860994,957937,1981524,797,193,604,832,227,605,6373596
2019,7568,7568,7578,7008,40815036,35517532,5297504,1981036,950197,2366271,182,182,0,214,214,0,0
2020,7568,7568,7578,7028,40698990,37513003,3185987,1439547,563858,1182582,203,191,12,233,221,12,0
2021,7568,7568,7578,7031,29030185,23629966,5400219,2977251,1004875,1418093,185,185,0,213,213,0,11793169
2022,7568,7568,7578,6993,24079810,19284208,4795602,3228219,885107,682276,177,177,0,214,214,0,16797341
2023,7568,7568,7578,7026,40864770,37754160,3110610,1602799,618464,889347,173,173,0,213,213,0,0
2024,7568,7568,7578,6322,32706338,32543338,163000,59914,35671,67415,323,195,128,358,230,128,7344781
2025,7568,7568,7578,7006,34317973,29295562,5022411,3083682,993916,944813,172,172,0,215,215,0,6565254
2026,7568,7568,7578,6322,25030220,20867573,4162647,1875966,752787,1533894,268,193,75,302,228,74,15346510
2027,7568,7568,7578,6337,30437208,26717393,3719815,962557,753901,2003357,2060,179,1881,2105,220,1885,0
2028,7568,7568,7578,7569,71838,46980,24858,687,5357,18814,7555,22,7533,7564,25,7539,0
2029,7568,7568,7578,6378,21440880,18865339,2575541,676016,503043,1396482,3688,151,3537,3741,193,3548,0
2030,7568,7568,7578,6322,29741662,23939308,5802354,2941693,1097819,1762842,190,190,0,226,226,0,11054079
2031,7568,7568,7578,7007,40442080,32326528,8115552,4222808,1856297,2036447,249,184,65,282,217,65,2714
2032,7568,7568,7578,6327,34442817,27424970,7017847,4117961,1231922,1667964,839,199,640,876,235,641,2746107
2033,7568,7568,7578,7027,40842666,33054903,7787763,3868632,1738089,2181042,177,177,0,213,213,0,0
2034,7568,7568,7578,6683,11626704,10281928,1344776,326369,306477,711930,5464,125,5339,5486,142,5344,0
2035,7568,7568,7578,7002,40809510,32114386,8695124,4329007,1740336,2625781,183,183,0,214,214,0,0
2036,7568,7568,7578,6322,40676886,34673014,6003872,2514388,1001520,2487964,207,192,15,242,227,15,0
2037,7568,7568,7578,6350,18042640,16039792,2002848,574317,405490,1023041,3103,166,2937,3149,207,2942,6649106
2038,7568,7568,7578,7026,40864770,32296480,8568290,4315050,1649925,2603315,173,173,0,213,213,0,0
2039,7568,7568,7578,7009,39798252,30590636,9207616,5127333,1741340,2338943,366,188,178,398,220,178,0
2040,7568,7568,7578,6332,23094371,19789234,3305137,1274310,751706,1279121,1654,188,1466,1694,227,1467,9607695
2041,7568,7568,7578,6441,21208788,18713641,2495147,736339,610548,1148260,3730,178,3552,3773,214,3559,0
2042,7568,7568,7578,7496,757062,438571,318491,42208,71764,204519,7431,15,7416,7439,16,7423,0
2043,7568,7568,7578,6379,21203262,18111492,3091770,1095989,824269,1171512,3731,164,3567,3778,206,3572,0
2044,7568,7568,7578,7439,1239432,997746,241686,7215,66127,168344,7322,38,7284,7331,41,7290,119964
2045,7568,7568,7578,7578,0,0,0,0,0,0,7568,23,7545,7578,27,7551,0
2046,7568,7568,7578,7044,5365746,5118135,247611,6203,62777,178631,6597,79,6518,6623,100,6523,0
2047,7568,7568,7578,7178,4061610,3712825,348785,8945,91423,248417,6833,103,6730,6863,128,6735,0
2048,7568,7568,7578,6323,37716161,32448600,5267561,2708732,1090715,1468114,726,196,530,764,232,532,92731
2049,7568,7568,7578,6322,40483476,33997862,6485614,3242844,1148389,2094381,242,202,40,277,236,41,0
2050,7568,7568,7578,7052,38847077,34220976,4626101,2802355,1008939,814807,158,158,0,202,202,0,2102590
2051,7568,7568,7578,6323,40201650,33668254,6533396,3370580,1333003,1829813,293,194,99,328,230,98,0
2052,7568,7568,7578,6322,40511106,32801105,7710001,4701417,1338323,1670261,237,198,39,273,234,39,0
2053,7568,7568,7578,7025,32979168,27491352,5487816,2090931,1070975,2325910,1600,184,1416,1640,220,1420,0
2054,7568,7568,7578,7576,16578,9712,6866,273,836,5757,7565,42,7523,7575,43,7532,0
2055,7568,7568,7578,7022,33680110,28652493,5027617,2790300,1028309,1209008,181,179,2,217,215,2,7152082
2056,7568,7568,7578,6322,31054073,25392718,5661355,2542163,1345401,1773791,190,190,0,226,226,0,9738513
2057,7568,7568,7578,6335,19152771,16642598,2510173,820584,811529,878060,2634,180,2454,2675,215,2460,8134521
2058,7568,7568,7578,7297,2597220,2366682,230538,689,43129,186720,7098,53,7045,7098,44,7054,0
2059,7568,7568,7578,7578,0,0,0,0,0,0,7568,52,7516,7578,57,7521,0
2060,7568,7568,7578,7578,0,0,0,0,0,0,7568,3,7565,7578,5,7573,0
2061,7568,7568,7578,7578,0,0,0,0,0,0,7568,6,7562,7578,0,7578,0
2062,7568,7568,7578,7578,0,0,0,0,0,0,7568,25,7543,7578,28,7550,0
2063,7568,7568,7578,7511,635490,417054,218436,17111,50377,150948,7453,35,7418,7463,38,7425,0
2064,7568,7568,7578,7555,154220,148437,5783,1855,1491,2437,7530,52,7478,7539,57,7482,55768
2065,7568,7568,7578,6326,28930666,24153447,4777219,2302961,1000850,1473408,764,200,564,801,238,563,8687405
2066,7568,7568,7578,7578,0,0,0,0,0,0,7568,17,7551,7578,23,7555,0
2067,7568,7568,7578,6322,39952980,33034197,6918783,3508571,1775727,1634485,338,196,142,375,232,143,0
2068,7568,7568,7578,7578,0,0,0,0,0,0,7568,17,7551,7578,20,7558,0
2069,7568,7568,7578,7578,0,0,0,0,0,0,7568,0,7568,7578,1,7577,0
2070,7568,7568,7578,7578,0,0,0,0,0,0,7568,15,7553,7578,20,7558,0
2071,7568,7568,7578,7486,566172,401002,165170,9248,59472,96450,7417,49,7368,7428,50,7378,268254
2072,7568,7568,7578,7578,0,0,0,0,0,0,7568,11,7557,7578,15,7563,0
2073,7568,7568,7578,7320,5911991,5258537,653454,161091,198438,293925,6403,82,6321,6423,96,6327,527934
2074,7568,7568,7578,7484,895212,534959,360253,99263,127688,133302,7406,46,7360,7416,51,7365,0
2075,7568,7568,7578,7562,64353,39101,25252,6594,7892,10766,7543,51,7492,7552,49,7503,73797
2076,7568,7568,7578,6830,3808735,3465419,343316,87427,109933,145956,6012,107,5905,6036,120,5916,4810994
2077,7568,7568,7578,6533,4373733,3837701,536032,207681,134277,194074,4862,122,4740,4885,137,4748,10621346
2078,7568,7568,7578,6345,1958794,1793465,165329,33170,37740,94419,2387,188,2199,2430,228,2202,26742461
2079,7568,7568,7578,6676,5655814,5181973,473841,236186,150303,87352,5573,102,5471,5600,120,5480,5388808
2080,7568,7568,7578,6938,7100910,6423565,677345,40887,228060,408398,6283,101,6182,6308,116,6192,0
