"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6342,23854532,20598734,3255798,1763023,681187,811588,2814,177,2637,2860,216,2644,2421352,2010,20598734,3918119,2884157,0,2104030,4924205,6768223,0,681187,386887,62462,0,0,0,231838,0,4754,3482
2011,7568,7568,7578,6322,32987907,26562347,6425560,3658987,1086926,1679647,190,190,0,226,226,0,7798620,2011,26562347,8203173,2722123,0,3542926,5931301,6162824,0,1086926,679862,0,0,0,0,407064,0,7378,6096
2012,7568,7568,7578,6998,36396710,30279151,6117559,2361051,1574737,2181771,523,183,340,555,212,343,2539946,2012,30279151,9669169,5951262,0,2875259,6137622,5645839,0,1574737,582803,637706,0,0,0,354228,0,7045,6443
2013,7568,7568,7578,6322,33070016,26259253,6810763,3998994,1224004,1587765,190,190,0,226,226,0,7716861,2013,26259253,8520722,3606040,0,2198019,5745145,6189327,0,1224004,718750,74192,0,0,0,431062,0,7378,6096
2014,7568,7568,7578,7034,25504604,21053415,4451189,2447500,764800,1238889,189,189,0,209,209,0,15305264,2014,21053415,6639658,2255686,0,2832700,4493654,4831717,0,764800,472977,8804,0,0,0,283019,0,7379,6825
2015,7568,7568,7578,7029,40809510,33784738,7024772,3605228,1191997,2227547,183,183,0,213,213,0,0,2015,33784738,10545832,4185420,0,5585886,6615360,6852240,0,1191997,734666,17256,0,0,0,440075,0,7385,6816
2016,7568,7568,7578,6996,13584861,12259917,1324944,889426,258297,177221,182,182,0,214,214,0,27291397,2016,12259917,2797481,1675759,0,3089439,2245857,2451381,0,258297,151751,16327,0,0,0,90219,0,7386,6782
2017,7568,7568,7578,6993,40811216,33770271,7040945,2764446,1399075,2877424,182,182,0,213,213,0,3820,2017,33770271,11619390,6255775,0,2448777,7306943,6139386,0,1399075,621014,402955,0,0,0,375106,0,7386,6780
2018,7568,7568,7578,6323,31055886,25255431,5800455,2860994,957937,1981524,797,193,604,832,227,605,6373596,2018,25255431,7926035,2784720,0,2185353,5925266,6434057,0,957937,598360,1189,0,0,0,358388,0,6771,5491
2019,7568,7568,7578,7008,40815036,35517532,5297504,1981036,950197,2366271,182,182,0,214,214,0,0,2019,35517532,10891193,7472711,0,3976169,7098859,6078600,0,950197,480460,180727,0,0,0,289010,0,7386,6794
2020,7568,7568,7578,7028,40698990,37513003,3185987,1439547,563858,1182582,203,191,12,233,221,12,0,2020,37513003,8799869,3527020,0,11317197,7016677,6852240,0,563858,330524,35513,0,0,0,197821,0,7365,6795
2021,7568,7568,7578,7031,29030185,23629966,5400219,2977251,1004875,1418093,185,185,0,213,213,0,11793169,2021,23629966,6850029,4989257,0,2053615,4576781,5160284,0,1004875,565534,99946,0,0,0,339395,0,7383,6818
2022,7568,7568,7578,6993,24079810,19284208,4795602,3228219,885107,682276,177,177,0,214,214,0,16797341,2022,19284208,5184476,2077014,0,3400193,4304457,4318068,0,885107,545938,12350,0,0,0,326819,0,7391,6779
2023,7568,7568,7578,7026,40864770,37754160,3110610,1602799,618464,889347,173,173,0,213,213,0,0,2023,37754160,9974381,3910737,0,10191144,6925126,6752772,0,618464,344144,68074,0,0,0,206246,0,7395,6813
2024,7568,7568,7578,6322,32706338,32543338,163000,59914,35671,67415,323,195,128,358,230,128,7344781,2024,32543338,5071105,2400755,0,12960322,5892718,6218438,0,35671,20887,2907,0,0,0,11877,0,7245,5964
2025,7568,7568,7578,7006,34317973,29295562,5022411,3083682,993916,944813,172,172,0,215,215,0,6565254,2025,29295562,7120079,4525233,0,6682233,5342502,5625515,0,993916,567847,85511,0,0,0,340558,0,7396,6791
2026,7568,7568,7578,6322,25030220,20867573,4162647,1875966,752787,1533894,268,193,75,302,228,74,15346510,2026,20867573,6657834,3596153,0,2005005,4124521,4484060,0,752787,412589,92757,0,0,0,247441,0,7300,6020
2027,7568,7568,7578,6337,30437208,26717393,3719815,962557,753901,2003357,2060,179,1881,2105,220,1885,0,2027,26717393,7577241,4878278,0,860848,6222752,7178274,0,753901,306797,261341,0,0,0,185763,0,5508,4232
2028,7568,7568,7578,7569,71838,46980,24858,687,5357,18814,7555,22,7533,7564,25,7539,0,2028,46980,31888,10083,0,5009,0,0,0,5357,2619,1339,0,0,0,1399,0,13,5
2029,7568,7568,7578,6378,21440880,18865339,2575541,676016,503043,1396482,3688,151,3537,3741,193,3548,0,2029,18865339,4299321,1436180,0,1668004,4692484,6769350,0,503043,265642,78042,0,0,0,159359,0,3880,2637
2030,7568,7568,7578,6322,29741662,23939308,5802354,2941693,1097819,1762842,190,190,0,226,226,0,11054079,2030,23939308,7802503,3910474,0,2005689,4843527,5377115,0,1097819,577128,173673,0,0,0,347018,0,7378,6096
2031,7568,7568,7578,7007,40442080,32326528,8115552,4222808,1856297,2036447,249,184,65,282,217,65,2714,2031,32326528,10252727,5586949,0,2341192,7437096,6708564,0,1856297,830995,523451,0,0,0,501851,0,7319,6725
2032,7568,7568,7578,6327,34442817,27424970,7017847,4117961,1231922,1667964,839,199,640,876,235,641,2746107,2032,27424970,8469646,3091782,0,2338350,6316430,7208762,0,1231922,759117,17745,0,0,0,455060,0,6729,5451
2033,7568,7568,7578,7027,40842666,33054903,7787763,3868632,1738089,2181042,177,177,0,213,213,0,0,2033,33054903,10779116,6461841,0,2152419,6803761,6857766,0,1738089,770011,502949,0,0,0,465129,0,7391,6814
2034,7568,7568,7578,6683,11626704,10281928,1344776,326369,306477,711930,5464,125,5339,5486,142,5344,0,2034,10281928,1769654,944848,0,670804,2547660,4348962,0,306477,171737,32057,0,0,0,102683,0,2104,1197
2035,7568,7568,7578,7002,40809510,32114386,8695124,4329007,1740336,2625781,183,183,0,214,214,0,0,2035,32114386,11113012,4599655,0,3012849,7210802,6178068,0,1740336,868155,349337,0,0,0,522844,0,7385,6788
