"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6322,39903246,32309953,7593293,4654050,1352680,1586563,347,195,152,383,231,152,0
2011,7568,7568,7578,6323,23559921,19549066,4010855,2498762,723558,788535,564,190,374,602,227,375,15179549
2012,7568,7568,7578,7025,40908978,32990974,7918004,3996634,1378092,2543278,165,165,0,213,213,0,0
2013,7568,7568,7578,6322,40770828,32838555,7932273,3894218,1542676,2495379,190,190,0,226,226,0,0
2014,7568,7568,7578,7285,3033774,2482699,551075,55630,128997,366448,7019,94,6925,7010,77,6933,0
2015,7568,7568,7578,6322,34728911,29239925,5488986,2546417,1047281,1895288,289,193,96,326,229,97,5497834
2016,7568,7568,7578,6322,40765302,34033972,6731330,3432126,1699367,1599837,191,190,1,227,226,1,0
2017,7568,7568,7578,7453,900038,594783,305255,33542,85242,186471,7356,43,7313,7366,47,7319,271474
2018,7568,7568,7578,6342,34935372,27728045,7207327,3825037,1717424,1664866,1246,191,1055,1281,225,1056,0
2019,7568,7568,7578,6329,24314400,20621006,3693394,1139240,845724,1708430,3168,166,3002,3212,205,3007,0
2020,7568,7568,7578,6322,40770828,34953544,5817284,2897304,1024775,1895205,190,190,0,226,226,0,0
2021,7568,7568,7578,6322,39215396,32244286,6971110,3068197,1510789,2392124,471,200,271,507,235,272,2626
2022,7568,7568,7578,6362,18770175,16175357,2594818,637473,697550,1259795,4050,163,3887,4097,203,3894,671694
2023,7568,7568,7578,7578,0,0,0,0,0,0,7568,44,7524,7578,48,7530,0
2024,7568,7568,7578,7321,2635902,2269896,366006,6058,82840,277108,7091,73,7018,7092,66,7026,0
2025,7568,7568,7578,7188,4050558,3525697,524861,68434,118807,337620,6835,75,6760,6866,103,6763,0
2026,7568,7568,7578,6730,39975154,31931757,8043397,3947397,2085297,2010703,198,198,0,226,226,0,751666
2027,7568,7568,7578,7232,3674790,3160925,513865,22453,134074,357338,6903,62,6841,6911,62,6849,0
2028,7568,7568,7578,7509,617250,327007,290243,121127,86570,82546,7452,44,7408,7462,47,7415,23766
2029,7568,7568,7578,6529,8363963,7525772,838191,109920,162177,566094,5050,130,4920,5079,155,4924,5573715
2030,7568,7568,7578,6376,23463396,21022703,2440693,776944,660981,1002768,3322,157,3165,3369,199,3170,0
2031,7568,7568,7578,7559,193410,130886,62524,3218,25308,33998,7533,41,7492,7543,44,7499,0
2032,7568,7568,7578,7578,0,0,0,0,0,0,7568,39,7529,7578,43,7535,0
2033,7568,7568,7578,6322,23408156,19189122,4219034,2088842,759992,1370200,231,196,35,268,232,36,17173175
2034,7568,7568,7578,7032,37230112,31384125,5845987,2482955,1580655,1782377,187,187,0,213,213,0,3564103
2035,7568,7568,7578,7552,207011,122938,84073,4733,21140,58200,7525,46,7479,7533,50,7483,30607
2036,7568,7568,7578,7453,987354,712729,274625,26776,78970,168879,7359,62,7297,7369,66,7303,167580
2037,7568,7568,7578,6324,39809304,34789380,5019924,2903537,939713,1176674,364,195,169,400,231,169,0
2038,7568,7568,7578,6323,37941516,33257525,4683991,1433516,1028113,2222362,702,190,512,741,224,517,0
2039,7568,7568,7578,7534,408924,332232,76692,0,19316,57376,7494,57,7437,7504,62,7442,0
2040,7568,7568,7578,7578,0,0,0,0,0,0,7568,30,7538,7578,36,7542,0
2041,7568,7568,7578,6407,29536470,26828111,2708359,670331,528463,1509565,2223,177,2046,2266,220,2046,0
2042,7568,7568,7578,7577,3868,2576,1292,26,184,1082,7566,39,7527,7577,44,7533,7184
2043,7568,7568,7578,7392,1768320,1334484,433836,111222,115324,207290,7248,81,7167,7247,74,7173,0
2044,7568,7568,7578,6338,26442388,22718438,3723950,1634495,827400,1262055,2531,172,2359,2577,213,2364,1392074
2045,7568,7568,7578,6324,39168288,34567999,4600289,2480881,935682,1183726,480,203,277,518,241,277,0
2046,7568,7568,7578,6341,27792645,23331651,4460994,2443002,960169,1057823,2537,178,2359,2580,218,2362,8661
2047,7568,7568,7578,6324,38157030,31104540,7052490,3971604,1309711,1771175,663,192,471,698,229,469,0
