"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6322,39903246,32309953,7593293,4654050,1352680,1586563,347,195,152,383,231,152,0,2010,32309953,9629434,4172324,0,3701577,7363096,7443522,0,1352680,807304,61383,0,0,0,483993,0,7221,5939
2011,7568,7568,7578,6323,23559921,19549066,4010855,2498762,723558,788535,564,190,374,602,227,375,15179549,2011,19549066,4506850,2314415,0,3577256,4488347,4662198,0,723558,452200,980,0,0,0,270378,0,7004,5721
2012,7568,7568,7578,7025,40908978,32990974,7918004,3996634,1378092,2543278,165,165,0,213,213,0,0,2012,32990974,11306373,4517155,0,3808005,6838761,6520680,0,1378092,808561,84552,0,0,0,484979,0,7403,6812
2013,7568,7568,7578,6322,40770828,32838555,7932273,3894218,1542676,2495379,190,190,0,226,226,0,0,2013,32838555,10893411,6625901,0,1398038,6582677,7338528,0,1542676,760754,323640,0,0,0,458282,0,7378,6096
2014,7568,7568,7578,7285,3033774,2482699,551075,55630,128997,366448,7019,94,6925,7010,77,6933,0,2014,2482699,707474,290302,0,120384,1099291,265248,0,128997,69443,18502,0,0,0,41052,0,549,275
2015,7568,7568,7578,6322,34728911,29239925,5488986,2546417,1047281,1895288,289,193,96,326,229,97,5497834,2015,29239925,8485143,5136235,0,2153265,6452887,7012395,0,1047281,534134,191925,0,0,0,321222,0,7279,5996
2016,7568,7568,7578,6322,40765302,34033972,6731330,3432126,1699367,1599837,191,190,1,227,226,1,0,2016,34033972,10505978,5324206,0,3722594,7087406,7393788,0,1699367,660819,637768,0,0,0,400780,0,7377,6095
2017,7568,7568,7578,7453,900038,594783,305255,33542,85242,186471,7356,43,7313,7366,47,7319,271474,2017,594783,336317,115289,0,13795,129382,0,0,85242,40021,21478,0,0,0,23743,0,212,87
2018,7568,7568,7578,6342,34935372,27728045,7207327,3825037,1717424,1664866,1246,191,1055,1281,225,1056,0,2018,27728045,8947728,3564794,0,2552631,5760918,6901974,0,1717424,750473,513286,0,0,0,453665,0,6322,5061
2019,7568,7568,7578,6329,24314400,20621006,3693394,1139240,845724,1708430,3168,166,3002,3212,205,3007,0,2019,20621006,5051230,1775031,0,792776,5779487,7222482,0,845724,392621,216418,0,0,0,236685,0,4400,3117
2020,7568,7568,7578,6322,40770828,34953544,5817284,2897304,1024775,1895205,190,190,0,226,226,0,0,2020,34953544,9994357,7051770,0,3676035,6843120,7388262,0,1024775,577833,100275,0,0,0,346667,0,7378,6096
2021,7568,7568,7578,6322,39215396,32244286,6971110,3068197,1510789,2392124,471,200,271,507,235,272,2626,2021,32244286,10178993,5810856,0,1675722,7102037,7476678,0,1510789,657365,456064,0,0,0,397360,0,7097,5815
2022,7568,7568,7578,6362,18770175,16175357,2594818,637473,697550,1259795,4050,163,3887,4097,203,3894,671694,2022,16175357,3445452,1619788,0,299801,4011538,6798778,0,697550,281835,245311,0,0,0,170404,0,3518,2265
2023,7568,7568,7578,7578,0,0,0,0,0,0,7568,44,7524,7578,48,7530,0,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,7568,7568,7578,7321,2635902,2269896,366006,6058,82840,277108,7091,73,7018,7092,66,7026,0,2024,2269896,646711,312366,0,149873,1022796,138150,0,82840,37217,23341,0,0,0,22282,0,477,229
2025,7568,7568,7578,7188,4050558,3525697,524861,68434,118807,337620,6835,75,6760,6866,103,6763,0,2025,3525697,718793,219244,0,84428,1552760,950472,0,118807,68478,9777,0,0,0,40552,0,733,322
2026,7568,7568,7578,6730,39975154,31931757,8043397,3947397,2085297,2010703,198,198,0,226,226,0,751666,2026,31931757,10349759,4987735,0,1876448,7682491,7035324,0,2085297,774724,839860,0,0,0,470713,0,7370,6504
2027,7568,7568,7578,7232,3674790,3160925,513865,22453,134074,357338,6903,62,6841,6911,62,6849,0,2027,3160925,758306,381187,0,55857,1424027,541548,0,134074,58563,40569,0,0,0,34942,0,665,321
