"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6322,40115961,32779369,7336592,3994487,1204113,2137992,300,195,105,335,230,105,47007
2011,7568,7568,7578,7028,40820562,34319440,6501122,3592742,1105663,1802717,181,181,0,213,213,0,0
2012,7568,7568,7578,7028,40803812,32802845,8000967,3997739,1607217,2396011,181,181,0,213,213,0,16750
2013,7568,7568,7578,6322,40185072,33112285,7072787,2891324,2068782,2112681,296,194,102,331,229,102,0
2014,7568,7568,7578,7576,16578,9763,6815,111,1638,5066,7565,24,7541,7575,20,7555,0
2015,7568,7568,7578,6322,39317490,34492975,4824515,2154952,828127,1841436,453,198,255,488,233,255,0
2016,7568,7568,7578,6325,276092,262750,13342,9912,1176,2254,884,196,688,921,234,687,36758615
2017,7568,7568,7578,6322,40770828,34538773,6232055,3895588,1238837,1097630,190,190,0,226,226,0,0
2018,7568,7568,7578,6322,40770828,33569691,7201137,4011794,1597052,1592291,190,190,0,226,226,0,0
2019,7568,7568,7578,6347,23872320,19810213,4062107,1578914,992418,1490775,3248,153,3095,3297,197,3100,0
2020,7568,7568,7578,7332,2249082,1894829,354253,33336,86584,234333,7161,57,7104,7160,47,7113,0
2021,7568,7568,7578,6322,40737672,34519534,6218138,2011862,1301338,2904938,196,193,3,231,228,3,0
2022,7568,7568,7578,6570,12836898,11242055,1594843,444847,422766,727230,5245,126,5119,5268,145,5123,0
2023,7568,7568,7578,6322,35563533,29399670,6163863,2984406,1001458,2177999,214,192,22,250,227,23,5083311
2024,7568,7568,7578,6327,32813388,29575696,3237692,1039132,621708,1576852,1630,191,1439,1668,227,1441,0
2025,7568,7568,7578,6324,10107538,8488947,1618591,649266,359837,609488,1490,193,1297,1528,228,1300,23541551
2026,7568,7568,7578,6322,39726414,32364515,7361899,3751642,1459014,2151243,379,194,185,415,230,185,0
2027,7568,7568,7578,6322,40715568,31187136,9528432,5469586,2032038,2026808,200,191,9,237,227,10,0
2028,7568,7568,7578,6876,7824816,7006479,818337,39482,217901,560954,6152,106,6046,6178,122,6056,0
2029,7568,7568,7578,6818,8521092,7855821,665271,29149,158080,478042,6026,95,5931,6045,105,5940,0
2030,7568,7568,7578,7578,0,0,0,0,0,0,7568,10,7558,7578,13,7565,0
2031,7568,7568,7578,6322,40770828,31519831,9250997,5388603,1632143,2230251,190,190,0,226,226,0,0
2032,7568,7568,7578,6342,25977726,22338507,3639219,1102189,810744,1726286,2867,160,2707,2914,202,2712,0
2033,7568,7568,7578,7264,2983087,2622615,360472,44900,83768,231804,7028,74,6954,7035,76,6959,953
2034,7568,7568,7578,7031,35415886,28488764,6927122,3583034,1580144,1763944,429,191,238,457,218,239,4040052
2035,7568,7568,7578,7569,71838,39422,32416,5688,9188,17540,7555,58,7497,7564,64,7500,0
2036,7568,7568,7578,6347,16333037,14134982,2198055,815974,516950,865131,2999,152,2847,3045,192,2853,8938262
2037,7568,7568,7578,6322,28444298,22615110,5829188,3057012,1055449,1716727,192,190,2,228,226,2,12342156
2038,7568,7568,7578,6343,26132454,21294977,4837477,2326521,1026826,1484130,2839,164,2675,2884,205,2679,0
2039,7568,7568,7578,6366,18132912,15951950,2180962,865062,434367,881533,4038,143,3895,4086,185,3901,1378469
2040,7568,7568,7578,6322,40411638,32451465,7960173,4016349,2040437,1903387,255,193,62,291,229,62,0
2041,7568,7568,7578,6677,6147177,5372603,774574,306720,181147,286707,5502,154,5348,5528,172,5356,5294409
2042,7568,7568,7578,6322,40522158,31694544,8827614,4948328,2011559,1867727,235,196,39,271,232,39,0
2043,7568,7568,7578,6562,13024782,11474285,1550497,258693,449445,842359,5211,120,5091,5234,138,5096,0
2044,7568,7568,7578,7569,63024,40131,22893,1595,5822,15476,7555,53,7502,7564,56,7508,8814
2045,7568,7568,7578,7576,5426,4042,1384,78,193,1113,7566,34,7532,7575,39,7536,5626
2046,7568,7568,7578,6362,18022676,15873285,2149391,925381,498838,725172,3911,149,3762,3957,190,3767,2192533
2047,7568,7568,7578,6352,9752454,9133554,618900,222319,127982,268599,3207,160,3047,3254,203,3051,14391720
2048,7568,7568,7578,6322,40472424,34429331,6043093,2597316,1307072,2138705,244,192,52,280,228,52,0
2049,7568,7568,7578,7578,0,0,0,0,0,0,7568,36,7532,7578,40,7538,0
2050,7568,7568,7578,7578,0,0,0,0,0,0,7568,15,7553,7578,3,7575,0
2051,7568,7568,7578,7046,30997710,25850344,5147366,2471528,1306697,1369141,1958,187,1771,1981,209,1772,3150
2052,7568,7568,7578,6640,8632648,7526637,1106011,364127,284001,457883,5368,113,5255,5393,132,5261,3540122
2053,7568,7568,7578,6402,19550988,16250817,3300171,1314705,731330,1254136,4030,156,3874,4081,201,3880,0
2054,7568,7568,7578,6486,9096715,8176790,919925,182209,211228,526488,4541,136,4405,4573,161,4412,7659320
2055,7568,7568,7578,6369,19805184,16717387,3087797,1165084,791801,1130912,3984,158,3826,4032,199,3833,0
2056,7568,7568,7578,6466,17683200,15376030,2307170,793260,532418,981492,4368,150,4218,4404,183,4221,0
