"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6322,40115961,32779369,7336592,3994487,1204113,2137992,300,195,105,335,230,105,47007,2010,32779369,9669874,4061030,0,4348324,7179255,7520886,0,1204113,749716,5287,0,0,0,449110,0,7268,5987
2011,7568,7568,7578,7028,40820562,34319440,6501122,3592742,1105663,1802717,181,181,0,213,213,0,0,2011,34319440,10732053,3415469,0,5683921,7447873,7040124,0,1105663,690778,1194,0,0,0,413691,0,7387,6815
2012,7568,7568,7578,7028,40803812,32802845,8000967,3997739,1607217,2396011,181,181,0,213,213,0,16750,2012,32802845,10885588,6650760,0,2138231,6314708,6813558,0,1607217,770356,372579,0,0,0,464282,0,7387,6815
2013,7568,7568,7578,6322,40185072,33112285,7072787,2891324,2068782,2112681,296,194,102,331,229,102,0,2013,33112285,10968386,5899766,0,1604155,7218560,7421418,0,2068782,619221,1070270,0,0,0,379291,0,7272,5991
2014,7568,7568,7578,7576,16578,9763,6815,111,1638,5066,7565,24,7541,7575,20,7555,0,2014,9763,7216,1396,0,1151,0,0,0,1638,544,866,0,0,0,228,0,3,1
2015,7568,7568,7578,6322,39317490,34492975,4824515,2154952,828127,1841436,453,198,255,488,233,255,0,2015,34492975,10078564,4330740,0,4184128,8223929,7675614,0,828127,476498,65862,0,0,0,285767,0,7115,5834
2016,7568,7568,7578,6325,276092,262750,13342,9912,1176,2254,884,196,688,921,234,687,36758615,2016,262750,29512,86632,0,15383,86108,45115,0,1176,678,155,0,0,0,343,0,6684,5404
2017,7568,7568,7578,6322,40770828,34538773,6232055,3895588,1238837,1097630,190,190,0,226,226,0,0,2017,34538773,9346835,4411958,0,7280056,6393488,7106436,0,1238837,687426,138716,0,0,0,412695,0,7378,6096
2018,7568,7568,7578,6322,40770828,33569691,7201137,4011794,1597052,1592291,190,190,0,226,226,0,0,2018,33569691,10005451,4593325,0,4633322,7032221,7305372,0,1597052,743822,404578,0,0,0,448652,0,7378,6096
2019,7568,7568,7578,6347,23872320,19810213,4062107,1578914,992418,1490775,3248,153,3095,3297,197,3100,0,2019,19810213,5011623,2181683,0,554817,4999862,7062228,0,992418,444427,279627,0,0,0,268364,0,4320,3050
2020,7568,7568,7578,7332,2249082,1894829,354253,33336,86584,234333,7161,57,7104,7160,47,7113,0,2020,1894829,460081,166686,0,134191,984669,149202,0,86584,45539,14191,0,0,0,26854,0,407,172
2021,7568,7568,7578,6322,40737672,34519534,6218138,2011862,1301338,2904938,196,193,3,231,228,3,0,2021,34519534,11643723,6032461,0,2056935,7420257,7366158,0,1301338,498877,499809,0,0,0,302652,0,7372,6091
2022,7568,7568,7578,6570,12836898,11242055,1594843,444847,422766,727230,5245,126,5119,5268,145,5123,0,2022,11242055,1856851,743995,0,482112,2743617,5415480,0,422766,203794,96716,0,0,0,122256,0,2323,1302
2023,7568,7568,7578,6322,35563533,29399670,6163863,2984406,1001458,2177999,214,192,22,250,227,23,5083311,2023,29399670,9325215,5367812,0,1310157,6427390,6969096,0,1001458,593097,52976,0,0,0,355385,0,7354,6072
2024,7568,7568,7578,6327,32813388,29575696,3237692,1039132,621708,1576852,1630,191,1439,1668,227,1441,0,2024,29575696,7389865,4897696,0,2997904,6868813,7421418,0,621708,281664,170173,0,0,0,169871,0,5938,4659
2025,7568,7568,7578,6324,10107538,8488947,1618591,649266,359837,609488,1490,193,1297,1528,228,1300,23541551,2025,8488947,2081136,725615,0,256708,2355112,3070376,0,359837,175815,78652,0,0,0,105370,0,6078,4796
2026,7568,7568,7578,6322,39726414,32364515,7361899,3751642,1459014,2151243,379,194,185,415,230,185,0,2026,32364515,9915761,3213885,0,3147013,8395664,7692192,0,1459014,731019,287929,0,0,0,440066,0,7189,5907
2027,7568,7568,7578,6322,40715568,31187136,9528432,5469586,2032038,2026808,200,191,9,237,227,10,0,2027,31187136,10984432,3646255,0,1140101,7840202,7576146,0,2032038,954178,502114,0,0,0,575746,0,7368,6085
2028,7568,7568,7578,6876,7824816,7006479,818337,39482,217901,560954,6152,106,6046,6178,122,6056,0,2028,7006479,1308098,620042,0,73375,2148022,2856942,0,217901,82670,85411,0,0,0,49820,0,1416,698
2029,7568,7568,7578,6818,8521092,7855821,665271,29149,158080,478042,6026,95,5931,6045,105,5940,0,2029,7855821,1232556,631493,0,312368,2164868,3514536,0,158080,64939,54219,0,0,0,38922,0,1542,773
2030,7568,7568,7578,7578,0,0,0,0,0,0,7568,10,7558,7578,13,7565,0,2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031,7568,7568,7578,6322,40770828,31519831,9250997,5388603,1632143,2230251,190,190,0,226,226,0,0,2031,31519831,10594245,4291566,0,1679000,7445186,7509834,0,1632143,939596,128534,0,0,0,564013,0,7378,6096
2032,7568,7568,7578,6342,25977726,22338507,3639219,1102189,810744,1726286,2867,160,2707,2914,202,2712,0,2032,22338507,6087526,3181671,0,473064,5495336,7100910,0,810744,352085,246010,0,0,0,212649,0,4701,3428
2033,7568,7568,7578,7264,2983087,2622615,360472,44900,83768,231804,7028,74,6954,7035,76,6959,953,2033,2622615,469344,394815,0,125337,1174461,458658,0,83768,47555,8149,0,0,0,28064,0,540,229
2034,7568,7568,7578,7031,35415886,28488764,6927122,3583034,1580144,1763944,429,191,238,457,218,239,4040052,2034,28488764,8726780,4953522,0,728116,6958453,7121893,0,1580144,691373,470993,0,0,0,417778,0,7139,6574
2035,7568,7568,7578,7569,71838,39422,32416,5688,9188,17540,7555,58,7497,7564,64,7500,0,2035,39422,29708,7946,0,1768,0,0,0,9188,4471,2247,0,0,0,2470,0,13,5
2036,7568,7568,7578,6347,16333037,14134982,2198055,815974,516950,865131,2999,152,2847,3045,192,2853,8938262,2036,14134982,3168574,1093459,0,1065091,3835910,4971948,0,516950,232729,144069,0,0,0,140152,0,4569,3302
2037,7568,7568,7578,6322,28444298,22615110,5829188,3057012,1055449,1716727,192,190,2,228,226,2,12342156,2037,22615110,7285292,2782807,0,1377303,5575965,5593743,0,1055449,585554,118453,0,0,0,351442,0,7376,6094
2038,7568,7568,7578,6343,26132454,21294977,4837477,2326521,1026826,1484130,2839,164,2675,2884,205,2679,0,2038,21294977,5578720,2453760,0,494053,5612274,7156170,0,1026826,541292,160240,0,0,0,325294,0,4729,3459
2039,7568,7568,7578,6366,18132912,15951950,2180962,865062,434367,881533,4038,143,3895,4086,185,3901,1378469,2039,15951950,2830970,1472879,0,1168753,3923890,6555458,0,434367,266788,8098,0,0,0,159481,0,3530,2280
2040,7568,7568,7578,6322,40411638,32451465,7960173,4016349,2040437,1903387,255,193,62,291,229,62,0,2040,32451465,11015508,4501272,0,1524581,7701334,7708770,0,2040437,776297,792938,0,0,0,471202,0,7313,6031
2041,7568,7568,7578,6677,6147177,5372603,774574,306720,181147,286707,5502,154,5348,5528,172,5356,5294409,2041,5372603,836187,499070,0,337363,1277900,2422083,0,181147,106205,11797,0,0,0,63145,0,2066,1149
