"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,7020,40826088,32894197,7931891,4056891,1436807,2438193,180,180,0,214,214,0,0
2011,7568,7568,7578,6322,40770828,34185678,6585150,3389262,1048243,2147645,190,190,0,226,226,0,0
2012,7568,7568,7578,7012,40815036,33496116,7318920,2884229,1462161,2972530,182,182,0,215,215,0,0
2013,7568,7568,7578,6323,39941928,34452692,5489236,2466629,1059408,1963199,340,198,142,378,236,142,0
2014,7568,7568,7578,6359,21867563,17942714,3924849,1738549,864515,1321785,2827,178,2649,2870,216,2654,4333111
2015,7568,7568,7578,6531,14146718,12591552,1555166,214170,277808,1063188,4814,118,4696,4832,131,4701,1075197
2016,7568,7568,7578,6322,40721094,34370473,6350621,3071488,1289450,1989683,199,192,7,235,228,7,0
2017,7568,7568,7578,6336,16509994,14006746,2503248,1230891,519584,752773,2302,174,2128,2347,213,2134,12621200
2018,7568,7568,7578,6322,40770828,33035312,7735516,3922879,1316044,2496593,190,190,0,226,226,0,0
2019,7568,7568,7578,7028,40820562,32531383,8289179,4230151,1385290,2673738,181,181,0,213,213,0,0
2020,7568,7568,7578,6322,40765302,36067457,4697845,1548817,917079,2231949,191,191,0,227,227,0,0
2021,7568,7568,7578,6343,26220870,22883407,3337463,1457230,634640,1245593,2823,179,2644,2863,215,2648,0
2022,7568,7568,7578,6322,40577418,32635447,7941971,4545133,1371312,2025526,225,194,31,261,230,31,0
2023,7568,7568,7578,7031,35172990,28915031,6257959,3517771,1236628,1503560,1203,174,1029,1243,213,1030,0
2024,7568,7568,7578,6323,40074552,32344795,7729757,4009417,1495369,2224971,316,197,119,353,235,118,0
2025,7568,7568,7578,6322,40334274,32780893,7553381,3893501,1332014,2327866,269,193,76,304,229,75,0
2026,7568,7568,7578,6322,29879897,24028219,5851678,2819356,1082475,1949847,202,192,10,238,227,11,10845516
2027,7568,7568,7578,6322,40606929,35331899,5275030,1823552,937045,2514433,190,190,0,226,226,0,163899
2028,7568,7568,7578,7567,93942,61299,32643,1248,7231,24164,7551,46,7505,7560,52,7508,0
2029,7568,7568,7578,6336,30011964,24521935,5490029,2581125,1021702,1887202,2041,179,1862,2084,219,1865,530238
2030,7568,7568,7578,7032,40207176,32164680,8042496,4024248,1286577,2731671,292,190,102,318,216,102,0
2031,7568,7568,7578,6991,40743198,33650540,7092658,3536582,1332530,2223546,195,182,13,227,214,13,0
2032,7568,7568,7578,7029,40798458,33330161,7468297,4470167,1276750,1721380,185,185,0,214,214,0,0
2033,7568,7568,7578,7050,40958712,32044073,8914639,4764925,1572976,2576738,156,156,0,200,200,0,0
2034,7568,7568,7578,6322,34885462,27142908,7742554,4323784,1532888,1885882,190,190,0,226,226,0,5898022
2035,7568,7568,7578,6562,11661322,9933437,1727885,544120,368309,815456,4869,159,4710,4896,182,4714,3264402
2036,7568,7568,7578,7504,668646,413383,255263,30660,71276,153327,7447,55,7392,7457,59,7398,0
2037,7568,7568,7578,6364,20032102,17040818,2991284,1506586,662126,822572,3561,168,3393,3609,209,3400,2114946
