"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,32894197,10881289,6858677,0,1250436,7200757,6703038,0,1436807,780510,187294,0,0,0,469003,0,7388,6806
2011,34185678,9686871,5270291,0,3868968,7694986,7664562,0,1048243,650617,7917,0,0,0,389709,0,7378,6096
2012,33496116,11779904,4868950,0,3043077,7637169,6167016,0,1462161,665713,394636,0,0,0,401812,0,7386,6797
2013,34452692,8961069,7854585,0,2566240,7461496,7609302,0,1059408,515490,233453,0,0,0,310465,0,7228,5945
2014,17942714,4582207,2292691,0,271825,4742735,6053256,0,864515,428212,178650,0,0,0,257653,0,4741,3489
2015,12591552,2691802,1299986,0,160243,3146596,5292925,0,277808,151645,35261,0,0,0,90902,0,2754,1699
2016,34370473,9755135,3137192,0,4672653,8964099,7841394,0,1289450,599376,328541,0,0,0,361533,0,7369,6087
2017,14006746,3040553,1550852,0,1056653,3754581,4604107,0,519584,275234,79410,0,0,0,164940,0,5266,3989
2018,33035312,11512774,4289668,0,2759754,7051698,7421418,0,1316044,767345,88194,0,0,0,460505,0,7378,6096
2019,32531383,11161500,4086758,0,3046508,7179915,7056702,0,1385290,845265,33368,0,0,0,506657,0,7387,6815
2020,36067457,10921901,7556275,0,3743086,6662395,7183800,0,917079,390556,290346,0,0,0,236177,0,7377,6095
2021,22883407,4843726,1820369,0,2816096,6191786,7211430,0,634640,378699,29132,0,0,0,226809,0,4745,3480
2022,32635447,9947323,4682282,0,4152762,6680332,7172748,0,1371312,843528,22227,0,0,0,505557,0,7343,6061
2023,28915031,7564174,3126365,0,5330208,6257558,6636726,0,1236628,705631,107524,0,0,0,423473,0,6365,5788
2024,32344795,10540247,5721650,0,2084585,6709519,7288794,0,1495369,782277,242589,0,0,0,470503,0,7252,5970
2025,32780893,10855258,3900249,0,3275526,7234500,7515360,0,1332014,764797,108303,0,0,0,458914,0,7299,6018
2026,24028219,7904096,3033520,0,1197239,5909397,5983967,0,1082475,567099,174657,0,0,0,340719,0,7366,6084
2027,35331899,10776958,8146968,0,1226266,7495041,7686666,0,937045,421338,261375,0,0,0,254332,0,7378,6096
2028,61299,40420,15220,0,5659,0,0,0,7231,3634,1575,0,0,0,2022,0,17,7
2029,24521935,6817574,2690740,0,1424397,6323238,7265986,0,1021702,579099,94983,0,0,0,347620,0,5527,4252
2030,32164680,11084400,5511283,0,998745,7049366,7520886,0,1286577,785411,30433,0,0,0,470733,0,7276,6714
2031,33650540,9699982,7979912,0,2028168,7200758,6741720,0,1332530,704796,203979,0,0,0,423755,0,7373,6764
2032,33330161,10200245,5305181,0,3804271,6925080,7095384,0,1276750,798498,0,0,0,0,478252,0,7383,6815
2033,32044073,10983789,4661001,0,2326360,7215157,6857766,0,1572976,913576,111169,0,0,0,548231,0,7412,6850
2034,27142908,9258985,4365987,0,1306908,5867105,6343923,0,1532888,766531,304795,0,0,0,461562,0,7378,6096
2035,9933437,2066483,1183028,0,254844,2246816,4182266,0,368309,206563,38148,0,0,0,123598,0,2699,1666
2036,413383,264132,146403,0,2848,0,0,0,71276,33463,17943,0,0,0,19870,0,121,47
2037,17040818,3192329,1430345,0,707951,4638687,7071506,0,662126,370480,69543,0,0,0,222103,0,4007,2755
2038,31545239,8660519,4194854,0,4915602,6637679,7136585,0,1149436,698071,33177,0,0,0,418188,0,7376,6095
2039,30746089,9522303,5425189,0,1262558,7059361,7476678,0,1069580,553419,183372,0,0,0,332789,0,6649,5366
