"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,26391461,8630928,5162095,0,2339468,5089720,5169250,0,1091723,655134,44028,0,0,0,392561,0,7392,6808
2011,21828276,7236104,3266488,0,2180711,4478391,4666582,0,1283226,708492,149302,0,0,0,425432,0,7395,6813
2012,32933826,10396505,4607268,0,3300127,7219560,7410366,0,1369366,733706,194571,0,0,0,441089,0,7270,5987
2013,34647271,11485733,6460747,0,2044442,7350977,7305372,0,1366696,483377,589229,0,0,0,294090,0,7378,6096
2014,61124,46769,13997,0,358,0,0,0,12308,6837,1553,0,0,0,3918,0,20,7
2015,27935406,9005431,2460019,0,2951480,6615086,6903390,0,2017170,923560,536157,0,0,0,557453,0,7378,6096
2016,10159431,2069434,1033484,0,277046,2601271,4178196,0,233573,146382,0,0,0,0,87191,0,3483,2278
2017,3845135,541362,245077,0,135802,1412090,1510804,0,113489,47288,37931,0,0,0,28270,0,1164,525
2018,32248644,10726596,5411902,0,1675047,6908687,7526412,0,1831873,859102,454627,0,0,0,518144,0,7364,6082
2019,10285340,2193685,1096331,0,91902,2708672,4194750,0,301145,119741,109263,0,0,0,72141,0,3756,2491
2020,1874271,478412,325167,0,116780,854444,99468,0,47561,17181,20088,0,0,0,10292,0,376,170
2021,1132193,344336,155487,0,93085,522707,16578,0,47620,20221,15465,0,0,0,11934,0,241,96
2022,8902534,1342639,435761,0,285238,2031276,4807620,0,293526,142257,65893,0,0,0,85376,0,1807,906
2023,26561882,7792484,2777963,0,1933245,6675454,7382736,0,1238627,586762,298114,0,0,0,353751,0,5835,4557
2024,33870419,11357098,5274658,0,1952718,8052411,7233534,0,1225568,630299,216242,0,0,0,379027,0,7390,6814
2025,20656521,4454976,1802771,0,1575938,5655614,7167222,0,737468,263700,313803,0,0,0,159965,0,4231,2980
2026,2095151,482844,185948,0,43904,1039843,342612,0,99848,46521,25768,0,0,0,27559,0,447,183
2027,32173194,8392333,4841976,0,4143296,7209358,7586231,0,1292427,730953,122807,0,0,0,438667,0,7264,5985
2028,19660527,5208824,2524463,0,807206,5021072,6098962,0,887327,380011,277763,0,0,0,229553,0,5217,3941
2029,6358000,1139339,488054,0,177270,1671528,2881809,0,204615,107488,33190,0,0,0,63937,0,2794,1708
2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031,10822213,2142520,949678,0,337371,2546342,4846302,0,333340,159605,78036,0,0,0,95699,0,2223,1235
2032,17688514,5285964,2357010,0,1059967,4387294,4598279,0,581953,323558,64400,0,0,0,193995,0,7365,6082
2033,28717923,8650583,4735021,0,2930342,5874162,6527815,0,1589985,877954,184561,0,0,0,527470,0,7353,6781
2034,11067384,2140923,1244918,0,238834,2684814,4757895,0,340283,174077,62099,0,0,0,104107,0,2784,1691
2035,25618781,6124165,3637369,0,2746594,5866067,7244586,0,847293,485764,70146,0,0,0,291383,0,5431,4153
2036,15280994,4610462,2706177,0,733735,3393106,3837514,0,584925,302964,100192,0,0,0,181769,0,7209,5925
