"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,7022,32728772,26391461,6337311,3197433,1091723,2048155,176,176,0,214,214,0,8136125,2010,26391461,8630928,5162095,0,2339468,5089720,5169250,0,1091723,655134,44028,0,0,0,392561,0,7392,6808
2011,7568,7568,7578,7026,28489470,21828276,6661194,4037322,1283226,1340646,173,173,0,213,213,0,12403236,2011,21828276,7236104,3266488,0,2180711,4478391,4666582,0,1283226,708492,149302,0,0,0,425432,0,7395,6813
2012,7568,7568,7578,6322,40174020,32933826,7240194,3761445,1369366,2109383,298,191,107,335,227,108,0,2012,32933826,10396505,4607268,0,3300127,7219560,7410366,0,1369366,733706,194571,0,0,0,441089,0,7270,5987
2013,7568,7568,7578,6322,40770828,34647271,6123557,2012695,1366696,2744166,190,190,0,226,226,0,0,2013,34647271,11485733,6460747,0,2044442,7350977,7305372,0,1366696,483377,589229,0,0,0,294090,0,7378,6096
2014,7568,7568,7578,7566,110520,61124,49396,8407,12308,28681,7548,75,7473,7559,80,7479,0,2014,61124,46769,13997,0,358,0,0,0,12308,6837,1553,0,0,0,3918,0,20,7
2015,7568,7568,7578,6322,36466113,27935406,8530707,5368784,2017170,1144753,190,190,0,226,226,0,4311953,2015,27935406,9005431,2460019,0,2951480,6615086,6903390,0,2017170,923560,536157,0,0,0,557453,0,7378,6096
2016,7568,7568,7578,6411,11542570,10159431,1383139,297380,233573,852186,4085,160,3925,4133,205,3928,7730857,2016,10159431,2069434,1033484,0,277046,2601271,4178196,0,233573,146382,0,0,0,0,87191,0,3483,2278
2017,7568,7568,7578,6956,4234447,3845135,389312,39616,113489,236207,6404,99,6305,6431,117,6314,2208971,2017,3845135,541362,245077,0,135802,1412090,1510804,0,113489,47288,37931,0,0,0,28270,0,1164,525
2018,7568,7568,7578,6322,40693464,32248644,8444820,4695624,1831873,1917323,204,191,13,240,227,13,0,2018,32248644,10726596,5411902,0,1675047,6908687,7526412,0,1831873,859102,454627,0,0,0,518144,0,7364,6082
2019,7568,7568,7578,6356,11564743,10285340,1279403,228035,301145,750223,3812,149,3663,3865,193,3672,9220232,2019,10285340,2193685,1096331,0,91902,2708672,4194750,0,301145,119741,109263,0,0,0,72141,0,3756,2491
2020,7568,7568,7578,7363,2077776,1874271,203505,118,47561,155826,7192,76,7116,7193,71,7122,0,2020,1874271,478412,325167,0,116780,854444,99468,0,47561,17181,20088,0,0,0,10292,0,376,170
2021,7568,7568,7578,7435,1331766,1132193,199573,1297,47620,150656,7327,46,7281,7339,49,7290,0,2021,1132193,344336,155487,0,93085,522707,16578,0,47620,20221,15465,0,0,0,11934,0,241,96
2022,7568,7568,7578,6694,9985482,8902534,1082948,196990,293526,592432,5761,107,5654,5788,123,5665,0,2022,8902534,1342639,435761,0,285238,2031276,4807620,0,293526,142257,65893,0,0,0,85376,0,1807,906
2023,7568,7568,7578,6330,32244210,26561882,5682328,2611706,1238627,1831995,1733,191,1542,1773,228,1545,0,2023,26561882,7792484,2777963,0,1933245,6675454,7382736,0,1238627,586762,298114,0,0,0,353751,0,5835,4557
2024,7568,7568,7578,7027,40837140,33870419,6966721,2831575,1225568,2909578,178,178,0,213,213,0,0,2024,33870419,11357098,5274658,0,1952718,8052411,7233534,0,1225568,630299,216242,0,0,0,379027,0,7390,6814
2025,7568,7568,7578,6361,23380506,20656521,2723985,792021,737468,1194496,3337,154,3183,3381,194,3187,0,2025,20656521,4454976,1802771,0,1575938,5655614,7167222,0,737468,263700,313803,0,0,0,159965,0,4231,2980
2026,7568,7568,7578,7306,2470122,2095151,374971,20975,99848,254148,7121,60,7061,7123,53,7070,0,2026,2095151,482844,185948,0,43904,1039843,342612,0,99848,46521,25768,0,0,0,27559,0,447,183
2027,7568,7568,7578,6323,39119073,32173194,6945879,4004564,1292427,1648888,304,201,103,338,236,102,1021791,2027,32173194,8392333,4841976,0,4143296,7209358,7586231,0,1292427,730953,122807,0,0,0,438667,0,7264,5985
