"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,7026,40414518,32396234,8018284,3768808,1503170,2746306,171,171,0,213,213,0,461354
2011,7568,7568,7578,6322,40770828,32861270,7909558,4297491,1443969,2168098,190,190,0,226,226,0,0
2012,7568,7568,7578,7034,40770828,32994093,7776735,4124417,1531226,2121092,190,190,0,211,211,0,0
2013,7568,7568,7578,6326,31668430,28560666,3107764,661594,428973,2017197,1428,193,1235,1464,225,1239,2264192
2014,7568,7568,7578,6324,27191528,24422667,2768861,761892,420157,1586812,995,195,800,1032,233,799,9151992
2015,7568,7568,7578,6322,40748724,35699188,5049536,1760517,953119,2335900,194,191,3,230,227,3,0
2016,7568,7568,7578,6323,31057347,25864576,5192771,1896813,1035155,2260803,1029,191,838,1065,225,840,5087385
2017,7568,7568,7578,6809,7331590,6740586,591004,48317,108212,434475,6008,113,5895,6026,122,5904,1294598
2018,7568,7568,7578,6991,40787406,35248099,5539307,1895459,1006938,2636910,187,184,3,217,214,3,0
2019,7568,7568,7578,7025,40848192,33593006,7255186,3065781,1341849,2847556,176,176,0,213,213,0,0
2020,7568,7568,7578,6406,19429396,18013778,1415618,419910,262659,733049,4052,142,3910,4107,188,3919,20
2021,7568,7568,7578,6322,27012979,22296002,4716977,2315587,913079,1488311,190,190,0,226,226,0,13787282
2022,7568,7568,7578,6322,40759776,32916834,7842942,3502449,1369445,2971048,192,192,0,228,228,0,0
2023,7568,7568,7578,6322,40442293,33913148,6529145,2563793,1095833,2869519,191,191,0,227,227,0,323009
2024,7568,7568,7578,6323,37355760,27915404,9440356,6495817,1707683,1236856,808,199,609,847,237,610,0
2025,7568,7568,7578,7028,40826088,34874335,5951753,2169838,1165012,2616903,180,180,0,213,213,0,0
2026,7568,7568,7578,7570,66312,41657,24655,1674,5664,17317,7556,60,7496,7566,63,7503,0
2027,7568,7568,7578,6324,35018262,29418601,5599661,2793704,1019307,1786650,1231,189,1042,1269,226,1043,0
