"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,32396234,11653911,3623868,0,2848981,7489272,6780202,0,1503170,783948,247692,0,0,0,471530,0,7397,6813
2011,32861270,10471714,3590404,0,4556201,6948631,7294320,0,1443969,815773,138447,0,0,0,489749,0,7378,6096
2012,32994093,10654141,7582662,0,1367993,6233127,7156170,0,1531226,738358,347981,0,0,0,444887,0,7378,6823
2013,28560666,7644267,6599125,0,765742,6316774,7234758,0,428973,229860,61028,0,0,0,138085,0,6140,4862
2014,24422667,5992672,4247429,0,1658428,6249820,6274318,0,420157,217145,72594,0,0,0,130418,0,6573,5292
2015,35699188,11180555,6043364,0,3409769,7644082,7421418,0,953119,431747,260924,0,0,0,260448,0,7374,6092
2016,25864576,8464400,3833757,0,206048,6470068,6890303,0,1035155,467721,285160,0,0,0,282274,0,6539,5258
2017,6740586,981043,442405,0,365540,1778414,3173184,0,108212,65039,4668,0,0,0,38505,0,1560,783
2018,35248099,11372752,6022168,0,4624172,7216719,6012288,0,1006938,495021,213862,0,0,0,298055,0,7381,6774
2019,33593006,11512998,5677722,0,1813903,7487473,7100910,0,1341849,666576,273960,0,0,0,401313,0,7392,6812
2020,18013778,3342481,1513356,0,2122677,4293544,6741720,0,262659,156072,13333,0,0,0,93254,0,3516,2299
2021,22296002,6657453,3792713,0,2027346,4660583,5157907,0,913079,480198,144319,0,0,0,288562,0,7378,6096
2022,32916834,11857653,5192850,0,1055140,7384247,7426944,0,1369445,700283,247692,0,0,0,421470,0,7376,6094
2023,33913148,11065613,5560966,0,1378799,8237682,7670088,0,1095833,574103,176540,0,0,0,345190,0,7377,6095
2024,27915404,8517573,2877646,0,892288,7858341,7769556,0,1707683,1064785,4753,0,0,0,638145,0,6760,5476
2025,34874335,11205109,7180109,0,1854450,7561387,7073280,0,1165012,503932,356609,0,0,0,304471,0,7388,6815
2026,41657,27714,13199,0,744,0,0,0,5664,3049,1061,0,0,0,1554,0,12,4
2027,29418601,7962869,3734882,0,2593185,7380213,7747452,0,1019307,572006,103893,0,0,0,343408,0,6337,5055
2028,30898191,6442516,3683682,0,9406377,6039941,5325675,0,654168,393792,24734,0,0,0,235642,0,7386,6794
2029,31200465,9611586,5448928,0,3339556,6075253,6725142,0,1654718,900387,213294,0,0,0,541037,0,7161,6589
2030,31449561,9828673,4758809,0,3351786,7116711,6393582,0,1981299,1010454,362596,0,0,0,608249,0,7384,6776
2031,31766280,10129290,5344867,0,1651655,7163790,7476678,0,1695724,918326,225397,0,0,0,552001,0,7368,6085
2032,34774391,10655544,6364400,0,2802972,7496901,7454574,0,924826,551190,43235,0,0,0,330401,0,7368,6086
2033,34780698,10632768,4851175,0,4934703,7034576,7327476,0,1027907,619637,36974,0,0,0,371296,0,7374,6814
2034,20059129,6373581,3683702,0,2299984,3732747,3969115,0,623355,388263,2979,0,0,0,232113,0,7388,6814
2035,30792890,10743824,3835768,0,2266047,7601664,6345587,0,1245610,725348,85146,0,0,0,435116,0,7386,6794
2036,27363520,8936920,3484276,0,3149239,5965360,5827725,0,853265,533726,0,0,0,0,319539,0,7393,6813
2037,33489707,11851860,5730222,0,2312243,7428366,6167016,0,1196378,652209,152293,0,0,0,391876,0,7386,6797
2038,3855684,861791,344169,0,200115,1681495,768114,0,122627,49531,43701,0,0,0,29395,0,789,380
2039,26248795,5680978,3416348,0,2504283,6855976,7791210,0,466671,232179,94791,0,0,0,139701,0,5267,3986
2040,24334640,6903026,4415142,0,2113801,5246220,5656451,0,796609,464964,52897,0,0,0,278748,0,7252,5969
2041,30916714,9315533,3496561,0,5590368,6106506,6407746,0,693355,417987,25271,0,0,0,250097,0,7315,6035
2042,33292604,10916956,6754069,0,1995719,7259908,6365952,0,1654751,715277,507009,0,0,0,432465,0,7386,6787
2043,6978743,1184304,593861,0,167682,1821249,3211647,0,173036,71456,58771,0,0,0,42809,0,2553,1491
2044,16498304,2682508,1592425,0,1973649,4035055,6214667,0,312702,179313,26400,0,0,0,106989,0,4049,2780
2045,32528356,10554361,5194850,0,3059729,7246954,6472462,0,1085614,516448,257903,0,0,0,311263,0,7387,6795
2046,32154741,10911576,2793556,0,2826012,8080607,7542990,0,1550785,843799,199943,0,0,0,507043,0,7336,6053
2047,31416074,10257009,3653913,0,3149534,7083402,7272216,0,1849974,959076,313699,0,0,0,577199,0,7337,6055
2048,33441631,9353607,4740658,0,5846112,6859002,6642252,0,1211090,757366,0,0,0,0,453724,0,7389,6800
2049,31797661,9890513,5372479,0,3162578,7182971,6189120,0,2044073,962473,500924,0,0,0,580676,0,7386,6795
2050,81716,44376,29339,0,8001,0,0,0,10290,4651,3028,0,0,0,2611,0,34,12
2051,216955,150198,56524,0,10233,0,0,0,27670,15398,3120,0,0,0,9152,0,62,23
2052,28009,15939,10319,0,1751,0,0,0,2316,1008,926,0,0,0,382,0,7,3
2053,1182523,421447,220410,0,32312,489266,19088,0,60754,26747,18190,0,0,0,15817,0,303,128
2054,33459415,10274330,3653679,0,3908364,7958480,7664562,0,1456223,765840,229916,0,0,0,460467,0,7375,6093
2055,32019107,10171083,7103522,0,1614698,6118608,7011196,0,1365931,584670,427746,0,0,0,353515,0,7377,6095
2056,1086419,437722,129480,0,103753,415464,0,0,69597,40319,5505,0,0,0,23773,0,253,105
2057,23307150,5631022,2656855,0,5599802,4609332,4810139,0,735495,452021,13051,0,0,0,270423,0,7390,6814
2058,29871700,9583078,4143934,0,1842618,6985646,7316424,0,1197329,728279,32501,0,0,0,436549,0,6720,5442
2059,33082748,11393938,5101613,0,1788665,7415796,7382736,0,1515140,703833,386630,0,0,0,424677,0,7371,6089
2060,27439784,7599269,3458937,0,3052503,6356502,6972573,0,1053306,658799,0,0,0,0,394507,0,6782,5499
2061,37363564,7673092,4548189,0,11556264,6717201,6868818,0,671722,390443,47619,0,0,0,233660,0,7388,6815
2062,34055858,10710380,7810061,0,1866175,6485442,7183800,0,1338098,593799,385727,0,0,0,358572,0,7375,6818
2063,13065831,2117981,1231902,0,937332,3153148,5625468,0,356583,185163,60470,0,0,0,110950,0,2642,1579
2064,32514093,10416141,5379542,0,2266366,7096938,7355106,0,1546941,834528,210901,0,0,0,501512,0,7378,6096
2065,31758175,10634581,4859302,0,1024640,7728671,7510981,0,1197733,648252,160003,0,0,0,389478,0,7175,5892
2066,16131041,3851085,1893773,0,1971165,4055530,4359488,0,415861,260415,0,0,0,0,155446,0,7080,5797
2067,17823112,4922386,3110224,0,1097716,3851906,4840880,0,970156,462010,229858,0,0,0,278288,0,4043,3521
2068,32594305,9884565,5262536,0,2571784,7437424,7437996,0,889661,454880,161231,0,0,0,273550,0,6836,5553
2069,14057206,2787888,968865,0,730448,3721481,5848524,0,397822,216277,52070,0,0,0,129475,0,3339,2156
2070,26388336,7160816,4080956,0,1674361,6222091,7250112,0,1338164,540780,469896,0,0,0,327488,0,5743,4465
2071,30459,18954,7138,0,4367,0,0,0,4846,2596,1096,0,0,0,1154,0,9,3
2072,32544814,9847951,3913984,0,3934309,7388470,7460100,0,1245174,704812,117155,0,0,0,423207,0,7090,5809
2073,32602340,10251299,5440945,0,2774800,6721604,7413692,0,1573232,760551,354528,0,0,0,458153,0,7371,6089
2074,795388,62986,102799,0,22201,226295,381107,0,8597,3319,3637,0,0,0,1641,0,6319,5037
2075,11491457,2436294,1052513,0,680650,2818924,4503076,0,390300,228081,25965,0,0,0,136254,0,3769,2534
2076,31386384,10062665,4190671,0,4179487,6891539,6062022,0,1415105,884361,887,0,0,0,529857,0,7135,6543
2077,34127816,10758369,6752282,0,2981866,7136723,6498576,0,1502090,650628,458284,0,0,0,393178,0,7398,6809
2078,233011,162884,64111,0,6016,0,0,0,52248,22110,16964,0,0,0,13174,0,78,30
2079,7498,5110,1352,0,1036,0,0,0,1571,396,990,0,0,0,185,0,3,1
2080,3174141,625104,244468,0,161576,1358301,784692,0,98454,52443,14786,0,0,0,31225,0,645,279
2081,30396373,8562867,3629385,0,5667641,6049359,6487121,0,886758,464953,142474,0,0,0,279331,0,7378,6096
2082,27410397,7767504,4490063,0,1471742,6430976,7250112,0,1186212,425440,501974,0,0,0,258798,0,5795,4514
2083,3466854,539520,446217,0,184610,1544971,751536,0,45468,19603,14290,0,0,0,11575,0,667,273
2084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2086,11728649,1700454,1086693,0,739425,2797649,5404428,0,289865,127260,86202,0,0,0,76403,0,2321,1298
2087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2088,17991736,4814574,2293294,0,3354327,3842409,3687132,0,559134,349729,385,0,0,0,209020,0,7388,6797
2089,29888020,9368019,4858975,0,2417364,6695352,6548310,0,1721269,1045418,49024,0,0,0,626827,0,7122,6511
2090,24596324,5573548,3176285,0,3958175,5437369,6450947,0,862129,520255,30254,0,0,0,311620,0,6167,4882
2091,13826102,2896750,1683803,0,658217,3188430,5398902,0,411728,220221,59516,0,0,0,131991,0,2849,1793
2092,31806889,9192981,4654356,0,3232692,7283338,7443522,0,1775096,947029,258449,0,0,0,569618,0,7339,6056
2093,24391242,5632978,3854353,0,2131071,5600092,7172748,0,1048396,606835,77564,0,0,0,363997,0,5345,4071
2094,7869062,1216674,980383,0,205572,1891741,3574692,0,362757,184279,68153,0,0,0,110325,0,1829,973
2095,2458739,584551,445707,0,155943,1023868,248670,0,159495,72840,43257,0,0,0,43398,0,540,269
2096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
