"cnrmcm3","gfdlcm21","miroc32med","mpiecham5","ncarccsm3","ncarpcm1"
5017.78123685318,5526,5519.53233351679,5526,4427.59361471861,5463.63633905637
4471.11778259691,3363.78083952027,5526,5526,3852.53144016227,5526
5166.31795599716,5526,5523.73250304589,5526,5526,5526
4482.24667931689,5526,5526,5526,5526,5157.72475570033
3456.37674481637,5526,5526,4612.43682767349,5526,4136.85197018104
5526,4771.11017996978,5526,5136.78939724038,4942.547167254,5526
1839.27173030057,5526,41.3064033512867,5526,3313.97358598909,4749.55604832543
5525.48280530734,4245.46226415094,5526,3135.20584884163,3637.8410652921,4699.73717948718
4586.6025697829,5526,5526,5526,5526,5526
5526,5526,5526,5526,3079.00505857295,5526
5526,5526,5526,5526,5526,5525.99431171786
3932.03101720168,5525.62998450049,5526,5526,5526,3661.28747628084
3257.99079962116,5335.46759522456,5526,5526,5526,5526
5526,NA,4835.94411204787,5526,5526,5482.21404364918
4514.33236714976,5526,5526,5526,5526,5526
4640.07206598161,5526,1662.97104310628,5526,5526,5526
3428.79726027397,5424.03717774763,5526,4056.4617159924,5526,5526
5526,5526,5526,5503.78544320954,5385.33493942731,5526
5526,5321.12068965517,5526,5526,4475.08913168488,4645.87178445708
5526,3321.66918189039,5526,5430.06404921295,2600.66964924839,5526
4031.12794795338,5526,NA,5526,NA,5526
5525.6291843148,5526,5526,5526,5526,5526
5118.56397681676,NA,5526,5526,2858.81221995927,5526
5526,3190.42605969742,5524.23518518519,5526,5000.33170134639,5525.29481963656
5526,5044.04714808292,4960.90292758089,4728.30875576037,4533.55747126437,3218.81280454792
5526,4814.20930232558,5526,4320.60837347166,5526,5161.93013809911
5526,4724.18181818182,3574.75093018166,5526,2553.94160077681,4424.32828351143
4040.90481522956,5526,3856.33107375271,4999.27676566009,5526,5526
5526,5526,5526,5165.66201193059,1349.01607717042,5526
5526,5526,5136.80226628895,5526,5522.90519137703,5491.71786595785
3905.03398714914,NA,5526,1905,5526,3991.21125206839
5526,5526,2975.40029041626,5526,NA,4776.04032809296
5526,1934,5526,5070.0693672944,NA,5526
5526,5526,5526,4964.84693624411,NA,3012.651782217
5038.34146341463,5249.63033551717,4848,5526,5526,4427.30402568535
NA,5526,2713,NA,5526,5146.43535941519
5526,5524.27847346452,4928.26797921794,4597,5526,5526
5526,5526,2236.28846594818,5526,5520.64220183486,5526
5512.44679918153,3711.82612925643,5526,5526,5233.73446327684,5465.20503451076
5526,5526,NA,5525.95623632385,5526,5526
5242.52051282051,5192.23255813954,NA,4391.79958506224,5526,3491
5526,5526,5525.4385026738,4822.37885842387,5293.01234567901,5526
5526,3771.26141078838,3923.93090909091,5525.14376607554,5526,5526
5526,4310.980963205,5526,4176.22705706927,345.611179277437,4758.48184818482
5526,3975.10966725733,3005.19160885365,NA,5526,5526
4559.37593068905,5526,5526,5526,4235.95338545508,5208.2392571506
4209.00962320412,NA,5526,4111.36388249628,4420.28039215686,5526
3881.79387920551,5526,5526,2720.95165394402,3297.38686408504,3671.31055480379
5526,5526,4319,5526,NA,5526
NA,2304.43861447018,NA,5449.58998971546,NA,5526
NA,5526,NA,4205.8947368421,5526,4945.30241816573
NA,5303.42160476326,2381.38832144922,5103.41578947368,4258.1231660931,5523.98998375744
NA,NA,5523.6037584966,5526,5193.76335093897,5508.04447457627
5526,NA,5526,NA,5526,5522.01211203634
4058.42105263158,5526,4613.89609895338,5520.49265106151,4371,5526
4252.00852439741,NA,NA,4295.89073806078,4370.34710743802,5388.40864111498
NA,5526,3290,5186.35329678054,5525.92469879518,2624.55381355932
5526,NA,3473.85714285714,NA,NA,5424.65842196389
NA,NA,5307.19695044473,NA,NA,5526
NA,NA,2311.51379310345,NA,5526,4809.84845762204
NA,4882.41884816754,NA,2264.69230769231,2940.94105607859,5526
3749.48344370861,3363.57894736842,2323.9539295393,5525.95245857104,3416,5526
NA,2627.83582089552,4873,4461.95189053994,4848,5526
5074.67038626609,3683.8849117175,NA,3556.43584854263,4331.56819571865,5431.80491113824
5526,1263.96739130435,5199,4177.9595000791,NA,131.759772115841
2574.12,NA,NA,NA,NA,3555.9243831255
2447.77313624679,NA,NA,NA,5144.40745793543,5526
1616.30931263858,NA,NA,NA,NA,5526
378.072572862382,NA,NA,1671.21285249458,5341.91075514874,5120.15384615385
2834.99448621554,NA,NA,NA,NA,4320
5526,NA,1063.88059701493,1521.61708798746,5526,5522.8992248062
NA,NA,3510.13538461538,4051.31943669827,2048.30132075472,4713.28300352399
NA,NA,4104.13677599442,3128.32286555447,NA,5526
5526,NA,3876.8059602649,4038.75888888889,2483.03846153846,5526
3179.15669108451,NA,2856.80869565217,465.201915070774,NA,NA
4426.23171614772,NA,2477.45070422535,580.935514918191,1600.7,NA
NA,NA,NA,1565.4517369216,NA,5526
NA,NA,NA,4523.7012987013,1362.23605232782,NA
5526,NA,NA,NA,3983.16027874564,2866.63968597726
NA,Inf,NA,2600.92712294043,NA,5526
NA,NA,4611,1400.95298804781,Inf,4714.26820171883
4734.22965702757,NA,1467.2119205298,0,NA,5526
3821.99602385686,NA,718,678,NA,5526
2921.15289821999,NA,NA,NA,NA,5526
NA,NA,NA,NA,NA,5013.89447785675
NA,NA,Inf,0,NA,5526
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,0,0,NA,0,NA
5488.68376068376,NA,NA,1770.8380952381,NA,NA
