"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,7025,35443896,31850497,3593399,2135893,651142,806364,168,168,0,213,213,0,5458957
2011,7568,7568,7578,7025,16042939,14185420,1857519,1142467,404640,310412,168,168,0,214,214,0,24904368
2012,7568,7568,7578,6322,40698990,33205617,7493373,3302183,1464404,2726786,203,190,13,239,226,13,0
2013,7568,7568,7578,6322,40042886,32805194,7237692,3944454,1205186,2088052,190,190,0,226,226,0,728142
2014,7568,7568,7578,6998,40809510,34335921,6473589,2639429,1209550,2624610,183,183,0,213,213,0,0
2015,7568,7568,7578,6440,15584805,13365739,2219066,702448,668391,848227,4403,135,4268,4453,179,4274,1911937
2016,7568,7568,7578,6352,19578891,17023306,2555585,912117,479530,1163938,2276,181,2095,2317,218,2099,9684168
2017,7568,7568,7578,6322,39903246,31989069,7914177,3896278,1665306,2352593,347,196,151,383,231,152,0
2018,7568,7568,7578,6322,40759776,36243320,4516456,2034699,771027,1710730,192,192,0,227,227,0,0
2019,7568,7568,7578,6322,9269420,8255894,1013526,312468,216457,484601,303,190,113,339,226,113,30943437
2020,7568,7568,7578,6323,25698622,21958745,3739877,2081524,671892,986461,526,196,330,563,233,330,13244128
2021,7568,7568,7578,7006,40820562,31849568,8970994,5616203,2052123,1302668,181,181,0,214,214,0,0
2022,7568,7568,7578,6323,37090532,31622075,5468457,3084485,1105541,1278431,613,195,418,650,231,419,1345291
2023,7568,7568,7578,6336,29564100,24444180,5119920,2145143,1102963,1871814,2218,178,2040,2260,216,2044,0
2024,7568,7568,7578,7009,40820562,32826140,7994422,4534006,1350053,2110363,181,181,0,214,214,0,0
2025,7568,7568,7578,6991,25606977,20823827,4783150,3028787,1082820,671543,182,182,0,213,213,0,15242442
2026,7568,7568,7578,6323,39582738,31960780,7621958,3908969,1805524,1907465,405,196,209,438,228,210,0
2027,7568,7568,7578,7536,370242,268401,101841,643,20038,81160,7501,39,7462,7512,41,7471,0
2028,7568,7568,7578,7048,4547852,4132796,415056,43882,114664,256510,6623,110,6513,6648,129,6519,677030
2029,7568,7568,7578,6322,23492275,19896738,3595537,1936144,728128,931265,392,195,197,430,231,199,16195254
2030,7568,7568,7578,7553,243144,151291,91853,9744,23088,59021,7524,43,7481,7534,54,7480,0
