"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,31850497,8245663,4365474,0,7641471,5727538,5870351,0,651142,401330,9839,0,0,0,239973,0,7400,6812
2011,14185420,3273247,2041888,0,3431691,2668921,2769673,0,404640,210152,68986,0,0,0,125502,0,7400,6811
2012,33205617,11434714,5840119,0,1902708,6833224,7194852,0,1464404,682067,370890,0,0,0,411447,0,7365,6083
2013,32805194,9721191,3983049,0,4991602,6881444,7227908,0,1205186,751658,3275,0,0,0,450253,0,7378,6096
2014,34335921,11105189,7839617,0,2820379,6552922,6017814,0,1209550,606989,237323,0,0,0,365238,0,7385,6785
2015,13365739,2566548,1066625,0,539381,3469330,5723855,0,668391,272040,232039,0,0,0,164312,0,3165,1987
2016,17023306,4229520,2108540,0,1602370,3999769,5083107,0,479530,262361,60005,0,0,0,157164,0,5292,4035
2017,31989069,10641924,4148011,0,2324860,7480486,7393788,0,1665306,780635,413766,0,0,0,470905,0,7221,5939
2018,36243320,9713367,8291064,0,4324160,6620409,7294320,0,771027,438222,70028,0,0,0,262777,0,7376,6095
2019,8255894,1789784,1144765,0,413590,2224358,2683397,0,216457,97325,61094,0,0,0,58038,0,7265,5983
2020,21958745,5797348,2660854,0,3310083,4777838,5412622,0,671892,405761,23423,0,0,0,242708,0,7042,5760
2021,31849568,9513218,5626286,0,4083689,6580931,6045444,0,2052123,984032,474769,0,0,0,593322,0,7387,6792
2022,31622075,8965554,5390607,0,4226893,6084771,6954250,0,1105541,595174,152791,0,0,0,357576,0,6955,5673
2023,24444180,6809388,3773740,0,963341,5780223,7117488,0,1102963,528693,255740,0,0,0,318530,0,5350,4076
2024,32826140,10615990,3863954,0,4416117,7569653,6360426,0,1350053,844197,0,0,0,0,505856,0,7387,6795
2025,20823827,5543878,3685786,0,3507778,4124270,3962115,0,1082820,526438,239424,0,0,0,316958,0,7386,6778
