"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,7025,35443896,31850497,3593399,2135893,651142,806364,168,168,0,213,213,0,5458957,2010,31850497,8245663,4365474,0,7641471,5727538,5870351,0,651142,401330,9839,0,0,0,239973,0,7400,6812
2011,7568,7568,7578,7025,16042939,14185420,1857519,1142467,404640,310412,168,168,0,214,214,0,24904368,2011,14185420,3273247,2041888,0,3431691,2668921,2769673,0,404640,210152,68986,0,0,0,125502,0,7400,6811
2012,7568,7568,7578,6322,40698990,33205617,7493373,3302183,1464404,2726786,203,190,13,239,226,13,0,2012,33205617,11434714,5840119,0,1902708,6833224,7194852,0,1464404,682067,370890,0,0,0,411447,0,7365,6083
2013,7568,7568,7578,6322,40042886,32805194,7237692,3944454,1205186,2088052,190,190,0,226,226,0,728142,2013,32805194,9721191,3983049,0,4991602,6881444,7227908,0,1205186,751658,3275,0,0,0,450253,0,7378,6096
2014,7568,7568,7578,6998,40809510,34335921,6473589,2639429,1209550,2624610,183,183,0,213,213,0,0,2014,34335921,11105189,7839617,0,2820379,6552922,6017814,0,1209550,606989,237323,0,0,0,365238,0,7385,6785
2015,7568,7568,7578,6440,15584805,13365739,2219066,702448,668391,848227,4403,135,4268,4453,179,4274,1911937,2015,13365739,2566548,1066625,0,539381,3469330,5723855,0,668391,272040,232039,0,0,0,164312,0,3165,1987
2016,7568,7568,7578,6352,19578891,17023306,2555585,912117,479530,1163938,2276,181,2095,2317,218,2099,9684168,2016,17023306,4229520,2108540,0,1602370,3999769,5083107,0,479530,262361,60005,0,0,0,157164,0,5292,4035
2017,7568,7568,7578,6322,39903246,31989069,7914177,3896278,1665306,2352593,347,196,151,383,231,152,0,2017,31989069,10641924,4148011,0,2324860,7480486,7393788,0,1665306,780635,413766,0,0,0,470905,0,7221,5939
2018,7568,7568,7578,6322,40759776,36243320,4516456,2034699,771027,1710730,192,192,0,227,227,0,0,2018,36243320,9713367,8291064,0,4324160,6620409,7294320,0,771027,438222,70028,0,0,0,262777,0,7376,6095
2019,7568,7568,7578,6322,9269420,8255894,1013526,312468,216457,484601,303,190,113,339,226,113,30943437,2019,8255894,1789784,1144765,0,413590,2224358,2683397,0,216457,97325,61094,0,0,0,58038,0,7265,5983
2020,7568,7568,7578,6323,25698622,21958745,3739877,2081524,671892,986461,526,196,330,563,233,330,13244128,2020,21958745,5797348,2660854,0,3310083,4777838,5412622,0,671892,405761,23423,0,0,0,242708,0,7042,5760
2021,7568,7568,7578,7006,40820562,31849568,8970994,5616203,2052123,1302668,181,181,0,214,214,0,0,2021,31849568,9513218,5626286,0,4083689,6580931,6045444,0,2052123,984032,474769,0,0,0,593322,0,7387,6792
2022,7568,7568,7578,6323,37090532,31622075,5468457,3084485,1105541,1278431,613,195,418,650,231,419,1345291,2022,31622075,8965554,5390607,0,4226893,6084771,6954250,0,1105541,595174,152791,0,0,0,357576,0,6955,5673
