"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6322,40489002,33073384,7415618,4102305,1521022,1792291,241,193,48,276,228,48,0
2011,7568,7568,7578,6322,34510554,28210209,6300345,2809533,1216200,2274612,238,195,43,274,231,43,6006332
2012,7568,7568,7578,6344,24032574,21178301,2854273,850417,619658,1384198,3219,176,3043,3267,216,3051,0
2013,7568,7568,7578,6702,9712109,9100663,611446,127920,127541,355985,5803,113,5690,5820,122,5698,41281
2014,7568,7568,7578,7000,40815036,36500365,4314671,2645495,786365,882811,182,182,0,213,213,0,0
2015,7568,7568,7578,7009,828239,748974,79265,41892,12610,24763,182,182,0,214,214,0,40082278
2016,7568,7568,7578,7027,40538736,34286569,6252167,3090255,1028442,2133470,232,184,48,264,216,48,0
2017,7568,7568,7578,6322,39891601,30975980,8915621,5685076,1589426,1641119,190,190,0,226,226,0,879427
2018,7568,7568,7578,7030,40798458,34573270,6225188,3798131,1150417,1276640,185,185,0,213,213,0,0
2019,7568,7568,7578,7025,13784550,11507979,2276571,1039030,482992,754549,166,166,0,214,214,0,27176953
2020,7568,7568,7578,6551,13577382,12006259,1571123,298105,289049,983969,5111,124,4987,5134,143,4991,0
2021,7568,7568,7578,6517,15257286,13032812,2224474,828586,590178,805710,4807,136,4671,4828,153,4675,0
2022,7568,7568,7578,6352,37013148,30412333,6600815,3430313,1308458,1862044,870,192,678,907,230,677,0
2023,7568,7568,7578,6323,37377864,31488909,5888955,2007297,1510901,2370757,804,188,616,842,225,617,0
2024,7568,7568,7578,6357,23192622,21484908,1707714,394424,350376,962914,3371,158,3213,3414,199,3215,0
2025,7568,7568,7578,6322,39030138,33158010,5872128,2444585,1131323,2296220,505,199,306,542,235,307,0
2026,7568,7568,7578,6322,40759776,34356077,6403699,2610603,2134826,1658270,192,192,0,227,227,0,0
2027,7568,7568,7578,6644,11162520,9841605,1320915,288011,375628,657276,5548,131,5417,5572,147,5425,0
2028,7568,7568,7578,6513,14964408,13541109,1423299,208586,398871,815842,4860,136,4724,4885,156,4729,0
2029,7568,7568,7578,6856,5120749,4698862,421887,83344,123550,214993,6172,88,6084,6194,102,6092,2606210
2030,7568,7568,7578,6322,40549788,36284445,4265343,2396457,882555,986331,230,196,34,266,231,35,0
2031,7568,7568,7578,6322,40754250,31290561,9463689,5742870,1933410,1787409,193,192,1,228,227,1,0
2032,7568,7568,7578,6322,40306644,32919270,7387374,3469789,1459039,2458546,274,194,80,310,230,80,0
2033,7568,7568,7578,6335,34366194,27468297,6897897,3458053,1723926,1715918,1349,197,1152,1391,235,1156,0
2034,7568,7568,7578,7565,110520,68003,42517,5083,12103,25331,7548,47,7501,7557,49,7508,0
2035,7568,7568,7578,6327,32155794,27746255,4409539,2003485,777003,1629051,1749,187,1562,1788,223,1565,0
2036,7568,7568,7578,7032,32726826,31729747,997079,680030,207989,109060,439,193,246,467,220,247,6678119
2037,7568,7568,7578,6323,35301226,30021850,5279376,2174798,1009298,2095280,911,195,716,945,228,717,1487261
2038,7568,7568,7578,7196,1913318,1683041,230277,13869,54303,162105,6804,93,6711,6835,118,6717,2320502
2039,7568,7568,7578,7573,49734,34383,15351,2329,3509,9513,7559,39,7520,7570,41,7529,0
2040,7568,7568,7578,6459,18335268,16076298,2258970,935135,450622,873213,4250,114,4136,4300,162,4138,0
2041,7568,7568,7578,6993,40687938,34258711,6429227,2545965,1214928,2668334,205,183,22,237,215,22,0
2042,7568,7568,7578,7578,0,0,0,0,0,0,7568,47,7521,7578,51,7527,0
2043,7568,7568,7578,6322,29936300,24089459,5846841,3526826,1233738,1086277,190,190,0,226,226,0,10842969
2044,7568,7568,7578,7007,40698990,32017046,8681944,5894984,1719869,1067091,203,187,16,236,220,16,0
2045,7568,7568,7578,6322,39405906,32192670,7213236,3386103,1205239,2621894,437,200,237,473,236,237,0
