"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6526,15130188,13044119,2086069,578249,535476,972344,4830,106,4724,4848,120,4728,0
2011,7568,7568,7578,6322,40770828,30853042,9917786,5680328,1988201,2249257,190,190,0,226,226,0,0
2012,7568,7568,7578,6322,39256704,33164776,6091928,2470479,1174492,2446957,464,196,268,501,232,269,0
2013,7568,7568,7578,6915,7156170,6531293,624877,46910,124290,453677,6273,98,6175,6300,116,6184,0
2014,7568,7568,7578,6322,40770828,33578310,7192518,3346102,1251963,2594453,190,190,0,226,226,0,0
2015,7568,7568,7578,6322,24357856,19996156,4361700,1914647,869306,1577747,210,197,13,245,232,13,16338346
2016,7568,7568,7578,7138,4901562,4288396,613166,83534,148781,380851,6681,118,6563,6713,143,6570,0
2017,7568,7568,7578,6353,23794544,21247287,2547257,655341,549110,1342806,3243,168,3075,3287,208,3079,105406
2018,7568,7568,7578,6327,32879700,28860970,4018730,1342561,616825,2059344,1618,188,1430,1660,225,1435,0
2019,7568,7568,7578,6323,5400240,4989851,410389,152714,97819,159856,950,198,752,989,234,755,32607073
2020,7568,7568,7578,7262,2917728,2461109,456619,78318,120741,257560,7040,56,6984,7050,58,6992,0
2021,7568,7568,7578,6322,40770828,33189188,7581640,3534225,1342004,2705411,190,190,0,226,226,0,0
2022,7568,7568,7578,7020,39770242,34064419,5705823,3237161,1049484,1419178,180,180,0,214,214,0,1057348
2023,7568,7568,7578,7026,40875822,32932044,7943778,4744292,1376005,1823481,171,171,0,213,213,0,0
2024,7568,7568,7578,6999,40809510,30663445,10146065,6014717,2057375,2073973,183,183,0,213,213,0,0
2025,7568,7568,7578,6414,23977720,19215768,4761952,2190097,1159359,1412496,2975,151,2824,3028,201,2827,1405261
2026,7568,7568,7578,6341,26867412,22348941,4518471,1739754,956204,1822513,2706,165,2541,2748,203,2545,0
2027,7568,7568,7578,6505,16268544,14311400,1957144,433989,597313,925842,4624,139,4485,4647,156,4491,0
2028,7568,7568,7578,6348,22087422,19309993,2777429,842963,599459,1335007,3571,163,3408,3617,205,3412,0
2029,7568,7568,7578,6322,20783871,16378133,4405738,2465216,816434,1124088,190,190,0,226,226,0,20029412
2030,7568,7568,7578,6820,8900383,7733108,1167275,282530,303769,580976,5957,113,5844,5978,125,5853,2003
2031,7568,7568,7578,6322,40218228,31775177,8443051,4135882,1605867,2701302,290,193,97,326,228,98,0
2032,7568,7568,7578,7026,29959962,27266814,2693148,1566442,549297,577409,2053,179,1874,2092,215,1877,516104
2033,7568,7568,7578,6322,40566366,32488687,8077679,4179602,1959035,1939042,227,193,34,264,229,35,0
2034,7568,7568,7578,7209,3536640,3169108,367532,26409,162465,178658,6928,80,6848,6944,91,6853,0
2035,7568,7568,7578,7243,3492432,2911539,580893,94793,136049,350051,6936,84,6852,6944,86,6858,0
2036,7568,7568,7578,6322,40085604,30579021,9506583,5596060,1897651,2012872,314,193,121,350,229,121,0
2037,7568,7568,7578,7459,984556,689664,294892,49691,70202,174999,7368,49,7319,7379,53,7326,120644
2038,7568,7568,7578,6322,19581323,15644295,3937028,2602750,731390,602888,207,192,15,244,228,16,21141458
2039,7568,7568,7578,6323,38660725,32532185,6128540,2768863,1115817,2243860,571,197,374,607,234,373,4697
2040,7568,7568,7578,6322,40441888,33505729,6936159,3522461,1457189,1956509,190,190,0,226,226,0,328940
2041,7568,7568,7578,6366,19716768,17592052,2124716,516490,466887,1141339,4000,146,3854,4047,188,3859,0
2042,7568,7568,7578,7578,0,0,0,0,0,0,7568,46,7522,7578,50,7528,0
2043,7568,7568,7578,6322,19057675,15961161,3096514,1539599,670148,886767,196,190,6,234,226,8,21699537
2044,7568,7568,7578,7039,28425744,23132836,5292908,2830905,1521799,940204,2424,160,2264,2457,190,2267,0
2045,7568,7568,7578,7539,342612,244665,97947,2711,20844,74392,7506,44,7462,7516,46,7470,0
2046,7568,7568,7578,7553,221040,126812,94228,14864,30487,48877,7528,27,7501,7538,29,7509,0
2047,7568,7568,7578,7404,1560202,1240027,320175,43347,90659,186169,7266,73,7193,7274,76,7198,108650
2048,7568,7568,7578,6536,11926752,10300282,1626470,386238,388269,851963,5061,127,4934,5081,142,4939,1934663
2049,7568,7568,7578,7578,0,0,0,0,0,0,7568,52,7516,7578,57,7521,0
2050,7568,7568,7578,6332,38217816,30349251,7868565,4034023,2006144,1828398,652,197,455,688,233,455,0
2051,7568,7568,7578,7503,459330,330542,128788,4541,31301,92946,7443,59,7384,7456,63,7393,231420
2052,7568,7568,7578,7570,66287,39315,26972,2969,8242,15761,7555,22,7533,7564,25,7539,5551
2053,7568,7568,7578,6968,5059959,4700995,358964,14400,83167,261397,6428,87,6341,6452,108,6344,1246011
2054,7568,7568,7578,7578,0,0,0,0,0,0,7568,40,7528,7578,43,7535,0
2055,7568,7568,7578,7578,0,0,0,0,0,0,7568,41,7527,7578,44,7534,0
2056,7568,7568,7578,6984,5758092,5138789,619303,184135,145281,289887,6526,84,6442,6554,103,6451,0
2057,7568,7568,7578,7029,38803572,31963811,6839761,2902788,1826863,2110110,546,184,362,579,216,363,0
2058,7568,7568,7578,7463,1094148,713863,380285,98271,137536,144478,7370,45,7325,7382,50,7332,0
2059,7568,7568,7578,6495,16793514,14014018,2779496,1027626,570654,1181216,4529,145,4384,4556,165,4391,0
2060,7568,7568,7578,7026,39397537,30667751,8729786,5102431,2090373,1536982,193,177,16,233,217,16,1357165
2061,7568,7568,7578,7027,5481792,4828922,652870,177835,194572,280463,6576,86,6490,6602,104,6498,0
2062,7568,7568,7578,6334,30895866,24413115,6482751,3379237,1500292,1603222,1977,189,1788,2022,228,1794,0
2063,7568,7568,7578,7167,4531320,3815731,715589,116862,210980,387747,6748,95,6653,6783,122,6661,0
2064,7568,7568,7578,6324,35516194,29040040,6476154,3644988,1205522,1625644,677,197,480,713,234,479,2564780
2065,7568,7568,7578,6546,13251029,11734058,1516971,303457,433733,779781,5063,123,4940,5085,138,4947,593537
2066,7568,7568,7578,6546,13294957,12278851,1016106,166908,308175,541023,5072,129,4943,5096,149,4947,499325
2067,7568,7568,7578,7578,0,0,0,0,0,0,7568,48,7520,7578,52,7526,0
2068,7568,7568,7578,7576,13263,8763,4500,4,1040,3456,7565,34,7531,7575,35,7540,3315
2069,7568,7568,7578,7578,0,0,0,0,0,0,7568,39,7529,7578,42,7536,0
2070,7568,7568,7578,6457,10503006,9551285,951721,195670,299998,456053,4648,139,4509,4693,178,4515,5654822
2071,7568,7568,7578,7288,1564694,1442365,122329,1349,22253,98727,7059,76,6983,7055,69,6986,1255348
2072,7568,7568,7578,7567,93942,52609,41333,7582,13142,20609,7551,42,7509,7560,45,7515,0
2073,7568,7568,7578,7564,94609,57831,36778,11810,9805,15163,7542,71,7471,7556,73,7483,49067
2074,7568,7568,7578,7578,0,0,0,0,0,0,7568,34,7534,7578,38,7540,0
2075,7568,7568,7578,7578,0,0,0,0,0,0,7568,43,7525,7578,48,7530,0
2076,7568,7568,7578,6405,16336155,14309657,2026498,699576,402619,924303,4135,147,3988,4188,192,3996,2641605
2077,7568,7568,7578,6327,32645240,24951711,7693529,4645709,1641954,1405866,1243,194,1049,1281,232,1049,2307112
2078,7568,7568,7578,6832,7896654,7028439,868215,188349,263584,416282,6139,94,6045,6162,112,6050,0
2079,7568,7568,7578,6528,6118136,5351516,766620,182789,229580,354251,4601,164,4437,4626,183,4443,10313421
2080,7568,7568,7578,7578,0,0,0,0,0,0,7568,26,7542,7578,30,7548,0
2081,7568,7568,7578,7578,0,0,0,0,0,0,7568,37,7531,7578,42,7536,0
2082,7568,7568,7578,7578,0,0,0,0,0,0,7568,27,7541,7578,32,7546,0
2083,7568,7568,7578,6339,13059590,10958307,2101283,1133611,518963,448709,3319,164,3155,3363,201,3162,10455124
2084,7568,7568,7578,6340,25491438,21172378,4319060,1885658,1171965,1261437,2955,165,2790,2999,205,2794,0
2085,7568,7568,7578,7574,33156,21808,11348,394,5240,5714,7562,23,7539,7571,26,7545,0
2086,7568,7568,7578,7578,0,0,0,0,0,0,7568,17,7551,7578,21,7557,0
2087,7568,7568,7578,7578,0,0,0,0,0,0,7568,37,7531,7578,42,7536,0
2088,7568,7568,7578,7578,0,0,0,0,0,0,7568,31,7537,7578,35,7543,0
2089,7568,7568,7578,7578,0,0,0,0,0,0,7568,32,7536,7578,34,7544,0
2090,7568,7568,7578,7028,15869928,12885362,2984566,1765581,611767,607218,1380,188,1192,1414,220,1194,18371373
2091,7568,7568,7578,6837,6721577,6006817,714760,108810,332110,273840,6178,90,6088,6205,109,6096,964309
2092,7568,7568,7578,7578,0,0,0,0,0,0,7568,34,7534,7578,39,7539,0
2093,7568,7568,7578,7578,0,0,0,0,0,0,7568,33,7535,7578,39,7539,0
2094,7568,7568,7578,7183,9154251,7971765,1182486,231528,331866,619092,5833,130,5703,5851,139,5712,434941
2095,7568,7568,7578,7578,0,0,0,0,0,0,7568,18,7550,7578,19,7559,0
2096,7568,7568,7578,7578,0,0,0,0,0,0,7568,19,7549,7578,13,7565,0
2097,7568,7568,7578,6345,18405467,15348664,3056803,1423474,691573,941756,3308,168,3140,3356,209,3147,5150615
2098,7568,7568,7578,6573,6572005,5696991,875014,333489,250703,290822,5289,146,5143,5316,167,5149,6045979
2099,7568,5398,7578,5357,513918,77780,0,0,0,0,5305,110,5195,5306,105,5201,0
