"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6526,15130188,13044119,2086069,578249,535476,972344,4830,106,4724,4848,120,4728,0,2010,13044119,2745789,1030293,0,556550,3174435,5537052,0,535476,250416,134267,0,0,0,150793,0,2738,1678
2011,7568,7568,7578,6322,40770828,30853042,9917786,5680328,1988201,2249257,190,190,0,226,226,0,0,2011,30853042,11386763,2896746,0,1806957,7446152,7316424,0,1988201,985881,408295,0,0,0,594025,0,7378,6096
2012,7568,7568,7578,6322,39256704,33164776,6091928,2470479,1174492,2446957,464,196,268,501,232,269,0,2012,33164776,10116326,4417854,0,2572762,8338012,7719822,0,1174492,541156,306860,0,0,0,326476,0,7104,5821
2013,7568,7568,7578,6915,7156170,6531293,624877,46910,124290,453677,6273,98,6175,6300,116,6184,0,2013,6531293,969998,370563,0,277576,2000954,2912202,0,124290,67767,16407,0,0,0,40116,0,1295,615
2014,7568,7568,7578,6322,40770828,33578310,7192518,3346102,1251963,2594453,190,190,0,226,226,0,0,2014,33578310,10321913,5436170,0,2638349,7633362,7548516,0,1251963,689276,148680,0,0,0,414007,0,7378,6096
2015,7568,7568,7578,6322,24357856,19996156,4361700,1914647,869306,1577747,210,197,13,245,232,13,16338346,2015,19996156,6411550,2823580,0,1005252,4889916,4865858,0,869306,406807,217355,0,0,0,245144,0,7358,6077
2016,7568,7568,7578,7138,4901562,4288396,613166,83534,148781,380851,6681,118,6563,6713,143,6570,0,2016,4288396,812002,443379,0,204535,1767488,1060992,0,148781,78553,23485,0,0,0,46743,0,887,425
2017,7568,7568,7578,6353,23794544,21247287,2547257,655341,549110,1342806,3243,168,3075,3287,208,3079,105406,2017,21247287,4559026,2171542,0,1701635,5725226,7089858,0,549110,237722,168056,0,0,0,143332,0,4325,3066
2018,7568,7568,7578,6327,32879700,28860970,4018730,1342561,616825,2059344,1618,188,1430,1660,225,1435,0,2018,28860970,7252525,5152819,0,479083,7328353,8648190,0,616825,352407,53072,0,0,0,211346,0,5950,4667
2019,7568,7568,7578,6323,5400240,4989851,410389,152714,97819,159856,950,198,752,989,234,755,32607073,2019,4989851,668546,461213,0,200006,1632694,2027392,0,97819,39884,34400,0,0,0,23535,0,6618,5334
2020,7568,7568,7578,7262,2917728,2461109,456619,78318,120741,257560,7040,56,6984,7050,58,6992,0,2020,2461109,500037,182212,0,40941,1141111,596808,0,120741,63775,19192,0,0,0,37774,0,528,212
2021,7568,7568,7578,6322,40770828,33189188,7581640,3534225,1342004,2705411,190,190,0,226,226,0,0,2021,33189188,11107740,5017780,0,2951722,6917094,7194852,0,1342004,727596,177224,0,0,0,437184,0,7378,6096
2022,7568,7568,7578,7020,39770242,34064419,5705823,3237161,1049484,1419178,180,180,0,214,214,0,1057348,2022,34064419,7163993,3417027,0,9117961,8163334,6202104,0,1049484,636689,31298,0,0,0,381497,0,7388,6806
2023,7568,7568,7578,7026,40875822,32932044,7943778,4744292,1376005,1823481,171,171,0,213,213,0,0,2023,32932044,10332432,5158566,0,3885511,6797237,6758298,0,1376005,851336,14630,0,0,0,510039,0,7397,6813
2024,7568,7568,7578,6999,40809510,30663445,10146065,6014717,2057375,2073973,183,183,0,213,213,0,0,2024,30663445,10918471,4497741,0,1757558,7311607,6178068,0,2057375,1039300,392148,0,0,0,625927,0,7385,6786
2025,7568,7568,7578,6414,23977720,19215768,4761952,2190097,1159359,1412496,2975,151,2824,3028,201,2827,1405261,2025,19215768,5427663,1871667,0,428582,5123856,6364000,0,1159359,523419,320008,0,0,0,315932,0,4593,3386
2026,7568,7568,7578,6341,26867412,22348941,4518471,1739754,956204,1822513,2706,165,2541,2748,203,2545,0,2026,22348941,6015460,3043640,0,418351,5687690,7183800,0,956204,472624,199088,0,0,0,284492,0,4862,3593
2027,7568,7568,7578,6505,16268544,14311400,1957144,433989,597313,925842,4624,139,4485,4647,156,4491,0,2027,14311400,3067347,1848387,0,363542,3274032,5758092,0,597313,209812,260029,0,0,0,127472,0,2944,1858
2028,7568,7568,7578,6348,22087422,19309993,2777429,842963,599459,1335007,3571,163,3408,3617,205,3412,0,2028,19309993,4259830,1618787,0,1245298,4996752,7189326,0,599459,288784,136965,0,0,0,173710,0,3997,2731
2029,7568,7568,7578,6322,20783871,16378133,4405738,2465216,816434,1124088,190,190,0,226,226,0,20029412,2029,16378133,5128982,1948420,0,998697,3972432,4329602,0,816434,460457,79882,0,0,0,276095,0,7378,6096
2030,7568,7568,7578,6820,8900383,7733108,1167275,282530,303769,580976,5957,113,5844,5978,125,5853,2003,2030,7733108,1339180,1028362,0,183020,1971940,3210606,0,303769,148085,67153,0,0,0,88531,0,1611,842
2031,7568,7568,7578,6322,40218228,31775177,8443051,4135882,1605867,2701302,290,193,97,326,228,98,0,2031,31775177,11151281,4049336,0,917415,7998109,7659036,0,1605867,811301,306159,0,0,0,488407,0,7278,5996
2032,7568,7568,7578,7026,29959962,27266814,2693148,1566442,549297,577409,2053,179,1874,2092,215,1877,516104,2032,27266814,4675453,2464957,0,6719872,6759106,6647426,0,549297,328225,24733,0,0,0,196339,0,5515,4934
2033,7568,7568,7578,6322,40566366,32488687,8077679,4179602,1959035,1939042,227,193,34,264,229,35,0,2033,32488687,10364111,3647759,0,2251691,8488726,7736400,0,1959035,766490,727674,0,0,0,464871,0,7341,6058
2034,7568,7568,7578,7209,3536640,3169108,367532,26409,162465,178658,6928,80,6848,6944,91,6853,0,2034,3169108,529923,344939,0,175358,1466820,652068,0,162465,43892,91998,0,0,0,26575,0,640,265
2035,7568,7568,7578,7243,3492432,2911539,580893,94793,136049,350051,6936,84,6852,6944,86,6858,0,2035,2911539,693547,342261,0,77997,1245134,552600,0,136049,77648,12396,0,0,0,46005,0,632,299
2036,7568,7568,7578,6322,40085604,30579021,9506583,5596060,1897651,2012872,314,193,121,350,229,121,0,2036,30579021,10853152,4367853,0,1001250,7001660,7355106,0,1897651,955790,366259,0,0,0,575602,0,7254,5972
2037,7568,7568,7578,7459,984556,689664,294892,49691,70202,174999,7368,49,7319,7379,53,7326,120644,2037,689664,311813,177660,0,80481,119710,0,0,70202,40303,6242,0,0,0,23657,0,200,80
2038,7568,7568,7578,6322,19581323,15644295,3937028,2602750,731390,602888,207,192,15,244,228,16,21141458,2038,15644295,4091470,1701079,0,1880414,3833363,4137969,0,731390,434064,37461,0,0,0,259865,0,7361,6078
2039,7568,7568,7578,6323,38660725,32532185,6128540,2768863,1115817,2243860,571,197,374,607,234,373,4697,2039,32532185,9124196,5336670,0,3377164,7173269,7520886,0,1115817,602662,151183,0,0,0,361972,0,6997,5716
2040,7568,7568,7578,6322,40441888,33505729,6936159,3522461,1457189,1956509,190,190,0,226,226,0,328940,2040,33505729,9757008,4486761,0,5035402,6882504,7344054,0,1457189,700910,333944,0,0,0,422335,0,7378,6096
2041,7568,7568,7578,6366,19716768,17592052,2124716,516490,466887,1141339,4000,146,3854,4047,188,3859,0,2041,17592052,3338754,2981531,0,625315,3755530,6890922,0,466887,221039,113058,0,0,0,132790,0,3568,2319
2042,7568,7568,7578,7578,0,0,0,0,0,0,7568,46,7522,7578,50,7528,0,2042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2043,7568,7568,7578,6322,19057675,15961161,3096514,1539599,670148,886767,196,190,6,234,226,8,21699537,2043,15961161,4088672,2313974,0,1419033,3936915,4202567,0,670148,321890,154661,0,0,0,193597,0,7372,6088
2044,7568,7568,7578,7039,28425744,23132836,5292908,2830905,1521799,940204,2424,160,2264,2457,190,2267,0,2044,23132836,5676768,3295490,0,1687936,5515408,6957234,0,1521799,610123,541892,0,0,0,369784,0,5144,4582
2045,7568,7568,7578,7539,342612,244665,97947,2711,20844,74392,7506,44,7462,7516,46,7470,0,2045,244665,139720,73725,0,31220,0,0,0,20844,11257,2945,0,0,0,6642,0,62,23
2046,7568,7568,7578,7553,221040,126812,94228,14864,30487,48877,7528,27,7501,7538,29,7509,0,2046,126812,89975,26182,0,10655,0,0,0,30487,12804,10049,0,0,0,7634,0,40,15
2047,7568,7568,7578,7404,1560202,1240027,320175,43347,90659,186169,7266,73,7193,7274,76,7198,108650,2047,1240027,383906,212286,0,129922,513913,0,0,90659,42128,23731,0,0,0,24800,0,302,130
2048,7568,7568,7578,6536,11926752,10300282,1626470,386238,388269,851963,5061,127,4934,5081,142,4939,1934663,2048,10300282,1918230,627269,0,102960,2510505,5141318,0,388269,196342,74180,0,0,0,117747,0,2507,1455
2049,7568,7568,7578,7578,0,0,0,0,0,0,7568,52,7516,7578,57,7521,0,2049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,7568,7568,7578,6332,38217816,30349251,7868565,4034023,2006144,1828398,652,197,455,688,233,455,0,2050,30349251,10389643,4416563,0,1384464,6958203,7200378,0,2006144,763559,778928,0,0,0,463657,0,6916,5644
2051,7568,7568,7578,7503,459330,330542,128788,4541,31301,92946,7443,59,7384,7456,63,7393,231420,2051,330542,183684,98521,0,48337,0,0,0,31301,14621,7970,0,0,0,8710,0,125,47
2052,7568,7568,7578,7570,66287,39315,26972,2969,8242,15761,7555,22,7533,7564,25,7539,5551,2052,39315,27603,9406,0,2306,0,0,0,8242,3358,3148,0,0,0,1736,0,13,6
2053,7568,7568,7578,6968,5059959,4700995,358964,14400,83167,261397,6428,87,6341,6452,108,6344,1246011,2053,4700995,609848,325437,0,164236,1473278,2128196,0,83167,38953,21079,0,0,0,23135,0,1140,516
2054,7568,7568,7578,7578,0,0,0,0,0,0,7568,40,7528,7578,43,7535,0,2054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2055,7568,7568,7578,7578,0,0,0,0,0,0,7568,41,7527,7578,44,7534,0,2055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
