"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6327,32841018,27701994,5139024,2322987,930905,1885132,1625,191,1434,1663,226,1437,0
2011,7568,7568,7578,6335,26620451,23639595,2980856,576134,488383,1916339,2749,169,2580,2791,210,2581,9343
2012,7568,7568,7578,6322,40759776,32971490,7788286,4746587,1374547,1667152,192,191,1,228,227,1,0
2013,7568,7568,7578,6322,40577065,33286899,7290166,3062920,1463298,2763948,191,191,0,227,227,0,188237
2014,7568,7568,7578,6546,12883948,11991781,892167,65288,144013,682866,5234,130,5104,5258,148,5110,13736
2015,7568,7568,7578,6322,40770828,35110337,5660491,1764844,955542,2940105,190,190,0,226,226,0,0
2016,7568,7568,7578,6488,16222371,14560569,1661802,427862,348019,885921,4624,145,4479,4655,170,4485,46173
2017,7568,7568,7578,7578,0,0,0,0,0,0,7568,39,7529,7578,41,7537,0
2018,7568,7568,7578,6322,40754250,35236634,5517616,2133240,837963,2546413,193,192,1,228,227,1,0
2019,7568,7568,7578,7007,20462158,17443915,3018243,1320610,481328,1216305,180,180,0,214,214,0,20405974
2020,7568,7568,7578,6992,40815036,33899403,6915633,3102827,1280119,2532687,182,182,0,213,213,0,0
2021,7568,7568,7578,7032,32625504,26245103,6380401,3652211,1310192,1417998,1664,184,1480,1697,215,1482,0
2022,7568,7568,7578,6324,37598904,32048006,5550898,2891450,949388,1710060,764,194,570,801,230,571,0
2023,7568,7568,7578,7029,40710042,34136402,6573640,2856881,1144376,2572383,201,183,18,230,213,17,0
2024,7568,7568,7578,7017,40820562,32717602,8102960,3945573,1266884,2890503,181,181,0,214,214,0,0
2025,7568,7568,7578,6322,37192028,30733392,6458636,2857967,1385956,2214713,192,191,1,228,227,1,3572448
2026,7568,7568,7578,6638,11455398,10264744,1190654,186688,260350,743616,5495,138,5357,5516,153,5363,0
2027,7568,7568,7578,7031,40787406,33355663,7431743,4035131,1346783,2049829,187,187,0,214,214,0,0
2028,7568,7568,7578,6330,32155794,31402254,753540,358504,154790,240246,1749,188,1561,1791,226,1565,0
2029,7568,7568,7578,7031,40776354,33825891,6950463,3319313,1474536,2156614,189,186,3,217,214,3,0
2030,7568,7568,7578,6743,10206522,9097973,1108549,210965,285097,612487,5721,123,5598,5736,128,5608,0
2031,7568,7568,7578,6323,38781468,30997651,7783817,3459042,1455574,2869201,550,192,358,586,229,357,0
2032,7568,7568,7578,7020,40820562,33916301,6904261,3768508,1594090,1541663,181,181,0,214,214,0,0
2033,7568,7568,7578,6322,39765096,32452769,7312327,4265771,1355016,1691540,372,199,173,407,235,172,0
2034,7568,7568,7578,6322,40770828,34318369,6452459,3449860,1105883,1896716,190,190,0,226,226,0,0
2035,7568,7568,7578,7025,40903452,30954479,9948973,5607990,1818156,2522827,166,166,0,213,213,0,0
2036,7568,7568,7578,6338,29934342,25014349,4919993,2281513,942171,1696309,2151,179,1972,2195,219,1976,0
2037,7568,7568,7578,6322,40759776,33492402,7267374,3461014,1234597,2571763,192,192,0,227,227,0,0
2038,7568,7568,7578,6326,29357209,26186838,3170371,1000411,513965,1655995,1372,193,1179,1411,230,1181,4893243
2039,7568,7568,7578,6376,22612392,19567460,3044932,1144236,595724,1304972,3476,169,3307,3516,207,3309,0
2040,7568,7568,7578,6322,40588470,33474719,7113751,3541350,1335743,2236658,223,193,30,260,229,31,0
2041,7568,7568,7578,6334,32940486,28057252,4883234,2455341,847113,1580780,1607,192,1415,1644,225,1419,0
2042,7568,7568,7578,7009,36280017,29468766,6811251,3245646,1362170,2203435,184,182,2,216,214,2,4534546
2043,7568,7568,7578,6381,19102426,16659983,2442443,933608,499148,1009687,3709,133,3576,3761,178,3583,2224872
2044,7568,7568,7578,7023,40875822,33554342,7321480,3537712,1347851,2435917,171,171,0,214,214,0,0
2045,7568,7568,7578,6322,40682412,31894535,8787877,5844937,1609084,1333856,206,191,15,242,227,15,0
2046,7568,7568,7578,6322,40522158,31783767,8738391,5603705,1905287,1229399,235,190,45,270,226,44,0
2047,7568,7568,7578,7577,10048,6154,3894,590,479,2825,7566,22,7544,7577,24,7553,1004
2048,7568,7568,7578,6322,38292075,30401472,7890603,4347667,1582301,1960635,190,190,0,226,226,0,2484273
2049,7568,7568,7578,6322,40770828,36019804,4751024,2753352,884286,1113386,190,190,0,226,226,0,0
2050,7568,7568,7578,6322,34385834,28406265,5979569,2702282,1191572,2085715,190,190,0,226,226,0,6398278
2051,7568,7568,7578,6323,26141654,21468659,4672995,2675458,906470,1091067,374,197,177,410,233,177,13642461
2052,7568,7568,7578,6322,40398806,32326221,8072585,4296281,1448731,2327573,250,201,49,283,234,49,40462
2053,7568,7568,7578,6322,36659519,30782131,5877388,2962946,966523,1947919,191,191,0,227,227,0,4111833
2054,7568,7568,7578,7006,40815036,33674391,7140645,3598132,1381126,2161387,182,182,0,215,215,0,0
