"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,27701994,7324156,4139241,0,2104842,6706811,7426944,0,930905,517171,103397,0,0,0,310337,0,5943,4664
2011,23639595,5990687,3331363,0,356923,6207644,7752978,0,488383,236688,109252,0,0,0,142443,0,4819,3544
2012,32971490,9478218,4156959,0,5560255,6592258,7183800,0,1374547,833015,42138,0,0,0,499394,0,7376,6094
2013,33286899,11153351,5385318,0,2111001,7298701,7338528,0,1463298,651430,418301,0,0,0,393567,0,7377,6095
2014,11991781,1692428,1320346,0,532047,2865700,5581260,0,144013,89611,1129,0,0,0,53273,0,2334,1288
2015,35110337,11360148,6508976,0,1318056,8291751,7631406,0,955542,442004,246866,0,0,0,266672,0,7378,6096
2016,14560569,2405267,1432729,0,911153,3765976,6045444,0,348019,191442,42015,0,0,0,114562,0,2944,1833
2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,35236634,10434599,7788007,0,2865884,6842772,7305372,0,837963,500005,38320,0,0,0,299638,0,7375,6094
2019,17443915,5104471,3629612,0,1211994,3502313,3995525,0,481328,296569,7726,0,0,0,177033,0,7388,6793
2020,33899403,11581108,6863078,0,1857886,7314269,6283062,0,1280119,640199,254654,0,0,0,385266,0,7386,6779
2021,26245103,6840353,5158625,0,1392913,5923608,6929604,0,1310192,717430,161742,0,0,0,431020,0,5904,5335
2022,32048006,9087127,6188332,0,2951469,6493602,7327476,0,949388,581547,19444,0,0,0,348397,0,6804,5523
2023,34136402,10999812,6018937,0,2798430,7207261,7111962,0,1144376,630571,135152,0,0,0,378653,0,7367,6799
2024,32717602,11235042,5681043,0,2166914,7318385,6316218,0,1266884,789957,3744,0,0,0,473183,0,7387,6803
2025,30733392,9558878,4836252,0,1840132,7246283,7251847,0,1385956,592192,435742,0,0,0,358022,0,7376,6094
2026,10264744,1624263,841398,0,421360,2669571,4708152,0,260350,145218,28479,0,0,0,86653,0,2073,1122
2027,33355663,10403676,5667206,0,2963797,6999034,7321950,0,1346783,766234,120568,0,0,0,459981,0,7381,6817
2028,31402254,5421397,2369462,0,9746644,6548327,7316424,0,154790,92379,7710,0,0,0,54701,0,5819,4539
2029,33825891,10262387,6284791,0,3488583,6788688,7001442,0,1474536,691780,365630,0,0,0,417126,0,7379,6814
2030,9097973,1567672,1444349,0,489598,2004454,3591900,0,285097,130959,75546,0,0,0,78592,0,1847,1007
2031,30997651,10957731,3410705,0,1493282,7609521,7526412,0,1455574,747385,258406,0,0,0,449783,0,7018,5737
2032,33916301,9298083,2708271,0,6830863,8536300,6542784,0,1594090,732497,419727,0,0,0,441866,0,7387,6806
2033,32452769,9520275,4365812,0,4657714,6725168,7183800,0,1355016,786345,96817,0,0,0,471854,0,7196,5915
2034,34318369,10679154,4200310,0,5291963,6941038,7205904,0,1105883,668287,37019,0,0,0,400577,0,7378,6096
2035,30954479,11460645,4572002,0,1539468,6795372,6586992,0,1818156,996572,222674,0,0,0,598910,0,7402,6812
2036,25014349,7087016,2416684,0,2345422,6042213,7123014,0,942171,541350,76129,0,0,0,324692,0,5417,4143
2037,33492402,10790782,5859597,0,2768321,6829116,7244586,0,1234597,712351,94863,0,0,0,427383,0,7376,6095
2038,26186838,6818701,3924547,0,2955677,5969605,6518308,0,513965,286843,55010,0,0,0,172112,0,6196,4915
2039,19567460,3993015,3580846,0,831927,4276276,6885396,0,595724,337128,56563,0,0,0,202033,0,4092,2860
