"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6327,32841018,27701994,5139024,2322987,930905,1885132,1625,191,1434,1663,226,1437,0,2010,27701994,7324156,4139241,0,2104842,6706811,7426944,0,930905,517171,103397,0,0,0,310337,0,5943,4664
2011,7568,7568,7578,6335,26620451,23639595,2980856,576134,488383,1916339,2749,169,2580,2791,210,2581,9343,2011,23639595,5990687,3331363,0,356923,6207644,7752978,0,488383,236688,109252,0,0,0,142443,0,4819,3544
2012,7568,7568,7578,6322,40759776,32971490,7788286,4746587,1374547,1667152,192,191,1,228,227,1,0,2012,32971490,9478218,4156959,0,5560255,6592258,7183800,0,1374547,833015,42138,0,0,0,499394,0,7376,6094
2013,7568,7568,7578,6322,40577065,33286899,7290166,3062920,1463298,2763948,191,191,0,227,227,0,188237,2013,33286899,11153351,5385318,0,2111001,7298701,7338528,0,1463298,651430,418301,0,0,0,393567,0,7377,6095
2014,7568,7568,7578,6546,12883948,11991781,892167,65288,144013,682866,5234,130,5104,5258,148,5110,13736,2014,11991781,1692428,1320346,0,532047,2865700,5581260,0,144013,89611,1129,0,0,0,53273,0,2334,1288
2015,7568,7568,7578,6322,40770828,35110337,5660491,1764844,955542,2940105,190,190,0,226,226,0,0,2015,35110337,11360148,6508976,0,1318056,8291751,7631406,0,955542,442004,246866,0,0,0,266672,0,7378,6096
2016,7568,7568,7578,6488,16222371,14560569,1661802,427862,348019,885921,4624,145,4479,4655,170,4485,46173,2016,14560569,2405267,1432729,0,911153,3765976,6045444,0,348019,191442,42015,0,0,0,114562,0,2944,1833
2017,7568,7568,7578,7578,0,0,0,0,0,0,7568,39,7529,7578,41,7537,0,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7568,7568,7578,6322,40754250,35236634,5517616,2133240,837963,2546413,193,192,1,228,227,1,0,2018,35236634,10434599,7788007,0,2865884,6842772,7305372,0,837963,500005,38320,0,0,0,299638,0,7375,6094
2019,7568,7568,7578,7007,20462158,17443915,3018243,1320610,481328,1216305,180,180,0,214,214,0,20405974,2019,17443915,5104471,3629612,0,1211994,3502313,3995525,0,481328,296569,7726,0,0,0,177033,0,7388,6793
2020,7568,7568,7578,6992,40815036,33899403,6915633,3102827,1280119,2532687,182,182,0,213,213,0,0,2020,33899403,11581108,6863078,0,1857886,7314269,6283062,0,1280119,640199,254654,0,0,0,385266,0,7386,6779
2021,7568,7568,7578,7032,32625504,26245103,6380401,3652211,1310192,1417998,1664,184,1480,1697,215,1482,0,2021,26245103,6840353,5158625,0,1392913,5923608,6929604,0,1310192,717430,161742,0,0,0,431020,0,5904,5335
2022,7568,7568,7578,6324,37598904,32048006,5550898,2891450,949388,1710060,764,194,570,801,230,571,0,2022,32048006,9087127,6188332,0,2951469,6493602,7327476,0,949388,581547,19444,0,0,0,348397,0,6804,5523
2023,7568,7568,7578,7029,40710042,34136402,6573640,2856881,1144376,2572383,201,183,18,230,213,17,0,2023,34136402,10999812,6018937,0,2798430,7207261,7111962,0,1144376,630571,135152,0,0,0,378653,0,7367,6799
2024,7568,7568,7578,7017,40820562,32717602,8102960,3945573,1266884,2890503,181,181,0,214,214,0,0,2024,32717602,11235042,5681043,0,2166914,7318385,6316218,0,1266884,789957,3744,0,0,0,473183,0,7387,6803
2025,7568,7568,7578,6322,37192028,30733392,6458636,2857967,1385956,2214713,192,191,1,228,227,1,3572448,2025,30733392,9558878,4836252,0,1840132,7246283,7251847,0,1385956,592192,435742,0,0,0,358022,0,7376,6094
2026,7568,7568,7578,6638,11455398,10264744,1190654,186688,260350,743616,5495,138,5357,5516,153,5363,0,2026,10264744,1624263,841398,0,421360,2669571,4708152,0,260350,145218,28479,0,0,0,86653,0,2073,1122
2027,7568,7568,7578,7031,40787406,33355663,7431743,4035131,1346783,2049829,187,187,0,214,214,0,0,2027,33355663,10403676,5667206,0,2963797,6999034,7321950,0,1346783,766234,120568,0,0,0,459981,0,7381,6817
2028,7568,7568,7578,6330,32155794,31402254,753540,358504,154790,240246,1749,188,1561,1791,226,1565,0,2028,31402254,5421397,2369462,0,9746644,6548327,7316424,0,154790,92379,7710,0,0,0,54701,0,5819,4539
