"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6336,28956240,26542870,2413370,580281,339250,1493839,2328,167,2161,2374,208,2166,0
2011,7568,7568,7578,7029,36949187,30689746,6259441,3251806,1211968,1795667,881,184,697,911,214,697,3175
2012,7568,7568,7578,6322,40759776,32609061,8150715,4177771,1544352,2428592,192,191,1,228,227,1,0
2013,7568,7568,7578,6473,17223291,15398334,1824957,246007,303761,1275189,4430,139,4291,4469,172,4297,117297
2014,7568,7568,7578,6431,17035396,15095890,1939506,436427,405021,1098058,4473,142,4331,4523,187,4336,67574
2015,7568,7568,7578,7392,1228351,960109,268242,60465,62425,145352,7270,51,7219,7271,43,7228,418397
2016,7568,7568,7578,7220,3779784,3414017,365767,2852,83952,278963,6884,115,6769,6894,119,6775,0
2017,7568,7568,7578,6687,8599457,8201997,397460,24314,66535,306611,5668,124,5544,5694,141,5553,1909233
2018,7568,7568,7578,6322,40765302,35548924,5216378,1899264,1041112,2276002,191,191,0,227,227,0,0
2019,7568,7568,7578,6708,9250114,8352064,898050,63791,294399,539860,5894,121,5773,5920,133,5787,410
2020,7568,7568,7578,7396,1724112,1514372,209740,4102,48154,157484,7256,76,7180,7263,77,7186,0
2021,7568,7568,7578,7185,8476124,7542367,933757,120639,239610,573508,5736,116,5620,5750,119,5631,1654340
2022,7568,7568,7578,6324,39914298,32424946,7489352,4176750,1358627,1953975,345,207,138,382,245,137,0
2023,7568,7568,7578,6322,40505580,33914604,6590976,4335304,1253508,1002164,238,194,44,274,230,44,0
2024,7568,7568,7578,7019,40820562,30337733,10482829,6798624,2165400,1518805,181,181,0,214,214,0,0
2025,7568,7568,7578,6322,40587225,33509182,7078043,2909699,1353927,2814417,195,191,4,231,227,4,155973
2026,7568,7568,7578,6326,33039504,27179150,5860354,2560960,1570748,1728646,1589,197,1392,1627,235,1392,450
2027,7568,7568,7578,7578,0,0,0,0,0,0,7568,11,7557,7578,15,7563,0
2028,7568,7568,7578,6322,27911712,25744771,2166941,1178612,451063,537266,232,195,37,268,230,38,12653604
2029,7568,7568,7578,6322,19488911,16320113,3168798,1357017,592074,1219707,190,190,0,226,226,0,21327124
2030,7568,7568,7578,6938,7111962,6403579,708383,171739,203762,332882,6281,79,6202,6311,104,6207,0
2031,7568,7568,7578,6323,39195918,31075023,8120895,3891007,2411894,1817994,475,196,279,511,232,279,0
2032,7568,7568,7578,7576,11052,6794,4258,354,705,3199,7566,27,7539,7575,31,7544,0
2033,7568,7568,7578,6322,39364917,31912475,7452442,4410849,1403923,1637670,438,192,246,473,227,246,35463
2034,7568,7568,7578,6339,26928807,22898445,4030362,1220140,897789,1912433,2252,175,2077,2296,215,2081,2449918
2035,7568,7568,7578,6757,8507681,7695063,812618,55443,252748,504427,5956,106,5850,5977,118,5859,402039
2036,7568,7568,7578,6664,8865003,7854836,1010167,265848,254600,489719,5555,123,5432,5580,140,5440,2268085
2037,7568,7568,7578,6323,26627900,23358562,3269338,1590559,650527,1028252,249,199,50,286,236,50,13844574
2038,7568,7568,7578,6348,9001124,7898063,1103061,343779,249798,509484,3290,161,3129,3338,203,3135,14680150
2039,7568,7568,7578,6322,39842460,34244644,5597816,2502714,1030262,2064840,358,196,162,395,232,163,0
2040,7568,7568,7578,6325,34506267,29783172,4723095,1573906,1016873,2132316,1319,195,1124,1356,233,1123,25707
2041,7568,7568,7578,6662,10046268,9259704,786564,46472,195567,544525,5750,119,5631,5775,134,5641,0
2042,7568,7568,7578,7578,1925,1073,852,42,60,750,7567,45,7522,7578,48,7530,3601
2043,7568,7568,7578,6340,20241481,17531339,2710142,1206614,515739,987789,2840,159,2681,2883,198,2685,5893538
2044,7568,7568,7578,7017,40472424,33861296,6611128,3055343,1714918,1840867,244,187,57,277,221,56,0
2045,7568,7568,7578,6349,25060210,20831146,4229064,1665388,1016657,1547019,3033,161,2872,3080,203,2877,200
2046,7568,7568,7578,6482,15533586,13643255,1890331,713249,556923,620159,4757,129,4628,4791,158,4633,0
2047,7568,7568,7578,7495,746010,424676,321334,49681,112063,159590,7433,22,7411,7443,27,7416,0
2048,7568,7568,7578,6447,10679069,9438375,1240694,306858,369804,564032,4160,144,4016,4209,184,4025,8177558
2049,7568,7568,7578,6915,6664356,6212463,451893,11742,136392,303759,6362,83,6279,6400,98,6302,0
2050,7568,7568,7578,6464,16102764,14260465,1842299,510302,408138,923859,4654,142,4512,4696,177,4519,0
2051,7568,7568,7578,7032,26081827,22455675,3626152,1498803,671486,1455863,494,188,306,521,216,305,13038010
2052,7568,7568,7578,7029,32556019,26900608,5655411,2497622,1238120,1919669,183,183,0,213,213,0,8270651
2053,7568,7568,7578,6533,14533380,12872212,1661168,572499,356521,732148,4938,136,4802,4961,155,4806,0
2054,7568,7568,7578,7025,40881348,32130002,8751346,5606333,1643802,1501211,170,170,0,214,214,0,0
2055,7568,7568,7578,6322,31703090,24852174,6850916,4621982,1258361,970573,252,193,59,288,229,59,8742130
2056,7568,7568,7578,6356,21429828,18358456,3071372,1053420,761791,1256161,3690,153,3537,3736,194,3542,0
2057,7568,7568,7578,7273,3122190,2520171,602019,184875,182313,234831,7003,70,6933,7008,65,6943,0
2058,7568,7568,7578,7031,39451086,30723849,8727237,5077163,2063668,1586406,186,186,0,214,214,0,1342448
2059,7568,7568,7578,7578,0,0,0,0,0,0,7568,33,7535,7578,36,7542,0
2060,7568,7568,7578,6466,16406694,14227118,2179576,635273,536613,1007690,4599,130,4469,4641,168,4473,0
2061,7568,7568,7578,6322,25067046,19124281,5942765,3656273,1125174,1161318,190,190,0,226,226,0,15737921
2062,7568,7568,7578,6371,16336220,14195381,2140839,703225,522041,915573,4103,145,3958,4153,188,3965,2820660
2063,7568,7568,7578,6342,26326431,22379749,3946682,1667411,974329,1304942,2780,167,2613,2826,205,2621,132057
2064,7568,7568,7578,6324,33078192,26032341,7045851,4097024,1575125,1373702,1398,195,1203,1434,230,1204,1017278
2065,7568,7568,7578,7536,319587,201309,118278,6614,30737,80927,7498,47,7451,7509,49,7460,67233
2066,7568,7568,7578,6502,14548895,12638270,1910625,631029,515312,764284,4933,131,4802,4961,155,4806,12115
2067,7568,7568,7578,6426,17108496,14941219,2167277,590670,556493,1020114,4472,135,4337,4530,185,4345,0
2068,7568,7568,7578,6323,25550535,21124341,4426194,2253290,837149,1335755,1101,201,900,1139,237,902,10211472
2069,7568,7568,7578,7033,35510076,28522972,6987104,4579708,1438299,969097,1142,190,952,1171,215,956,0
