"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,26542870,6033409,4023730,0,2536047,6638786,7310898,0,339250,201191,17677,0,0,0,120382,0,5240,3962
2011,30689746,9231484,4147821,0,3113364,7018803,7178274,0,1211968,659595,156076,0,0,0,396297,0,6687,6118
2012,32609061,10554154,5259542,0,2092182,7232031,7471152,0,1544352,802065,259663,0,0,0,482624,0,7376,6094
2013,15398334,3530984,1803922,0,212207,3805777,6045444,0,303761,162279,44225,0,0,0,97257,0,3138,2004
2014,15095890,2637101,1408315,0,654362,3781490,6614622,0,405021,221320,51151,0,0,0,132550,0,3095,1908
2015,960109,301136,102557,0,195701,360715,0,0,62425,38103,1970,0,0,0,22352,0,298,121
2016,3414017,716203,363355,0,201633,1524966,607860,0,83952,33749,29928,0,0,0,20275,0,684,326
2017,8201997,909723,708250,0,538569,2046065,3999390,0,66535,40785,1802,0,0,0,23948,0,1900,993
2018,35548924,10325418,7463394,0,1970153,8059085,7730874,0,1041112,428395,353313,0,0,0,259404,0,7377,6095
2019,8352064,1225398,405412,0,28746,1940148,4752360,0,294399,103026,128998,0,0,0,62375,0,1674,788
2020,1514372,382257,237086,0,154985,673732,66312,0,48154,20897,14943,0,0,0,12314,0,312,133
2021,7542367,1249519,558101,0,262402,1786137,3686208,0,239610,108361,66278,0,0,0,64971,0,1832,1435
2022,32424946,10209019,3468979,0,3280940,7679874,7786134,0,1358627,768846,128312,0,0,0,461469,0,7223,5942
2023,33914604,8607562,4404121,0,6622428,6875653,7404840,0,1253508,725115,93455,0,0,0,434938,0,7330,6048
2024,30337733,10072246,4503880,0,2238074,7069165,6454368,0,2165400,1118619,373756,0,0,0,673025,0,7387,6805
2025,33509182,11480568,5281873,0,1522182,7714725,7509834,0,1353927,628446,346315,0,0,0,379166,0,7373,6091
2026,27179150,8093650,3802311,0,834023,6762500,7686666,0,1570748,574743,646493,0,0,0,349512,0,5979,4699
2027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2028,25744771,6241356,2513803,0,5689129,5596762,5703721,0,451063,235798,74064,0,0,0,141201,0,7336,6054
2029,16320113,4628288,2762599,0,1119823,3680626,4128777,0,592074,307481,100245,0,0,0,184348,0,7378,6096
