"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6322,40770828,35917475,4853353,2030814,716241,2106298,190,190,0,226,226,0,0
2011,7568,7568,7578,6324,36095832,30829960,5265872,2026837,1027872,2211163,1036,192,844,1075,230,845,0
2012,7568,7568,7578,6322,40770828,35459143,5311685,2782099,888238,1641348,190,190,0,226,226,0,0
2013,7568,7568,7578,7010,40815036,33963068,6851968,2539224,1051842,3260902,182,182,0,214,214,0,0
2014,7568,7568,7578,7001,40815036,33368943,7446093,3153224,1150098,3142771,182,182,0,213,213,0,0
2015,7568,7568,7578,7022,27081610,21513431,5568179,3050063,1127527,1390589,173,173,0,214,214,0,13809840
2016,7568,7568,7578,6322,40212702,33700817,6511885,3230040,1079181,2202664,291,192,99,327,228,99,0
2017,7568,7568,7578,7032,39986119,34472412,5513707,3236485,1048646,1228576,186,186,0,213,213,0,807140
2018,7568,7568,7578,6322,40770828,38679996,2090832,1301147,382485,407200,190,190,0,226,226,0,0
2019,7568,7568,7578,7026,15179719,12823971,2355748,1074223,514518,767007,173,173,0,213,213,0,25736623
2020,7568,7568,7578,6322,40759776,34486084,6273692,3719015,1315989,1238688,192,191,1,228,227,1,0
2021,7568,7568,7578,6322,40770828,33188040,7582788,4646128,1290866,1645794,190,190,0,226,226,0,0
2022,7568,7568,7578,6284,40831614,40659546,172068,142054,26295,3719,179,179,0,227,227,0,0
2023,7568,7568,7578,7017,40798458,34471715,6326743,3105150,1086105,2135488,185,182,3,218,215,3,0
2024,7568,7568,7578,7577,40859244,32055270,8803974,5114000,1488267,2201707,174,174,0,172,172,0,0
2025,7568,7568,7578,7023,40892400,32969360,7923040,3670456,1613721,2638863,168,168,0,214,214,0,0
2026,7568,7568,7578,6322,40759776,34341595,6418181,2531580,1180200,2706401,192,192,0,227,227,0,0
2027,7568,7568,7578,6323,40157442,35098438,5059004,2742093,920256,1396655,301,194,107,338,231,107,0
2028,7568,7568,7578,6322,40490202,34087578,6402624,2477205,1301644,2623775,190,190,0,226,226,0,280626
2029,7568,7568,7578,6580,9303462,8384842,918620,236963,190672,490985,5361,127,5234,5385,146,5239,2904730
