"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,35917475,9081792,8069311,0,3285004,7767072,7714296,0,716241,444519,5681,0,0,0,266041,0,7378,6096
2011,30829960,9588373,3944397,0,3202664,6844414,7250112,0,1027872,499811,226914,0,0,0,301147,0,6532,5249
2012,35459143,9652062,3589334,0,7161325,7535536,7520886,0,888238,555647,0,0,0,0,332591,0,7378,6096
2013,33963068,11962153,5224153,0,3551055,7180263,6045444,0,1051842,657762,0,0,0,0,394080,0,7386,6796
2014,33368943,11645318,5878108,0,2913762,6814473,6117282,0,1150098,719209,0,0,0,0,430889,0,7386,6788
2015,21513431,7106918,2392811,0,2369807,5029274,4614621,0,1127527,587874,186221,0,0,0,353432,0,7395,6808
2016,33700817,10072679,4291487,0,4469569,7473294,7393788,0,1079181,671543,5439,0,0,0,402199,0,7277,5995
2017,34472412,9221551,4727616,0,8278355,5774196,6470694,0,1048646,592161,101290,0,0,0,355195,0,7382,6819
2018,38679996,10634149,5305934,0,9215781,6373488,7150644,0,382485,232404,11393,0,0,0,138688,0,7378,6096
2019,12823971,3512040,1832797,0,1418929,2881865,3178340,0,514518,245982,120868,0,0,0,147668,0,7395,6813
2020,34486084,9237896,3710684,0,6951958,7235966,7349580,0,1315989,676573,232372,0,0,0,407044,0,7376,6094
2021,33188040,9830094,4721623,0,4329730,6973591,7333002,0,1290866,807362,0,0,0,0,483504,0,7378,6096
2022,40659546,8522700,4218293,0,14356103,6422858,7139592,0,26295,16875,17,0,0,0,9403,0,7389,6057
2023,34471715,10544022,6405937,0,4805592,6538096,6178068,0,1086105,657933,33951,0,0,0,394221,0,7383,6799
2024,32055270,10118960,5720250,0,3170162,6215762,6830136,0,1488267,930651,0,0,0,0,557616,0,7394,7405
2025,32969360,11377501,5915963,0,2156708,7048242,6470946,0,1613721,743144,422107,0,0,0,448470,0,7400,6809
2026,34341595,11178895,6112201,0,2531599,7180372,7338528,0,1180200,581542,248478,0,0,0,350180,0,7376,6095
2027,35098438,9153380,4245704,0,6790402,7448852,7460100,0,920256,531058,70766,0,0,0,318432,0,7267,5985
2028,34087578,11088442,7162647,0,1333141,7137190,7366158,0,1301644,544400,427833,0,0,0,329411,0,7378,6096
2029,8384842,1174906,404894,0,455150,2149382,4200510,0,190672,119622,0,0,0,0,71050,0,2207,1195
2030,36006774,10219220,8178919,0,4496602,6624509,6487524,0,921414,461358,182413,0,0,0,277643,0,7396,6794
2031,33538055,10884525,4190313,0,3297239,7700352,7465626,0,1694463,678916,604175,0,0,0,411372,0,7378,6096
2032,16132860,3029682,1563983,0,811665,3936076,6791454,0,402535,226335,40624,0,0,0,135576,0,3276,2055
2033,33873308,9010187,4804603,0,5355805,7214983,7487730,0,1497427,706671,364804,0,0,0,425952,0,7377,6096
2034,32176556,10742893,4797819,0,2636723,6771113,7228008,0,1633851,840911,286877,0,0,0,506063,0,7378,6096
2035,23335336,5685393,2855317,0,2056010,5632180,7106436,0,930293,557569,38598,0,0,0,334126,0,5072,3801
2036,33637272,8061282,4278418,0,7404953,6786183,7106436,0,1286402,800637,6137,0,0,0,479628,0,7381,6820
2037,33106419,9481996,6916412,0,3861068,6099697,6747246,0,1364799,823048,48423,0,0,0,493328,0,7390,6814
2038,34168073,11150895,4107773,0,4377518,7237567,7294320,0,1230896,664967,166325,0,0,0,399604,0,7377,6095
2039,33029753,9022504,7786471,0,3858028,5770232,6592518,0,1510990,847898,154116,0,0,0,508976,0,7388,6783
2040,33525256,11243428,5837100,0,2511362,6744040,7189326,0,1316379,664576,251890,0,0,0,399913,0,7377,6095
2041,34314600,9723316,6585735,0,4871530,6707281,6426738,0,1132819,708559,0,0,0,0,424260,0,7386,6785
2042,33486134,8500497,3996472,0,6722800,7723581,6542784,0,1306085,816888,0,0,0,0,489197,0,7403,6812
2043,24169456,7082507,5046705,0,2843973,4871264,4325007,0,688170,430575,0,0,0,0,257595,0,7385,6789
2044,34037178,10596096,5165606,0,5455754,6713492,6106230,0,1144523,698168,28098,0,0,0,418257,0,7386,6780
2045,33946988,11045913,7623474,0,2527679,6527646,6222276,0,1091741,628325,86487,0,0,0,376929,0,7386,6798
2046,31881835,11323137,4496639,0,1206579,7434062,7421418,0,2013390,858263,635936,0,0,0,519191,0,7375,6093
2047,30149421,9860860,2999314,0,3174359,6886880,7228008,0,1431079,831381,100842,0,0,0,498856,0,6889,5623
2048,14700781,3567753,2058794,0,2155089,3175497,3743648,0,542847,339847,0,0,0,0,203000,0,7377,6095
2049,32901461,9731893,5909593,0,4161316,6975851,6122808,0,1409035,857490,37552,0,0,0,513993,0,7385,6789
2050,30478128,10004768,4305670,0,1802160,7038054,7327476,0,1442209,664532,376601,0,0,0,401076,0,6809,5527
2051,37182822,10379291,4335103,0,7703698,7365416,7399314,0,453127,278997,7377,0,0,0,166753,0,7215,5931
2052,34149364,10461024,4662423,0,5680825,6874146,6470946,0,1158796,713816,17337,0,0,0,427643,0,7398,6807
2053,25031793,7910377,4926081,0,2347191,5006858,4841286,0,973140,498150,175465,0,0,0,299525,0,7389,6807
2054,34267795,10521184,6359783,0,2494138,7465746,7426944,0,1030704,501840,226587,0,0,0,302277,0,7221,5938
2055,15460837,3001746,1818525,0,1520387,3775751,5344428,0,176815,110389,1008,0,0,0,65418,0,4247,2987
2056,35078008,11031033,8616009,0,1309440,7059298,7062228,0,955988,487852,174726,0,0,0,293410,0,7388,6815
2057,211316,113928,63216,0,34172,0,0,0,17788,7949,5118,0,0,0,4721,0,54,20
2058,15968228,3506434,1558200,0,263274,3854392,6785928,0,463926,208348,130083,0,0,0,125495,0,3279,2067
2059,10591807,1687867,705523,0,380808,2590013,5227596,0,220831,110432,44390,0,0,0,66009,0,2101,1113
2060,6272616,776340,419137,0,274232,1868601,2934306,0,88389,44134,18057,0,0,0,26198,0,1211,552
2061,30993453,9872393,3881352,0,1644805,7885945,7708958,0,1123066,630970,113233,0,0,0,378863,0,7181,5897
2062,34652107,9875069,6398942,0,3345457,7434389,7598250,0,1372284,588837,427604,0,0,0,355843,0,7378,6096
2063,33741615,10803114,5698687,0,2332906,7435756,7471152,0,1118739,641585,92152,0,0,0,385002,0,7340,6058
2064,31364040,9118008,4600917,0,3244868,7017511,7382736,0,1348801,823322,32038,0,0,0,493441,0,7068,5783
2065,33177800,10798781,5987544,0,2443415,6714526,7233534,0,1235259,737809,55055,0,0,0,442395,0,7376,6095
2066,35035954,11100484,7804926,0,1669636,7094750,7366158,0,1228949,456508,495129,0,0,0,277312,0,7375,6094
2067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
