"cnrmcm3","gfdlcm21","miroc32med","mpiecham5","ncarccsm3","ncarpcm1"
4789.71567567568,5526,5526,5526,5526,5526
2167.96472972973,4708.12469304229,5526,5524.06121601992,5525.52519814566,5526
5526,5526,5526,5526,5526,5526
5427.33613445378,5502.61133144476,5526,5500.48325877728,5488.62045889101,5526
5526,5526,5526,5520.1148243359,5504.16672051696,5526
4924.10900473934,112.136339019767,3310.39086708345,5526,4121.98322147651,3662.15145368492
3699.71485260771,5526,5526,5510.31623641304,5526,5526
5526,5406.83125508268,5501.62867052023,NA,4526.03,5416.70536439989
5526,5526,5526,5526,5526,5526
1275.90089470062,1862.27370980816,815.99274705349,2769.64780725501,5525.7550776583,2052.70033806626
3649.3357000852,5526,5526,5526,5526,5526
5526,5526,5526,5526,4626.70524017467,5526
5332.93055355859,5526,5383.08635625338,5526,5526,5526
5526,5526,5526,5526,5526,5526
5526,5526,5526,5526,5526,5526
3466.96141348497,5526,5220.49205312432,5042.30314533623,5504.84538179845,5526
5526,5526,5526,5526,5525.92473657802,5526
5526,5526,5526,5526,NA,5526
4812.5417989418,5526,5526,5526,3804.75899672846,5487.96448902141
3273.72840022297,3668.15830945559,2817.00609921388,5526,2641.48969910545,4215.43362029905
5526,5526,5524.75667287399,5526,5526,5526
5526,5526,5526,5526,5526,5526
5241.92775393419,5526,5432.45004533092,5526,5526,5526
5526,5526,5526,5526,5521.02622720898,5513.95689304595
5526,5526,5526,5526,5065.61455981941,5483.65885063703
5526,5526,5526,5526,5277.71774193548,5526
5522.00339766241,4590.66152335531,5526,5526,4403.87630402384,5526
5526,5302.87306594562,4922.78,5526,3638.18827708703,5526
5252.40581081081,2504.34293193717,2660.14440972694,4738.09054228535,2104.04955586723,5526
5525.43427853052,5526,5525.32871230527,5526,5526,5526
5526,5526,5481.41610192464,5526,5521.88622179549,5526
5526,5526,5526,5526,5526,5526
4226.18489932886,NA,NA,4913.3284127844,1925,5525.97636093476
4907.38393274171,4057.5088099756,2585.14310906131,4950.09743456854,4281.19310490694,3851.09749492214
5526,5526,5526,5526,5526,5526
5526,5526,5526,5526,5525.9558985667,5526
5526,5525.65409658166,5526,5526,5526,5526
4457.21826039978,5526,5166.23178807947,5024,5526,5526
5526,5526,4757.38013562026,5190.03456221198,3133.52963615023,2401.3424156161
5526,5526,NA,5526,5526,5526
5526,5526,5526,4660.59013282732,5526,5512.98252313115
3759.18250744652,5334.40579119086,3674.64,3633.81345565749,3686.9984450099,5526
4733.51671855963,5526,5099,5520.4708936868,4408.39796885579,5526
5373.86049873509,1884.49572649573,4438.56052631579,4969.4345940084,5526,4092.39694139938
5526,5526,NA,5526,5526,5526
4364.4004747372,1858.85235920852,NA,2958.97710718002,4333.39119737561,3884.43089239463
5526,NA,5526,5526,5526,5526
5526,5526,5526,4270.83774055102,5526,5275
2618.90863562534,5525.665273715,5526,NA,5344.22730967218,5526
3977.62686364869,5507.41277574773,5526,NA,NA,5526
5526,5526,5342.03891525424,5525.78952291862,5526,5526
5526,3567,5526,4345.59966052376,3397.53944158308,5217.24216682913
5526,4324.20668369519,5526,5526,4714.63780663781,5526
5526,5526,5526,5526,5498.41917293233,5526
5526,5526,5153.99709766362,4431.04522400676,5361.13322528363,5526
5456.50716710675,2716.7865642416,5289.83193612774,NA,4565.52857142857,5499.77819956616
5526,5526,5326.50520833333,5278.18542147414,5521.40227703985,5526
5525.52919020716,5421.21634980989,NA,5526,5526,NA
NA,4858.63587177059,4421,5238.108033241,3950.91000463894,4101.27054383256
5526,5525.6462436178,NA,5526,5526,5526
NA,3508.303514377,3596.9198630137,3946.52413793103,5526,5526
5526,NA,3074.05500982318,5329.10579345088,NA,5526
5456.62644927536,5526,5526,5526,2929.18815809553,5526
5526,4753.27442857143,3638.80769230769,5526,1888.03296170625,NA
5526,4405,NA,NA,5519.71428571429,5510.61207535974
NA,2153.66666666667,NA,NA,1957.34005231574,793.443661971831
NA,5525.70800412229,4758.56539469851,3230.08999728924,1545.33892799134,NA
5526,5526,5161.30276679842,NA,4862.76363636364,5526
5526,5526,5526,5526,5526,5526
5526,3108.83878178262,2062.06134142231,5526,4496,5526
5525.58376108259,NA,NA,5526,5526,4673.18148549742
2963.11329220415,NA,NA,3309.93092105263,4250.07142857143,3870.04377390565
5321.51943642845,3973.01197767796,NA,5526,4221.79952052742,5526
4059.50042504959,NA,3073.56789832902,2371.96901840491,3989.76635514019,4992.08552453239
5526,5501.41777947348,5526,NA,5520.17604774176,5526
5124.47619047619,NA,5526,4597.8361323985,NA,5526
5126.87266739846,NA,NA,5526,NA,5526
NA,NA,NA,3552,4722,5526
3783.92993079585,5526,NA,NA,5297.72855825392,5340.98910945685
5526,5526,NA,3919.25803544608,NA,5136.47329899702
4475.96465043205,4842.49372723594,2564.62960568843,3592,1294.88819424251,5526
4860.7106918239,5526,4835.66690647482,2638.99047335517,3532.91905039891,5526
4890.40406632452,5526,NA,NA,5526,5526
NA,2630.38594802695,NA,NA,1127.17072368421,3771.72577771687
5526,5526,5276.22536023055,NA,3866.73244194229,5526
2552.33572492216,5526,NA,NA,4691.45141620771,2895.73193631787
5526,NA,NA,NA,NA,5526
4270,4946.80952380952,4320.53215962441,NA,4351.42143364088,5526
NA,5526,2883.72312417727,NA,5526,5526
5526,5526,5526,NA,5526,5526
