YEAR,A2_CNRMCM3,A2_GFDLCM21,A2_MIROC32MED,A2_MPIECHAM5,A2_NCARCCSM3,A2_NCARPCM1,B1_CNRMCM3,B1_GFDLCM21,B1_MIROC32MED,B1_MPIECHAM5,B1_NCARCCSM3,B1_NCARPCM1
2010,9372,14306,14400,14640,14648,14658,14664,14518,5340,11750,10344,14620
2011,14620,13872,14638,14620,14654,14620,14664,14524,14620,9502,13238,12928
2012,13954,14670,14638,14636,14404,14620,14594,8562,14072,14616,14616,14620
2013,14620,14620,14408,14320,14620,12144,14620,3394,2454,14618,6140,14636
2014,14622,962,0,9346,0,13010,14634,14636,14620,4532,6054,14636
2015,14634,14422,14094,5372,14620,14612,6194,14636,14580,14620,460,14654
2016,14636,14618,13232,14602,6830,12942,10448,14536,1638,5752,1232,14418
2017,14636,288,14620,10396,2192,2984,14306,14620,8514,0,3664,14628
2018,13406,12508,14620,14620,14592,14626,14616,14630,11764,14614,14618,14620
2019,14636,8664,8504,14638,7376,14648,14394,14668,13100,14640,3212,14654
2020,14594,14620,678,14618,616,6896,13948,4778,920,14636,488,14616
2021,14630,14058,14608,9354,346,14620,14638,5386,14620,11672,3528,14620
2022,14646,6900,4510,14550,3478,14616,13774,13260,14640,13472,14310,14642
2023,14654,0,14572,12594,11534,14618,10564,13392,14658,14598,14524,14630
2024,14354,818,11740,14368,14644,13384,14638,8258,14634,14638,14638,14652
2025,14656,1330,12020,14462,8326,14640,14636,13990,9050,14616,14610,14664
2026,14464,14604,14242,14596,758,0,14190,14616,9588,4010,11822,14616
2027,10880,1194,14600,14620,14392,12538,0,3904,5752,14626,0,14398
2028,0,96,2696,0,10298,14636,1754,5280,7858,11502,14536,14620
2029,7624,4900,2948,10918,5452,14186,14216,2656,14620,14622,14620,4278
2030,14620,8356,0,14416,0,14632,0,14540,3086,3558,2438,14656
2031,14502,0,14620,14610,4310,14600,14616,14614,14420,13900,14050,14620
2032,13322,0,9266,14630,14594,14600,13844,14452,10894,14638,0,6416
2033,14646,14538,944,14688,14570,14612,14664,12302,14546,14256,14124,14618
2034,4072,14626,14142,14620,5432,14640,13098,0,1144,14620,10496,14620
2035,14634,0,0,5262,10726,14636,2698,11502,1128,14668,3088,10008
2036,14586,282,9002,106,14282,14650,14580,14122,14372,10698,3890,14626
2037,8794,14272,14616,7878,4592,14636,14612,13178,264,14616,14502,14644
2038,14654,13596,9322,14616,486,1442,14664,1392,14586,12256,8420,14618
2039,14268,12,6924,13162,8956,10398,14182,0,13858,8048,14284,14640
2040,11692,0,14490,0,2196,14368,6734,6500,14620,14554,12362,14618
2041,7540,10554,3996,4832,0,14494,14628,14590,7000,11786,3500,14636
2042,138,0,14530,14626,0,14636,11784,0,0,14632,0,14670
2043,7538,504,4578,7926,0,4970,8428,14620,14608,7582,9320,14634
2044,356,9938,0,13924,13628,7962,14634,14594,10152,14658,14512,14636
2045,0,14040,0,0,10494,14638,10128,14126,0,14588,8934,14636
2046,1806,9926,7178,0,11074,14536,13350,14608,0,14530,5486,14614
2047,1334,13674,8586,14620,8802,14538,14672,14520,468,0,134,13642
2048,13548,14254,14512,14622,3758,14642,14612,14624,4878,14620,6680,14618
2049,14516,7820,0,4434,6112,14636,78,10740,0,14620,2276,14634
2050,14684,380,0,14324,2926,0,2232,13630,13696,14620,5692,13482
2051,14414,682,11084,11462,512,0,14636,14576,114,14252,14012,14294
2052,14526,346,4264,14638,1352,0,14638,14518,0,14500,14634,14660
2053,11800,13942,6940,14618,14534,470,10932,9692,2144,14618,5124,14642
2054,0,10022,5918,0,210,14614,9928,6188,0,14636,14660,14306
2055,14638,0,7032,14618,13422,14618,5762,1178,0,1786,14496,8358
2056,14620,0,6264,14638,13124,370,12476,0,1948,12768,7620,14640
2057,9732,7368,3668,650,10400,14644,14596,6524,13908,14310,994,0
2058,804,5136,0,0,0,13304,14640,4650,260,0,14628,6422
2059,0,9622,0,11532,0,14606,14620,14642,5942,0,0,4066
2060,0,1338,0,0,0,13428,14696,14240,14614,4140,5802,2286
2061,0,13972,10242,1004,10906,14640,14614,0,1848,8112,14620,14226
2062,0,0,4866,14612,13496,14614,0,9260,11046,322,6794,14620
2063,94,0,770,0,14120,5148,13810,1254,1504,0,9440,14544
2064,0,12508,10374,14560,0,14620,0,2414,13646,14060,12204,14000
2065,13472,0,0,2628,590,14214,10468,13142,4874,0,4,14616
2066,0,1970,0,14090,1192,14024,14294,8,4856,14598,5134,14614
2067,14324,0,340,0,0,7950,926,5124,0,4678,6056,0
2068,0,0,4586,0,0,13536,0,14650,0,586,12798,11522
2069,0,0,5084,0,0,6542,14076,13574,0,14636,12716,14158
2070,0,628,0,0,4750,11350,0,490,5704,12044,10474,14636
2071,166,0,602,14588,0,0,14538,0,882,3040,0,3102
2072,0,1740,0,13458,0,14044,5384,302,0,12628,12970,56
2073,2194,12324,0,7206,6404,14606,0,13864,0,9062,12242,0
2074,188,48,0,12506,0,12502,10708,0,0,0,144,13346
2075,0,0,0,0,0,7402,0,0,0,0,12862,432
2076,2976,0,0,0,4262,14134,0,5686,6730,14620,14640,0
2077,5276,0,0,0,0,14660,602,11158,12514,0,5474,14546
2078,10226,0,0,14616,1612,20,14606,6560,2722,168,704,14638
2079,3854,0,0,0,0,0,3846,7022,5798,11898,0,14598
2080,2434,0,0,10070,178,1154,8436,0,0,11062,9144,14620
2081,0,0,514,14208,10464,14620,10562,0,0,7768,1936,9276
2082,0,0,2730,1902,0,11454,11646,14558,0,14440,13212,14624
2083,0,0,2884,3464,0,1198,13980,0,8362,6384,78,14620
2084,11058,0,94,9472,0,0,14084,5106,9090,0,14610,5878
2085,2626,0,6,14410,0,0,0,0,0,12130,0,13308
2086,0,0,0,14430,0,4506,14440,0,0,4150,0,11314
2087,0,0,0,5562,10260,0,0,0,0,0,0,4108
2088,1192,0,0,0,1586,14640,2176,8880,0,0,12876,14372
2089,0,0,0,3020,0,14108,5334,0,0,13180,0,14620
2090,0,0,0,2374,942,12198,12594,4806,12240,0,13620,13316
2091,5812,0,1072,0,0,5562,500,24,2644,6582,10142,3938
2092,1876,0,0,0,0,14542,9996,694,0,0,6922,14618
2093,4246,0,0,0,0,10554,0,12332,0,0,12024,14458
2094,0,0,0,0,0,3522,66,0,3334,0,14074,11910
2095,0,0,1264,0,0,944,14638,14616,0,0,10032,14562
2096,0,0,0,0,0,0,0,0,0,0,0,5564
2097,0,0,0,0,0,0,0,32,8384,0,13954,13666
2098,0,0,0,0,0,0,0,96,4422,0,662,8434
2099,5636,0,0,5392,0,0,624,0,4390,0,14054,14652
